,https://roic.ai/company/AMCX,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,Income Before Tax,158954000,206262000,210610000,222274000,469001000,397028000,582794000,454825000,640378000,620273000,486186000,402379000,374232000
21,Income Before Tax Ratio,0.1633,0.1913,0.1773,0.1643,0.2946,0.1825,0.2258,0.1651,0.2282,0.2087,0.1589,0.1429,0.1216
22,Income Tax expense (Gain),70407000,88073000,84248000,86058000,178841000,129155000,201090000,164862000,150741000,156306000,78470000,145391000,94393000
23,Net Income,53756000,80099000,126454000,136530000,290738000,260797000,366788000,270510000,471316000,446187000,380486000,239979000,250596000
24,Net Income ratio,0.0552,0.0743,0.1065,0.1009,0.1826,0.1199,0.1421,0.0982,0.1680,0.1501,0.1243,0.0853,0.0814
25,EPS,0.78,1.16,1.83,1.94,4.06,3.62,5.06,3.77,7.26,7.68,6.77,4.70,4.91
26,EPS Diluted,0.78,1.16,1.79,1.89,4.00,3.58,5.01,3.74,7.18,7.57,6.67,4.64,4.84
27,Weighted Average Shares Outstanding,69161000,69161000,69283000,70374000,71543000,72000000,72420000,71746000,64905000,58066000,56205000,51016000,51016000
28,Weighted Average Shares Outstanding Diluted,69161000,69161000,70731000,72236000,72703000,72854000,73190000,72410000,65625000,58947000,57037000,51733000,51733000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1514991/000119312512117631/0001193125-12-117631-index.html,https://www.sec.gov/Archives/edgar/data/1514991/000151499113000006/0001514991-13-000006-index.html,https://www.sec.gov/Archives/edgar/data/1514991/000151499114000008/amcx-123113x10k.htm,https://www.sec.gov/Archives/edgar/data/1514991/000151499115000007/amcx-123114x10k.htm,https://www.sec.gov/Archives/edgar/data/1514991/000151499116000043/0001514991-16-000043-index.html,https://www.sec.gov/Archives/edgar/data/1514991/000151499117000006/0001514991-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/1514991/000151499118000004/0001514991-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/1514991/000151499119000007/0001514991-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/1514991/000151499120000010/0001514991-20-000010-index.html,https://www.sec.gov/Archives/edgar/data/1514991/000151499121000014/0001514991-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1514991/000151499122000007/0001514991-22-000007-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,29828000,79960000,215836000,610970000,521951000,201367000,316321000,481389000,558783000,554886000,816170000,888526000,892221000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,29828000,79960000,215836000,610970000,521951000,201367000,316321000,481389000,558783000,554886000,816170000,888526000,892221000
34,Net Receivables,236813000,249539000,292350000,307478000,383605000,591295000,678673000,701163000,775891000,835977000,857143000,813587000,815444000
35,Inventory,- -,- -,- -,289644000,- -,- -,- -,441130000,- -,- -,- -,- -,- -
36,Other Current Assets,253433000,236941000,361813000,138435000,399102000,536418000,542344000,72661000,545176000,572548000,656984000,236653000,292521000
37,Total Current Assets,520074000,566440000,869999000,1346527000,1304658000,1329080000,1537338000,1696343000,1879850000,1963411000,2330297000,1938766000,2000186000
38,PP&E,71665000,68977000,63814000,70890000,71068000,133844000,163860000,166636000,183514000,246262000,453808000,402567000,351657000
39,Goodwill,83173000,83173000,83173000,79305000,76748000,734356000,736275000,657708000,695158000,798037000,701980000,686407000,709344000
40,Intangible Assets,991997000,982137000,1071282000,992302000,1063068000,1550765000,1576574000,1594395000,1776521000,1792958000,1562591000,1679803000,2131272000
41,Intangible Assets,1075170000,1065310000,1154455000,1071607000,1139816000,2285121000,2312849000,2252103000,2471679000,2590995000,2264571000,2366210000,2840616000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,36452000,41250000,- -,- -,- -,- -,- -,8598000,20081000,19272000,51545000,25046000,11334000
44,Other Non-Current Assets,231001000,111919000,95666000,129831000,121147000,228542000,250868000,356915000,477861000,458623000,496465000,513749000,545153000
45,Total Non-Current Assets,1414288000,1287456000,1313935000,1272328000,1332031000,2647507000,2727577000,2784252000,3153135000,3315152000,3266389000,3307572000,3748760000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1934362000,1853896000,2183934000,2618855000,2636689000,3976587000,4264915000,4480595000,5032985000,5278563000,5596686000,5246338000,5748946000
48,Accounts Payable,37589000,46459000,61605000,59077000,48126000,101866000,124441000,88677000,102197000,107066000,94306000,120530000,173207000
49,Short-Term Debt,219286000,54575000,7264000,1558000,1718000,76953000,151561000,226584000,4847000,26424000,90209000,107435000,70346000
50,Tax Payable,- -,- -,- -,116740000,- -,11876000,2112000,- -,19558000,1527000,- -,- -,- -
51,Deferred Revenue,15081000,17859000,23853000,53116000,23429000,36888000,64229000,53643000,46433000,55424000,63921000,71048000,167071000
52,Other Current Liabilities,286999000,217598000,251474000,708736000,341480000,515985000,490690000,585274000,590625000,608507000,555906000,579454000,647461000
53,Total Current Liabilities,558955000,336491000,344196000,822487000,414753000,731692000,830921000,954178000,744102000,797421000,804342000,878467000,1058085000
54,Long-Term Debt,1178100000,1048623000,2285330000,2153315000,2157183000,2685566000,2519808000,2597263000,3099257000,3088221000,3039979000,2774307000,2956559000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,51905000,29141000,95275000,128066000,137233000,145791000,109698000,145443000,136911000,132009000,163600000
57,Other Non-Current Liabilities,434299000,443951000,539498000,496264000,540729000,783172000,785591000,785007000,915983000,902270000,923949000,818454000,668030000
58,Total Non-Current Liabilities,1612399000,1492574000,2876733000,2678720000,2793187000,3596804000,3442632000,3528061000,4124938000,4135934000,4100839000,3724770000,3788189000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,24611000,20252000,15677000,15662000,14105000,30339000,33340000,39866000,31124000,26517000,245006000,226759000,188435000
61,Total Liabilities,2171354000,1829065000,3220929000,3501207000,3207940000,4328496000,4273553000,4482239000,4869040000,4933355000,4905181000,4603237000,4846274000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,721000,730000,732000,733000,736000,739000,742000,748000,754000,761000,770000
64,Retained Earnings,- -,- -,-1029954000,-893424000,-602686000,-341889000,24880000,295409000,766725000,1228942000,1609428000,1847451000,2098047000
65,Other Comprehensive Income/Loss,-153826000,-156885000,-12027000,-8446000,-4495000,-79248000,-136057000,-193798000,-114386000,-160194000,-167711000,-134950000,-175818000
66,Other Total Stockholders Equity,- -,181716000,4265000,18788000,34930000,48649000,71164000,-132432000,-518137000,-752816000,-776690000,-1096457000,-1071911000
67,Total Stockholders Equity,-236992000,24831000,-1036995000,-882352000,-571519000,-371755000,-39277000,-30082000,134944000,316680000,665781000,616805000,851088000
68,Total Liabilities And Stockholders Equity,1934362000,1853896000,2183934000,2618855000,2636421000,3956741000,4234276000,4452157000,5003984000,5250035000,5570962000,5220042000,5697362000
69,Minority Interest,- -,- -,- -,- -,268000,19846000,30639000,28438000,29001000,28528000,25724000,26296000,51584000
70,Total Liabilities & Equity,1934362000,1853896000,2183934000,2618855000,2636689000,3976587000,4264915000,4480595000,5032985000,5278563000,5596686000,5246338000,5748946000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1514991/000119312512117631/0001193125-12-117631-index.html,https://www.sec.gov/Archives/edgar/data/1514991/000151499113000006/0001514991-13-000006-index.html,https://www.sec.gov/Archives/edgar/data/1514991/000151499114000008/amcx-123113x10k.htm,https://www.sec.gov/Archives/edgar/data/1514991/000151499115000007/amcx-123114x10k.htm,https://www.sec.gov/Archives/edgar/data/1514991/000151499116000043/0001514991-16-000043-index.html,https://www.sec.gov/Archives/edgar/data/1514991/000151499117000006/0001514991-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/1514991/000151499118000004/0001514991-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/1514991/000151499119000007/0001514991-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/1514991/000151499120000010/0001514991-20-000010-index.html,https://www.sec.gov/Archives/edgar/data/1514991/000151499121000014/0001514991-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1514991/000151499122000007/0001514991-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,53756000,80099000,126454000,136530000,290738000,260797000,366788000,270510000,471316000,446187000,380486000,239979000,250596000
74,Depreciation and Amortization,106504000,106455000,99848000,440857000,552275000,698894000,831576000,947080000,1048876000,1052415000,1075933000,1028492000,1003220000
75,Deferred Income Tax,61975000,80744000,69160000,-88514000,171504000,1207000,19616000,11642000,-48665000,33367000,-38916000,23159000,34010000
76,Stock Based Compensation,13716000,16267000,16012000,17202000,20299000,28363000,31020000,38897000,53545000,60979000,64133000,52908000,47925000
77,Change in Working Capital,-282703000,268830000,295854000,-1763000,365865000,-292517000,109029000,35748000,393583000,30242000,359965000,-465656000,-1281993000
78,Accounts Receivable,-27641000,-36422000,-44750000,-11717000,-80083000,-72984000,-111005000,-30050000,-74561000,-52106000,-43345000,63337000,-56000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,38090000,17789000,87472000,42351000,33115000,15609000,48851000,-28408000,15958000,129406000
81,Other Working Capital,-38881000,229949000,525803000,524040000,889905000,597388000,706417000,742165000,1135748000,1165990000,1525955000,1060299000,-1224015000
82,Other Non-Cash Items,201787000,-317270000,-352454000,64738000,-1450144000,-323937000,-987990000,-789552000,-1532926000,-1016643000,-1357853000,-130146000,89716000
83,Cash Provided by Operating Activities,155035000,235125000,254874000,569050000,-49463000,372807000,370039000,514325000,385729000,606547000,483748000,748736000,143474000
84,CAPEX,-13419000,-17243000,-15371000,-18557000,-24303000,-39739000,-68321000,-79220000,-80049000,-89802000,-91604000,-46595000,-42572000
85,Acquisitions Net,-470000,-320000,-320000,-185000,- -,-1184587000,-24199000,-95354000,-53000000,-174470000,-3483000,-5440000,-62055000
86,Purchases of Investments,- -,- -,- -,-750000,-2500000,-5375000,-24250000,-95000000,- -,- -,- -,- -,-30273000
87,Sales/Maturities of Investments,- -,- -,- -,- -,657000,5837000,- -,- -,- -,- -,- -,10000000,95370000
88,Other Investing Activites,-17452000,-27020000,-14621000,-17894000,-24303000,-39085000,-68321000,15780000,-77602000,-85714000,-86224000,-39723000,-29624000
89,Cash Used for Investing Activites,-17922000,-27340000,-14941000,-18829000,-26146000,-1223210000,-116770000,-174574000,-130602000,-260184000,-89707000,-35163000,-26582000
90,Debt Repayment,-123034000,-299080000,-882587000,-743438000,-881558000,-2401000,-116945000,-893242000,-1262538000,-4938000,-28103000,-265511000,-1020300000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-1677000,-15989000,-12135000,-22192000,-14452000,-234059000,-448706000,-299979000,-93616000,-372668000,-32886000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-9440000,150264000,780207000,604340000,873740000,599470000,4118000,973437000,1507034000,-9690000,-9407000,-9819000,969083000
95,Cash Used/Provided by Financing Activities,-132474000,-148816000,-104057000,-155087000,-19953000,574877000,-127279000,-153864000,-204210000,-314607000,-131126000,-647998000,-84103000
96,Effect of Forex Changes on Cash,-291000,-8837000,- -,- -,6543000,-45058000,-11036000,-20819000,26477000,-35653000,-1631000,6781000,-29094000
97,Net Change In Cash,4348000,50132000,135876000,395134000,-89019000,-320584000,114954000,165068000,77394000,-3897000,261284000,72356000,3695000
98,Cash at the End of Period,29828000,79960000,215836000,610970000,521951000,201367000,316321000,481389000,558783000,554886000,816170000,888526000,892221000
99,Cash at the Beginning of Period,25480000,29828000,79960000,215836000,610970000,521951000,201367000,316321000,481389000,558783000,554886000,816170000,888526000
100,Free Cash Flow,141616000,217882000,239503000,550493000,-73766000,333068000,301718000,435105000,305680000,516745000,392144000,702141000,100902000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1514991/000119312512117631/0001193125-12-117631-index.html,https://www.sec.gov/Archives/edgar/data/1514991/000151499113000006/0001514991-13-000006-index.html,https://www.sec.gov/Archives/edgar/data/1514991/000151499114000008/amcx-123113x10k.htm,https://www.sec.gov/Archives/edgar/data/1514991/000151499115000007/amcx-123114x10k.htm,https://www.sec.gov/Archives/edgar/data/1514991/000151499116000043/0001514991-16-000043-index.html,https://www.sec.gov/Archives/edgar/data/1514991/000151499117000006/0001514991-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/1514991/000151499118000004/0001514991-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/1514991/000151499119000007/0001514991-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/1514991/000151499120000010/0001514991-20-000010-index.html,https://www.sec.gov/Archives/edgar/data/1514991/000151499121000014/0001514991-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1514991/000151499122000007/0001514991-22-000007-index.htm
102,false,,,,,,,,,,,,,
