,https://roic.ai/company/GRMN,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
32,Short-Term Investments,- -,- -,40800000,113300000,53100000,64400000,32100000,73000000,37600000,12900000,19600000,24400000,111200000,153100000,149900000,167989000,215161000,266952000,161687000,182989000,376463000,387642000,347980000
33,Cash and Short-Term Investments,- -,- -,233600000,330100000,327400000,314300000,366500000,410300000,745300000,709200000,1111200000,1285300000,1398400000,1384300000,1329000000,1364257000,1048231000,1113835000,1053175000,1384721000,1404030000,1846084000,1846038000
34,Net Receivables,- -,- -,48000000,58300000,82700000,110100000,171000000,403500000,952500000,741300000,874100000,747200000,607500000,603700000,702000000,570191000,531481000,527062000,590882000,569833000,706763000,849469000,843445000
35,Inventory,- -,- -,61100000,57500000,96800000,155000000,199800000,271000000,505500000,425300000,309900000,387600000,397700000,389900000,382200000,420475000,500554000,484821000,517644000,561840000,752908000,762084000,1227609000
36,Other Current Assets,- -,- -,16900000,27100000,33000000,57600000,63900000,84300000,129500000,108600000,100900000,78700000,152700000,158200000,182400000,156053000,130821000,137298000,184437000,148974000,194149000,211714000,344680000
37,Total Current Assets,- -,- -,359600000,473000000,539900000,637000000,801200000,1169100000,2332800000,1984400000,2396100000,2498800000,2556300000,2536100000,2595600000,2510976000,2211087000,2263016000,2346138000,2665368000,3057850000,3669351000,4261772000
38,PP&E,- -,- -,70100000,74400000,104800000,171600000,179200000,251000000,374100000,445300000,441300000,427800000,417100000,409800000,414800000,430887000,446089000,482878000,595684000,663527000,792510000,950165000,1156935000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,129100000,136500000,179500000,176100000,179300000,178638000,187791000,224553000,286982000,301017000,467108000,584210000,575080000
40,Intangible Assets,- -,- -,5600000,5100000,27300000,27000000,29300000,64300000,181400000,214900000,84600000,46800000,67200000,56500000,40200000,39445000,57761000,80449000,122819000,116063000,192521000,244356000,215993000
41,Intangible Assets,- -,- -,5600000,5100000,27300000,27000000,29300000,64300000,181400000,214900000,213700000,183300000,246700000,232600000,219500000,218083000,245552000,305002000,409801000,417080000,659629000,828566000,791073000
42,Investments,- -,- -,90700000,132400000,168300000,257800000,344700000,407800000,387000000,262009000,748511000,777401000,1097002000,1488312000,1502106000,1407344000,1343387000,1213285000,1260033000,1330123000,1205475000,1131175000,1268698000
43,Tax Assets,- -,- -,1100000,2200000,2800000,5300000,9500000,1200000,11900000,13900000,10200000,7000000,5000000,2500000,1800000,39497000,56210000,61220000,76612000,92944000,114754000,245455000,260205000
44,Other Non-Current Assets,- -,- -,11900000,18800000,13800000,18700000,-1700000,3600000,4300000,13891000,18289000,94399000,149198000,149788000,145794000,86516000,197066000,199732000,260021000,213816000,336581000,206661000,115744000
45,Total Non-Current Assets,- -,- -,179400000,232900000,317000000,480400000,561000000,727900000,958700000,950000000,1432000000,1489900000,1915000000,2283000000,2284000000,2182327000,2288304000,2262117000,2602151000,2717490000,3108949000,3362022000,3592655000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,539000000,705900000,856900000,1117400000,1362200000,1897000000,3291500000,2934400000,3828100000,3988700000,4471300000,4819100000,4879600000,4693303000,4499391000,4525133000,4948289000,5382858000,6166799000,7031373000,7854427000
48,Accounts Payable,- -,- -,18800000,32400000,40700000,53700000,76500000,88400000,341100000,160100000,203400000,132300000,164000000,131300000,146600000,149094000,178905000,172404000,169640000,204985000,240831000,258885000,370048000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,20075000,22846000,56028000,77784000,32031000,38043000,182260000,21674000,16163000,33638000,51642000,56913000,68585000,128083000
51,Deferred Revenue,- -,- -,- -,- -,- -,38527000,29615000,55996000,107376000,49825000,59189000,89711000,188987000,252375000,256908000,203598000,164982000,146564000,139681000,96372000,94562000,86865000,87654000
52,Other Current Liabilities,- -,- -,37100000,48800000,63700000,84073000,89385000,193304000,353424000,269275000,423311000,446989000,505313000,525325000,501792000,680569000,522111000,463767000,482794000,619956000,700540000,818467000,990446000
53,Total Current Liabilities,- -,- -,55900000,81200000,104400000,176300000,195500000,337700000,801900000,479200000,685900000,669000000,858300000,909000000,905300000,1033261000,865998000,782735000,792115000,921313000,1035933000,1164217000,1448148000
54,Long-Term Debt,- -,- -,28000000,20000000,- -,- -,- -,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49238000,75958000,70044000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38574000,108076000,188132000,193047000,171012000,135130000,128731000,140407000,163840000,76566000,67329000,49934000,41618000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20498000,6986000,4951000,2467000,1758000,39497000,56210000,61220000,75215000,92944000,114754000,116844000,117595000
57,Other Non-Current Liabilities,- -,- -,1100000,2200000,2900000,5200000,9500000,1200000,138900000,229400000,246628000,155038000,163417000,182786000,141830000,82048000,103326000,122768000,64700000,129061000,106049000,108304000,62863000
58,Total Non-Current Liabilities,- -,- -,29100000,22200000,2900000,5200000,9500000,1400000,138900000,229400000,305700000,270100000,356500000,378300000,314600000,256675000,288267000,324395000,303755000,298571000,337370000,351040000,292120000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49238000,75958000,70044000
61,Total Liabilities,- -,- -,85000000,103400000,107300000,181500000,205000000,339100000,940800000,708600000,991600000,939100000,1214800000,1287300000,1219900000,1289936000,1154265000,1107130000,1095870000,1219884000,1373303000,1515257000,1740268000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,1100000,1100000,1100000,1100000,1100000,1100000,1100000,1000000,1000000,1797400000,1797400000,1797400000,1797400000,1797435000,1797435000,17979000,17979000,17979000,17979000,17979000,17979000
64,Retained Earnings,- -,- -,365100000,507900000,663600000,815200000,1072500000,1478700000,2171100000,2262500000,2816600000,1264600000,1413600000,1604600000,1865600000,1859972000,1930517000,2056702000,2418444000,2710619000,3229061000,3754372000,4320737000
65,Other Comprehensive Income/Loss,- -,- -,-78600000,-35896000,-20268000,10615000,-12513000,-5275000,46130000,-37651000,-13382000,56004000,87193000,138554000,38041000,2571000,-30428000,-36761000,56045000,8430000,55874000,183427000,117835000
66,Other Total Stockholders Equity,- -,- -,166400000,129395000,105258000,108942000,96177000,83374000,132284000,5000,32229000,-68442000,-41612000,-8758000,-41335000,-256611000,-352398000,1380083000,1309998000,1425946000,1490582000,1560338000,- -
67,Total Stockholders Equity,- -,- -,454000000,602499000,749690000,935857000,1157264000,1557899000,2350614000,2225854000,2836447000,3049562000,3256581000,3531796000,3659706000,3403367000,3345126000,3418003000,3802466000,4162974000,4793496000,5516116000,6114159000
68,Total Liabilities And Stockholders Equity,- -,- -,539000000,705899000,856990000,1117357000,1362264000,1896999000,3291414000,2934454000,3828047000,3988662000,4471381000,4819096000,4879606000,4693303000,4499391000,4525133000,4898336000,5382858000,6166799000,7031373000,7854427000
69,Minority Interest,- -,- -,- -,1000,-90000,43000,-64000,1000,86000,-54000,53000,38000,-81000,4000,-6000,- -,- -,- -,49953000,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,539000000,705900000,856900000,1117400000,1362200000,1897000000,3291500000,2934400000,3828100000,3988700000,4471300000,4819100000,4879600000,4693303000,4499391000,4525133000,4948289000,5382858000,6166799000,7031373000,7854427000
71,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1121788/000156459021006192/0001564590-21-006192-index.htm,https://www.sec.gov/Archives/edgar/data/1121788/000095017022001303/0000950170-22-001303-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,64167000,105663000,113448000,142798000,178634000,205700000,311219000,514123000,855011000,732848000,703950000,584603000,520896000,542403000,612412000,364211000,456227000,510814000,694955000,694080000,952486000,992324000,1082200000
74,Depreciation and Amortization,5572000,7569000,10868000,16131000,20104000,34599000,43596000,44475000,64037000,78417000,96486000,94651000,94535000,90467000,78804000,77015000,78360000,86340000,86252000,96194000,106175000,126715000,154818000
75,Deferred Income Tax,835000,3281000,4806000,-573000,-4205000,-7951000,8833000,-35060000,-57843000,50887000,-25096000,-471000,-42475000,-32080000,7931000,89828000,5897000,1699000,-90725000,38978000,-88358000,6931000,-5368000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,38872000,43616000,40332000,40212000,29274000,22592000,24293000,26290000,41250000,44735000,56391000,63400000,80885000,92522000
77,Change in Working Capital,-29366000,307595000,- -,88100000,43700000,25200000,145000000,225700000,699500000,-25700000,205000000,119600000,-131800000,-70900000,63200000,-212585000,-132626000,135192000,73742000,190032000,277862000,483217000,-347806000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,206101000,-131978000,129698000,169543000,9077000,38589000,-27398000,22473000,9000000,-40088000,5167000,-123401000,-108859000,-19106000
79,Inventory,-12917000,-48024000,22958000,3173000,-36102000,-61534000,-61262000,-92708000,-224180000,83035000,61189000,-77122000,-6385000,3997000,-17593000,-76491000,-121718000,-2455000,-38575000,-82316000,-170169000,28726000,-476454000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-236287000,38875000,-81354000,-26329000,-38929000,18043000,8981000,36079000,-11496000,-17240000,40628000,26192000,1447000,108946000
81,Other Working Capital,-3895000,303700000,303700000,391800000,435500000,460700000,605700000,831400000,1530900000,1505200000,1710200000,1829800000,1698000000,1627100000,1690300000,1477715000,1345089000,1480281000,1554023000,1744055000,2021917000,2505134000,911000
82,Other Non-Cash Items,3134000,-335784000,869000,-71048000,-63053000,-48612000,-261643000,-387383000,-878617000,-13160000,70500000,-68078000,340966000,125581000,-154855000,179949000,-153681000,-69613000,-148117000,-156155000,-613016000,-554805000,36061000
83,Cash Provided by Operating Activities,44342000,88324000,129991000,175408000,175180000,208936000,247005000,361855000,682088000,862164000,1094456000,770637000,822334000,684745000,630084000,522711000,280467000,705682000,660842000,919520000,698549000,1135267000,1012427000
84,CAPEX,-32195000,-24821000,-14883000,-12424000,-32770000,-78145000,-27130000,-96021000,-159696000,-126594000,-56772000,-35976000,-41172000,-45228000,-57205000,-78059000,-84481000,-96675000,-151928000,-160355000,-120408000,-187466000,-309587000
85,Acquisitions Net,- -,- -,-3625000,- -,-38177000,- -,-1483000,-36499000,-128751000,-60131000,- -,-12120000,-54190000,-7697000,-5680000,-18871000,-38687000,-77945000,-90471000,-29170000,-300289000,-148648000,-20175000
86,Purchases of Investments,- -,- -,-1684985000,-869112000,- -,-104559000,-59106000,-453085000,-1672041000,-373580000,-777072000,-694038000,-1172555000,-1429593000,-909151000,-1006482000,-915921000,-905089000,-587656000,-403181000,-789352000,-1052640000,-1508712000
87,Sales/Maturities of Investments,- -,- -,1553401000,753998000,22870000,- -,- -,359313000,1784816000,504324000,285970000,668495000,779213000,985598000,833491000,1096676000,919141000,957350000,635311000,283603000,758774000,1126253000,1363070000
88,Other Investing Activites,-107000,-4093000,-8298000,-13534000,-2355000,-1613000,-3462000,-93000,-24000,-7339000,-7568000,-3113000,-6427000,-6091000,-137019000,133348000,4080000,-4893000,-12024000,-3000000,-1848000,-88000,-1907000
89,Cash Used for Investing Activites,-32302000,-28914000,-158390000,-141072000,-50432000,-184317000,-91181000,-226385000,-175696000,-56349000,-547869000,-72869000,-488198000,-496228000,-274442000,131332000,-111979000,-121537000,-194536000,-307503000,-450746000,-260524000,-475369000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,104414000,1535000,2075000,4261000,6131000,9690000,16074000,17008000,9029000,3712000,- -,22337000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-9834000,- -,- -,-3182000,-26653000,-50450000,-7780000,-671847000,-20258000,-225928000,-22300000,-18745000,-82485000,-260216000,-136999000,-100564000,-87296000,-16655000,-25886000,-26330000,-30985000
93,Dividends Paid,-7530000,-28954000,- -,- -,-54040000,-54095000,-53974000,-107923000,-162530000,-150251000,-149846000,-298853000,-310763000,-253386000,-351707000,-360075000,-378117000,-481452000,-382976000,-296148000,-417264000,-450631000,-491457000
94,Other Financing Activites,17683000,19995000,-14189000,-12236000,-20000000,- -,- -,9649000,17186000,5018000,5149000,13960000,3313000,22282000,27354000,20669000,15024000,20340000,21860000,26642000,27122000,15201000,35733000
95,Cash Used/Provided by Financing Activities,10153000,95455000,-22488000,-10161000,-69779000,-51146000,-70937000,-132650000,-136116000,-808051000,-161243000,-510821000,-307413000,-249849000,-406838000,-599622000,-500092000,-561676000,-448412000,-286161000,-416028000,-461760000,-486709000
96,Effect of Forex Changes on Cash,1526000,-7213000,-8002000,-249000,2592000,2107000,-444000,149000,92000,-9118000,9902000,-17592000,-499000,5352000,-835000,-37302000,-31594000,-8656000,26711000,-15810000,-5942000,18127000,-10254000
97,Net Change In Cash,23719000,147652000,-58889000,23926000,57561000,-24420000,84443000,2969000,370368000,-11354000,395246000,169355000,26224000,-55980000,-52031000,17119000,-363198000,13813000,44605000,310046000,-174167000,431110000,40095000
98,Cash at the End of Period,104079000,251731000,192842000,216768000,274329000,249909000,334352000,337321000,707689000,696335000,1091581000,1260936000,1287160000,1231180000,1179149000,1196268000,833070000,846883000,891488000,1201805000,1027638000,1458748000,1498843000
99,Cash at the Beginning of Period,80360000,104079000,251731000,192842000,216768000,274329000,249909000,334352000,337321000,707689000,696335000,1091581000,1260936000,1287160000,1231180000,1179149000,1196268000,833070000,846883000,891759000,1201805000,1027638000,1458748000
100,Free Cash Flow,12147000,63503000,115108000,162984000,142410000,130791000,219875000,265834000,522392000,735570000,1037684000,734661000,781162000,639517000,572879000,444652000,195986000,609007000,508914000,759165000,578141000,947801000,702840000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1121788/000156459021006192/0001564590-21-006192-index.htm,https://www.sec.gov/Archives/edgar/data/1121788/000095017022001303/0000950170-22-001303-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,
