,https://roic.ai/company/SCKT,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/944075/000094407502000010/0000944075-02-000010-index.htm,- -,https://www.sec.gov/Archives/edgar/data/944075/000094407504000006/0000944075-04-000006-index.htm,https://www.sec.gov/Archives/edgar/data/944075/000094407505000016/0000944075-05-000016-index.htm,https://www.sec.gov/Archives/edgar/data/944075/000094407506000025/0000944075-06-000025-index.htm,https://www.sec.gov/Archives/edgar/data/944075/000094407507000015/0000944075-07-000015-index.htm,https://www.sec.gov/Archives/edgar/data/944075/000094407508000016/0000944075-08-000016-index.htm,https://www.sec.gov/Archives/edgar/data/944075/000094407509000013/0000944075-09-000013-index.htm,https://www.sec.gov/Archives/edgar/data/944075/000094407510000008/0000944075-10-000008-index.htm,https://www.sec.gov/Archives/edgar/data/944075/000094407511000015/0000944075-11-000015-index.htm,https://www.sec.gov/Archives/edgar/data/944075/000094407512000013/0000944075-12-000013-index.htm,https://www.sec.gov/Archives/edgar/data/944075/000094407513000018/0000944075-13-000018-index.htm,https://www.sec.gov/Archives/edgar/data/944075/000094407514000021/0000944075-14-000021-index.htm,https://www.sec.gov/Archives/edgar/data/944075/000094407515000014/0000944075-15-000014-index.htm,https://www.sec.gov/Archives/edgar/data/944075/000094407516000054/0000944075-16-000054-index.htm,https://www.sec.gov/Archives/edgar/data/944075/000094407517000009/0000944075-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/944075/000094407518000011/0000944075-18-000011-index.htm,https://www.sec.gov/Archives/edgar/data/944075/000094407519000010/0000944075-19-000010-index.htm,https://www.sec.gov/Archives/edgar/data/944075/000094407520000012/0000944075-20-000012-index.htm,https://www.sec.gov/Archives/edgar/data/944075/000094407521000026/0000944075-21-000026-index.htm,https://www.sec.gov/Archives/edgar/data/944075/000094407522000022/0000944075-22-000022-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,620000,276900,971157,4300000,7422104,4815245,3146483,6421425,5931752,6833193,6104277,4963359,757342,1940295,460833,957022,390513,606255,632631,938155,1319006,3379508,1084991,958860,2121763,6096000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,620000,276900,971157,4300000,7422104,4815245,3146483,6421425,5931752,6833193,6104277,4963359,757342,1940295,460833,957022,390513,606255,632631,938155,1319006,3379508,1084991,958860,2121763,6096000
34,Net Receivables,- -,- -,830000,899296,874895,1600000,2693822,2197980,2308101,3648173,4009631,2952429,2699218,2614872,3334661,1659383,813569,2791549,1509094,1427590,1896701,2358883,2866877,2687325,2367177,2837006,2112514,2576000
35,Inventory,- -,- -,740000,195127,479578,700000,1980021,1794929,2128339,1736966,2941211,2195394,2350284,2438033,3929822,2044119,1698650,1461052,941067,1105088,957327,1326090,1537439,2198266,2272328,3178908,3195842,5155000
36,Other Current Assets,- -,- -,20000,9048,41764,- -,181023,251653,604236,210172,159747,315287,193196,282867,387428,415102,838928,218862,129434,93647,125707,87556,259464,589913,472856,545950,505402,554000
37,Total Current Assets,- -,- -,2210000,1380371,2367394,6600000,12276970,9059807,8187159,12016736,13042341,12296303,11346975,10299131,8409253,6058899,3811980,5428485,2970108,3232580,3612366,4710684,5982786,8855012,6197352,7520724,7935521,14381000
38,PP&E,- -,- -,410000,323588,226088,300000,674749,537553,789005,585284,478998,627842,742177,1144457,977064,787464,471337,311643,342771,294937,244532,474703,563883,662904,689212,1801218,1456994,1280000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9797946,9797946,9797946,4427000,4427000,4427000,4427000,4427000,4427000,4427000,4427000,4427000,4427000,4427000,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,10700856,9017136,10919631,10509340,10749925,10546883,608491,473934,346787,270000,210000,150000,90000,30000,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,10700856,9017136,10919631,10509340,10749925,10546883,10406437,10271880,10144733,4697000,4637000,4577000,4517000,4457000,4427000,4427000,4427000,4427000,4427000,4427000,- -,1814000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9589408,5637480,5780938,5506934,5506934,7960000
44,Other Non-Current Assets,- -,- -,50000,66305,68603,100000,269220,211496,171352,154267,128633,163754,291778,258444,225667,199834,146298,80076,91518,117518,85918,75918,75918,271650,236565,202611,159039,140000
45,Total Non-Current Assets,- -,- -,460000,389893,294691,400000,11644825,9766185,11879988,11248891,11357556,11338479,11440392,11674781,11347464,5684298,5254635,4968719,4951289,4869455,4757450,4977621,14656209,10999034,11133715,11937763,7122967,11194000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,2670000,1770264,2662085,7000000,23921795,18825992,20067147,23265627,24399897,23634782,22787367,21973912,19756717,11743197,9066615,10397204,7921397,8102035,8369816,9688305,20638995,19854046,17331067,19458487,15058488,25575000
48,Accounts Payable,- -,- -,1080000,1647974,1140445,1200000,2859658,2587067,3205674,3017191,2630833,2557105,2368388,2352287,3432512,2815740,3683771,3266764,3697209,3454594,3007048,2214467,1581226,1112234,1533456,2084848,1372701,- -
49,Short-Term Debt,- -,- -,320000,2535745,561810,- -,16679,1343409,3630364,2092986,2949272,2308771,2213261,2825412,1005791,1002088,- -,1109600,1655975,2191112,1796677,880696,752625,- -,1816778,2173361,1925011,1345000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,595539,530780,- -,1056177,1114450,1472781,1744560,2434393,1221949,997751,1818718,1068696,1178531,1109899,1089838,1110418,524147,430618,643929,476113,407000
52,Other Current Liabilities,- -,- -,800000,770558,663853,800000,1720194,458389,555794,1585924,760510,831723,831395,929066,885711,935795,747780,677265,570038,673037,553257,1267768,672106,686381,575224,566350,375511,2862000
53,Total Current Liabilities,- -,- -,2200000,4954277,2366108,2000000,4596531,4984404,7922612,6696101,7396792,6812049,6885825,7851325,7758407,5975572,5429302,6872347,6991918,7497274,6466881,5452769,4116375,2322762,4356076,5468488,4149336,4614000
54,Long-Term Debt,- -,- -,100000,40931,- -,- -,57776,44437,12710,71191,51011,8372,- -,406286,- -,- -,- -,- -,- -,- -,371929,371929,- -,- -,333333,715062,258097,883000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,282840,197044,167476,153877,95049,83301,39800,25610,29447,31291,40711,28794,32000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,150379,182322,214261,- -,15515,47455,79395,111334,143274,175214,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,731187,- -,- -,- -,- -,- -,109724,96785,531625,184341,227022,265002,275589,305016,327078,271414,205932,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,100000,40931,- -,- -,57776,44437,743897,71191,51011,8372,150379,588608,323985,379625,744184,399272,460294,471385,874093,891959,352688,300861,570556,755773,286891,915000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,139743,139276,229152,202072,244422,287820,300691,329456,366253,326796,268849,1142641,741351,258000
61,Total Liabilities,- -,- -,2300000,4995208,2366108,2000000,4654307,5028841,8666509,6767292,7447803,6820421,7036204,8439933,8082392,6355197,6173486,7271619,7452212,7968659,7340974,6344728,4469063,2623623,4926632,6224261,4436227,5529000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,93,84,82,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,6501,7366,- -,22746,23605,24114,29827,30141,30224,31851,31990,3230,3789,3802,4832,4861,4867,5404,5620,5878,7011,5883,6018,6103,66147000
64,Retained Earnings,- -,- -,-12840000,-16439483,-17978661,-19100000,-22863718,-28926957,-32010432,-33962045,-33674267,-33889432,-36812181,-40152494,-42917097,-50805901,-54781738,-57204099,-60502181,-61122674,-60690557,-58872885,-46725797,-47554208,-48125349,-47838763,-51117364,-46101000
65,Other Comprehensive Income/Loss,- -,- -,-540000,-807502,-850056,-900000,-1031624,-1345058,- -,-1807032,-2148335,-2106914,-2069596,-2373409,-2561696,-2631822,-2954757,-3225231,-2727323,-2683193,-2764964,-2698828,-2444392,-2241010,-2492154,-2667340,- -,- -
66,Other Total Stockholders Equity,- -,- -,13750000,14015540,19117328,25000000,43140084,44045561,- -,52237492,52744471,52780401,54601089,56027892,57149888,58821934,60625822,63550083,63693828,63934376,64478959,64909670,65334243,67018630,63016055,63734311,61733522,- -
67,Total Stockholders Equity,- -,- -,370000,-3224944,295977,5000000,19267488,13797151,11400638,16498335,16952094,16814361,15751163,13533979,11674325,5388000,2893129,3125585,469185,133376,1028842,3343577,16169932,17230423,12404435,13234226,10622261,20046000
68,Total Liabilities And Stockholders Equity,- -,- -,2670000,1770264,2662085,7000000,23921795,18825992,20067147,23265627,24399897,23634782,22787367,21973912,19756717,11743197,9066615,10397204,7921397,8102035,8369816,9688305,20638995,19854046,17331067,19458487,15058488,25575000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,2670000,1770264,2662085,7000000,23921795,18825992,20067147,23265627,24399897,23634782,22787367,21973912,19756717,11743197,9066615,10397204,7921397,8102035,8369816,9688305,20638995,19854046,17331067,19458487,15058488,25575000
71,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/944075/000094407502000010/0000944075-02-000010-index.htm,- -,https://www.sec.gov/Archives/edgar/data/944075/000094407504000006/0000944075-04-000006-index.htm,https://www.sec.gov/Archives/edgar/data/944075/000094407505000016/0000944075-05-000016-index.htm,https://www.sec.gov/Archives/edgar/data/944075/000094407506000025/0000944075-06-000025-index.htm,https://www.sec.gov/Archives/edgar/data/944075/000094407507000015/0000944075-07-000015-index.htm,https://www.sec.gov/Archives/edgar/data/944075/000094407508000016/0000944075-08-000016-index.htm,https://www.sec.gov/Archives/edgar/data/944075/000094407509000013/0000944075-09-000013-index.htm,https://www.sec.gov/Archives/edgar/data/944075/000094407510000008/0000944075-10-000008-index.htm,https://www.sec.gov/Archives/edgar/data/944075/000094407511000015/0000944075-11-000015-index.htm,https://www.sec.gov/Archives/edgar/data/944075/000094407512000013/0000944075-12-000013-index.htm,https://www.sec.gov/Archives/edgar/data/944075/000094407513000018/0000944075-13-000018-index.htm,https://www.sec.gov/Archives/edgar/data/944075/000094407514000021/0000944075-14-000021-index.htm,https://www.sec.gov/Archives/edgar/data/944075/000094407515000014/0000944075-15-000014-index.htm,https://www.sec.gov/Archives/edgar/data/944075/000094407516000054/0000944075-16-000054-index.htm,https://www.sec.gov/Archives/edgar/data/944075/000094407517000009/0000944075-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/944075/000094407518000011/0000944075-18-000011-index.htm,https://www.sec.gov/Archives/edgar/data/944075/000094407519000010/0000944075-19-000010-index.htm,https://www.sec.gov/Archives/edgar/data/944075/000094407520000012/0000944075-20-000012-index.htm,https://www.sec.gov/Archives/edgar/data/944075/000094407521000026/0000944075-21-000026-index.htm,https://www.sec.gov/Archives/edgar/data/944075/000094407522000022/0000944075-22-000022-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-3300000,-3300000,-3330000,-3554789,-1067539,-800000,-3747510,-6063239,-2971830,-1249943,337883,-166675,-2912096,-3340313,-2764603,-7888804,-3975837,-2422361,-3298082,-620493,432117,1817672,12147088,-1430731,-571141,286586,-3278601,4466257
74,Depreciation and Amortization,-100000,-300000,230000,272115,194214,200000,684305,2065402,930456,978714,862597,642770,875724,751039,643197,580770,519686,396996,324512,281337,246577,197686,279392,313653,432042,462930,596900,759158
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,150379,31943,31939,-214261,15515,31940,31940,31939,31940,31940,-9764622,3717926,-143459,274004,- -,-1902729
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,714836,715086,676554,723199,597668,249704,217178,209864,342610,426950,487806,519891,507051,693425
77,Change in Working Capital,100000,- -,10000,-3583906,3575192,4598714,3080439,-3605036,-3810856,5056088,324914,-161295,-1023104,-2013344,-1796960,-567519,-1700649,173460,-2577948,-242884,1410179,2112430,2608496,4665839,-4690974,-669877,-400235,5980815
78,Accounts Receivable,-500000,- -,70000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-810747,1628609,845814,-1977980,1282455,81505,-469111,-462182,-507994,179552,320148,-469829,724492,-463726
79,Inventory,-100000,-300000,-230000,543681,-284451,-300000,-1243942,185092,-333410,391373,-1204245,745817,-154890,-87749,-1491789,1815597,181622,237598,519985,-164021,147761,-368763,-211349,-660827,-74062,-906580,-16934,-1958682
80,Accounts Payable,500000,-100000,50000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1090588,-573951,- -,- -,410445,-194990,-517100,-792581,-633241,-91384,421222,551392,-712147,- -
81,Other Working Capital,- -,- -,10000,-3573906,1286,4600000,7680439,4075403,264547,5320635,5645549,5484254,4461150,2447806,650846,83327,-1617322,-1443862,-4021810,-4264694,-2854515,-742085,1866411,6532250,1841276,106712,-181548,9767000
82,Other Non-Cash Items,200000,400000,40000,4692893,-4218216,-5398714,-1704877,3383634,3989477,-5513902,-2128634,1868312,2509544,3434009,1188306,7533515,3826210,-88664,4014449,206497,-2285777,-3016616,-4733148,-5317334,5235871,- -,3379330,-7852656
83,Cash Provided by Operating Activities,-3100000,-3200000,-3050000,-2173687,-1516349,-1400000,-1687643,-4219239,-1862753,-729043,-603240,2183112,-399553,-1136666,-1983285,158787,-638521,-1185430,-907461,-93900,52214,1352976,879816,2376303,750145,873534,804445,2144270
84,CAPEX,-200000,-100000,-300000,-183178,-96714,-200000,-514568,-244486,-454403,-329278,-359163,-588572,-849613,-951583,-348657,-285668,-143559,-177302,-234856,-158903,-166172,-391375,-304470,-620575,-423700,-602954,-536481,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-665670,- -,-875170,- -,-600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,450000,- -,- -,- -,- -,- -,- -,- -,-207901,- -,-7800,- -,-691771
89,Cash Used for Investing Activites,-200000,-100000,-300000,-183178,-96714,-200000,-1180238,-244486,-1329573,-329278,-959163,-588572,-849613,-951583,-348657,164332,-143559,-177302,-234856,-158903,-166172,-391375,-304470,-620575,-423700,-602954,-536481,-691771
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11928055,-8699162,-6623961,-936584,-7056985,-8255030,-1033101,-1081729,-881152,-26945,-15425273,-17843025,-7534073,6289
91,Common Stock Issued,- -,- -,- -,3777,- -,5500000,6008978,509298,1324485,5912892,165981,56632,644803,99995,- -,884728,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,1270000,- -,- -,- -,- -,- -,- -,-200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5021830,- -,-8480,-2937
93,Dividends Paid,- -,- -,- -,-30318,-17073,- -,- -,- -,- -,-79940,-37905,-48661,-22682,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,3600000,5400000,290000,2041962,2324393,-600000,-3663,1347568,212432,-1329607,911716,-649673,-105125,824015,10037899,8686719,6637376,2795505,7632793,8723575,1173435,425652,686657,331719,17826141,17446314,8437492,2518272
95,Cash Used/Provided by Financing Activities,3600000,5400000,1560000,2015421,2307320,4900000,6005315,1856866,1536917,4303345,1039792,-641702,516996,924010,-1890156,872285,13415,1858921,575808,468545,140334,-656077,-194495,304774,-2620962,-396711,894939,2521624
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,-13353,29918,32938,-51397,3254,23321,16081,-12451,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,3600000,5400000,-1790000,-341444,694257,3300000,3137434,-2606859,-1668762,3274942,-489673,901441,-728916,-1140918,-4206017,1182953,-768665,496189,-566509,215742,26376,305524,380851,2060502,-2294517,-126131,1162903,3974123
98,Cash at the End of Period,- -,- -,620000,276900,971157,4300000,7422104,4815245,3146483,6421425,5931752,6833193,6104277,4963359,757342,1940295,1171630,957022,390513,606255,632631,938155,1319006,3379508,1084991,958860,2121763,6095886
99,Cash at the Beginning of Period,100000,400000,2410000,618344,276900,1000000,4284670,7422104,4815245,3146483,6421425,5931752,6833193,6104277,4963359,757342,1940295,460833,957022,390513,606255,632631,938155,1319006,3379508,1084991,958860,2121763
100,Free Cash Flow,-3300000,-3300000,-3350000,-2356865,-1613063,-1600000,-2202211,-4463725,-2317156,-1058321,-962403,1594540,-1249166,-2088249,-2331942,-126881,-782080,-1362732,-1142317,-252803,-113958,961601,575346,1755728,326445,270580,267964,2144270
