,https://roic.ai/company/SPND,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
16,EBITDA ratio,-0.0598,0.5574,0.4517,0.3805,0.4459,0.5207,0.4707,0.3655,0.4122,0.4940,0.2096,0.1631,0.2731,0.3836,0.4455,0.4312,-0.9559,-0.1963,0.1422,0.1322,-0.0543,-0.1515
17,Operating Income,-195000,1033000,1073000,524000,1214000,1853000,2215000,1218000,2861000,5732000,-146000,255000,1293000,2967000,4086000,3838000,-2927000,-1243000,-85000,186000,-942000,-1234000
18,Operating Income ratio,-0.1822,0.4405,0.4111,0.2514,0.3511,0.4104,0.3464,0.2100,0.3286,0.4076,-0.0211,0.0333,0.1397,0.2467,0.3034,0.2934,-0.4981,-0.2805,-0.0161,0.0284,-0.1746,-0.2953
19,Total Other Income Expenses (Gains),-78000,-30000,-111000,-9000,-3000,- -,-105000,232000,-86000,-112000,-157000,-132000,28000,-29000,-17000,-42000,-5116000,-731000,315000,181000,193000,- -
20,Income Before Tax,- -,1003000,962000,515000,1211000,1853000,2110000,1450000,2775000,5620000,-303000,123000,1321000,2938000,4069000,3796000,-8043000,-1974000,230000,367000,-749000,-1234000
21,Income Before Tax Ratio,- -,0.4277,0.3686,0.2471,0.3502,0.4104,0.3299,0.2500,0.3187,0.3996,-0.0438,0.0161,0.1427,0.2443,0.3022,0.2901,-1.3688,-0.4454,0.0435,0.0560,-0.1389,-0.2953
22,Income Tax expense (Gain),- -,154000,186000,133000,224000,587000,693000,530000,967000,2099000,342000,-324000,-432000,-721000,527000,591000,-2266000,-645000,233000,103000,-103000,-191000
23,Net Income,-271000,849000,776000,382000,987000,1266000,1417000,920000,1808000,3521000,39000,447000,1753000,3659000,3542000,3205000,-5777000,-1329000,-3000,264000,-646000,-894000
24,Net Income ratio,-0.2533,0.3620,0.2973,0.1833,0.2854,0.2804,0.2216,0.1586,0.2076,0.2504,0.0056,0.0584,0.1894,0.3042,0.2630,0.2450,-0.9832,-0.2999,-0.0006,0.0403,-0.1198,-0.2139
25,EPS,-0.04,0.11,0.10,0.05,0.13,0.16,0.19,0.12,0.24,0.46,0.01,0.06,0.23,0.49,0.51,0.46,-0.83,-0.19,-0.00,0.04,-0.09,-0.13
26,EPS Diluted,-0.04,0.11,0.10,0.05,0.13,0.16,0.19,0.12,0.24,0.46,0.01,0.06,0.23,0.49,0.51,0.46,-0.83,-0.19,-0.00,0.04,-0.09,-0.13
27,Weighted Average Shares Outstanding,7525804,7525804,7525804,7582471,7640074,7677471,7573365,7589995,7604269,7610803,7618940,7631652,7645858,7541352,6936269,6936269,6936269,6936269,6936269,6925511,6809602,6771094
28,Weighted Average Shares Outstanding Diluted,7525804,7525804,7525804,7727471,7751444,7689766,7573365,7589995,7604269,7610803,7618940,7631652,7645858,7541352,6936269,6936269,6936269,6936269,6936269,6925511,6809602,6771094
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/867038/000086703812000014/sog10k2011_120405m.htm,https://www.sec.gov/Archives/edgar/data/867038/000086703813000006/sog10k2012_0415a.htm,https://www.sec.gov/Archives/edgar/data/867038/000086703814000006/sog10k2013_1404015b.htm,https://www.sec.gov/Archives/edgar/data/867038/000086703815000006/sog10k2014_150415a.htm,https://www.sec.gov/Archives/edgar/data/867038/000086703816000020/0000867038-16-000020-index.html,https://www.sec.gov/Archives/edgar/data/867038/000086703817000005/sog10k2016c_170414.htm,https://www.sec.gov/Archives/edgar/data/867038/000086703818000005/sog10k2017_180416a.htm,https://www.sec.gov/Archives/edgar/data/867038/000101738619000077/0001017386-19-000077-index.html,https://www.sec.gov/Archives/edgar/data/867038/000101738620000095/sog_2019dec31-10k.htm,https://www.sec.gov/Archives/edgar/data/867038/000101738621000113/0001017386-21-000113-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,2046000,2662000,4352000,5508000,5759000,6325000,10468000,9153000,6244000,6695000,7151000,9129000,14294000,12845000,11021000,11707000,14036000,15229000,7480000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,400000,400000,400000,400000,400000,400000,- -,- -,- -,- -,8825000
33,Cash and Short-Term Investments,- -,- -,- -,2046000,2662000,4352000,5508000,5759000,6325000,10468000,9153000,6644000,7095000,7551000,9529000,14694000,13245000,11021000,11707000,14036000,15229000,16305000
34,Net Receivables,- -,- -,- -,274000,1203000,617000,1228000,1173000,1413000,1510000,1455000,1534000,1609000,2155000,3633000,2153000,2589000,2855000,3437000,2850000,3273000,2613000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,109000,- -,190000,- -,486000,- -,- -,- -,- -,405000,- -,- -,172000,- -,363000,363000,363000,795000,- -
37,Total Current Assets,- -,- -,- -,2429000,3865000,5159000,6736000,7418000,7738000,11978000,10608000,8178000,9109000,9706000,13162000,17019000,15834000,14239000,15507000,17249000,19297000,18918000
38,PP&E,- -,- -,- -,1335000,1528000,4555000,4650000,5606000,7892000,9308000,9775000,11596000,12955000,13741000,13829000,15269000,8849000,7567000,5950000,4782000,3392000,315000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,1200000,1200000,1200000,1200000,1200000,1550000,2666000,2358000,1150000,8825000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,56000,- -
44,Other Non-Current Assets,- -,- -,- -,- -,2000,1000,1000,- -,1000,3000,3000,3000,15000,6000,4000,18000,6000,9000,9000,9000,3000,-8825000
45,Total Non-Current Assets,- -,- -,- -,1335000,1530000,4556000,4651000,5606000,7893000,9311000,9778000,12599000,14170000,14947000,15033000,16487000,10055000,9126000,8625000,7149000,4601000,315000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,3764000,5395000,9715000,11387000,13024000,15631000,21289000,20386000,20777000,23279000,24653000,28195000,33506000,25889000,23365000,24132000,24398000,23898000,19233000
48,Accounts Payable,- -,- -,- -,414000,962000,2068000,1943000,2159000,2272000,3788000,3092000,- -,3222000,1101000,844000,810000,1609000,1619000,2139000,2166000,2271000,5714000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,120000,120000,120000,120000,120000,120000,120000,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,205000
52,Other Current Liabilities,- -,- -,- -,139000,375000,217000,237000,175000,105000,141000,- -,2373000,97000,2546000,3440000,5544000,4200000,3672000,3469000,3691000,3734000,-205000
53,Total Current Liabilities,- -,- -,- -,553000,1337000,2285000,2180000,2454000,2497000,4049000,3212000,2493000,3439000,3767000,4284000,6354000,5809000,5291000,5608000,5857000,6005000,5714000
54,Long-Term Debt,- -,- -,- -,- -,- -,1680000,1440000,1320000,1200000,1080000,960000,840000,720000,600000,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,179000,18000,461000,1033000,1324000,1855000,2457000,- -,- -,2806000,1838000,1763000,1828000,490000,18000,207000,86000,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,251000,564000,667000,3103000,3863000,946000,949000,1107000,1078000,1121000,916000,1180000,1324000,1408000,1434000
58,Total Non-Current Liabilities,- -,- -,- -,179000,18000,2141000,2473000,2895000,3619000,4204000,4063000,4703000,4472000,3387000,2870000,2906000,1611000,934000,1387000,1410000,1408000,1434000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,732000,1355000,4426000,4653000,5349000,6116000,8253000,7275000,7196000,7911000,7154000,7154000,9260000,7420000,6225000,6995000,7267000,7413000,7148000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,76000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000
64,Retained Earnings,- -,- -,- -,2198000,3185000,4451000,5868000,6788000,8596000,12117000,12156000,12603000,14356000,18015000,21557000,24762000,18985000,17656000,17653000,17917000,17271000,16376000
65,Other Comprehensive Income/Loss,- -,- -,- -,-3230000,-3561000,-4060000,-4856000,-5377000,-6106000,-7307000,-8304000,-9345000,-10497000,-12144000,-14057000,-15903000,-23380000,-25179000,-25701000,-26201000,-26656000,- -
66,Other Total Stockholders Equity,- -,- -,- -,3988000,4339000,4821000,5645000,6187000,6948000,8149000,9182000,10246000,11432000,11551000,13464000,15310000,22787000,24586000,25108000,25338000,25793000,-931000
67,Total Stockholders Equity,- -,- -,- -,3032000,4040000,5289000,6734000,7675000,9515000,13036000,13111000,13581000,15368000,17499000,21041000,24246000,18469000,17140000,17137000,17131000,16485000,15522000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,3764000,5395000,9715000,11387000,13024000,15631000,21289000,20386000,20777000,23279000,24653000,28195000,33506000,25889000,23365000,24132000,24398000,23898000,22670000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3437000
70,Total Liabilities & Equity,- -,- -,- -,3764000,5395000,9715000,11387000,13024000,15631000,21289000,20386000,20777000,23279000,24653000,28195000,33506000,25889000,23365000,24132000,24398000,23898000,19233000
71,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/867038/000086703812000014/sog10k2011_120405m.htm,https://www.sec.gov/Archives/edgar/data/867038/000086703813000006/sog10k2012_0415a.htm,https://www.sec.gov/Archives/edgar/data/867038/000086703814000006/sog10k2013_1404015b.htm,https://www.sec.gov/Archives/edgar/data/867038/000086703815000006/sog10k2014_150415a.htm,https://www.sec.gov/Archives/edgar/data/867038/000086703816000020/0000867038-16-000020-index.html,https://www.sec.gov/Archives/edgar/data/867038/000086703817000005/sog10k2016c_170414.htm,https://www.sec.gov/Archives/edgar/data/867038/000086703818000005/sog10k2017_180416a.htm,https://www.sec.gov/Archives/edgar/data/867038/000101738619000077/0001017386-19-000077-index.html,https://www.sec.gov/Archives/edgar/data/867038/000101738620000095/sog_2019dec31-10k.htm,https://www.sec.gov/Archives/edgar/data/867038/000101738621000113/0001017386-21-000113-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-271000,849000,776000,382000,987000,1266000,1417000,920000,1808000,3521000,39000,447000,1753000,3659000,3542000,3205000,-5777000,-1329000,-3000,264000,-646000,-894000
74,Depreciation and Amortization,207000,274000,106000,269000,328000,498000,795000,528000,728000,1215000,997000,1042000,1152000,1647000,1913000,1846000,2426000,1104000,522000,499000,456000,452000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,12000,- -,- -,1876000,652000,346000,1682000,408000,277000,2688000,-533000,-1711000,-15000,269000,2939000,1787000,-640000,-1077000,951000,1493000,1900000,-88000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,637000,-215000,-521000,-546000,-1478000,1480000,318000,-93000,-671000,-16000,-325000,577000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,946000,229000,484000,- -,- -,- -,- -,249000,- -,- -
81,Other Working Capital,- -,- -,- -,1876000,2528000,2874000,4556000,4964000,5241000,7929000,7396000,5685000,5670000,5939000,8878000,10665000,10025000,8948000,9899000,11392000,13292000,13204000
82,Other Non-Cash Items,-4000,175000,-63000,-1881000,-171000,684000,-1875000,-14000,888000,-587000,-244000,252000,334000,-1001000,-3735000,1684000,3656000,549000,-410000,-1168000,-1941000,-231000
83,Cash Provided by Operating Activities,-56000,1298000,819000,646000,1796000,2794000,2019000,1842000,3701000,6837000,259000,30000,3224000,4574000,4659000,8522000,-335000,-753000,1060000,1088000,-231000,-761000
84,CAPEX,-8000,- -,-33000,- -,- -,-203000,-55000,-210000,-3015000,-2574000,-1454000,-2819000,-2453000,-2470000,-1961000,-3357000,-1114000,-990000,-192000,-320000,-270000,-148000
85,Acquisitions Net,- -,- -,- -,- -,- -,-884000,-619000,-1271000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-200000,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,60000,3000,-23000,-670000,-1162000,- -,23000,10000,- -,- -,- -,- -,- -,-2464000,-1961000,-3357000,-1114000,-708000,-374000,1831000,2126000,-7675000
89,Cash Used for Investing Activites,52000,3000,-56000,-670000,-1162000,-1087000,-651000,-1471000,-3015000,-2574000,-1454000,-2819000,-2653000,-2470000,-1961000,-3357000,-1114000,-708000,-374000,1511000,1856000,-7823000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-120000,-120000,-120000,-120000,-720000,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,21000,23000,28000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-18000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1528000,- -,- -,- -,- -,- -,-270000,- -,-68000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,-25000,-235000,-39000,-40000,-240000,-120000,-120000,-120000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,403000
95,Cash Used/Provided by Financing Activities,- -,- -,-25000,-253000,-18000,-17000,-212000,-120000,-120000,-120000,-120000,-120000,-120000,-1648000,-720000,- -,- -,- -,- -,-270000,- -,335000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-4000,1301000,738000,-277000,616000,1690000,1156000,251000,566000,4143000,-1315000,-2909000,451000,456000,1978000,5165000,-1449000,-1461000,686000,2329000,1625000,-8249000
98,Cash at the End of Period,284000,1585000,2323000,2046000,2662000,4352000,5508000,5759000,6325000,10468000,9153000,6244000,6695000,7151000,9129000,14294000,12845000,11384000,12070000,14399000,16024000,7775000
99,Cash at the Beginning of Period,288000,284000,1585000,2323000,2046000,2662000,4352000,5508000,5759000,6325000,10468000,9153000,6244000,6695000,7151000,9129000,14294000,12845000,11384000,12070000,14399000,16024000
100,Free Cash Flow,-64000,1298000,786000,646000,1796000,2591000,1964000,1632000,686000,4263000,-1195000,-2789000,771000,2104000,2698000,5165000,-1449000,-1743000,868000,768000,-501000,-909000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/867038/000086703812000014/sog10k2011_120405m.htm,https://www.sec.gov/Archives/edgar/data/867038/000086703813000006/sog10k2012_0415a.htm,https://www.sec.gov/Archives/edgar/data/867038/000086703814000006/sog10k2013_1404015b.htm,https://www.sec.gov/Archives/edgar/data/867038/000086703815000006/sog10k2014_150415a.htm,https://www.sec.gov/Archives/edgar/data/867038/000086703816000020/0000867038-16-000020-index.html,https://www.sec.gov/Archives/edgar/data/867038/000086703817000005/sog10k2016c_170414.htm,https://www.sec.gov/Archives/edgar/data/867038/000086703818000005/sog10k2017_180416a.htm,https://www.sec.gov/Archives/edgar/data/867038/000101738619000077/0001017386-19-000077-index.html,https://www.sec.gov/Archives/edgar/data/867038/000101738620000095/sog_2019dec31-10k.htm,https://www.sec.gov/Archives/edgar/data/867038/000101738621000113/0001017386-21-000113-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
