,https://roic.ai/company/JG,2016,2017,2018,2019,2020,2021
34,Net Receivables,9539000,50854000,146475000,152204000,66413000,43895000
35,Inventory,- -,- -,- -,- -,- -,- -
36,Other Current Assets,13508000,34343000,80693000,61936000,27701000,216689000
37,Total Current Assets,136215000,293358000,803730000,653599000,530229000,381136000
38,PP&E,23718000,53023000,92874000,106235000,73522000,62179000
39,Goodwill,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,1531000,8810000,9519000,- -
41,Intangible Assets,- -,283000,1531000,8810000,9519000,5398000
42,Investments,1041000,10980000,79696000,168637000,168526000,141926000
43,Tax Assets,3537000,- -,- -,- -,- -,- -
44,Other Non-Current Assets,1433000,1806000,14237000,2642000,5631000,4898000
45,Total Non-Current Assets,29729000,66092000,188338000,286324000,257198000,214401000
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,165944000,359450000,992068000,939923000,787427000,595537000
48,Accounts Payable,1110000,8340000,18811000,19996000,16592000,18292000
49,Short-Term Debt,- -,- -,- -,- -,225229000,150000000
50,Tax Payable,- -,- -,11277000,16368000,19360000,- -
51,Deferred Revenue,18148000,49557000,59483000,79887000,113746000,119991000
52,Other Current Liabilities,26090000,58749000,85530000,94007000,104572000,85359000
53,Total Current Liabilities,45348000,116646000,163824000,193890000,460139000,373642000
54,Long-Term Debt,- -,- -,216179000,230031000,- -,- -
55,Deferred Revenue,657000,330000,10265000,8150000,6049000,3845000
56,Deferred Tax Liabilities,7522000,5000,- -,- -,- -,- -
57,Other Non-Current Liabilities,220831000,466853000,140000,64000,- -,2607000
58,Total Non-Current Liabilities,229010000,467188000,226584000,238245000,6049000,6452000
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -
61,Total Liabilities,274358000,583834000,390408000,432135000,466188000,380094000
62,Preferred Stock,- -,- -,- -,- -,- -,- -
63,Common Stock,26000,26000,48000,48000,48000,49000
64,Retained Earnings,-118128000,-234810000,-348123000,-453359000,-678434000,-819018000
65,Other Comprehensive Income/Loss,4274000,-3289000,8400000,6363000,10813000,12451000
66,Other Total Stockholders Equity,5414000,13689000,941335000,954736000,988812000,1021961000
67,Total Stockholders Equity,-108414000,-224384000,601660000,507788000,321239000,215443000
68,Total Liabilities And Stockholders Equity,165944000,359450000,992068000,939923000,787427000,595537000
69,Minority Interest,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,165944000,359450000,992068000,939923000,787427000,595537000
71,SEC Link,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,-61382000,-90291000,-66197000,-109841000,-225075000,- -
74,Depreciation and Amortization,3433000,8840000,18391000,32366000,42070000,- -
75,Deferred Income Tax,3910000,-3980000,- -,- -,- -,- -
76,Stock Based Compensation,2703000,8275000,24561000,47284000,28858000,- -
77,Change in Working Capital,8504000,-1142000,-92215000,5194000,149926000,- -
78,Accounts Receivable,-5870000,-48266000,-98163000,-25443000,71799000,- -
79,Inventory,- -,- -,- -,- -,- -,- -
80,Accounts Payable,822000,13015000,10471000,1220000,-3403000,- -
81,Other Working Capital,9705000,30576000,18349000,19653000,29467000,- -
82,Other Non-Cash Items,680000,2766000,17535000,-761000,80031000,- -
83,Cash Provided by Operating Activities,-42152000,-75532000,-97925000,-25758000,75810000,- -
84,CAPEX,-18887000,-28697000,-59490000,-49080000,-22331000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-11041000,-10000000,-79716000,-1042286000,-506181000,- -
87,Sales/Maturities of Investments,- -,10053000,- -,1010201000,391964000,- -
88,Other Investing Activites,- -,-319000,-1556000,-17387000,-10513000,- -
89,Cash Used for Investing Activites,-29928000,-28644000,-139206000,-88966000,-144415000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,464380000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-65675000,-37559000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,135348000,217446000,216179000,3676000,315000,- -
95,Cash Used/Provided by Financing Activities,135348000,217446000,614884000,-33883000,315000,- -
96,Effect of Forex Changes on Cash,2450000,-8282000,-9352000,3504000,-7054000,- -
97,Net Change In Cash,65718000,104988000,368401000,-145103000,-75344000,- -
98,Cash at the End of Period,103288000,208276000,576677000,431574000,356230000,- -
99,Cash at the Beginning of Period,37570000,103288000,208276000,576677000,431574000,- -
100,Free Cash Flow,-61039000,-104229000,-157415000,-74838000,53479000,- -
101,SEC Link,- -,- -,- -,- -,- -,undefined
102,Forex Rate,0.1439,0.1537,0.1453,0.1436,0.1532,0.1572
