,https://roic.ai/company/SJR,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,3734328358,5321858719,8787955989,8513000779,7601118813,7556904512,7416937686,2702679000,8163738791,8357800574,8938069000,10153965000,12525877000,12722000000,12732000000,13250000000,14564000000,15239000000,14373000000,14424000000,15646000000,16165000000,15792000000
48,Accounts Payable,- -,- -,- -,- -,161940299,335006623,573561134,511105222,413711354,410036726,408033234,408033000,441444245,655756352,563110000,623070000,794984000,50000000,71000000,44000000,81000000,107000000,73000000,98000000,114000000,82000000,112000000
49,Short-Term Debt,- -,- -,- -,- -,105074627,214337013,1788316,2302416,271519479,347413431,51380415,- -,297238105,44710322,481739000,557000,594000,451000000,998000000,- -,608000000,412000000,2000000,41000000,1291000000,314000000,311000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6263000,- -,- -,25320000,170581000,12357000,156000000,136000000,341000000,195000000,215000000,181000000,133000000,82000000,57000000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,96095226,98420178,98420000,118915497,124383969,133798000,145491000,154567000,157000000,172000000,183000000,196000000,215000000,211000000,221000000,223000000,211000000,213000000
52,Other Current Liabilities,- -,- -,- -,- -,48656716,47415746,65594297,98858925,111644254,5564008,6262315,- -,4303197,3793983,198370000,250321000,181136000,937000000,964000000,1169000000,1053000000,1085000000,1106000000,1251000000,1207000000,1081000000,924000000
53,Total Current Liabilities,- -,- -,- -,- -,315671642,596759382,640943747,612266563,796875087,859109391,564096142,506453000,861901044,828644626,1377017000,1019439000,1131281000,1595000000,2205000000,1396000000,1938000000,1819000000,1392000000,1611000000,2835000000,1688000000,1560000000
54,Long-Term Debt,- -,- -,- -,- -,1337313433,1590319352,3010348675,3469636789,2645548316,2307582634,2693387537,2996385000,2771315540,2706534496,2668749000,3981671000,5255960000,4812000000,3868000000,4690000000,5061000000,5200000000,4298000000,4310000000,4057000000,5704000000,5684000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15000000,14000000,15000000
56,Deferred Tax Liabilities,- -,- -,- -,- -,275671642,184928624,1196933209,1006844895,928276723,982280955,1054815430,- -,1327914337,1281826300,1337722000,1451859000,1699325000,1085000000,1142000000,1105000000,1135000000,1174000000,1858000000,1894000000,1875000000,1968000000,1998000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,27164179,541604121,643824578,634734216,735352834,915914218,1051528784,40806000,1208567359,1285603273,1056597000,930464000,981463000,1195000000,1104000000,1122000000,784000000,751000000,671000000,652000000,579000000,558000000,492000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,1640149254,2316852097,4851106462,5111215900,4309177873,4205777807,4799731751,3037191000,5307797236,5273964069,5063068000,6363994000,7936748000,7092000000,6114000000,6917000000,6980000000,7125000000,6827000000,6856000000,6526000000,8244000000,8189000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10547928139,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1270000000,1245000000
61,Total Liabilities,- -,- -,- -,- -,1955820896,2913611479,5492050209,5723482463,5106052960,5064887198,5363827893,2530738000,6169698280,6102608696,6440085000,7383433000,9068029000,8687000000,8319000000,8313000000,8918000000,8944000000,8219000000,8467000000,9361000000,9932000000,9749000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,724923056,724922613,- -,- -,- -,- -,- -,- -,293195000,- -,- -,- -,- -,- -,- -,293000000,- -,293000000,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2750000000,2955000000,3182000000,3500000000,3799000000,4090000000,4056000000,4605000000,4309000000,4199000000
64,Retained Earnings,- -,- -,- -,- -,224776119,254440029,111830157,-230327358,-340293914,-369194648,-471488427,- -,-68131659,-57674072,384747000,457728000,516462000,1020000000,1242000000,1589000000,1883000000,2505000000,2164000000,1619000000,1745000000,1703000000,1876000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-429402985,-655508462,-916107237,-1302447389,482462,856506,2231454,- -,312269,23026470,-38634000,8976000,1467000,-93000000,-87000000,-133000000,-19000000,-52000000,-131000000,-39000000,-94000000,-99000000,-59000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,1982238806,2791479029,4100182860,4322293063,- -,- -,- -,- -,- -,- -,- -,- -,- -,77000000,72000000,64000000,45000000,42000000,30000000,27000000,26000000,27000000,27000000
67,Total Stockholders Equity,- -,- -,- -,- -,1777611940,2390410596,3295905780,2789518316,2495065853,2492017314,2053109792,- -,1994040511,2255191878,2497984000,2770532000,3216886000,3754000000,4182000000,4702000000,5409000000,6294000000,6153000000,5956000000,6282000000,6233000000,6043000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,3733432836,5304022075,8787955989,8513000779,7601118813,7556904512,7416937685,7522543000,8163738791,8357800574,8938069000,10153965000,12284915000,12441000000,12501000000,13015000000,14327000000,15238000000,14372000000,14423000000,15643000000,16165000000,15792000000
69,Minority Interest,- -,- -,- -,- -,895522,17836644,- -,- -,- -,- -,1,-4819864000,- -,- -,- -,- -,240962000,281000000,231000000,235000000,237000000,1000000,1000000,1000000,3000000,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,3734328358,5321858719,8787955989,8513000779,7601118813,7556904512,7416937686,2702679000,8163738791,8357800574,8938069000,10153965000,12525877000,12722000000,12732000000,13250000000,14564000000,15239000000,14373000000,14424000000,15646000000,16165000000,15792000000
71,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/932872/000113031903000954/o11546e40vf.htm,https://www.sec.gov/Archives/edgar/data/932872/000113031904000827/o14612exv1.htm,https://www.sec.gov/Archives/edgar/data/932872/000113031905000777/o18739exv99w1.htm,https://www.sec.gov/Archives/edgar/data/932872/000113031906000965/0001130319-06-000965-index.htm,https://www.sec.gov/Archives/edgar/data/932872/000113031907000775/0001130319-07-000775-index.html,https://www.sec.gov/Archives/edgar/data/932872/000113031908000856/0001130319-08-000856-index.html,https://www.sec.gov/Archives/edgar/data/932872/000095012309066971/0000950123-09-066971-index.html,https://www.sec.gov/Archives/edgar/data/932872/000095012310101697/0000950123-10-101697-index.html,https://www.sec.gov/Archives/edgar/data/932872/000119312511324692/0001193125-11-324692-index.html,https://www.sec.gov/Archives/edgar/data/932872/000119312512486201/0001193125-12-486201-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/932872/000119312515389731/0001193125-15-389731-index.html,https://www.sec.gov/Archives/edgar/data/932872/000119312516777493/0001193125-16-777493-index.html,https://www.sec.gov/Archives/edgar/data/932872/000119312517354143/0001193125-17-354143-index.html,https://www.sec.gov/Archives/edgar/data/932872/000119312518335859/0001193125-18-335859-index.html,https://www.sec.gov/Archives/edgar/data/932872/000119312519302701/0001193125-19-302701-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,67900000,16659725,13502905,45820896,118260486,-147421354,-288291504,-47827534,90908972,160585163,153221000,388478742,671561603,535239000,532732000,453701000,728000000,746000000,857000000,856000000,1220000000,851000000,60000000,731000000,688000000,986000000
74,Depreciation and Amortization,- -,85700000,117867555,161092793,159104478,219635026,471391601,577872175,586205462,545394806,541004154,-579000,473115308,508759434,727692000,526432000,649424000,813000000,858000000,768000000,899000000,962000000,946000000,1015000000,1041000000,1220000000,1221000000
75,Deferred Income Tax,- -,61600000,11522977,55110692,61641791,37012509,-387807221,-120662510,-5781228,47997114,70903264,- -,142870556,16365473,167474000,15370000,-4820000,-43000000,121000000,-46000000,-62000000,- -,39000000,6000000,4000000,59000000,16000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16974000,17838000,14691000,5000000,4000000,3000000,4000000,3000000,3000000,3000000,3000000,2000000,1000000
77,Change in Working Capital,- -,- -,- -,- -,9850746,15289183,42671626,3301637,3675308,36181794,6623145,-14799000,-28351092,19303710,59090000,81756000,-201528000,18000000,-11000000,216000000,-97000000,72000000,-110000000,94000000,-209000000,-69000000,-326000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5714000,-1217000,- -,22000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,-36798388,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,-1,- -,1,1,- -,- -,-1,-81120000,12082498,7010736,- -,5044000,8114000,2000000,-11000000,216000000,-97000000,72000000,-110000000,94000000,-209000000,-69000000,- -
82,Other Non-Cash Items,- -,-111500000,48035541,-100957764,-125820896,-118108904,274351463,163192517,2168308,10470882,-9209495,-136533000,23899146,26209206,-123539000,283031000,319697000,-204000000,-349000000,-58000000,-60000000,-594000000,-227000000,173000000,-2000000,20000000,25000000
83,Cash Provided by Operating Activities,- -,103700000,194085798,128748626,150597015,272088300,253186115,335412315,538440316,730953568,769906231,1310000,1000012660,1242199426,1382930000,1457159000,1231165000,1317000000,1369000000,1740000000,1540000000,1663000000,1502000000,1351000000,1568000000,1920000000,1923000000
84,CAPEX,- -,-231700000,-226988755,-382163605,-351641791,-583593819,-828727724,-865222136,-420558713,-388847062,-452555490,- -,-651081338,-727420006,-802886000,-840682000,-889121000,-973000000,-1003000000,-1116000000,-1090000000,-1198000000,-1613000000,-1332000000,-1298000000,-1151000000,-1017000000
85,Acquisitions Net,- -,- -,- -,- -,- -,-281134658,-562124593,-40453624,-3633717,-24298269,- -,-5000000,-72361009,- -,-46300000,-158805000,-452630000,-18000000,-222000000,- -,-902000000,20000000,1905000000,18000000,-452000000,- -,- -
86,Purchases of Investments,- -,-14200000,- -,- -,-284328359,- -,-138534015,-28157444,-9661722,-494491,-5265282,- -,- -,- -,- -,-903064000,- -,- -,-69000000,-52000000,-125000000,-71000000,-92000000,- -,- -,-5000000,-1000000
87,Sales/Maturities of Investments,- -,- -,- -,109750353,149104478,- -,170427708,18489478,22469153,9530430,79899110,- -,15970039,637823,- -,159405000,8181000,4000000,- -,- -,- -,- -,- -,88000000,558000000,- -,- -
88,Other Investing Activites,- -,256200000,-171317506,-186999529,14179105,-105982340,153389121,89786438,316348260,-3108604,-2110385,23023000,-12305095,-7353035,-117530000,-61616000,-218495000,-64000000,583000000,55000000,134000000,-88000000,-692000000,-104000000,-88000000,-148000000,-117000000
89,Cash Used for Investing Activites,- -,10300000,-398306261,-459412781,-472686567,-970710817,-1205569503,-825557288,-95036739,-407217996,-380032047,18023000,-719777403,-734135218,-966716000,-1743977000,-1487338000,-986000000,-642000000,-1029000000,-1904000000,-1227000000,49000000,-1174000000,-1133000000,-1154000000,-997000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-471325000,-1016711000,-1823921000,-5000000,-1041000000,-1017000000,-508000000,-1961000000,-1810000000,-1000000,- -,-2180000000,-111000000
91,Common Stock Issued,- -,- -,31375816,537761030,250298508,339886681,194475438,91273578,95661,132477,227893,- -,92058234,32498140,56996000,47126000,45940000,17000000,69000000,70000000,129000000,38000000,77000000,43000000,35000000,9000000,18000000
92,Common Stock Repurchased,- -,-75700000,-2776621,- -,-4626866,-13846946,- -,- -,- -,-85967996,-287063501,- -,-305971094,-403569682,-33574000,-118150000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-140000000,-636000000
93,Dividends Paid,- -,-10400000,-4859086,-14601978,-31492537,-37916115,-50288238,-53151988,-50619714,-75253148,-111983383,- -,- -,- -,-351883000,-372088000,-351980000,-333000000,-332000000,-352000000,-382000000,-393000000,-393000000,-392000000,-398000000,-582000000,-605000000
94,Other Financing Activites,- -,-10700000,177148410,-149631026,85820895,410498897,808079963,451989088,-372114239,-183390609,10674184,-8637000,99008334,-302309982,836751000,1510139000,2612826000,-26000000,572000000,803000000,885000000,1887000000,678000000,50000000,990000000,1444000000,- -
95,Cash Used/Provided by Financing Activities,- -,-96800000,200888519,373528026,300000000,698622517,952267163,490110678,-422638292,-344479276,-388144807,-8637000,-114904526,-673381524,36965000,50316000,482865000,-347000000,-732000000,-496000000,124000000,-429000000,-1448000000,-300000000,627000000,-1449000000,-1334000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,116225,34295,-12477,-9182,-15430,- -,-22154,7441,58000,- -,- -,- -,- -,- -,1000000,- -,-1000000,- -,- -,- -,- -
97,Net Change In Cash,- -,17300000,200888519,373528026,300000000,698622517,952267163,490110678,-422638292,-344479276,-388144807,10696000,-114904526,-673381524,36965000,-236502000,226692000,-16000000,-5000000,215000000,-239000000,7000000,102000000,-123000000,1062000000,-683000000,-408000000
98,Cash at the End of Period,- -,-17600000,- -,- -,- -,- -,- -,- -,20752807,- -,1712760,- -,165309632,- -,453237000,216735000,443427000,427000000,422000000,637000000,398000000,405000000,507000000,384000000,1446000000,763000000,355000000
99,Cash at the Beginning of Period,- -,-34900000,-17631542,-20882399,22089552,- -,- -,- -,- -,20752886,- -,- -,- -,165309876,- -,453237000,216735000,443000000,427000000,422000000,637000000,398000000,405000000,507000000,384000000,1446000000,763000000
100,Free Cash Flow,- -,-128000000,-32902957,-253414979,-201044776,-311505519,-575541609,-529809821,117881603,342106506,317350741,1310000,348931322,514779420,580044000,616477000,342044000,344000000,366000000,624000000,450000000,465000000,-111000000,19000000,270000000,769000000,906000000
