,https://roic.ai/company/NESR,2015,2016,2017,2018,2019,2020
75,Deferred Income Tax,- -,- -,598000,-2025000,-3935000,-4617000
76,Stock Based Compensation,- -,- -,- -,- -,5654000,7832000
77,Change in Working Capital,- -,- -,7893000,-41257000,-42811000,-32653000
78,Accounts Receivable,- -,- -,-5000000,- -,-39176000,-3390000
79,Inventory,- -,- -,-8118000,- -,-21312000,-12535000
80,Accounts Payable,- -,- -,9172000,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,8623000,6367000
82,Other Non-Cash Items,- -,- -,5668000,45248000,2708000,-7956000
83,Cash Provided by Operating Activities,- -,- -,83193000,61666000,89091000,133471000
84,CAPEX,- -,- -,-48657000,-33072000,-107938000,-90323000
85,Acquisitions Net,- -,- -,-624000,-283000000,- -,-13218000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-51418000,241568000,-107338000,-90410000
89,Cash Used for Investing Activites,- -,- -,-52042000,-74504000,-107338000,-103628000
90,Debt Repayment,- -,- -,-7871000,- -,-342013000,-72986000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,28914000,- -,- -
93,Dividends Paid,- -,- -,-20000000,-48210000,- -,- -
94,Other Financing Activites,- -,- -,-4267000,64150000,408588000,44919000
95,Cash Used/Provided by Financing Activities,- -,- -,-32138000,44854000,66575000,-28067000
96,Effect of Forex Changes on Cash,- -,- -,-45000,-16000,-19000,35000
97,Net Change In Cash,- -,- -,-32138000,32000000,48309000,1811000
98,Cash at the End of Period,- -,- -,24502000,32700000,73201000,75012000
99,Cash at the Beginning of Period,- -,- -,- -,700000,24892000,73201000
100,Free Cash Flow,- -,- -,34536000,28594000,-18847000,43148000
101,SEC Link,undefined,undefined,- -,- -,- -,- -
102,false,,,,,,
