,https://roic.ai/company/PBLA,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
89,Cash Used for Investing Activites,-9527,19123,-5115,124720,500000,- -,- -,- -,- -,- -,-540000
90,Debt Repayment,-2269,-23149,-11611,-8317,- -,- -,- -,-14000,-186000,-860000,- -
91,Common Stock Issued,- -,- -,- -,- -,1513000,1873000,- -,2328000,3160000,11081000,9054000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,11169,30000,- -,- -,1162000,42000,3106000,1329000,810000,223000,1041000
95,Cash Used/Provided by Financing Activities,8900,6851,-11611,-8317,2675000,1915000,3106000,3643000,3784000,10444000,10095000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-7000,-4000,10000,-3000,-1000,-17000,-6000
97,Net Change In Cash,-73668,63087,-52116,104950,-729000,-487000,-286000,1253000,1044000,6573000,2845000
98,Cash at the End of Period,47851,110938,58822,163772,925000,438000,152000,1405000,2449000,9022000,11867000
99,Cash at the Beginning of Period,121519,47851,110938,58822,1654000,925000,438000,152000,1405000,2449000,9022000
100,Free Cash Flow,-82568,37113,-40505,-11453,-3897000,-2398000,-3402000,-2387000,-2739000,-3854000,-6704000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1029125/000143774920005968/0001437749-20-005968-index.htm,https://www.sec.gov/Archives/edgar/data/1029125/000143774921007154/0001437749-21-007154-index.htm,https://www.sec.gov/Archives/edgar/data/1029125/000143774922007101/0001437749-22-007101-index.htm
102,false,,,,,,,,,,,
