,https://roic.ai/company/BBIG,2016,2017,2018,2019,2020
45,Total Non-Current Assets,1116036,966904,23423103,18654254,22686024
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,5356159,4070827,28888587,23609619,28028207
48,Accounts Payable,843424,1135039,5519159,7397650,4105794
49,Short-Term Debt,- -,225553,1778077,3781237,4866125
50,Tax Payable,72579,112158,389070,284315,239064
51,Deferred Revenue,- -,- -,211050,172803,152040
52,Other Current Liabilities,246766,137709,1370650,1621629,2161704
53,Total Current Liabilities,1090190,1498301,8878936,12973319,11285663
54,Long-Term Debt,2996500,2770947,3549672,2699656,3161130
55,Deferred Revenue,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,5810,34209,341,- -,- -
57,Other Non-Current Liabilities,- -,- -,520000,482212,58713
58,Total Non-Current Liabilities,3002310,2805156,4070013,3181868,3219843
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,754427,155490
61,Total Liabilities,4092500,4303457,12948949,16155187,14505506
62,Preferred Stock,- -,- -,- -,- -,765
63,Common Stock,3000,3000,5655,8016,14471
64,Retained Earnings,514133,-235630,-5565756,-18495461,-23648898
65,Other Comprehensive Income/Loss,-9251990,-9445400,-9635078,-9861911,-5424475
66,Other Total Stockholders Equity,9998516,9445400,30183242,36121486,44474735
67,Total Stockholders Equity,1263659,-232630,14988063,7772130,15416598
68,Total Liabilities And Stockholders Equity,5356159,4070827,27937012,23927317,29922104
69,Minority Interest,- -,- -,951575,-317698,-1893897
70,Total Liabilities & Equity,5356159,4070827,28888587,23609619,28028207
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1717556/000149315220010532/0001493152-20-010532-index.htm,https://www.sec.gov/Archives/edgar/data/1717556/000149315221008880/0001493152-21-008880-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,499366,1533431,-5330126,-12929706,-5153436
74,Depreciation and Amortization,190938,188283,487878,1611607,1932888
75,Deferred Income Tax,- -,- -,-33868,-341,- -
76,Stock Based Compensation,- -,- -,3386493,2299915,3241554
77,Change in Working Capital,-156416,-1544311,-5019074,-4604502,2074474
78,Accounts Receivable,-250974,68469,590,-230748,-444687
79,Inventory,11269,-75550,59309,-445518,-97873
80,Accounts Payable,615175,291615,-1408184,1878491,2055055
81,Other Working Capital,3149933,1605622,-3413452,-8017954,-5943480
82,Other Non-Cash Items,- -,913983,3732694,8586572,-4534406
83,Cash Provided by Operating Activities,533888,1091386,-2776003,-5036455,-2438926
84,CAPEX,-219015,-39151,-141440,-159938,-1828978
85,Acquisitions Net,- -,- -,-772581,- -,180489
86,Purchases of Investments,- -,- -,-500000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-1552500
89,Cash Used for Investing Activites,-219015,-39151,-1414021,-159938,-1648489
90,Debt Repayment,- -,- -,-780608,-1504296,-1162455
91,Common Stock Issued,- -,- -,5315176,2048562,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -
93,Dividends Paid,-259489,-3029720,- -,- -,-296425
94,Other Financing Activites,- -,- -,1150919,3012115,5382932
95,Cash Used/Provided by Financing Activities,-259489,-3029720,5685487,3556381,3924052
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -
97,Net Change In Cash,55384,-1977485,1495463,-1640012,-163363
98,Cash at the End of Period,2534753,557268,2052731,412719,249356
99,Cash at the Beginning of Period,2479369,2534753,557268,2052731,412719
100,Free Cash Flow,314873,1052235,-2917443,-5196393,-4267904
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1717556/000149315220010532/0001493152-20-010532-index.htm,https://www.sec.gov/Archives/edgar/data/1717556/000149315221008880/0001493152-21-008880-index.htm
102,false,,,,,
