,https://roic.ai/company/MRMD,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),-3750,-34753,22539,-6603943,-156332,-290565,-2234965,-7952641,-40282776,-10034341,-3047612
20,Income Before Tax,- -,-809540,-535606,-7421291,-1846903,321165,-1029062,-13308673,-81880925,4496316,23815878
21,Income Before Tax Ratio,- -,-1031.2611,-592.4845,-83.9665,-1.4541,0.0901,-0.1696,-1.1229,-1.7955,0.0883,0.1961
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,2067049,16192327
23,Net Income,-377410,-809540,-535607,-7219541,-1215333,-198852,-1194083,-13604068,-81184719,2143989,7224521
24,Net Income ratio,-3.0047,-1031.2611,-592.4856,-81.6838,-0.9568,-0.0558,-0.1968,-1.1478,-1.7802,0.0421,0.0595
25,EPS,-1.04,-0.04,-0.02,-0.23,-0.04,-0.00,-0.01,-0.07,-0.39,0.01,0.02
26,EPS Diluted,-1.04,-0.04,-0.02,-0.23,-0.04,-0.00,-0.01,-0.07,-0.39,0.01,0.02
27,Weighted Average Shares Outstanding,361723,19810436,30327852,31899874,31976154,52018689,116275301,192376020,208720496,266980197,324266644
28,Weighted Average Shares Outstanding Diluted,361723,19810436,30327852,31899874,31976154,52018689,116275301,192376020,208720496,324160525,370256963
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1522767/000126493112000204/0001264931-12-000204-index.htm,https://www.sec.gov/Archives/edgar/data/1522767/000126493113000128/0001264931-13-000128-index.html,https://www.sec.gov/Archives/edgar/data/1522767/000126493114000130/0001264931-14-000130-index.htm,https://www.sec.gov/Archives/edgar/data/1522767/000126493115000233/0001264931-15-000233-index.htm,https://www.sec.gov/Archives/edgar/data/1522767/000126493116000414/0001264931-16-000414-index.htm,https://www.sec.gov/Archives/edgar/data/1522767/000126493117000034/0001264931-17-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1522767/000149315218004548/0001493152-18-004548-index.html,https://www.sec.gov/Archives/edgar/data/1522767/000149315219005497/0001493152-19-005497-index.htm,https://www.sec.gov/Archives/edgar/data/1522767/000149315220005546/0001493152-20-005546-index.html,https://www.sec.gov/Archives/edgar/data/1522767/000149315221006636/0001493152-21-006636-index.htm,https://www.sec.gov/Archives/edgar/data/1522767/000149315222006974/0001493152-22-006974-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,118803,8585,8538,988268,160859,569356,1290231,4104315,738688,2999053,29683014
32,Short-Term Investments,71250,19250,31181,3569,- -,- -,- -,- -,1449144,1357193,250600
33,Cash and Short-Term Investments,190053,27835,39719,991837,160859,569356,1290231,4104315,2187832,4356246,29933614
34,Net Receivables,- -,- -,- -,109564,750109,1933963,3441416,11385189,3777113,9273815,3470676
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,1219429,6830571,9767856
36,Other Current Assets,- -,94000,- -,500,38437,237345,357019,219012,192368,582589,1440831
37,Total Current Assets,190053,121835,39719,1101901,949405,2740664,5088666,15708516,7376742,21043221,44612977
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,48690895,50962101,67277113
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2068000
40,Intangible Assets,- -,- -,- -,353333,- -,- -,- -,- -,- -,- -,163000
41,Intangible Assets,- -,- -,- -,353333,- -,- -,- -,185000,2364042,2228560,2231000
42,Investments,- -,- -,- -,- -,- -,- -,- -,1672163,1324661,1165788,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,197064,2768328,5822437,27113349,65394945,1815401,1045501,9084508
45,Total Non-Current Assets,- -,- -,- -,550397,2768328,5822437,27113349,67252108,54194999,55401950,78592621
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,190053,121835,39719,1652298,3717733,8563101,32202015,82960624,61571741,76445171,123204901
48,Accounts Payable,43818,408640,295913,1076608,1816664,2118412,2831658,3915430,4719069,5044918,5098533
49,Short-Term Debt,- -,- -,- -,- -,- -,4362114,10784455,4002879,24292486,12325276,2508424
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18265019
51,Deferred Revenue,226950,226950,226950,226950,226950,226950,- -,- -,- -,- -,- -
52,Other Current Liabilities,77960,- -,529639,226930,355903,429070,1806332,1970580,7708885,5856417,19615612
53,Total Current Liabilities,348728,635590,1052502,1530488,2399517,7136546,15422445,9888889,36720440,23226611,27222569
54,Long-Term Debt,- -,- -,- -,2050000,3250000,1977998,5532397,10969074,18422881,30292924,21858119
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,-2,7000,- -,-2,240013,338200,100200,14825200,37825200
58,Total Non-Current Liabilities,- -,- -,-2,2057000,3250000,1977996,5772410,11307274,18523081,45118124,59683319
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,6430683,5913193,5694514
61,Total Liabilities,348728,635590,1052500,3587488,5649517,9114542,21194855,21196163,55243521,68344735,86905888
62,Preferred Stock,- -,- -,- -,- -,- -,300,500,- -,- -,- -,- -
63,Common Stock,526,25412,31825,31954,32120,64075,176940,211013,228408,314419,334030
64,Retained Earnings,-377410,-1186950,-1752351,-8978892,-10196094,-10777657,-11971740,-25575808,-106760527,-104616538,-97392017
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,-1136188,-1498878,-2159830,-3135843,- -,- -
66,Other Total Stockholders Equity,218209,647783,707745,7254657,8178081,10741023,24124848,89509118,116549647,112979694,134920382
67,Total Stockholders Equity,-158675,-513755,-1012781,-1692281,-1985893,-1108447,10831670,61984493,6881685,8677575,37862395
68,Total Liabilities And Stockholders Equity,190053,121835,39719,1895207,3663624,8006095,32026525,83180656,62125206,77022310,124768283
69,Minority Interest,- -,- -,- -,-242909,54109,557006,175490,-220032,-553465,-577139,-1563382
70,Total Liabilities & Equity,190053,121835,39719,1652298,3717733,8563101,32202015,82960624,61571741,76445171,123204901
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1522767/000126493112000204/0001264931-12-000204-index.htm,https://www.sec.gov/Archives/edgar/data/1522767/000126493113000128/0001264931-13-000128-index.html,https://www.sec.gov/Archives/edgar/data/1522767/000126493114000130/0001264931-14-000130-index.htm,https://www.sec.gov/Archives/edgar/data/1522767/000126493115000233/0001264931-15-000233-index.htm,https://www.sec.gov/Archives/edgar/data/1522767/000126493116000414/0001264931-16-000414-index.htm,https://www.sec.gov/Archives/edgar/data/1522767/000126493117000034/0001264931-17-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1522767/000149315218004548/0001493152-18-004548-index.html,https://www.sec.gov/Archives/edgar/data/1522767/000149315219005497/0001493152-19-005497-index.htm,https://www.sec.gov/Archives/edgar/data/1522767/000149315220005546/0001493152-20-005546-index.html,https://www.sec.gov/Archives/edgar/data/1522767/000149315221006636/0001493152-21-006636-index.htm,https://www.sec.gov/Archives/edgar/data/1522767/000149315222006974/0001493152-22-006974-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,-377410,-809540,-535607,-7219541,-1215333,-198852,-1194083,-13604068,-81880925,2429267,7623551
74,Depreciation and Amortization,- -,- -,- -,20000,1206003,265746,362691,657854,1196606,2182091,2788029
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,181646,3198,35999,45946,163574,1210030,5760617,223148,990595,12729562
77,Change in Working Capital,71777,-355080,-499028,584196,-1021525,-2945770,-5937897,16153406,-31585690,-8260519,6687821
78,Accounts Receivable,- -,- -,- -,-50078,-473415,-601507,-920877,-4073482,-37701009,-5988861,-4697063
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,-495394,-5611142,-2937285
80,Accounts Payable,43818,210841,289034,507057,59737,341292,2359494,963083,632471,1071660,104615
81,Other Working Capital,-158675,-513755,-1012783,-428587,-1450112,-4395882,-10333779,5819627,-330981,- -,- -
82,Other Non-Cash Items,124366,855509,1020784,5886809,592028,2517370,6836334,-11875666,87908544,6038869,6025874
83,Cash Provided by Operating Activities,-181267,-127465,-10653,-692537,-392881,-197932,1277075,-2907857,-24138317,3380303,35854837
84,CAPEX,- -,- -,- -,-402666,-3048776,-3364070,-21012563,-8924311,-9977336,-4942795,-18565706
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-211823,- -,-10000
86,Purchases of Investments,- -,- -,-3077,- -,- -,- -,- -,-30000000,- -,- -,- -
87,Sales/Maturities of Investments,- -,17247,13684,23004,- -,- -,- -,- -,- -,- -,1475000
88,Other Investing Activites,- -,- -,- -,- -,-456316,24062,410022,-1145687,-2657045,224630,-215202
89,Cash Used for Investing Activites,- -,17247,10607,-379662,-3505092,-3340008,-20602541,-40069998,-12537389,-4463165,-16623838
90,Debt Repayment,- -,- -,- -,- -,- -,-175000,- -,-814141,-214035,-17508968,-16458798
91,Common Stock Issued,300070,- -,- -,- -,1500469,406157,6578000,31876621,2750000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-8868,-399831,- -,-690917,-474229,-308952,-409913
94,Other Financing Activites,- -,- -,- -,2051930,1578964,4115112,13468341,15420376,31248343,21161147,24321673
95,Cash Used/Provided by Financing Activities,300070,- -,- -,2051930,3070565,3946438,20046341,45791939,33310079,3343227,7452962
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,-110218,-47,979730,-1149127,408497,720875,2814084,-3365627,2260365,26683961
98,Cash at the End of Period,118803,8585,8538,988268,-160859,569356,1290231,4104315,738688,2999053,29683014
99,Cash at the Beginning of Period,- -,118803,8585,8538,988268,160859,569356,1290231,4104315,738688,2999053
100,Free Cash Flow,-181267,-127465,-10653,-1095203,-3441657,-3562002,-19735488,-11832168,-34115653,-1562492,17289131
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1522767/000126493112000204/0001264931-12-000204-index.htm,https://www.sec.gov/Archives/edgar/data/1522767/000126493113000128/0001264931-13-000128-index.html,https://www.sec.gov/Archives/edgar/data/1522767/000126493114000130/0001264931-14-000130-index.htm,https://www.sec.gov/Archives/edgar/data/1522767/000126493115000233/0001264931-15-000233-index.htm,https://www.sec.gov/Archives/edgar/data/1522767/000126493116000414/0001264931-16-000414-index.htm,https://www.sec.gov/Archives/edgar/data/1522767/000126493117000034/0001264931-17-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1522767/000149315218004548/0001493152-18-004548-index.html,https://www.sec.gov/Archives/edgar/data/1522767/000149315219005497/0001493152-19-005497-index.htm,https://www.sec.gov/Archives/edgar/data/1522767/000149315220005546/0001493152-20-005546-index.html,https://www.sec.gov/Archives/edgar/data/1522767/000149315221006636/0001493152-21-006636-index.htm,https://www.sec.gov/Archives/edgar/data/1522767/000149315222006974/0001493152-22-006974-index.htm
102,false,,,,,,,,,,,
