,https://roic.ai/company/NMIH,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
47,Total Assets,209758,542767734,481200000,125716000,98073000,199040000,153794000,144546000,44723000,2166666000,2450581000
48,Accounts Payable,1353264,8707573,10052000,- -,- -,- -,- -,31141000,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,665000,10646000,115781000,220035000,241889000,212645000,288634000,- -,- -
53,Total Current Liabilities,- -,- -,10717000,10646000,115781000,220035000,241889000,243786000,288634000,- -,- -
54,Long-Term Debt,- -,- -,- -,- -,143939000,144353000,143882000,146757000,145764000,393301000,394623000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,132600,133000,137000,137000,- -,- -,2740000,56360000,112586000,164175000
57,Other Non-Current Liabilities,- -,- -,2171000,- -,-137000,- -,- -,-2740000,-56360000,- -,- -
58,Total Non-Current Liabilities,- -,- -,2304000,137000,143939000,144353000,143882000,146757000,145764000,505887000,558798000
59,Other Liabilities,1558582,54020093,9589000,25798000,- -,- -,- -,- -,- -,1302962000,1443593000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,1558582,54020093,18002000,36307000,259720000,364388000,385771000,390543000,434398000,797075000,884795000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1,555001,581000,584000,588000,591000,605000,663000,684000,852000,858000
64,Retained Earnings,-1348825,-28840538,-84024000,-132930000,-160723000,-94882000,-74157000,33488000,205445000,377011000,608141000
65,Other Comprehensive Income/Loss,- -,- -,-7000000,-4000000,-7000000,-5000000,-3000000,-15000000,17000000,53856000,1485000
66,Other Total Stockholders Equity,- -,517033178,553660000,563304000,569866000,576640000,585629000,682349000,707291000,937872000,- -
67,Total Stockholders Equity,-1348824,488747641,463217000,426958000,402731000,477349000,509077000,701500000,930420000,1369591000,1565786000
68,Total Liabilities And Stockholders Equity,209758,542767734,481219000,463265000,662451000,841737000,894848000,1092043000,1364818000,2166666000,2450581000
69,Minority Interest,- -,- -,-19000,-337549000,-564378000,-642697000,-741054000,-947497000,-1320095000,- -,- -
70,Total Liabilities & Equity,209758,542767734,481200000,125716000,98073000,199040000,153794000,144546000,44723000,2166666000,2450581000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1547903/000154790314000029/0001547903-14-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1547903/000154790315000032/0001547903-15-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1547903/000154790316000203/0001547903-16-000203-index.htm,https://www.sec.gov/Archives/edgar/data/1547903/000154790317000032/0001547903-17-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1547903/000154790318000038/0001547903-18-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1547903/000154790319000017/0001547903-19-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1547903/000154790320000018/0001547903-20-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1547903/000154790321000055/0001547903-21-000055-index.htm,https://www.sec.gov/Archives/edgar/data/1547903/000154790322000060/0001547903-22-000060-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,- -,-27491713,-55184000,-48906000,-27793000,65841000,22050000,107927000,171957000,171566000,231130000
74,Depreciation and Amortization,- -,2917,8116000,8080000,4861000,5660000,6663000,7811000,9299000,9930000,11232000
75,Deferred Income Tax,- -,- -,- -,-2386000,- -,-54749000,31102000,25927000,45082000,46506000,65510000
76,Stock Based Compensation,- -,6115360,10367000,9180000,8174000,6854000,9484000,12557000,13031000,11115000,16678000
77,Change in Working Capital,- -,4235414,45212000,47163000,-150839000,-113825000,-50404000,4201000,-29053000,247545000,-6130000
78,Accounts Receivable,- -,- -,-19000,-1029000,-4095000,-8585000,-11451000,-10828000,-10078000,-16363000,-13291000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,3300000,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,45212000,92375000,-58464000,-172289000,-222693000,-218492000,-247545000,- -,-683000
82,Other Non-Cash Items,- -,2541765,-44822000,-34135000,207060000,162163000,48868000,-12562000,-2166000,-234064000,7299000
83,Cash Provided by Operating Activities,- -,-14596257,-36311000,-21004000,41463000,71944000,67763000,145861000,208150000,252598000,325719000
84,CAPEX,- -,-2446504,-6692000,-8220000,-6135000,-11471000,-8510000,-8060000,-9956000,-12159000,-12238000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-4861628,-560385000,-60462000,-364931000,-313635000,-350275000,-614253000,-520895000,-1108157000,-525045000
87,Sales/Maturities of Investments,- -,- -,147128000,136764000,140901000,245314000,265713000,401663000,336496000,490762000,163103000
88,Other Investing Activites,- -,-2500000,- -,- -,- -,- -,- -,- -,- -,- -,-12238000
89,Cash Used for Investing Activites,- -,-9808132,-419949000,68082000,-230165000,-79792000,-93072000,-220650000,-194355000,-629554000,-374180000
90,Debt Repayment,- -,- -,- -,- -,-375000,-1500000,-1500000,-147375000,-1500000,-147750000,- -
91,Common Stock Issued,- -,510812463,27912000,1097000,415000,532000,- -,79165000,- -,219687000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,-552657,-1578000,-1083000,142958000,-755000,-1741000,149097000,3500000,390867000,-1830000
95,Cash Used/Provided by Financing Activities,- -,510259806,26334000,14000,142998000,-1723000,-3241000,80887000,2000000,462804000,-1830000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,485855417,-429926000,47092000,-45704000,-9571000,-28550000,6098000,15795000,85848000,-50291000
98,Cash at the End of Period,- -,485855418,55929000,103021000,57317000,47746000,19196000,25294000,41089000,126937000,76646000
99,Cash at the Beginning of Period,- -,1,485855000,55929000,103021000,57317000,47746000,19196000,25294000,41089000,126937000
100,Free Cash Flow,- -,-17042761,-43003000,-29224000,35328000,60473000,59253000,137801000,198194000,240439000,313481000
101,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1547903/000154790314000029/0001547903-14-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1547903/000154790315000032/0001547903-15-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1547903/000154790316000203/0001547903-16-000203-index.htm,https://www.sec.gov/Archives/edgar/data/1547903/000154790317000032/0001547903-17-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1547903/000154790318000038/0001547903-18-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1547903/000154790319000017/0001547903-19-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1547903/000154790320000018/0001547903-20-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1547903/000154790321000055/0001547903-21-000055-index.htm,https://www.sec.gov/Archives/edgar/data/1547903/000154790322000060/0001547903-22-000060-index.htm
102,false,,,,,,,,,,,
