,https://roic.ai/company/MUSS,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
28,Weighted Average Shares Outstanding Diluted,14040000,14980000,15110000,15110000,15110000,15200000,15490000,15970000,17990000,18120000,18750000,19527207,20779754,20779754,21096969,21096969,21096969,21096969,21096969,21096969,- -,- -,420000,1558863,1898727,1899368,1899575,1899575,1899575,1899575,1899575,1899575,1899575
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/723733/000114420407056581/v089688_10ksb.htm,https://www.sec.gov/Archives/edgar/data/723733/000121390008002199/0001213900-08-002199-index.htm,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/723733/000072373313000006/0000723733-13-000006-index.htm,https://www.sec.gov/Archives/edgar/data/723733/000072373314000002/0000723733-14-000002-index.html,https://www.sec.gov/Archives/edgar/data/723733/000072373315000002/0000723733-15-000002-index.html,https://www.sec.gov/Archives/edgar/data/723733/000072373316000011/0000723733-16-000011-index.html,https://www.sec.gov/Archives/edgar/data/723733/000072373317000003/0000723733-17-000003-index.html,https://www.sec.gov/Archives/edgar/data/723733/000072373318000007/0000723733-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/723733/000072373319000003/0000723733-19-000003-index.html,https://www.sec.gov/Archives/edgar/data/723733/000072373320000002/multi-20200131.htm,https://www.sec.gov/Archives/edgar/data/723733/000072373321000002/0000723733-21-000002-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,140000,- -,- -,- -,50000,30000,20000,90000,10000,30000,20000,342207,22846,3511,- -,4090,1912,23652,11888,47,- -,- -,- -,- -,5273,9763,27032,34807,40059,6052,23388,29772,8608
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,168000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,140000,- -,- -,- -,50000,30000,20000,90000,10000,30000,20000,342207,190846,3511,- -,4090,1912,23652,11888,47,- -,- -,- -,- -,5273,9763,27032,34807,40059,6052,23388,29772,8608
34,Net Receivables,1090000,1630000,510000,740000,180000,250000,100000,100000,20000,60000,130000,140484,111099,22991,3440,- -,1025,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,100000,10000,10000,10000,20000,10000,10000,20000,20000,10000,144992,22641,23824,6812,6812,512,512,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
37,Total Current Assets,1230000,1730000,520000,750000,240000,300000,130000,200000,50000,110000,160000,627683,324586,50326,10252,10902,3449,24164,11888,47,- -,- -,- -,- -,5273,9763,27032,34807,40059,6052,23388,29772,8608
38,PP&E,220000,250000,200000,140000,70000,20000,10000,- -,30000,70000,70000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,720000,740000,780000,800000,- -,- -,3872,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,720000,740000,780000,800000,- -,- -,3872,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,1000000,370000,900000,910000,660000,700000,720000,10000,- -,- -,- -,957991,1136034,1043968,274801,120999,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,1220000,620000,1100000,1050000,730000,720000,730000,730000,770000,850000,870000,957991,1136034,1047840,274801,120999,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2450000,2350000,1620000,1800000,970000,1020000,860000,930000,820000,960000,1030000,1585674,1460620,1098166,285053,131901,3449,24164,11888,47,- -,- -,- -,- -,5273,9763,27032,34807,40059,6052,23388,29772,8608
48,Accounts Payable,260000,490000,440000,560000,520000,370000,300000,220000,170000,170000,200000,95692,119920,226788,57319,68201,37075,195557,116453,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
49,Short-Term Debt,- -,270000,70000,180000,90000,320000,50000,40000,40000,30000,10000,- -,- -,- -,7947,- -,- -,142880,179540,179540,- -,- -,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,105214,72552,55511,44463,4998,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,80000,350000,460000,620000,650000,740000,990000,520000,310000,440000,400000,367555,221122,341921,403875,398084,274216,28888,32988,157141,- -,- -,80000,14500,3770,4998,15000,29300,47300,40500,48941,53140,62673
53,Total Current Liabilities,340000,1110000,970000,1360000,1260000,1430000,1340000,780000,520000,640000,610000,463247,446256,641261,524652,510748,316289,367325,328981,336681,- -,- -,90000,14500,3770,4998,15000,29300,47300,40500,48941,53140,62673
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,- -,- -,- -,- -,- -,475317,535257,630183,720052,781522
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,270000,40000,- -,- -,- -,240000,200000,650000,710000,580000,590000,1150000,1300000,1300000,586605,586605,- -,- -,- -,- -,- -,- -,-40000,53766,153843,238680,326242,399406,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,270000,40000,- -,- -,- -,240000,200000,650000,710000,580000,590000,1150000,1300000,1300000,586605,586605,- -,- -,- -,- -,- -,- -,160000,53766,153843,238680,326242,399406,475317,535257,630183,720052,781522
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,610000,1150000,970000,1360000,1260000,1670000,1540000,1430000,1230000,1220000,1200000,1049852,1032861,1227866,1111257,1097353,316289,367325,328981,336681,- -,- -,250000,68266,157613,243678,341242,428706,522617,575757,679124,773192,844195
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20170,21098,21098,21098,21098,21098,21098,21098,21098,- -,- -,- -,1899,1899,1900,1900,1900,1900,1900,1900,1900,1900
64,Retained Earnings,-6350000,-7060000,-7670000,-7880000,-8600000,-8990000,-9110000,-9090000,-9030000,-8930000,-8850000,-8927408,-9527235,-10017017,-10891521,-11030769,-11171114,-11201435,-11175367,-11194908,- -,- -,-8510000,-8488850,-8529007,-8654499,-8734794,-8814483,-8903142,-8990289,-9076320,-9164004,-9256171
65,Other Comprehensive Income/Loss,-230000,-300000,-380000,-450000,-520000,-530000,-470000,-270000,-10000,-10000,-20000,-27515,-45172,-64102,-1466306,-1596770,-1702582,-1702582,-1702582,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,8400000,8540000,8680000,8760000,8820000,8840000,8880000,8840000,8600000,8660000,8680000,8913971,9264704,9296329,10698533,10828997,10934809,10934809,10934809,9232227,- -,- -,8260000,8418685,8374768,8418684,8418684,8418684,8418684,8418684,8418684,8418684,8418684
67,Total Stockholders Equity,1840000,1200000,650000,450000,-280000,-660000,-680000,-500000,-420000,-260000,-170000,-20782,-286605,-763692,-1638196,-1777444,-1917789,-1948110,-1922042,-1941583,- -,- -,-250000,-68266,-152340,-233915,-314210,-393899,-482558,-569705,-655736,-743420,-835587
68,Total Liabilities And Stockholders Equity,2450000,2350000,1620000,1810000,980000,1010000,860000,930000,810000,960000,1030000,1029070,746256,464174,-526939,-680091,-1601500,-1580785,-1593061,-1604902,- -,- -,- -,- -,5273,9763,27032,34807,40059,6052,23388,29772,8608
69,Minority Interest,- -,- -,- -,-10000,-10000,10000,- -,- -,10000,- -,- -,556604,714364,633992,811992,811992,1604949,1604949,1604949,1604949,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,2450000,2350000,1620000,1800000,970000,1020000,860000,930000,820000,960000,1030000,1585674,1460620,1098166,285053,131901,3449,24164,11888,47,- -,- -,- -,- -,5273,9763,27032,34807,40059,6052,23388,29772,8608
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/723733/000114420407056581/v089688_10ksb.htm,https://www.sec.gov/Archives/edgar/data/723733/000121390008002199/0001213900-08-002199-index.htm,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/723733/000072373313000006/0000723733-13-000006-index.htm,https://www.sec.gov/Archives/edgar/data/723733/000072373314000002/0000723733-14-000002-index.html,https://www.sec.gov/Archives/edgar/data/723733/000072373315000002/0000723733-15-000002-index.html,https://www.sec.gov/Archives/edgar/data/723733/000072373316000011/0000723733-16-000011-index.html,https://www.sec.gov/Archives/edgar/data/723733/000072373317000003/0000723733-17-000003-index.html,https://www.sec.gov/Archives/edgar/data/723733/000072373318000007/0000723733-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/723733/000072373319000003/0000723733-19-000003-index.html,https://www.sec.gov/Archives/edgar/data/723733/000072373320000002/multi-20200131.htm,https://www.sec.gov/Archives/edgar/data/723733/000072373321000002/0000723733-21-000002-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,890000,-710000,-610000,-210000,-730000,-590000,-570000,20000,- -,- -,50000,-127519,-599827,-489782,-774199,-139249,-140345,-30321,26068,-19541,- -,- -,-40000,-49014,-84074,-81575,-80295,-79689,-88659,-87147,-86031,-87684,-92167
74,Depreciation and Amortization,230000,120000,260000,540000,750000,370000,310000,370000,350000,290000,250000,-243280,-198812,-174736,4375,4772,239,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-1930000,-270000,-1070000,-160000,-410000,-110000,-80000,630000,110000,-60000,80000,614436,-286106,-469265,76535,14554,187006,-30321,26068,-19541,- -,- -,246634,75500,16003,3262,7267,-6525,-12748,-27207,8895,2185,-30697
78,Accounts Receivable,- -,-660000,170000,-230000,560000,-70000,150000,- -,80000,-40000,-70000,-8168,29385,88108,19551,3440,-1025,1025,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,-230000,50000,-120000,40000,150000,70000,80000,50000,- -,-30000,-100724,24228,106868,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,890000,620000,-450000,-610000,-1020000,-1130000,-1210000,-580000,-470000,-530000,-450000,164436,-121670,-590935,-514400,-499846,-312840,-343161,-317093,-336634,- -,- -,-90000,-14500,1503,4765,12032,5507,-7241,-34448,-25553,-23368,-54065
82,Other Non-Cash Items,710000,890000,2350000,220000,960000,340000,450000,-710000,-290000,110000,-160000,-312570,718475,1346935,-273656,-17071,-376190,-57618,-86400,27241,- -,- -,-206634,-26486,13344,17803,30297,53989,66659,60347,44472,51883,91700
83,Cash Provided by Operating Activities,-100000,30000,930000,390000,570000,10000,110000,310000,170000,340000,220000,-68933,-366270,213152,-966945,-136994,-329290,-118260,-34264,-11841,- -,- -,- -,- -,-54727,-60510,-42731,-32225,-34748,-54007,-32664,-33616,-31164
84,CAPEX,-40000,-450000,-730000,-490000,-440000,-370000,-330000,-370000,-390000,-370000,-260000,-52856,-22716,-4635,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-168000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,131732,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,20000,- -,- -,- -,- -,- -,-281958,-354139,-291907,764792,149030,120760,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-40000,-450000,-730000,-490000,-440000,-350000,-330000,-370000,-390000,-370000,-260000,-334814,-544855,-164810,764792,149030,120760,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7947,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,230000,- -,- -,- -,- -,100000,180000,160000,10000,50000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,270000,-200000,100000,-80000,230000,20000,-30000,140000,- -,30000,727534,591763,-67677,198642,- -,206352,140000,22500,- -,- -,- -,- -,- -,60000,65000,60000,40000,40000,20000,50000,40000,10000
95,Cash Used/Provided by Financing Activities,230000,270000,-200000,100000,-80000,330000,200000,130000,150000,50000,30000,727534,591763,-67677,198642,-7947,206352,140000,22500,- -,- -,- -,- -,- -,60000,65000,60000,40000,40000,20000,50000,40000,10000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,80000,-140000,- -,- -,40000,-10000,-20000,70000,-80000,20000,-10000,323787,-319362,-19335,198642,-7947,-2178,21740,-11764,-11841,- -,- -,- -,- -,60000,4490,17269,7775,5252,-34007,17336,6384,-21164
98,Cash at the End of Period,80000,- -,- -,- -,40000,40000,10000,90000,10000,30000,20000,342207,22845,3511,- -,4090,1912,23652,11888,47,- -,- -,- -,- -,5273,9763,27032,34807,40059,6052,23388,29772,8608
99,Cash at the Beginning of Period,- -,140000,- -,- -,- -,50000,30000,20000,90000,10000,30000,18420,342207,22846,3511,- -,4090,1912,23652,11888,- -,- -,- -,- -,- -,5273,9763,27032,34807,40059,6052,23388,29772
100,Free Cash Flow,-140000,-420000,200000,-100000,130000,-360000,-220000,-60000,-220000,-30000,-40000,-121789,-388986,208517,-966945,-136994,-329290,-118260,-34264,-11841,- -,- -,- -,- -,-54727,-60510,-42731,-32225,-34748,-54007,-32664,-33616,-31164
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/723733/000114420407056581/v089688_10ksb.htm,https://www.sec.gov/Archives/edgar/data/723733/000121390008002199/0001213900-08-002199-index.htm,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/723733/000072373313000006/0000723733-13-000006-index.htm,https://www.sec.gov/Archives/edgar/data/723733/000072373314000002/0000723733-14-000002-index.html,https://www.sec.gov/Archives/edgar/data/723733/000072373315000002/0000723733-15-000002-index.html,https://www.sec.gov/Archives/edgar/data/723733/000072373316000011/0000723733-16-000011-index.html,https://www.sec.gov/Archives/edgar/data/723733/000072373317000003/0000723733-17-000003-index.html,https://www.sec.gov/Archives/edgar/data/723733/000072373318000007/0000723733-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/723733/000072373319000003/0000723733-19-000003-index.html,https://www.sec.gov/Archives/edgar/data/723733/000072373320000002/multi-20200131.htm,https://www.sec.gov/Archives/edgar/data/723733/000072373321000002/0000723733-21-000002-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
