,https://roic.ai/company/COCP,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1412486/000113709108000121/0001137091-08-000121-index.htm,https://www.sec.gov/Archives/edgar/data/1412486/000113709109000128/0001137091-09-000128-index.htm,https://www.sec.gov/Archives/edgar/data/1412486/000146929910000109/0001469299-10-000109-index.htm,https://www.sec.gov/Archives/edgar/data/1412486/000146929911000103/0001469299-11-000103-index.htm,https://www.sec.gov/Archives/edgar/data/1412486/000152153612000282/0001521536-12-000282-index.htm,https://www.sec.gov/Archives/edgar/data/1412486/000152153613000307/0001521536-13-000307-index.htm,https://www.sec.gov/Archives/edgar/data/1412486/000141588914001020/0001415889-14-001020-index.htm,https://www.sec.gov/Archives/edgar/data/1412486/000141588915001157/0001415889-15-001157-index.htm,https://www.sec.gov/Archives/edgar/data/1412486/000141588916005091/0001415889-16-005091-index.htm,https://www.sec.gov/Archives/edgar/data/1412486/000149315217003110/0001493152-17-003110-index.htm,https://www.sec.gov/Archives/edgar/data/1412486/000149315218003708/0001493152-18-003708-index.htm,https://www.sec.gov/Archives/edgar/data/1412486/000149315219004386/0001493152-19-004386-index.htm,https://www.sec.gov/Archives/edgar/data/1412486/000149315220004916/0001493152-20-004916-index.htm,https://www.sec.gov/Archives/edgar/data/1412486/000149315221006211/0001493152-21-006211-index.htm,https://www.sec.gov/Archives/edgar/data/1412486/000149315222007551/0001493152-22-007551-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,109846,74588,43055,22778,416333,62296,589471,3970000,9276000,3640000,748000,2723000,7418000,33010000,58705000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,1975000,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,109846,74588,43055,22778,416333,62296,589471,5945000,9276000,3640000,748000,2723000,7418000,33010000,58705000
34,Net Receivables,- -,- -,- -,- -,523039,834998,- -,287000,202000,1315000,1295000,- -,644000,556000,- -
35,Inventory,- -,- -,- -,- -,1819751,1651087,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,548,2568,- -,145313,121912,5866798,144000,441000,517000,133000,220000,219000,449000,618000
37,Total Current Assets,109846,75136,45623,22778,2904436,2670293,6456269,6376000,9919000,5472000,2176000,2943000,8281000,34015000,59323000
38,PP&E,- -,732,5596,5260,3342447,3333919,- -,284000,430000,280000,119000,384000,1108000,1089000,931000
39,Goodwill,- -,- -,- -,- -,1026984,1026984,- -,65195000,65195000,65195000,65195000,65195000,19092000,19092000,19092000
40,Intangible Assets,- -,- -,- -,- -,247450,190894,- -,184966000,146301000,53905000,53905000,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,1274434,1217878,- -,250161000,211496000,119100000,119100000,65195000,19092000,19092000,19092000
42,Investments,- -,61335,61335,61335,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,61335,- -,- -,- -,25319,17677,- -,2462000,2385000,31000,31000,40000,50000,46000,46000
45,Total Non-Current Assets,61335,62067,66931,66595,4642200,4569474,- -,252907000,214311000,119411000,119250000,65619000,20250000,20227000,20069000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,171181,137203,112554,89373,7546636,7239767,6456269,259283000,224230000,124883000,121426000,68562000,28531000,54242000,79392000
48,Accounts Payable,24051,- -,- -,- -,1616673,736279,- -,299000,2585000,563000,837000,616000,1511000,657000,- -
49,Short-Term Debt,- -,- -,- -,- -,3410456,2753619,- -,- -,- -,- -,- -,214000,280000,217000,236000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,41859,58014,82443,2251041,4435615,12482451,8858000,4115000,1476000,569000,727000,495000,484000,1309000
53,Total Current Liabilities,24051,41859,58014,82443,7278170,7925513,12482451,9157000,6700000,2039000,1406000,1557000,2286000,1358000,1545000
54,Long-Term Debt,- -,- -,- -,- -,3037591,2894579,- -,- -,- -,- -,1007000,- -,- -,- -,291000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,65195000,49875000,20462000,13582000,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,178280000,61000,63000,31000,117000,537000,379000,-1538000
58,Total Non-Current Liabilities,- -,- -,- -,- -,3037591,2894579,- -,243475000,49936000,20525000,14620000,117000,537000,379000,-1247000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,331000,817000,596000,- -
61,Total Liabilities,24051,41859,58014,82443,10315761,10820092,12482451,252632000,56636000,22564000,16026000,1674000,2823000,1737000,298000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,3770,3770,3770,3770,55181,63143,113939,123000,694000,714000,24000,30000,36000,71000,98000
64,Retained Earnings,-61570,-114487,-155857,-204335,-6163477,-14128079,-33749980,-12434000,-62556000,-137430000,-138043000,-187091000,-235260000,-244908000,-259093000
65,Other Comprehensive Income/Loss,- -,-280,-616,-952,-4558202,-4929037,- -,236000,-1153000,-1354000,-1358000,-983000,-1081000,- -,- -
66,Other Total Stockholders Equity,205630,207710,209846,211982,7897373,15413648,27609859,18726000,230609000,240389000,244777000,254932000,262013000,297342000,336544000
67,Total Stockholders Equity,147830,96713,57143,10465,-2769125,-3580325,-6026182,6651000,167594000,102319000,105400000,66888000,25708000,52505000,77549000
68,Total Liabilities And Stockholders Equity,171881,138572,115157,92908,7546636,7239767,6456269,259283000,224230000,124883000,121426000,68562000,28531000,54242000,77847000
69,Minority Interest,-700,-1369,-2603,-3535,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1545000
70,Total Liabilities & Equity,171181,137203,112554,89373,7546636,7239767,6456269,259283000,224230000,124883000,121426000,68562000,28531000,54242000,79392000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1412486/000113709108000121/0001137091-08-000121-index.htm,https://www.sec.gov/Archives/edgar/data/1412486/000113709109000128/0001137091-09-000128-index.htm,https://www.sec.gov/Archives/edgar/data/1412486/000146929910000109/0001469299-10-000109-index.htm,https://www.sec.gov/Archives/edgar/data/1412486/000146929911000103/0001469299-11-000103-index.htm,https://www.sec.gov/Archives/edgar/data/1412486/000152153612000282/0001521536-12-000282-index.htm,https://www.sec.gov/Archives/edgar/data/1412486/000152153613000307/0001521536-13-000307-index.htm,https://www.sec.gov/Archives/edgar/data/1412486/000141588914001020/0001415889-14-001020-index.htm,https://www.sec.gov/Archives/edgar/data/1412486/000141588915001157/0001415889-15-001157-index.htm,https://www.sec.gov/Archives/edgar/data/1412486/000141588916005091/0001415889-16-005091-index.htm,https://www.sec.gov/Archives/edgar/data/1412486/000149315217003110/0001493152-17-003110-index.htm,https://www.sec.gov/Archives/edgar/data/1412486/000149315218003708/0001493152-18-003708-index.htm,https://www.sec.gov/Archives/edgar/data/1412486/000149315219004386/0001493152-19-004386-index.htm,https://www.sec.gov/Archives/edgar/data/1412486/000149315220004916/0001493152-20-004916-index.htm,https://www.sec.gov/Archives/edgar/data/1412486/000149315221006211/0001493152-21-006211-index.htm,https://www.sec.gov/Archives/edgar/data/1412486/000149315222007551/0001493152-22-007551-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,-58723,-52917,-41370,-48478,-5457310,-7964602,-19621901,-99000,-50122000,-74874000,-613000,-49048000,-48169000,-9648000,-14185000
74,Depreciation and Amortization,- -,280,336,336,531844,439420,138655,199000,192000,201000,101000,50000,254000,336000,382000
75,Deferred Income Tax,- -,- -,- -,- -,3272,- -,- -,-52000,-15267000,-29413000,-6880000,-13582000,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,120000,9336184,38000,2934000,548000,614000,562000,351000,662000,724000
77,Change in Working Capital,22757,-52518,-45668,-47274,-4314069,-881486,-770962,3245182,6000000,214000,-2663000,616000,4609000,26662000,25121000
78,Accounts Receivable,- -,- -,- -,- -,560353,-461762,- -,- -,- -,11000,20000,- -,-644000,88000,556000
79,Inventory,- -,- -,- -,- -,-665914,-237254,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,652240,-880394,- -,- -,- -,- -,- -,- -,- -,- -,217000
81,Other Working Capital,85795,33277,-12391,-59665,-4373734,-5255220,-6026182,-2781000,3219000,3433000,770000,1386000,5995000,32657000,57778000
82,Other Non-Cash Items,1800,71578,61603,76071,8815310,6815272,6349394,-9340182,45946000,88669000,2538000,53112000,41392000,-27842000,-24761000
83,Cash Provided by Operating Activities,-34166,-33577,-25099,-19345,-420953,-1471396,-4568630,-6009000,-10317000,-14655000,-6903000,-8290000,-1563000,-9830000,-12719000
84,CAPEX,- -,-1012,-5200,- -,-575430,-374336,- -,-5000,-339000,-51000,-40000,-28000,-145000,-240000,-52000
85,Acquisitions Net,- -,-669,- -,- -,585720,- -,- -,783000,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-4535,- -,- -,- -,- -,- -,- -,-2626000,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,7900000,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-1234,-932,- -,- -,- -,27000,77000,54000,- -,1400000,- -,- -,- -
89,Cash Used for Investing Activites,-4535,-1681,-6434,-932,10290,-374336,- -,6079000,-262000,3000,-40000,1372000,-145000,-240000,-52000
90,Debt Repayment,- -,- -,- -,- -,-2876268,-2872001,-1400000,- -,- -,- -,- -,-19000,-214000,-121000,-234000
91,Common Stock Issued,132450,- -,- -,- -,705000,650000,950000,2750000,15862000,9013000,3000000,7684000,6638000,35783000,38505000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-30000,- -,- -,- -,2746789,3713696,5600000,116000,23000,3000,1080000,1228000,- -,- -,195000
95,Cash Used/Provided by Financing Activities,102450,- -,- -,- -,575521,1491695,5150000,2866000,15885000,9016000,4080000,8893000,6424000,35662000,38466000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,63749,-35258,-31533,-20277,164858,-354037,581370,2936000,5306000,-5636000,-2863000,1975000,4716000,25592000,25695000
98,Cash at the End of Period,109846,74588,43055,22778,416333,62296,589471,3970000,9276000,3640000,777000,2752000,7468000,33060000,58755000
99,Cash at the Beginning of Period,46097,109846,74588,43055,251475,416333,8101,1034000,3970000,9276000,3640000,777000,2752000,7468000,33060000
100,Free Cash Flow,-34166,-34589,-30299,-19345,-996383,-1845732,-4568630,-6014000,-10656000,-14706000,-6943000,-8318000,-1708000,-10070000,-12771000
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1412486/000113709108000121/0001137091-08-000121-index.htm,https://www.sec.gov/Archives/edgar/data/1412486/000113709109000128/0001137091-09-000128-index.htm,https://www.sec.gov/Archives/edgar/data/1412486/000146929910000109/0001469299-10-000109-index.htm,https://www.sec.gov/Archives/edgar/data/1412486/000146929911000103/0001469299-11-000103-index.htm,https://www.sec.gov/Archives/edgar/data/1412486/000152153612000282/0001521536-12-000282-index.htm,https://www.sec.gov/Archives/edgar/data/1412486/000152153613000307/0001521536-13-000307-index.htm,https://www.sec.gov/Archives/edgar/data/1412486/000141588914001020/0001415889-14-001020-index.htm,https://www.sec.gov/Archives/edgar/data/1412486/000141588915001157/0001415889-15-001157-index.htm,https://www.sec.gov/Archives/edgar/data/1412486/000141588916005091/0001415889-16-005091-index.htm,https://www.sec.gov/Archives/edgar/data/1412486/000149315217003110/0001493152-17-003110-index.htm,https://www.sec.gov/Archives/edgar/data/1412486/000149315218003708/0001493152-18-003708-index.htm,https://www.sec.gov/Archives/edgar/data/1412486/000149315219004386/0001493152-19-004386-index.htm,https://www.sec.gov/Archives/edgar/data/1412486/000149315220004916/0001493152-20-004916-index.htm,https://www.sec.gov/Archives/edgar/data/1412486/000149315221006211/0001493152-21-006211-index.htm,https://www.sec.gov/Archives/edgar/data/1412486/000149315222007551/0001493152-22-007551-index.htm
102,false,,,,,,,,,,,,,,,
