,https://roic.ai/company/MHH,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,0.0623,0.0520,0.0364,0.0197,0.0092,0.0125,0.0210,0.0356,0.0302,0.0223,0.0191,0.0110,0.0378,0.0576,0.0508,0.0550
25,EPS,0.77,0.60,0.39,0.16,0.07,0.12,0.26,0.46,0.40,0.32,0.28,0.17,0.61,1.01,0.87,1.07
26,EPS Diluted,0.77,0.60,0.39,0.15,0.07,0.12,0.26,0.44,0.39,0.31,0.28,0.17,0.60,0.99,0.83,1.02
27,Weighted Average Shares Outstanding,9016792,9000000,9017500,9020000,9182500,9132500,8150000,8386000,8640000,8676000,8786000,9924000,10950000,11029000,11292000,11436000
28,Weighted Average Shares Outstanding Diluted,9016792,9000000,9027500,9265000,9365000,9390000,8402500,8684000,8918000,8882000,8964000,9998000,11161000,11232000,11950000,12007000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1437226/000119312509058360/0001193125-09-058360-index.htm,https://www.sec.gov/Archives/edgar/data/1437226/000119312510050106/0001193125-10-050106-index.htm,https://www.sec.gov/Archives/edgar/data/1437226/000119312511070032/0001193125-11-070032-index.htm,https://www.sec.gov/Archives/edgar/data/1437226/000119312512129593/0001193125-12-129593-index.htm,https://www.sec.gov/Archives/edgar/data/1437226/000119312513121179/0001193125-13-121179-index.htm,https://www.sec.gov/Archives/edgar/data/1437226/000119312514110155/0001193125-14-110155-index.htm,https://www.sec.gov/Archives/edgar/data/1437226/000119312515099707/0001193125-15-099707-index.htm,https://www.sec.gov/Archives/edgar/data/1437226/000119312516517521/0001193125-16-517521-index.htm,https://www.sec.gov/Archives/edgar/data/1437226/000119312517094899/0001193125-17-094899-index.htm,https://www.sec.gov/Archives/edgar/data/1437226/000119312518093873/0001193125-18-093873-index.htm,https://www.sec.gov/Archives/edgar/data/1437226/000119312519091669/0001193125-19-091669-index.htm,https://www.sec.gov/Archives/edgar/data/1437226/000119312520090186/0001193125-20-090186-index.htm,https://www.sec.gov/Archives/edgar/data/1437226/000119312521082076/0001193125-21-082076-index.htm,https://www.sec.gov/Archives/edgar/data/1437226/000119312522074092/0001193125-22-074092-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,5378000,1524000,4361000,7113000,6334000,5755000,659000,424000,2568000,848000,829000,2478000,1294000,2981000,7677000,6622000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,5378000,1524000,4361000,7113000,6334000,5755000,659000,424000,2568000,848000,829000,2478000,1294000,2981000,7677000,6622000
34,Net Receivables,13348000,11444000,9240000,7232000,9721000,11925000,13791000,15011000,15226000,19190000,21102000,30662000,38080000,32352000,32134000,43393000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,1179000,483000,629000,713000,1572000,1223000,941000,965000,1046000,804000,1033000,1533000,1321000,1597000,1346000,3890000
37,Total Current Assets,19905000,13451000,14230000,15058000,17627000,18903000,15391000,16400000,18840000,20842000,22964000,34673000,40695000,36930000,41157000,53905000
38,PP&E,619000,425000,235000,160000,185000,273000,249000,174000,701000,656000,558000,1899000,2208000,7093000,5257000,7932000
39,Goodwill,- -,- -,- -,- -,405000,405000,405000,- -,- -,8427000,8427000,35844000,26106000,26106000,32510000,32510000
40,Intangible Assets,- -,- -,- -,- -,93000,53000,24000,- -,- -,8126000,7313000,25465000,22738000,20050000,21930000,18760000
41,Intangible Assets,- -,- -,- -,- -,498000,458000,429000,- -,- -,16553000,15740000,61309000,48844000,46156000,54440000,51270000
42,Investments,- -,- -,41000,5000,5000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,134000,327000,191000,87000,82000,80000,91000,248000,188000,92000,- -,468000,297000,- -,796000,- -
44,Other Non-Current Assets,- -,62000,- -,- -,- -,74000,260000,229000,315000,334000,229000,255000,540000,405000,396000,595000
45,Total Non-Current Assets,753000,814000,467000,252000,770000,885000,1029000,651000,1204000,17635000,16527000,63931000,51889000,53654000,60889000,59797000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,20658000,14265000,14697000,15310000,18397000,19788000,16420000,17051000,20044000,38477000,39491000,98604000,92584000,90584000,102046000,113702000
48,Accounts Payable,2444000,2873000,2454000,1653000,2695000,2309000,1984000,2026000,1514000,2213000,1963000,5028000,4127000,4027000,2589000,4954000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,2610000,12000,- -,1800000,1800000,4003000,4575000,4575000,4400000,5879000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,30000,41000,51000,5000,141000,106000,173000,47000,119000,341000,196000,430000,258000,237000,478000,- -
52,Other Current Liabilities,6555000,3515000,2789000,2400000,3213000,4326000,4766000,5506000,5543000,7582000,8298000,10648000,8946000,10252000,14504000,16011000
53,Total Current Liabilities,9029000,6429000,5294000,4058000,6049000,6741000,9533000,7591000,7176000,11936000,12257000,20109000,17906000,19091000,21971000,26844000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,10738000,8136000,34149000,34129000,20682000,12875000,12040000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26000,- -,- -,1025000,- -,265000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17193000,6273000,3506000,7667000,125000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,10738000,8162000,51342000,40402000,25213000,20542000,12430000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4717000,3404000,5185000
61,Total Liabilities,9029000,6429000,5294000,4058000,6049000,6741000,9533000,7591000,7176000,22674000,20419000,71451000,58308000,44304000,42513000,39274000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,180000,- -,36000,36000,37000,37000,39000,50000,51000,52000,53000,63000,126000,127000,130000,131000
64,Retained Earnings,11449000,7656000,289000,1686000,2349000,3462000,-1081000,601000,4024000,6777000,9297000,10923000,17614000,28759000,38620000,50841000
65,Other Comprehensive Income/Loss,-1674000,-1980000,-2256000,-2469000,-2499000,-2640000,-2814000,-2784000,-1270000,-1473000,-1639000,-1847000,-1890000,-2619000,-539000,-607000
66,Other Total Stockholders Equity,1674000,2160000,11334000,11999000,12461000,12188000,10743000,11593000,10063000,10447000,11361000,18014000,18426000,20013000,21322000,24063000
67,Total Stockholders Equity,11629000,7836000,9403000,11252000,12348000,13047000,6887000,9460000,12868000,15803000,19072000,27153000,34276000,46280000,59533000,74428000
68,Total Liabilities And Stockholders Equity,20658000,14265000,14697000,15310000,18397000,19788000,16420000,17051000,20044000,38477000,39491000,98604000,92584000,90584000,102046000,113702000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,20658000,14265000,14697000,15310000,18397000,19788000,16420000,17051000,20044000,38477000,39491000,98604000,92584000,90584000,102046000,113702000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1437226/000119312509058360/0001193125-09-058360-index.htm,https://www.sec.gov/Archives/edgar/data/1437226/000119312510050106/0001193125-10-050106-index.htm,https://www.sec.gov/Archives/edgar/data/1437226/000119312511070032/0001193125-11-070032-index.htm,https://www.sec.gov/Archives/edgar/data/1437226/000119312512129593/0001193125-12-129593-index.htm,https://www.sec.gov/Archives/edgar/data/1437226/000119312513121179/0001193125-13-121179-index.htm,https://www.sec.gov/Archives/edgar/data/1437226/000119312514110155/0001193125-14-110155-index.htm,https://www.sec.gov/Archives/edgar/data/1437226/000119312515099707/0001193125-15-099707-index.htm,https://www.sec.gov/Archives/edgar/data/1437226/000119312516517521/0001193125-16-517521-index.htm,https://www.sec.gov/Archives/edgar/data/1437226/000119312517094899/0001193125-17-094899-index.htm,https://www.sec.gov/Archives/edgar/data/1437226/000119312518093873/0001193125-18-093873-index.htm,https://www.sec.gov/Archives/edgar/data/1437226/000119312519091669/0001193125-19-091669-index.htm,https://www.sec.gov/Archives/edgar/data/1437226/000119312520090186/0001193125-20-090186-index.htm,https://www.sec.gov/Archives/edgar/data/1437226/000119312521082076/0001193125-21-082076-index.htm,https://www.sec.gov/Archives/edgar/data/1437226/000119312522074092/0001193125-22-074092-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , 
73,Net Income,6940000,5440000,3522000,1397000,663000,1113000,2139000,3805000,3423000,2753000,2520000,1626000,6691000,11145000,9861000,12221000
74,Depreciation and Amortization,251000,320000,314000,223000,180000,181000,203000,153000,143000,660000,1016000,1942000,3182000,3434000,3589000,- -
75,Deferred Income Tax,-152000,-193000,136000,104000,140000,2000,102000,-131000,59000,-1000,55000,-166000,307000,1303000,-1841000,- -
76,Stock Based Compensation,- -,- -,66000,279000,287000,228000,242000,532000,330000,262000,408000,381000,470000,936000,2021000,- -
77,Change in Working Capital,1528000,-3854000,1914000,2064000,578000,584000,-6304000,2951000,2855000,-2758000,1801000,3857000,8225000,-4950000,1347000,7875000
78,Accounts Receivable,- -,- -,- -,1908000,-1673000,-2079000,- -,- -,- -,- -,- -,- -,- -,- -,2133000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,-419000,-801000,982000,-386000,-325000,176000,-495000,699000,-250000,1685000,-901000,-100000,-1613000,- -
81,Other Working Capital,10876000,7022000,8936000,11000000,11578000,12162000,5858000,8809000,11664000,8906000,10707000,14564000,22789000,17839000,19186000,27061000
82,Other Non-Cash Items,62000,3854000,-945000,-1355000,-1494000,-1730000,4615000,-4099000,-3557000,2111000,-3508000,-4283000,-19346000,4216000,6254000,-20096000
83,Cash Provided by Operating Activities,8629000,5567000,5007000,2712000,354000,378000,997000,3211000,3253000,3027000,2292000,3357000,-471000,16084000,21231000,- -
84,CAPEX,-303000,-126000,-124000,-148000,-134000,-231000,-150000,-100000,-679000,-168000,-105000,-1127000,-771000,-1014000,-298000,- -
85,Acquisitions Net,- -,- -,- -,- -,-1000000,- -,- -,- -,- -,-17000000,- -,-35000000,- -,- -,-9345000,- -
86,Purchases of Investments,- -,- -,-25000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-303000,-62000,- -,15000,-279000,-231000,-154000,910000,-733000,-124000,-38000,-934000,-1056000,-879000,-289000,- -
89,Cash Used for Investing Activites,-303000,-188000,-149000,-133000,-1279000,-231000,-154000,910000,-733000,-17124000,-38000,-35934000,-1056000,-879000,-9634000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-2598000,-12000,-900000,-2602000,-7253000,-4003000,-13551000,-25520000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6000000,- -,168000,222000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-616000,-2549000,-16000,-784000,-206000,-13000,-20000,-20000,-13000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,-6682000,-2123000,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-7400000,-9233000,-2021000,173000,146000,-110000,3292000,381000,420000,13483000,342000,35499000,4573000,7000,18584000,- -
95,Cash Used/Provided by Financing Activities,-7400000,-9233000,-2021000,173000,146000,-726000,-5939000,-4356000,-376000,12377000,-2273000,34226000,550000,-13389000,-6714000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-207000,-129000,-187000,- -
97,Net Change In Cash,926000,-3854000,2837000,2752000,-779000,-579000,-5096000,-235000,2144000,-1720000,-19000,1649000,-1184000,1687000,4696000,- -
98,Cash at the End of Period,5378000,1524000,4361000,7113000,6334000,5755000,659000,424000,2568000,848000,829000,2478000,1294000,2981000,7677000,- -
99,Cash at the Beginning of Period,4452000,5378000,1524000,4361000,7113000,6334000,5755000,659000,424000,2568000,848000,829000,2478000,1294000,2981000,7677000
100,Free Cash Flow,8326000,5441000,4883000,2564000,220000,147000,847000,3111000,2574000,2859000,2187000,2230000,-1242000,15070000,20933000,- -
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1437226/000119312509058360/0001193125-09-058360-index.htm,https://www.sec.gov/Archives/edgar/data/1437226/000119312510050106/0001193125-10-050106-index.htm,https://www.sec.gov/Archives/edgar/data/1437226/000119312511070032/0001193125-11-070032-index.htm,https://www.sec.gov/Archives/edgar/data/1437226/000119312512129593/0001193125-12-129593-index.htm,https://www.sec.gov/Archives/edgar/data/1437226/000119312513121179/0001193125-13-121179-index.htm,https://www.sec.gov/Archives/edgar/data/1437226/000119312514110155/0001193125-14-110155-index.htm,https://www.sec.gov/Archives/edgar/data/1437226/000119312515099707/0001193125-15-099707-index.htm,https://www.sec.gov/Archives/edgar/data/1437226/000119312516517521/0001193125-16-517521-index.htm,https://www.sec.gov/Archives/edgar/data/1437226/000119312517094899/0001193125-17-094899-index.htm,https://www.sec.gov/Archives/edgar/data/1437226/000119312518093873/0001193125-18-093873-index.htm,https://www.sec.gov/Archives/edgar/data/1437226/000119312519091669/0001193125-19-091669-index.htm,https://www.sec.gov/Archives/edgar/data/1437226/000119312520090186/0001193125-20-090186-index.htm,https://www.sec.gov/Archives/edgar/data/1437226/000119312521082076/0001193125-21-082076-index.htm,https://www.sec.gov/Archives/edgar/data/1437226/000119312522074092/0001193125-22-074092-index.htm
102,false,,,,,,,,,,,,,,,,
