,https://roic.ai/company/PSIX,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
27,Weighted Average Shares Outstanding,117815,117815,117815,117815,117815,117815,117815,3512534,9068846,9779457,10706780,10808005,10931000,13787000,18585000,21705263,22982000,22982000
28,Weighted Average Shares Outstanding Diluted,117815,117815,117815,117815,117815,117815,117815,3512534,9068846,9779457,11131617,11073647,10931000,13787000,18585000,21705263,22982000,22982000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1137091/000113709108000145/0001137091-08-000145-index.htm,https://www.sec.gov/Archives/edgar/data/1137091/000113709109000122/0001137091-09-000122-index.htm,https://www.sec.gov/Archives/edgar/data/1137091/000113709110000004/0001137091-10-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1137091/000143774911001786/0001437749-11-001786-index.htm,https://www.sec.gov/Archives/edgar/data/1137091/000119312512142607/0001193125-12-142607-index.htm,https://www.sec.gov/Archives/edgar/data/1137091/000119312513101540/0001193125-13-101540-index.htm,https://www.sec.gov/Archives/edgar/data/1137091/000119312514077913/0001193125-14-077913-index.htm,https://www.sec.gov/Archives/edgar/data/1137091/000119312515091420/0001193125-15-091420-index.htm,https://www.sec.gov/Archives/edgar/data/1137091/000119312516482422/0001193125-16-482422-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1137091/000113709119000016/0001137091-19-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1137091/000162828019015322/0001628280-19-015322-index.htm,https://www.sec.gov/Archives/edgar/data/1137091/000162828020006265/0001628280-20-006265-index.htm,https://www.sec.gov/Archives/edgar/data/1137091/000113709121000002/0001137091-21-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1137091/000113709122000007/0001137091-22-000007-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,37596,16797,9941,5583,2169,56763,49188,- -,543000,6306000,6561000,8445000,2292000,- -,54000,3000,20968,6255
32,Short-Term Investments,899,2000,- -,- -,- -,1200,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,38495,18797,9941,5583,2169,57963,49188,- -,543000,6306000,6561000,8445000,2292000,- -,54000,3000,20968,6255
34,Net Receivables,30697,37623,29605,15235,25216,1900,- -,29523000,37480000,42730000,81740000,109595000,67463000,69678000,106359000,105570000,60148,65110
35,Inventory,- -,- -,- -,- -,- -,- -,- -,33393000,39968000,55986000,93903000,130347000,100548000,86724000,105614000,108839000,108213,142192
36,Other Current Assets,5560,5439,9050,2400,1200,1248,1248,3105000,4086000,4984000,8799000,4288000,13644000,14359000,4002000,8110000,13358,16671
37,Total Current Assets,74752,61859,48596,23218,28585,61111,50436,66021000,82077000,110006000,191003000,252675000,183947000,170761000,216029000,222522000,202687,230228
38,PP&E,34589,24326,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17344
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23546000,41466000,29835000,29835000,29835000,29835000,29835,29835
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21392000,31745000,26029000,21491000,17010000,13372000,10319,7784
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,44938000,73211000,55864000,51326000,46845000,43207000,40154,37619
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,819000,- -,- -,- -,- -,- -,1016
44,Other Non-Current Assets,38031,21500,39359,15069,9257,5189,3333,5062000,8688000,16613000,26696000,33231000,24808000,24932000,27008000,47943000,- -,14331
45,Total Non-Current Assets,72620,45826,39359,15069,9257,5189,3333,5062000,8688000,16613000,71634000,107261000,80672000,76258000,73853000,91150000,40154,70310
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,147372,107685,87955,38287,37842,66300,53769,71083000,90765000,126619000,262637000,359936000,264619000,247019000,289882000,313672000,242841,300538
48,Accounts Payable,6964,37386,49631,66712,149928,167977,87285,27574000,26579000,24444000,60877000,76078000,53588000,51225000,85218000,75835000,31547,93256
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,23000,- -,- -,1667000,- -,13524000,37055000,54613000,39527000,781,254
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4276
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3606000,1818000,2822000,4897000,26898000,886,- -
52,Other Current Liabilities,38701,18177,92771,132428,73745,65881,159956,24245000,6085000,7941000,13504000,19578000,30715000,35552000,75903000,39327000,206262,189801
53,Total Current Liabilities,45665,55563,142402,199140,223673,233858,247241,51842000,32664000,32385000,76048000,99262000,99645000,126654000,220631000,181587000,239476,283311
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,41000,30942000,17933000,80391000,151119000,110392000,54439000,54712000,54765000,310,155636
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17998000,- -,1016
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,490000,136000,304000,3241000,- -,464000,703000,647000,1105000,- -,1016
57,Other Non-Current Liabilities,- -,- -,49631000,- -,- -,- -,- -,3386000,4289000,25576000,12158000,3258000,13458000,33051000,32470000,29720000,33556,- -
58,Total Non-Current Liabilities,- -,- -,49631000,- -,- -,- -,- -,3917000,35367000,43813000,95790000,154377000,124314000,88193000,87829000,103588000,33866,157668
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,72270,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4876000,3793000,- -
61,Total Liabilities,45665,55563,142402,199140,223673,233858,247241,55759000,68031000,76198000,171838000,253639000,223959000,214847000,308460000,285175000,277880,342561
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,3770,3770,3770,3770,3770,3770,3770,10000,10000,11000,12000,12000,12000,19000,19000,23000,23,23
64,Retained Earnings,60128,10543,-96026,-202432,-227410,-209137,-235051,9410000,16112000,-2648000,21078000,35356000,-34535000,-82147000,-135160000,-126912000,- -,-198366
65,Other Comprehensive Income/Loss,-19925,-31040,-43405,-21837,-25834,-29902,-32579,-6128000,-5491000,-6646000,-8405000,-12075000,-12646000,-16775000,-21834000,-26473000,- -,- -
66,Other Total Stockholders Equity,57734,68849,81214,59646,63643,67711,70388,12032000,12103000,59704000,78114000,83004000,87829000,131075000,138397000,181859000,6096977,156320
67,Total Stockholders Equity,101707,52122,-54447,-160853,-185831,-167558,-193472,15324000,22734000,50421000,90799000,106297000,40660000,32172000,-18578000,28497000,6097000,-42023
68,Total Liabilities And Stockholders Equity,147372,107685,87955,38287,37842,66300,53769,71083000,90765000,126619000,262637000,359936000,264619000,247019000,289882000,313672000,6374880,300538
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6132039,- -
70,Total Liabilities & Equity,147372,107685,87955,38287,37842,66300,53769,71083000,90765000,126619000,262637000,359936000,264619000,247019000,289882000,313672000,242841,300538
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1137091/000113709108000145/0001137091-08-000145-index.htm,https://www.sec.gov/Archives/edgar/data/1137091/000113709109000122/0001137091-09-000122-index.htm,https://www.sec.gov/Archives/edgar/data/1137091/000113709110000004/0001137091-10-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1137091/000143774911001786/0001437749-11-001786-index.htm,https://www.sec.gov/Archives/edgar/data/1137091/000119312512142607/0001193125-12-142607-index.htm,https://www.sec.gov/Archives/edgar/data/1137091/000119312513101540/0001193125-13-101540-index.htm,https://www.sec.gov/Archives/edgar/data/1137091/000119312514077913/0001193125-14-077913-index.htm,https://www.sec.gov/Archives/edgar/data/1137091/000119312515091420/0001193125-15-091420-index.htm,https://www.sec.gov/Archives/edgar/data/1137091/000119312516482422/0001193125-16-482422-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1137091/000113709119000016/0001137091-19-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1137091/000162828019015322/0001628280-19-015322-index.htm,https://www.sec.gov/Archives/edgar/data/1137091/000162828020006265/0001628280-20-006265-index.htm,https://www.sec.gov/Archives/edgar/data/1137091/000113709121000002/0001137091-21-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1137091/000113709122000007/0001137091-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , 
73,Net Income,-26536,-49585,-106569,-106406,-24978,18273,-25914,4061000,6702000,-18760000,23726000,14278000,-47472000,-47612000,-54726000,8248000,-22982000,-48472000
74,Depreciation and Amortization,9020,11115,12365,6291,5812,4068,2677,820000,1105000,1568000,4709000,9671000,10298000,9472000,10204000,8799000,8200000,2535000
75,Deferred Income Tax,-62150,- -,- -,- -,- -,- -,- -,-870000,-716000,-467000,1011000,-62000,18066000,239000,-56000,457000,-1452000,29000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,478000,1268000,1254000,1186000,1619000,473000,2662000,1248000,607000,394000
77,Change in Working Capital,-7245,-22791,-100102,-82116,-19166,22341,-24058,14375805,35234000,28208000,37334000,38458000,-69111000,-40195000,-48709000,45537000,-40971789,-16294
78,Accounts Receivable,- -,- -,- -,- -,1500,13941,919,-12992000,-7957000,-5260000,-35225000,-20526000,10116000,-8391000,-17890000,-18095000,44611000,-4952000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,-1225000,-6575000,-16018000,-34125000,-27336000,55564000,13366000,-26202000,-3977000,-382000,-34840000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,7365000,2473000,-3687000,34140000,8160000,-27037000,-1198000,33968000,-9494000,-44161000,62105000
81,Other Working Capital,29087,6296,-93806,-175922,-195088,-172747,-196805,14179000,49413000,77621000,114955000,153413000,84302000,44107000,-4602000,40935000,-36789,-53083
82,Other Non-Cash Items,64496,40283,137231,135117,17418,-8137,90662,-19359805,-45744000,-24252000,-83719000,-86580000,118882000,69928000,84457000,-46132000,49004789,-15947706
83,Cash Provided by Operating Activities,-22415,-20978,-57075,-47114,-20914,36545,43367,-973000,-2941000,-12435000,-15685000,-23049000,32282000,-7695000,-6168000,18157000,-7594000,-61478000
84,CAPEX,-9055,-852,-6898,-6900,- -,- -,-821,-1557000,-3890000,-6007000,-7239000,-8174000,-3872000,-5061000,-3645000,-3681000,-2402000,-1968000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-500000,-44472000,-35396000,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-350000,-1000000,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,59504,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,13000,1000,10000,- -,- -,- -,-13000,-8000,-7000,348000,1000000,-1651000,-5165000,-10239000,-3658000,-1412000,398000
89,Cash Used for Investing Activites,50449,12148,-5898,3100,- -,- -,-821,-1570000,-3898000,-6514000,-51713000,-43570000,-1651000,-5165000,-10239000,-3658000,-1412000,398000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-51321,-29513000,-65099000,-126845000,-23277000,-78387000,-365532000,-483348000,-498881000,-559232000,-145116000,-380000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,36750000,- -,- -,2001000,59396000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-4250000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-8792,-11969,56117,39656,17500,18049,- -,36306000,72481000,114807000,90930000,146890000,326747000,434520000,515342000,544682000,178386000,46925000
95,Cash Used/Provided by Financing Activities,-8792,-11969,56117,39656,17500,18049,-51321,2543000,7382000,24712000,67653000,68503000,-36784000,10568000,16461000,-14550000,33270000,46545000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,19242,-20799,-6856,-4358,-3414,54594,-8775,2543000,7382000,5763000,255000,1884000,-6153000,10568000,16461000,-51000,24264000,-14535000
98,Cash at the End of Period,37596,16797,9941,5583,2169,56763,47988,- -,543000,6306000,6561000,8445000,2292000,- -,54000,3000,24267000,9732000
99,Cash at the Beginning of Period,18354,37596,16797,9941,5583,2169,56763,- -,- -,543000,6306000,6561000,8445000,2292000,- -,54000,3000,24267000
100,Free Cash Flow,-31470,-21830,-63973,-54014,-20914,36545,42546,-2530000,-6831000,-18442000,-22924000,-31223000,28410000,-12756000,-9813000,14476000,-9996000,-63446000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1137091/000113709108000145/0001137091-08-000145-index.htm,https://www.sec.gov/Archives/edgar/data/1137091/000113709109000122/0001137091-09-000122-index.htm,https://www.sec.gov/Archives/edgar/data/1137091/000113709110000004/0001137091-10-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1137091/000143774911001786/0001437749-11-001786-index.htm,https://www.sec.gov/Archives/edgar/data/1137091/000119312512142607/0001193125-12-142607-index.htm,https://www.sec.gov/Archives/edgar/data/1137091/000119312513101540/0001193125-13-101540-index.htm,https://www.sec.gov/Archives/edgar/data/1137091/000119312514077913/0001193125-14-077913-index.htm,https://www.sec.gov/Archives/edgar/data/1137091/000119312515091420/0001193125-15-091420-index.htm,https://www.sec.gov/Archives/edgar/data/1137091/000119312516482422/0001193125-16-482422-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1137091/000113709119000016/0001137091-19-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1137091/000162828019015322/0001628280-19-015322-index.htm,https://www.sec.gov/Archives/edgar/data/1137091/000162828020006265/0001628280-20-006265-index.htm,https://www.sec.gov/Archives/edgar/data/1137091/000113709121000002/0001137091-21-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1137091/000113709122000007/0001137091-22-000007-index.htm
102,false,,,,,,,,,,,,,,,,,,
