,https://roic.ai/company/SVM,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,2573202,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,19979,36194,336897,4465724,12790289,6895000,11925000,23779000,16621000,17050000,8319000,13931000,37276000,40157000,32307000,33398000,27261000,6220000
53,Total Current Liabilities,- -,31902,153061,232320,1536384,7585632,22390119,23439000,20894000,36549000,40211000,47542000,32402000,35699000,42112000,40157000,32307000,37873000,27828000,37175000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1502000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,1404336,6345898,19678000,19475000,30655000,19991000,24603000,16536000,21592000,- -,- -,- -,- -,- -,40792000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,669589,1225829,2029000,2357000,3026000,4400000,5974000,5819000,22644000,96369000,94692000,115351000,113757000,114748000,8947000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,2073925,7571727,21707000,21832000,33681000,24391000,30577000,22355000,44236000,96369000,94692000,115351000,113757000,116250000,49739000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2069000,1741000
61,Total Liabilities,- -,31902,153061,232320,1536384,9659557,29961846,45146000,42726000,70230000,64602000,78119000,54757000,79935000,138481000,134849000,147658000,151630000,144078000,86914000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,32707934,- -,- -,- -,- -,- -,- -,233082000,233513000,233513000,230933000,232155000,228729000,231269000,243926000,250199000
64,Retained Earnings,- -,-9232102,-12342640,-15053741,-20989677,553955,52736437,-8648000,17763000,105078000,170297000,155817000,100993000,-5089000,38599000,81385000,126382000,158041000,186345000,187906000
65,Other Comprehensive Income/Loss,- -,21205,1349283,- -,- -,1068297,16199255,-10167000,14910000,33601000,25285000,31536000,15760000,10453000,2043000,-11685000,14224000,-557000,-21142000,29469000
66,Other Total Stockholders Equity,- -,11124924,17581870,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-38037000,-38734000,-40099000,-41307000,-40447000,- -
67,Total Stockholders Equity,- -,1914026,6588513,9776266,15949603,77490768,148992271,152446000,214990000,408952000,433812000,420435000,350266000,238877000,233538000,263121000,329236000,347446000,368682000,467574000
68,Total Liabilities And Stockholders Equity,- -,1945928,6741574,10008586,17485987,87150325,178954117,197592000,257716000,479182000,498414000,498554000,405023000,318812000,372019000,397970000,476894000,499076000,512760000,554488000
69,Minority Interest,- -,-0,-0,0,600992,6943770,11265197,7610000,21738000,34333000,77020000,77668000,62296000,53634000,- -,- -,- -,- -,- -,98154000
70,Total Liabilities & Equity,- -,1945928,6741574,10008586,18086980,94094095,190219314,205202000,279454000,513515000,575434000,576222000,467319000,372446000,372019000,397970000,476894000,499076000,512760000,652642000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1340677/000117625616000590/0001176256-16-000590-index.html,https://www.sec.gov/Archives/edgar/data/1340677/000117625617000237/0001176256-17-000237-index.html,https://www.sec.gov/Archives/edgar/data/1340677/000117625618000105/0001176256-18-000105-index.html,https://www.sec.gov/Archives/edgar/data/1340677/000117625619000198/0001176256-19-000198-index.html,https://www.sec.gov/Archives/edgar/data/1340677/000117625620000229/0001176256-20-000229-index.htm,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,-121148,-1425259,-2699705,- -,-5369064,21765610,59937254,-15997000,38547000,68849000,73838000,27211000,-41017000,-103109000,6336000,43674000,46994000,39724000,34274000,46376000
74,Depreciation and Amortization,- -,3127,13709,- -,63224,1295418,3725074,7182000,4836000,7135000,13704000,14588000,13536000,22276000,18926000,18913000,19442000,21250000,22673000,533000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,109607,-7925000,764000,1576000,4646000,29201000,-134000,12967000,2749000,19237000,18919000,20871000,8909000,12994000
76,Stock Based Compensation,- -,- -,- -,- -,1969112,- -,2472685,2103000,1914000,2332000,3094000,2893000,2322000,1249000,887000,1015000,1566000,1896000,2669000,4307000
77,Change in Working Capital,12066,-145770,-72682,- -,792739,1945913,-1065201,2283000,4921000,11812000,-10505000,13877000,1006000,3525000,-687000,4485000,-2625000,659000,1762000,3075000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,2513000,288000,-1343000,- -,11173000,- -,- -,- -,632000,715000,169000,330000,-470000
79,Inventory,- -,- -,- -,- -,- -,-1685898,-342635,496000,-1610000,-436000,-1981000,-69000,1148000,-1569000,-1805000,355000,-1164000,-606000,1798000,-859000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2716000,7927000,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,359927,-226183,441053,-1020000,732000,- -,-6435000,4018000,-4494000,1258000,-2205000,1350000,-603000,-3343000,1236000,1352000
82,Other Non-Cash Items,2547,1258857,1428995,- -,1201545,4654817,14605760,59340000,15001000,12538000,28501000,-1972000,60405000,117237000,3670000,-6887000,-16395000,-16650000,6959000,18627000
83,Cash Provided by Operating Activities,-106535,-309045,-1329683,- -,-1342444,29661758,79785179,46986000,65983000,104242000,113278000,85798000,36118000,54145000,31881000,80437000,67901000,67750000,77246000,85912000
84,CAPEX,- -,-169288,-1372623,- -,-4690954,-17841988,-44035214,-49812000,-21703000,-35808000,-70658000,-89588000,-75167000,-46083000,-36800000,-35801000,-27100000,-34307000,-35304000,-52199000
85,Acquisitions Net,- -,- -,- -,- -,112981,- -,- -,- -,-5027000,-23388000,-34325000,- -,8160000,- -,11000,- -,-23861000,-107000,-7030000,-7131000
86,Purchases of Investments,- -,- -,-3643996,- -,-3860010,-2008577,-35041733,-291000,-15665000,-46326000,-1964000,-1779000,- -,- -,-10753000,-4876000,-30803000,-1018000,-41457000,-12708000
87,Sales/Maturities of Investments,- -,150565,- -,- -,- -,2480615,- -,12982000,- -,1457000,15993000,- -,31750000,2194000,422000,33000,- -,5969000,8454000,29127000
88,Other Investing Activites,10524,- -,1072,- -,2206921,-1112909,-12938975,677000,-21153000,-25023000,-43360000,-55837000,-42030000,-37619000,-25836000,-30730000,-20915000,-28018000,-23357000,-33724000
89,Cash Used for Investing Activites,10524,-18723,-5015547,- -,-6231063,-18482859,-92015922,-36444000,-42330000,-103527000,-90888000,-91147000,-20490000,-44289000,-47109000,-43560000,-81731000,-29432000,-70790000,-40974000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-37000,-2123000,-1473000,- -,-973000,-1207000,- -,-1587000,-4325000,- -,-2989000,-4872000,-563000
91,Common Stock Issued,- -,2025069,6078129,- -,- -,41415529,2293702,22655000,1310000,115818000,1304000,273000,287000,- -,- -,904000,550000,1852000,8001000,3538000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-4766907,- -,-9473000,- -,- -,- -,- -,- -,- -,-2580000,- -,-4177000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,-5466000,-12001000,-13113000,-28695000,-17111000,-16331000,-3004000,-1323000,-1585000,-3362000,-4208000,-4287000,-4368000
94,Other Financing Activites,95656,- -,-100172,- -,8956159,1566758,-1428710,-12517000,-4365000,-10415000,-33936000,-13687000,-6521000,-3214000,4547000,-2222000,-7785000,-9853000,-1773000,-60000
95,Cash Used/Provided by Financing Activities,95656,2025069,5977957,- -,8956159,38215380,864992,-4838000,-17179000,90817000,-61327000,-31498000,-23772000,-6218000,-943000,-7228000,-14774000,-15198000,-2931000,-1453000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-72024,523271,5128173,-11327000,2674000,5074000,1673000,-830000,-3525000,-4073000,-2045000,1391000,4800000,-4878000,-5189000,9473000
97,Net Change In Cash,-355,1697301,-367273,- -,1310628,49917549,-6237578,-5623000,9148000,96606000,-37264000,-37677000,-11669000,-435000,-18216000,31040000,-23804000,18242000,-1664000,52958000
98,Cash at the End of Period,661,1698025,1406315,- -,3345181,53298108,47092890,41470000,50618000,147224000,109960000,72283000,60614000,60179000,41963000,73003000,49199000,67441000,65777000,118735000
99,Cash at the Beginning of Period,1016,724,1773588,- -,2034553,3380558,53330468,47093000,41470000,50618000,147224000,109960000,72283000,60614000,60179000,41963000,73003000,49199000,67441000,65777000
100,Free Cash Flow,-106535,-478333,-2702305,- -,-6033398,11819770,35749965,-2826000,44280000,68434000,42620000,-3790000,-39049000,8062000,-4919000,44636000,40801000,33443000,41942000,33713000
101,SEC Link,- -,- -,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1340677/000117625616000590/0001176256-16-000590-index.html,https://www.sec.gov/Archives/edgar/data/1340677/000117625617000237/0001176256-17-000237-index.html,https://www.sec.gov/Archives/edgar/data/1340677/000117625618000105/0001176256-18-000105-index.html,https://www.sec.gov/Archives/edgar/data/1340677/000117625619000198/0001176256-19-000198-index.html,https://www.sec.gov/Archives/edgar/data/1340677/000117625620000229/0001176256-20-000229-index.htm,- -
102,false,,,,,,,,,,,,,,,,,,,,
