,https://roic.ai/company/KRKR,2017,2018,2019,2020,2021
53,Total Current Liabilities,44824000,84705000,266867000,177134000,193884000
54,Long-Term Debt,- -,- -,- -,12426000,586000
55,Deferred Revenue,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,588541000,816332000,- -,- -,- -
58,Total Non-Current Liabilities,588541000,816332000,- -,12426000,586000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,27558000,16888000
61,Total Liabilities,633365000,901037000,266867000,189560000,194470000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,184000,184000,679000,687000,694000
64,Retained Earnings,-425324000,-486027000,-1358350000,-1638581000,-1728152000
65,Other Comprehensive Income/Loss,- -,231000,-3054000,-7897000,-8987000
66,Other Total Stockholders Equity,13455000,- -,1997934000,2026612000,2035850000
67,Total Stockholders Equity,-411685000,-485612000,637209000,380821000,299405000
68,Total Liabilities And Stockholders Equity,221680000,415425000,904076000,570381000,493875000
69,Minority Interest,- -,- -,6739000,8148000,7860000
70,Total Liabilities & Equity,221680000,415425000,910815000,578529000,501735000
71,SEC Link,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,7923000,39493000,-27563000,-280231000,- -
74,Depreciation and Amortization,487000,1603000,4231000,5598000,- -
75,Deferred Income Tax,-54000,-252000,-3085000,3391000,- -
76,Stock Based Compensation,4888000,5111000,91171000,39277000,- -
77,Change in Working Capital,-26304000,-96478000,-222338000,38928000,- -
78,Accounts Receivable,-60803000,-121538000,-365770000,108162000,- -
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,10491000,9779000,119135000,-73551000,- -
81,Other Working Capital,3546000,681000,3934000,10688000,- -
82,Other Non-Cash Items,1616000,4925000,-1353000,175912000,- -
83,Cash Provided by Operating Activities,-11444000,-45598000,-158937000,-17125000,- -
84,CAPEX,-392000,-16675000,-4776000,-2350000,- -
85,Acquisitions Net,-3500000,- -,-46265000,-431000,- -
86,Purchases of Investments,-130000000,-544601000,-817450000,-749886000,- -
87,Sales/Maturities of Investments,28000000,504982000,878376000,688378000,- -
88,Other Investing Activites,- -,-273000,-137000,-164000,- -
89,Cash Used for Investing Activites,-105892000,-56294000,9885000,-64289000,- -
90,Debt Repayment,-7521000,-979000,-8483000,- -,- -
91,Common Stock Issued,- -,- -,109045000,- -,- -
92,Common Stock Repurchased,- -,- -,-2333000,-33365000,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,170500000,105695000,180108000,528000,- -
95,Cash Used/Provided by Financing Activities,162979000,104716000,278337000,-32837000,- -
96,Effect of Forex Changes on Cash,- -,501000,-376000,-2780000,- -
97,Net Change In Cash,162979000,3325000,128909000,-117031000,- -
98,Cash at the End of Period,45643000,48968000,177877000,60846000,- -
99,Cash at the Beginning of Period,- -,45643000,48968000,177877000,- -
100,Free Cash Flow,-11836000,-62273000,-163713000,-19475000,- -
101,SEC Link,- -,- -,- -,- -,undefined
102,Forex Rate,0.1537,0.1453,0.1436,0.1532,0.1572
