,https://roic.ai/company/GOVX,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,64017867,65081192,65619652,7822753,12518314,16328761,20678138,22377700,23319166,25587148,28239392,30823769,32587543,34914963,35589911,37927551,39340224,55806204,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,-639393,-3817212,-4946185,-5715192,2203216,2647866,2709819,3744232,1836226,703607,1150935,2527227,1146175,1204603,240370,-321057,-1022347,-1574556,9568852,4362000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,371026,172197,19161,78381,2396330,3246404,3056241,4315597,2357834,1645142,1477970,2839576,1333198,1331593,610217,490235,642064,468880,10393899,11797000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,371026,172197,19161,78381,2396330,3246404,3056241,4315597,2357834,1645142,1477970,2839576,1333198,1331593,610217,490235,642064,468880,10393899,11797000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/832489/000143774912003067/0001437749-12-003067-index.html,https://www.sec.gov/Archives/edgar/data/832489/000143774913003092/0001437749-13-003092-index.html,https://www.sec.gov/Archives/edgar/data/832489/000143774914004217/0001437749-14-004217-index.htm,https://www.sec.gov/Archives/edgar/data/832489/000143774915005604/0001437749-15-005604-index.htm,https://www.sec.gov/Archives/edgar/data/832489/000143774916027776/0001437749-16-027776-index.html,https://www.sec.gov/Archives/edgar/data/832489/000143774917005201/0001437749-17-005201-index.html,https://www.sec.gov/Archives/edgar/data/832489/000143774918005301/0001437749-18-005301-index.html,https://www.sec.gov/Archives/edgar/data/832489/000143774919005682/0001437749-19-005682-index.html,https://www.sec.gov/Archives/edgar/data/832489/000143774920006029/0001437749-20-006029-index.html,https://www.sec.gov/Archives/edgar/data/832489/000143774921006906/0001437749-21-006906-index.htm,https://www.sec.gov/Archives/edgar/data/832489/000143774922005677/0001437749-22-005677-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,36668669,-3988017,-6131557,-9306304,-8817362,-13252360,- -,-3077080,-2207806,-1408534,-584166,-4241796,-3728187,-3284252,-2747328,-2346826,-2135140,-2284943,-2733555,-2689287,-3271701,-2170162,-2560094,-2370629,-2958068,-18570000
74,Depreciation and Amortization,33459,93671,318405,1101616,827348,1630454,- -,519167,269588,- -,49095,54461,61014,89776,119773,109017,93643,78862,69037,28935,28780,28027,19801,8350,19656,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1298665,750532,772997,310076,402104,479103,67905,967667,57224,469724,327500,64463,- -
77,Change in Working Capital,196139,1434307,-440045,-557796,-1173837,313671,- -,2499658,-105742,127482,-851431,-596904,-719762,470661,-130146,730789,-709826,109385,-64692,-112816,329135,396447,527543,636282,-806,-3231083
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,22807,1893655,-1422222,-361495,470217,-390056,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-614500,-14686,-125326,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,2285,-568672,-25792,45869,-720728,357158,- -,- -,- -,- -,- -,- -,- -,- -,-11010,980,- -,- -,- -,- -,- -,- -,- -,- -,- -,6193756
82,Other Non-Cash Items,-38063523,13125,902054,4304966,2836493,7095213,- -,346563,809299,-145389,58561,1518496,2019049,- -,- -,430402,- -,- -,- -,- -,- -,- -,- -,- -,124185,21801083
83,Cash Provided by Operating Activities,-1165256,-2446914,-5351143,-4457518,-6327358,-4213022,- -,288308,-1234661,-1426441,-1327941,-3265743,-2367886,-1425150,-2007169,-303621,-2441247,-1694592,-2250107,-2705263,-1946119,-1688464,-1543026,-1398497,-2750570,- -
84,CAPEX,-81210,-201965,-1068578,-25680,-2195,-661283,- -,- -,- -,- -,-69466,- -,-99831,-270246,-4706,-11896,- -,-86603,-35503,-15850,- -,-4350,- -,-7606,-156791,- -
85,Acquisitions Net,- -,- -,- -,- -,-6025000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-300000,10000,- -,- -,- -,7670,- -,- -,- -,- -,- -,- -,5580,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-81210,-201965,-1368578,-15680,-6027195,-661283,- -,7670,- -,- -,-69466,- -,-99831,-270246,874,-11896,- -,-86603,-35503,-15850,- -,-4350,- -,-7606,-156791,- -
90,Debt Repayment,- -,- -,- -,- -,-87907,-89675,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10257,-11880,- -
91,Common Stock Issued,1792025,6665756,- -,2385970,15380853,505864,- -,104900,323000,550000,2212849,3167950,2668541,3020000,- -,404410,310160,1643333,873400,- -,1339801,571511,- -,- -,11158496,- -
92,Common Stock Repurchased,-1187607,-341369,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,1170044,-675228,3154542,2062614,-286000,2500000,- -,-498014,919164,946993,- -,- -,- -,- -,-430402,- -,1999032,1615798,- -,2679810,- -,980000,1490000,1440000,1361200,- -
95,Cash Used/Provided by Financing Activities,1774462,5649159,3154542,4448584,15006946,2916189,- -,-393114,1242164,1496993,2212849,3167950,2668541,3020000,-430402,404410,2309192,3259131,873400,2679810,1339801,1551511,1490000,1429743,12507816,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,527996,3000280,-3565179,-24614,2652393,-1958116,- -,-97136,7503,70552,815442,-97793,200824,1324604,-2436697,88893,-132055,1477936,-1412210,-41303,-606318,-141303,-53026,23640,9600455,- -
98,Cash at the End of Period,620600,3620880,55701,31087,2683480,725364,- -,326,7829,78381,2088149,1990356,2191180,3515784,1079087,1167980,1035925,2513861,1101651,1060348,454030,312727,259701,283341,9883796,- -
99,Cash at the Beginning of Period,92604,620600,3620880,55701,31087,2683480,- -,97462,326,7829,1272707,2088149,1990356,2191180,3515784,1079087,1167980,1035925,2513861,1101651,1060348,454030,312727,259701,283341,9883796
100,Free Cash Flow,-1246466,-2648879,-6419721,-4483198,-6329553,-4874305,- -,288308,-1234661,-1426441,-1397407,-3265743,-2467717,-1695396,-2011875,-315517,-2441247,-1781195,-2285610,-2721113,-1946119,-1692814,-1543026,-1406103,-2907361,- -
101,SEC Link,- -,- -,- -,- -,- -,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/832489/000143774912003067/0001437749-12-003067-index.html,https://www.sec.gov/Archives/edgar/data/832489/000143774913003092/0001437749-13-003092-index.html,https://www.sec.gov/Archives/edgar/data/832489/000143774914004217/0001437749-14-004217-index.htm,https://www.sec.gov/Archives/edgar/data/832489/000143774915005604/0001437749-15-005604-index.htm,https://www.sec.gov/Archives/edgar/data/832489/000143774916027776/0001437749-16-027776-index.html,https://www.sec.gov/Archives/edgar/data/832489/000143774917005201/0001437749-17-005201-index.html,https://www.sec.gov/Archives/edgar/data/832489/000143774918005301/0001437749-18-005301-index.html,https://www.sec.gov/Archives/edgar/data/832489/000143774919005682/0001437749-19-005682-index.html,https://www.sec.gov/Archives/edgar/data/832489/000143774920006029/0001437749-20-006029-index.html,https://www.sec.gov/Archives/edgar/data/832489/000143774921006906/0001437749-21-006906-index.htm,https://www.sec.gov/Archives/edgar/data/832489/000143774922005677/0001437749-22-005677-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
