,https://roic.ai/company/MSP,2018,2019,2020,2021
35,Inventory,12026000,12415000,13811000,34901000
36,Other Current Assets,13341000,15370000,22138000,28811000
37,Total Current Assets,80016000,82707000,226486000,309967000
38,PP&E,59379000,80746000,91876000,137580000
39,Goodwill,1118856000,1118856000,1120954000,1141726000
40,Intangible Assets,329286000,306685000,287395000,287605000
41,Intangible Assets,1448142000,1425541000,1408349000,1429331000
42,Investments,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -
44,Other Non-Current Assets,27526000,53298000,66560000,85313000
45,Total Non-Current Assets,1535047000,1559585000,1566785000,1652224000
46,Other Assets,- -,- -,- -,- -
47,Total Assets,1615063000,1642292000,1793271000,1962191000
48,Accounts Payable,3506000,16049000,7574000,9997000
49,Short-Term Debt,883000,5871000,116000,9010000
50,Tax Payable,2766000,4906000,5452000,5185000
51,Deferred Revenue,30150000,24254000,23763000,20356000
52,Other Current Liabilities,27229000,33538000,39345000,50543000
53,Total Current Liabilities,61768000,79712000,70798000,89906000
54,Long-Term Debt,510563000,546499000,- -,31332000
55,Deferred Revenue,5779000,3798000,3322000,3341000
56,Deferred Tax Liabilities,14555000,10120000,18947000,24955000
57,Other Non-Current Liabilities,10588000,9860000,11736000,715000
58,Total Non-Current Liabilities,541485000,570277000,34005000,60343000
59,Other Liabilities,- -,- -,- -,- -
60,Capital Lease Obligations,883000,371000,116000,40342000
61,Total Liabilities,603253000,649989000,104803000,150249000
62,Preferred Stock,- -,- -,- -,- -
63,Common Stock,136000,136000,136000,164000
64,Retained Earnings,-56536000,-87724000,-65226000,-13792000
65,Other Comprehensive Income/Loss,-83000,430000,1767000,-766000
66,Other Total Stockholders Equity,1068293000,1079461000,1751791000,1826336000
67,Total Stockholders Equity,1011810000,992303000,1688468000,1811942000
68,Total Liabilities And Stockholders Equity,1615063000,1642292000,1793271000,1962191000
69,Minority Interest,- -,- -,- -,- -
70,Total Liabilities & Equity,1615063000,1642292000,1793271000,1962191000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1724570/000172457021000015/0001724570-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1724570/000172457022000011/0001724570-22-000011-index.htm
72,CASH FLOW STATEMENT, , , , 
73,Net Income,-37723000,-31188000,22498000,51434000
74,Depreciation and Amortization,41876000,43162000,49113000,59183000
75,Deferred Income Tax,-11925000,-6071000,7770000,4922000
76,Stock Based Compensation,4135000,12215000,33460000,48909000
77,Change in Working Capital,-13034000,-15253000,152693000,-45836000
78,Accounts Receivable,-6355000,-10837000,769000,1598000
79,Inventory,-2586000,-3538000,-2826000,-21186000
80,Accounts Payable,- -,- -,- -,8391000
81,Other Working Capital,18248000,2995000,155688000,-3511000
82,Other Non-Cash Items,6112000,8370000,-156836000,6754000
83,Cash Provided by Operating Activities,-10559000,11235000,108698000,125366000
84,CAPEX,-28199000,-38226000,-40466000,-47237000
85,Acquisitions Net,- -,- -,-4371000,-45486000
86,Purchases of Investments,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -
89,Cash Used for Investing Activites,-28199000,-38226000,-44837000,-92723000
90,Debt Repayment,-994000,-533923000,-594727000,-101000
91,Common Stock Issued,- -,- -,641643000,- -
92,Common Stock Repurchased,-4188000,-1338000,-53000,- -
93,Dividends Paid,- -,- -,- -,- -
94,Other Financing Activites,- -,553766000,28816000,21826000
95,Cash Used/Provided by Financing Activities,-5182000,18505000,75679000,21725000
96,Effect of Forex Changes on Cash,-367000,294000,1807000,-2041000
97,Net Change In Cash,-44307000,-8192000,141347000,52327000
98,Cash at the End of Period,37258000,29066000,170413000,222740000
99,Cash at the Beginning of Period,81565000,37258000,29066000,170413000
100,Free Cash Flow,-38758000,-26991000,68232000,78129000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1724570/000172457021000015/0001724570-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1724570/000172457022000011/0001724570-22-000011-index.htm
102,false,,,,
