,https://roic.ai/company/HLG,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
27,Weighted Average Shares Outstanding,25670500,25670500,25670500,24241500,25652473,25700500,25742405,25778141,25778141,25778141
28,Weighted Average Shares Outstanding Diluted,25670500,25670500,25670500,24241500,25653232,25700500,25782298,25778141,25778141,25778141
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1596964/000119312516747468/d273750d20f.htm,https://www.sec.gov/Archives/edgar/data/1596964/000119312517319290/d476431d20f.htm,https://www.sec.gov/Archives/edgar/data/1596964/000114420418054407/tv502621_20f.htm,https://www.sec.gov/Archives/edgar/data/1596964/000114420419045647/tv527788_20f.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,- -,26403000,42003000,233379000,291011000,77801000,812620000,260684000,503021000,279420000
32,Short-Term Investments,- -,- -,420000000,60000000,- -,401000000,204000000,1387094000,916601000,477303000
33,Cash and Short-Term Investments,- -,26403000,462003000,293379000,291011000,478801000,1016620000,1647778000,1419622000,756723000
34,Net Receivables,- -,276898000,2637000,1681000,12566000,114299000,95128000,94857000,99115000,71119000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,1665000,- -,- -,15182000,30136000,14578000,21858000
37,Total Current Assets,- -,303301000,464640000,296725000,303577000,593100000,1126930000,1772771000,1533315000,849700000
38,PP&E,- -,105094000,91348000,181677000,740375000,720619000,679081000,620623000,1146147000,968547000
39,Goodwill,- -,62046000,62046000,62046000,62046000,62046000,61640000,61640000,61640000,- -
40,Intangible Assets,- -,23405000,20888000,19163000,18215000,17553000,17107000,37885000,36166000,18300000
41,Intangible Assets,- -,85451000,82934000,81209000,80261000,79599000,78747000,99525000,97806000,18300000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,1420939000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,568000,859000
44,Other Non-Current Assets,- -,- -,- -,297905000,8749000,5692000,92000,9993000,10841000,12438000
45,Total Non-Current Assets,- -,190545000,174282000,560791000,829385000,805910000,757920000,730141000,1255362000,2421083000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,493846000,638922000,857516000,1132962000,1399010000,1884850000,2502912000,2788677000,3270783000
48,Accounts Payable,- -,13811000,15503000,38437000,44456000,22662000,22309000,20556000,18350000,22821000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,99603000,69277000,50776000
50,Tax Payable,- -,- -,- -,- -,- -,- -,57349000,54577000,54442000,70239000
51,Deferred Revenue,- -,30876000,30328000,41469000,40980000,58693000,212969000,398951000,336232000,481125000
52,Other Current Liabilities,- -,33039000,36299000,79795000,125858000,216042000,314759000,287285000,302540000,463812000
53,Total Current Liabilities,- -,77726000,82130000,159701000,211294000,297397000,550037000,806395000,726399000,1018534000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,18749000,30521000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,2579000,3159000,132000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,4691000,4607000,4736000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,7270000,26515000,35389000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,20502000,35754000
61,Total Liabilities,- -,77726000,82130000,159701000,211294000,297397000,550037000,813665000,752914000,1053923000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,239000,239000,239000,267000,267000,268000,268000,268000,268000
64,Retained Earnings,- -,171340000,312012000,453006000,552438000,720181000,638246000,905009000,1244216000,1424850000
65,Other Comprehensive Income/Loss,- -,18000,18000,47000,8484000,10686000,312667000,360914000,394865000,442953000
66,Other Total Stockholders Equity,- -,244523000,244523000,244523000,360479000,370479000,370478000,385617000,385617000,332567000
67,Total Stockholders Equity,- -,416120000,556792000,697815000,921668000,1101613000,1321659000,1651808000,2024966000,2200638000
68,Total Liabilities And Stockholders Equity,- -,493846000,638922000,857516000,1132962000,1399010000,1871696000,2465473000,2777880000,3254561000
69,Minority Interest,- -,- -,- -,- -,- -,- -,13154000,37439000,10797000,16222000
70,Total Liabilities & Equity,- -,493846000,638922000,857516000,1132962000,1399010000,1884850000,2502912000,2788677000,3270783000
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1596964/000119312516747468/d273750d20f.htm,https://www.sec.gov/Archives/edgar/data/1596964/000119312517319290/d476431d20f.htm,https://www.sec.gov/Archives/edgar/data/1596964/000114420418054407/tv502621_20f.htm,https://www.sec.gov/Archives/edgar/data/1596964/000114420419045647/tv527788_20f.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,83026000,123190000,140672000,140994000,99432000,167743000,222588000,293421000,370832000,235092000
74,Depreciation and Amortization,22773000,24880000,25049000,26187000,65986000,111147000,113574000,133520000,165833000,169728000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,66288000,108713000,121924000,166969000
76,Stock Based Compensation,- -,- -,- -,- -,1459000,- -,- -,- -,- -,- -
77,Change in Working Capital,25767000,19196000,3751000,75986000,45138000,15095000,202475000,268214000,-67612000,258988000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,30416000,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,17911000,8905000,2182000,41478000,21789000,23313000,30416000,94885000,46771000,111180000
81,Other Working Capital,9070000,4708000,-548000,11141000,-489000,17713000,165583000,186731000,-123497000,145859000
82,Other Non-Cash Items,-9807000,-16755000,-20080000,-7035000,4174000,-7032000,-16994000,-113551000,-159935000,62615000
83,Cash Provided by Operating Activities,121759000,150511000,149392000,236132000,216189000,286953000,587931000,690317000,431042000,893392000
84,CAPEX,-39360000,-15658000,-8801000,-145488000,-346595000,-108959000,-89369000,-81876000,-637400000,-120526000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,11822000,-627000,- -,- -
86,Purchases of Investments,- -,- -,-640000000,-1909173000,-1212430000,-1953600000,-204000000,-4709697000,-3808762000,-4180615000
87,Sales/Maturities of Investments,- -,- -,220000000,2269173000,1272430000,1552600000,401000000,3526603000,4279255000,3233296000
88,Other Investing Activites,16633000,-137179000,295085000,-259158000,4027000,-92292000,11692000,29648000,38212000,38273000
89,Cash Used for Investing Activites,-22727000,-152837000,-133716000,-44646000,-282568000,-602251000,131145000,-1234206000,-127760000,-1029206000
90,Debt Repayment,-30000000,- -,- -,- -,- -,- -,- -,- -,-34800000,-46663000
91,Common Stock Issued,18867000,- -,- -,- -,122369000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-67000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,180000,- -,- -,- -,-7844000,99603000,18609000,-7343000,-26582000,-53810000
95,Cash Used/Provided by Financing Activities,-77953000,- -,- -,- -,114525000,99603000,18609000,-7343000,-61382000,-100473000
96,Effect of Forex Changes on Cash,106000,-423000,-76000,-110000,9486000,2485000,-2866000,-704000,437000,-739000
97,Net Change In Cash,21185000,-2749000,15600000,191376000,57632000,-213210000,734819000,-551936000,242337000,-237026000
98,Cash at the End of Period,29152000,26403000,42003000,233379000,291011000,77801000,812620000,260684000,503021000,279420000
99,Cash at the Beginning of Period,7967000,29152000,26403000,42003000,233379000,291011000,77801000,812620000,260684000,516446000
100,Free Cash Flow,82399000,134853000,140591000,90644000,-130406000,177994000,498562000,608441000,-206358000,772866000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1596964/000119312516747468/d273750d20f.htm,https://www.sec.gov/Archives/edgar/data/1596964/000119312517319290/d476431d20f.htm,https://www.sec.gov/Archives/edgar/data/1596964/000114420418054407/tv502621_20f.htm,https://www.sec.gov/Archives/edgar/data/1596964/000114420419045647/tv527788_20f.htm,- -,- -
102,Forex Rate,0.1574,0.1629,0.1612,0.1612,0.1504,0.1474,0.1509,0.1456,0.1415,0.1549
