,https://roic.ai/company/DLPN,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
81,Other Working Capital,-140000,-221520,-1010061,-180185,-1370221,-2890624,-3241515,-5904064,-5477532,-300210,-9604350,-5229621,-31424129,-10705975,-11868202,-15626496,-2956143
82,Other Non-Cash Items,- -,99501,991126,5292277,2280105,2508467,4449905,1641936,-2939142,7974,2374102,-3755131,48441518,-20855837,2501982,441914,-15951115
83,Cash Provided by Operating Activities,-290000,-680439,-661099,-869913,-1981636,-2798955,-1411189,-2252458,-2959422,-1767751,-1355215,-1780917,-14922444,8359549,-624715,-2905207,-1506311
84,CAPEX,-10000,-16096,-6828,-217524,-528717,-667983,-957875,-6275,-16658,-15283,-73849,-2549,- -,-227040,-89653,-103493,-77358
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13626,-1526345,-794989,-1298611
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-525403,-652941,-1128375,- -,- -,- -,- -,- -,-1250000,1064969,- -,- -,- -
89,Cash Used for Investing Activites,-10000,-16096,-6828,-217524,-528717,-667983,-1128375,-6275,-16658,-15283,-73849,-2549,-1250000,851555,-1615998,-898482,-1375969
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-426152,-88500,- -,-293000,-2131856,-3267000,-4673602,-11663615,-2865787,-165832,- -
91,Common Stock Issued,- -,604499,80000,500000,30000,2298799,1123000,- -,1750000,- -,- -,- -,7500000,4445284,6830248,1851713,7602297
92,Common Stock Repurchased,290000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,89638,623224,743486,2534884,1114706,1771145,2364521,1490000,2500000,3052749,7111500,11615907,2641554,-745981,-1246494,1007021
95,Cash Used/Provided by Financing Activities,290000,694137,703224,1243486,2564884,3413505,2467993,2276021,3240000,2207000,920893,3844500,14442305,-4576777,3218480,439387,8609318
96,Effect of Forex Changes on Cash,- -,28715,-20529,-125196,-40667,5637,69820,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,26317,14768,30853,13864,-47796,-1751,17288,263920,423966,-508171,2061034,-1730139,4634327,977767,-3364302,5727038
98,Cash at the End of Period,20000,42206,56974,37150,51014,3218,1467,18755,282675,706641,198470,2259504,662546,5296873,6274640,2910338,8637376
99,Cash at the Beginning of Period,20000,15889,42206,6297,37150,51014,3218,1467,18755,282675,706641,198470,2392685,662546,5296873,6274640,2910338
100,Free Cash Flow,-300000,-696535,-667927,-1087437,-2510353,-3466938,-2369064,-2258733,-2976080,-1783034,-1429064,-1783466,-14922444,8132509,-714368,-3008700,-1583669
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1282224/000126967806000080/0001269678-06-000080-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1282224/000095012310035274/c99295e10vk.htm,https://www.sec.gov/Archives/edgar/data/1282224/000095012311049576/c16856e10vk.htm,https://www.sec.gov/Archives/edgar/data/1282224/000135448812001538/0001354488-12-001538-index.html,https://www.sec.gov/Archives/edgar/data/1282224/000135448814002019/dpdm_10k.htm,- -,https://www.sec.gov/Archives/edgar/data/1282224/000135448815001760/dpdm_10k.htm,https://www.sec.gov/Archives/edgar/data/1282224/000135448816006837/0001354488-16-006837-index.html,https://www.sec.gov/Archives/edgar/data/1282224/000165495417003390/dolphin_10k.htm,https://www.sec.gov/Archives/edgar/data/1282224/000155335018000317/dlpn_10k.htm,https://www.sec.gov/Archives/edgar/data/1282224/000155335019000383/dlpn_10k.htm,https://www.sec.gov/Archives/edgar/data/1282224/000155335020000274/0001553350-20-000274-index.htm,https://www.sec.gov/Archives/edgar/data/1282224/000155335021000296/0001553350-21-000296-index.htm
102,false,,,,,,,,,,,,,,,,,
