,https://roic.ai/company/DIT,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
26,EPS Diluted,2.78,4.31,5.07,8.07,8.22,-7.32,3.78,1.92,-7.94,-24.73,-2.80,5.16,6.26,16.61,11.99,10.44,9.40,7.79,6.75,8.59,8.38,4.26,5.38,5.25,9.76,27.36
27,Weighted Average Shares Outstanding,448505,449793,450734,454739,455901,456452,505515,527804,527774,527062,527062,527062,536319,548616,564355,594185,614046,622904,610392,619295,621435,679478,660925,597961,561166,550551
28,Weighted Average Shares Outstanding Diluted,448505,449793,464925,475998,475648,456452,518300,537149,527774,527062,627810,860121,851298,781265,747862,772589,784108,751812,735227,740233,713897,692183,672449,609836,567961,568103
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/928465/000092846598000027/0000928465-98-000027-index.html,- -,https://www.sec.gov/Archives/edgar/data/928465/000092846500000034/0000928465-00-000034-index.html,https://www.sec.gov/Archives/edgar/data/928465/000092846501500066/0000928465-01-500066-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/928465/000092846507000049/0000928465-07-000049-index.html,https://www.sec.gov/Archives/edgar/data/928465/000092846508000034/0000928465-08-000034-index.html,https://www.sec.gov/Archives/edgar/data/928465/000095012309058813/0000950123-09-058813-index.html,https://www.sec.gov/Archives/edgar/data/928465/000095012310102492/0000950123-10-102492-index.html,https://www.sec.gov/Archives/edgar/data/928465/000104746911009216/0001047469-11-009216-index.html,https://www.sec.gov/Archives/edgar/data/928465/000104746912010255/0001047469-12-010255-index.html,https://www.sec.gov/Archives/edgar/data/928465/000104746913010411/0001047469-13-010411-index.html,https://www.sec.gov/Archives/edgar/data/928465/000104746914008979/0001047469-14-008979-index.html,https://www.sec.gov/Archives/edgar/data/928465/000104746915008418/0001047469-15-008418-index.html,https://www.sec.gov/Archives/edgar/data/928465/000155837016009684/0001558370-16-009684-index.html,https://www.sec.gov/Archives/edgar/data/928465/000155837017008533/0001558370-17-008533-index.html,https://www.sec.gov/Archives/edgar/data/928465/000155837018009048/0001558370-18-009048-index.html,https://www.sec.gov/Archives/edgar/data/928465/000155837019010602/0001558370-19-010602-index.html,https://www.sec.gov/Archives/edgar/data/928465/000155837020013380/0001558370-20-013380-index.htm,https://www.sec.gov/Archives/edgar/data/928465/000155837021015031/0001558370-21-015031-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,1700000,1148276,300000,130091,668073,400000,546273,481138,717554,457681,309914,356735,1389665,491387,275036,99922,219536,605380,523065,520644,337704,661195,519591
32,Short-Term Investments,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,100000,- -,- -,1700000,1148276,300000,130091,668073,400000,546273,481138,717554,457681,309914,356735,1389665,491387,275036,99922,219536,605380,523065,520644,337704,661195,519591
34,Net Receivables,10400000,10900000,15200000,18300000,19093026,33500000,32197837,28170129,30300000,28650183,27815751,27848938,27198414,28393198,27903689,32963693,32681835,28383205,33286932,31980025,30198063,30690403,31700957,25015998,34278429,35844163
35,Inventory,6800000,7200000,16100000,24000000,29397579,29800000,35744074,32489051,35100000,24640522,24443063,29738727,37330969,34486027,35005957,38447982,38364621,46125187,43635266,60793478,48404882,72909996,78869615,102343517,98971773,95212085
36,Other Current Assets,400000,400000,1000000,1800000,1640931,1900000,717734,2150426,5100000,6961265,8514947,7400494,4799206,3430144,4919459,7781425,8393321,6833925,6640738,3679634,10049968,4218811,4940775,7148459,2091645,4999125
37,Total Current Assets,17700000,18500000,32300000,45800000,51279812,65500000,68789736,63477679,70900000,60798243,61254899,65705713,69786270,66619283,68185840,80582765,79931164,81617353,83662858,96672673,89258293,108342275,116031991,134845678,136003042,136574964
38,PP&E,3000000,3600000,4500000,7500000,5886773,14700000,16096124,16951615,20000000,17637810,12528539,11190768,10907541,11256627,11855669,13713238,13083912,13088859,13763140,12753145,12607877,13307986,15768484,17655415,36433400,33859053
39,Goodwill,- -,- -,- -,- -,- -,6800000,- -,- -,6500000,5848808,5848808,5848808,5848808,5848808,6149168,6349827,6349827,6349827,6349827,6349827,6349827,6349827,4436950,4436950,4436950,4436950
40,Intangible Assets,- -,- -,- -,- -,- -,8700000,- -,17511939,13300000,3464534,3439803,3400070,3373269,3373269,4807644,5550978,5185978,4820978,4455978,4090978,3759311,3494311,3414936,500000,500000,500000
41,Intangible Assets,- -,- -,- -,- -,- -,15500000,- -,17511939,19800000,9313342,9288611,9248878,9222077,9222077,10956812,11900805,11535805,11170805,10805805,10440805,10109138,9844138,7851886,4936950,4936950,4936950
42,Investments,- -,- -,- -,- -,- -,1100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6744095,9380343
43,Tax Assets,- -,- -,- -,- -,- -,600000,- -,- -,600000,6300503,6772927,2768043,234171,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,2300000,1400000,2800000,15300000,15828926,1800000,19700609,1558197,400000,1258899,5021570,3150183,3155299,1026395,1069050,1238825,1258985,497882,448149,317184,288082,310488,301793,273579,3883786,3659819
45,Total Non-Current Assets,5300000,5000000,7300000,22800000,21715699,33700000,35796733,36021751,40800000,34510554,33611647,26357872,23519088,21505099,23881531,26852868,25878702,24757546,25017094,23511134,23005097,23462612,23922163,22865944,51998231,51836165
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,23000000,23500000,39600000,68600000,72995511,99200000,104586469,99499430,111700000,95308797,94866546,92063585,93305358,88124382,92067371,107435633,105809866,106374899,108679952,120183807,112263390,131804887,139954154,157711622,188001273,188411129
48,Accounts Payable,4100000,4800000,7400000,12000000,10747124,16200000,19873851,15092091,17200000,17701544,14633124,15253562,14738214,15222689,16656257,18439446,17189208,15859636,16412895,17044726,18164983,17631552,20826834,18647572,22108299,24235042
49,Short-Term Debt,300000,300000,3400000,10900000,9257937,- -,16492953,23110833,19285453,4651295,4420130,3614024,3833128,1648312,893291,1384625,1182829,998788,341190,351383,362495,373645,1096306,532747,6123948,6074592
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3984258,2366667,2100180,2194966,1922351,1603614,- -,- -,544069,- -,- -,567408,867160
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,1800000,2200000,3000000,4100000,3902035,15400000,5434032,5836074,46314547,7872882,14197973,11900153,12267254,14011014,11536384,11714410,11630186,11390931,11142891,10507317,10373880,11575124,12522353,12406819,13634588,16825967
53,Total Current Liabilities,6200000,7300000,13800000,27000000,23907096,31600000,41800836,44038998,82800000,30225721,33251227,30767739,30838596,30882015,29085932,31538481,30002223,28249355,27896976,27903426,28901358,29580321,34445493,31587138,41866835,47135601
54,Long-Term Debt,10000000,8800000,15800000,27200000,31325352,52400000,45100985,36630643,10300000,58208504,51996786,42931633,38680886,27722046,24043295,26965808,19429412,18918604,18817485,24286526,13559050,31685361,39086988,63502358,64580476,61374287
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,300000,200000,- -,700000,486408,- -,788316,1367367,- -,- -,- -,- -,- -,- -,1075861,2743238,3633390,3327010,3484204,3696098,4021569,2336263,1782801,1823373,1806575,1531228
57,Other Non-Current Liabilities,- -,- -,400000,400000,421750,1800000,197024,161025,3400000,2807000,11365602,12820682,12820682,5756713,5087479,4479513,4286186,239396,139003,34860,30815,34100,38055,42011,14955847,757387
58,Total Non-Current Liabilities,10300000,9000000,16200000,28300000,32233510,54200000,46086325,38159035,13700000,61015504,63362388,55752315,51501568,33478759,30206635,34188559,27348988,22485010,22440692,28017484,17611434,34055724,40907844,65367742,81342898,63662902
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19635704,18182547
61,Total Liabilities,16500000,16300000,30000000,55300000,56140606,85800000,87887161,82198033,96500000,91241225,96613615,86520054,82340164,64360774,59292567,65727040,57351211,50734365,50337668,55920910,46512792,63636045,75353337,96954880,123209733,110798503
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,1000,4296000,- -,- -,- -,- -,- -,- -,- -,2900000,2900000,2900000,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,27376,- -,31570,31690,- -,5271,5271,5295,5704,5732,5774,6093,6293,6543,6677,7061,8184,8314,8441,8561,8697,8834
64,Retained Earnings,2800000,4700000,7100000,10700000,12476624,8800000,10395324,11050998,6500000,-6553469,-8030816,-857895,3963542,16140382,24392390,31721445,38349253,43532812,47829201,53527606,58693241,60935911,63848030,66414397,71362334,83552298
65,Other Comprehensive Income/Loss,-3200000,-3500000,-5700000,-6600000,-7492000,800000,-7680921,220732,59900,101294,-12347890,-13494446,-14526688,-15376531,-16280284,-17910796,-19748802,-21512143,-23209997,-24555853,-23934775,-25441783,-26627541,-28165539,-28709962,- -
66,Other Total Stockholders Equity,6900000,6000000,8200000,9200000,11842905,3800000,13953335,5997977,8500000,6218476,18626366,19890577,21522636,22994025,24656924,27891851,29851911,30713322,30816403,32384083,30983948,32666400,27371887,22499323,22130471,-5948506
67,Total Stockholders Equity,6500000,7200000,9600000,13300000,16854905,13400000,16699308,17301397,15205152,4067572,-1747069,5543531,10965194,23763608,32774804,41708593,48458655,55640534,58342284,64262897,65750598,68168842,64600817,60756742,64791540,77612626
68,Total Liabilities And Stockholders Equity,23000000,23500000,39600000,68600000,72995511,99200000,104586469,99499430,111705152,95308797,94866546,92063585,93305358,88124382,92067371,107435633,105809866,106374899,108679952,120183807,112263390,131804887,139954154,157711622,188001273,188411129
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,-5152,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,23000000,23500000,39600000,68600000,72995511,99200000,104586469,99499430,111700000,95308797,94866546,92063585,93305358,88124382,92067371,107435633,105809866,106374899,108679952,120183807,112263390,131804887,139954154,157711622,188001273,188411129
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/928465/000092846598000027/0000928465-98-000027-index.html,- -,https://www.sec.gov/Archives/edgar/data/928465/000092846500000034/0000928465-00-000034-index.html,https://www.sec.gov/Archives/edgar/data/928465/000092846501500066/0000928465-01-500066-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/928465/000092846507000049/0000928465-07-000049-index.html,https://www.sec.gov/Archives/edgar/data/928465/000092846508000034/0000928465-08-000034-index.html,https://www.sec.gov/Archives/edgar/data/928465/000095012309058813/0000950123-09-058813-index.html,https://www.sec.gov/Archives/edgar/data/928465/000095012310102492/0000950123-10-102492-index.html,https://www.sec.gov/Archives/edgar/data/928465/000104746911009216/0001047469-11-009216-index.html,https://www.sec.gov/Archives/edgar/data/928465/000104746912010255/0001047469-12-010255-index.html,https://www.sec.gov/Archives/edgar/data/928465/000104746913010411/0001047469-13-010411-index.html,https://www.sec.gov/Archives/edgar/data/928465/000104746914008979/0001047469-14-008979-index.html,https://www.sec.gov/Archives/edgar/data/928465/000104746915008418/0001047469-15-008418-index.html,https://www.sec.gov/Archives/edgar/data/928465/000155837016009684/0001558370-16-009684-index.html,https://www.sec.gov/Archives/edgar/data/928465/000155837017008533/0001558370-17-008533-index.html,https://www.sec.gov/Archives/edgar/data/928465/000155837018009048/0001558370-18-009048-index.html,https://www.sec.gov/Archives/edgar/data/928465/000155837019010602/0001558370-19-010602-index.html,https://www.sec.gov/Archives/edgar/data/928465/000155837020013380/0001558370-20-013380-index.htm,https://www.sec.gov/Archives/edgar/data/928465/000155837021015031/0001558370-21-015031-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,1300000,1900000,2400000,3800000,3904439,-3300000,1972069,1026473,-4100000,-12741979,-1111305,4440304,5332246,12973735,8965812,8064036,7367562,5858672,4959528,6361278,5980673,2949576,3614610,3202943,5542590,15545265
74,Depreciation and Amortization,800000,900000,1100000,1900000,2794996,2519377,3453268,2520058,2536854,2828321,1936897,1831640,1386218,1216089,1736817,2234814,2392414,2412613,2386402,2264184,2162667,2049475,2318146,2617591,3116449,3093017
75,Deferred Income Tax,- -,- -,- -,-100000,-363830,-542973,1368445,-660306,-1754264,-5987342,-803200,2621261,2719652,1049925,-385258,1865462,681422,-221694,382959,264336,437278,-243387,-553462,40572,-16798,-275347
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,531600,486294,1851457,1426848,1303310,1406033,1224661,1403584,1394879,1271840,1299792,1085287,2415156
77,Change in Working Capital,800000,-300000,7300000,300000,8572716,6527284,-6911100,-7550219,-31338681,42472522,-2568850,6934302,4009700,-3210406,3362640,9944376,884657,3439057,2397884,13003365,-8412312,18405019,2824544,21672042,-9122333,3437683
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1319358,-196917,4259181,287101,4353630,-4586727,1338145,2032683,-755299,-828442,6742225,-9591809,-1615734
79,Inventory,500000,-800000,-2600000,-2100000,-5130597,2452459,-5710095,3204987,-4620819,10234050,-1179714,-383768,-7694240,2545787,1535651,1015604,103873,-7669072,3403156,-17227536,12445843,-24403398,-5056917,-24034512,3693984,3721980
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-80446,1395362,1810710,-1250790,-1391539,591478,643487,976142,-467348,3295390,-2247262,3529980,1998494
81,Other Working Capital,11500000,11200000,18500000,18800000,27372716,33900000,26988900,19438681,-11900000,30572522,28003672,34937974,38947674,35737268,39099908,49044284,49928941,53367998,55765882,68769247,60356935,78761954,81586498,103258540,94136207,-371248
82,Other Non-Cash Items,-300000,-1400000,-10100000,-3500000,-18038144,460431,2261360,10200482,30993675,-18043646,2203137,-7163951,-8293642,5323749,-3780948,-7954397,-2854015,-7059068,-3870352,-25678109,16814450,-38317384,-3580222,-40286597,14597853,-3280134
83,Cash Provided by Operating Activities,2600000,1100000,700000,2400000,-3129823,5664119,2144042,5536488,-3662416,8527876,-343321,8663556,5154174,17884692,10385357,16005748,9898888,5732890,7662454,-2560285,18386340,-13761822,5895456,-11453657,15203048,20935640
84,CAPEX,-700000,-1400000,-800000,-800000,-966018,-1197708,-2680214,-3228711,-1784005,-3028576,-995510,-514277,-845156,-1673432,-1920655,-1988139,-1480782,-2113426,-2796326,-1018391,-1594848,-2565699,-3226107,-4438280,-3356573,-1525882
85,Acquisitions Net,- -,- -,-7100000,-5900000,-606183,-32918646,-95321,- -,-2774280,- -,- -,- -,- -,- -,-3099836,-13368057,- -,- -,-996803,- -,- -,- -,- -,- -,-6500000,- -
86,Purchases of Investments,- -,- -,- -,- -,-350000,-1554483,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,400000,2400000,- -,- -,92260,- -,303911,303018,561910,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,500000,200000,200000,100000,2887234,8238641,93082,129994,105497,95028,22847,4066722,86209,107255,71606,94525,129834,179662,192373,41000,112157,46654,5800,57200,-3456400,55728
89,Cash Used for Investing Activites,200000,1200000,-7700000,-6600000,1057293,-27432196,-2378542,-2795699,-3890878,-2933548,-972663,3552445,-758947,-1566177,-4948885,-15261671,-1350948,-1933764,-3600756,-977391,-1482691,-2519045,-3220307,-4381080,-13312973,-1470154
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13155989,-4948741,-1093147,-1320311,-1182829,-998788,-341190,-10716364,-1293829693,-1419080075,-1403692993,-1514413834,-1682582270
91,Common Stock Issued,- -,- -,- -,- -,20628,3185,126825,20490,2438877,1857645,1982372,46686,148384,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-1200000,- -,- -,-39,-85,- -,-36,- -,- -,- -,- -,- -,-2000000,- -,- -,-918000,-2777303,-2859652,-1910571,-4955772,-1124921,-7723450,-7507103,-2029694,-5738
93,Dividends Paid,- -,- -,- -,-100000,-372289,-328605,-382823,-370799,-429301,-294640,-366042,-418692,-510809,-575267,-713804,-734981,-739754,-469895,-468034,-467768,-654678,-706906,-702491,-636576,-594653,-3355301
94,Other Financing Activites,-2700000,-1100000,7000000,6000000,1844464,21242246,323649,-1852462,5291718,-7027133,-365481,-11607579,-4292675,-735026,272894,2116981,-6468153,414550,89662,6376819,-190991,1311860072,1424828446,1427488469,1515471597,1666336219
95,Cash Used/Provided by Financing Activities,-2700000,-2300000,7000000,5900000,1492764,20916741,67651,-2202807,7301294,-5464128,1250849,-11979585,-4655100,-16466282,-5389651,288853,-9446218,-4015477,-4236812,3657290,-16517805,16198552,-2677570,15651797,-1566584,-19607090
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-2700000,-2300000,7000000,5900000,-579766,-851336,-166849,537982,-252000,130200,-65135,236416,-259873,-147767,46821,1032930,-898278,-216351,-175114,119614,385844,-82315,-2421,-182940,323491,-141604
98,Cash at the End of Period,- -,- -,- -,1700000,1148276,296940,130091,668073,416073,546273,481138,717554,457681,309914,356735,1389665,491387,275036,99922,219536,605380,523065,520644,337704,661195,519591
99,Cash at the Beginning of Period,- -,- -,- -,- -,1728042,1148276,296940,130091,668073,416073,546273,481138,717554,457681,309914,356735,1389665,491387,275036,99922,219536,605380,523065,520644,337704,661195
100,Free Cash Flow,1900000,-300000,-100000,1600000,-4095841,4466411,-536172,2307777,-5446421,5499300,-1338831,8149279,4309018,16211260,8464702,14017609,8418106,3619464,4866128,-3578676,16791492,-16327521,2669349,-15891937,11846475,19409758
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/928465/000092846598000027/0000928465-98-000027-index.html,- -,https://www.sec.gov/Archives/edgar/data/928465/000092846500000034/0000928465-00-000034-index.html,https://www.sec.gov/Archives/edgar/data/928465/000092846501500066/0000928465-01-500066-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/928465/000092846507000049/0000928465-07-000049-index.html,https://www.sec.gov/Archives/edgar/data/928465/000092846508000034/0000928465-08-000034-index.html,https://www.sec.gov/Archives/edgar/data/928465/000095012309058813/0000950123-09-058813-index.html,https://www.sec.gov/Archives/edgar/data/928465/000095012310102492/0000950123-10-102492-index.html,https://www.sec.gov/Archives/edgar/data/928465/000104746911009216/0001047469-11-009216-index.html,https://www.sec.gov/Archives/edgar/data/928465/000104746912010255/0001047469-12-010255-index.html,https://www.sec.gov/Archives/edgar/data/928465/000104746913010411/0001047469-13-010411-index.html,https://www.sec.gov/Archives/edgar/data/928465/000104746914008979/0001047469-14-008979-index.html,https://www.sec.gov/Archives/edgar/data/928465/000104746915008418/0001047469-15-008418-index.html,https://www.sec.gov/Archives/edgar/data/928465/000155837016009684/0001558370-16-009684-index.html,https://www.sec.gov/Archives/edgar/data/928465/000155837017008533/0001558370-17-008533-index.html,https://www.sec.gov/Archives/edgar/data/928465/000155837018009048/0001558370-18-009048-index.html,https://www.sec.gov/Archives/edgar/data/928465/000155837019010602/0001558370-19-010602-index.html,https://www.sec.gov/Archives/edgar/data/928465/000155837020013380/0001558370-20-013380-index.htm,https://www.sec.gov/Archives/edgar/data/928465/000155837021015031/0001558370-21-015031-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
