,https://roic.ai/company/SWIR,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
17,Operating Income,1234809,867000,-4979000,-27359000,-38370000,1488000,21738000,-39690000,5588000,38576000,44572000,-37724000,-10366000,-29912000,-22206000,-17664000,-6594000,10114000,21348000,-359000,-18275000,-58021000,-88036000,-79546000
18,Operating Income ratio,0.0720,0.0362,-0.0931,-0.4583,-0.4964,0.0146,0.1029,-0.3706,0.0253,0.0877,0.0786,-0.0717,-0.0290,-0.0898,-0.0559,-0.0400,-0.0120,0.0166,0.0347,-0.0005,-0.0230,-0.0813,-0.1963,-0.1681
19,Total Other Income Expenses (Gains),- -,1281000,3974000,2317000,170000,1012000,7562000,2290000,5212000,4824000,26128000,-3176000,-39634000,-24788000,3106000,3764000,-11536000,-11728000,-1331000,8076000,-5419000,-1597000,5976000,-9180000
20,Income Before Tax,- -,2148000,-1005000,-25042000,-38200000,2500000,29300000,-37400000,10800000,43400000,70700000,-40900000,-50000000,-54700000,-19100000,-13900000,-18130000,-1614000,20017000,7717000,-23694000,-59618000,-82060000,-88726000
21,Income Before Tax Ratio,- -,0.0897,-0.0188,-0.4194,-0.4942,0.0246,0.1387,-0.3492,0.0488,0.0987,0.1246,-0.0777,-0.1397,-0.1642,-0.0481,-0.0315,-0.0331,-0.0027,0.0325,0.0112,-0.0299,-0.0836,-0.1829,-0.1875
22,Income Tax expense (Gain),- -,-1064000,1060000,-273000,3500000,200000,4398000,-945000,1046000,10900000,8200000,340000,-2808000,-965000,-14900000,1611000,-1277000,1060000,4310000,3199000,916000,10920000,-11909000,6000
23,Net Income,1624748,3212000,-2065000,-24769000,-41700000,2300000,24900000,-36500000,9800000,32500000,62600000,-39900000,-14500000,-29300000,27200000,55000000,-16853000,-2674000,15646000,4518000,-24610000,-70538000,-49341000,-89017000
24,Net Income ratio,0.0947,0.1341,-0.0386,-0.4149,-0.5395,0.0226,0.1179,-0.3408,0.0443,0.0739,0.1103,-0.0758,-0.0405,-0.0879,0.0685,0.1245,-0.0307,-0.0044,0.0254,0.0065,-0.0310,-0.0989,-0.1100,-0.1881
25,EPS,0.75,0.25,-0.20,-1.50,-2.56,0.12,0.99,-1.44,0.38,1.17,2.00,-1.29,-0.47,-0.94,0.88,1.79,-0.53,-0.08,0.48,0.13,-0.68,-1.95,-1.36,-2.40
26,EPS Diluted,0.10,0.23,-0.20,-1.50,-2.56,0.12,0.96,-1.44,0.38,1.16,2.00,-1.29,-0.47,-0.94,0.88,1.79,-0.53,-0.08,0.48,0.13,-0.68,-1.95,-1.36,-2.40
27,Weighted Average Shares Outstanding,2155172,12964000,15318000,16512667,16372266,18791667,19575758,25325000,25778947,27742735,31254000,31035000,31083000,31275000,30788000,30771000,31512000,32166000,32032000,32356000,36019000,36166000,36393000,37119000
28,Weighted Average Shares Outstanding Diluted,16666667,13923000,15318000,16512667,16372266,18791667,20187500,25325000,25778947,27981897,31323000,31035000,31083000,31275000,30788000,30771000,31512000,32166000,32335000,32893000,36019000,36166000,36393000,37119000
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1111863/000110465905012709/0001104659-05-012709-index.html,- -,https://www.sec.gov/Archives/edgar/data/1111863/000110465907023679/a07-9107_140f.htm,- -,https://www.sec.gov/Archives/edgar/data/1111863/000110465909020976/0001104659-09-020976-index.html,https://www.sec.gov/Archives/edgar/data/1111863/000110465910016706/0001104659-10-016706-index.html,https://www.sec.gov/Archives/edgar/data/1111863/000110465911015292/0001104659-11-015292-index.html,https://www.sec.gov/Archives/edgar/data/1111863/000110465912015859/0001104659-12-015859-index.html,https://www.sec.gov/Archives/edgar/data/1111863/000110465913018908/0001104659-13-018908-index.html,https://www.sec.gov/Archives/edgar/data/1111863/000111186314000005/a2013yefinancialstatements.htm,https://www.sec.gov/Archives/edgar/data/1111863/000111186315000005/a2014yefinancialstatements.htm,https://www.sec.gov/Archives/edgar/data/1111863/000111186316000032/0001111863-16-000032-index.html,https://www.sec.gov/Archives/edgar/data/1111863/000111186317000009/0001111863-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/1111863/000111186318000007/0001111863-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/1111863/000111186319000009/0001111863-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/1111863/000111186320000012/0001111863-20-000012-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,34800000,70400000,131800000,64600000,46400000,83600000,63300000,107500000,85400000,101400000,63600000,177400000,207062000,93936000,102772000,65003000,89076000,75454000,160560000,76784000
32,Short-Term Investments,- -,- -,- -,- -,- -,14800000,- -,24900000,40600000,93000000,18000000,26900000,26400000,9300000,- -,2500000,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,34800000,85200000,131800000,89500000,87000000,176600000,81300000,134400000,111800000,110700000,63600000,179900000,207062000,93936000,102772000,65003000,89076000,75454000,160560000,76784000
34,Net Receivables,- -,- -,- -,- -,13900000,21600000,22500000,20300000,57400000,83000000,67100000,86500000,117400000,107400000,108600000,112500000,106799000,116246000,143798000,173054000,171725000,131432000,68575000,85310000
35,Inventory,- -,- -,- -,- -,6700000,1500000,11100000,3300000,18900000,25000000,33000000,24700000,22100000,16200000,12700000,8300000,17445000,32829000,40913000,53143000,50779000,54291000,32815000,82177000
36,Other Current Assets,- -,- -,- -,- -,800000,2100000,5100000,4000000,6200000,12800000,203200000,20200000,34200000,27200000,100800000,31100000,12605000,14179000,6530000,8442000,11924000,22885000,22797000,27472000
37,Total Current Assets,- -,- -,- -,- -,56200000,110400000,170500000,117100000,169500000,297400000,384600000,265800000,285500000,261500000,285700000,331800000,343911000,257190000,294013000,299642000,323504000,284062000,284747000,271743000
38,PP&E,- -,- -,- -,- -,7200000,6000000,10000000,11600000,13400000,15300000,22900000,28000000,22600000,22100000,20000000,22000000,20717000,28947000,34180000,42977000,39842000,65533000,51480000,45482000
39,Goodwill,- -,- -,- -,- -,- -,19700000,19200000,19200000,18400000,32500000,33000000,95100000,91000000,90000000,98000000,102700000,103966000,156488000,154114000,218516000,211074000,207595000,175545000,167379000
40,Intangible Assets,- -,- -,- -,- -,6900000,14600000,14200000,10700000,9900000,17400000,15300000,86700000,69000000,42600000,56400000,43600000,37893000,84250000,74863000,108599000,84890000,70072000,78081000,54708000
41,Intangible Assets,- -,- -,- -,- -,6900000,34300000,33400000,29900000,28300000,49900000,48300000,181800000,160000000,132600000,154400000,146300000,141859000,240738000,228977000,327115000,295964000,277667000,253626000,222087000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,3500000,2800000,2000000,1100000,200000,300000,100000,453000,11667000,11458000,7845000,6103000,4921000,1135000,1268000
44,Other Non-Current Assets,- -,- -,- -,- -,800000,25200000,1700000,15400000,400000,18900000,3800000,6900000,400000,6500000,4400000,11800000,8424000,7790000,9831000,17065000,18503000,7157000,10383000,6473000
45,Total Non-Current Assets,- -,- -,- -,- -,14900000,65500000,45100000,56900000,42100000,87600000,77800000,218700000,184100000,161400000,179100000,180200000,171453000,289142000,284446000,395002000,360412000,355278000,316624000,275310000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,71100000,175900000,215600000,174000000,211600000,385000000,462400000,484500000,469600000,422900000,464800000,512000000,515364000,546332000,578459000,694644000,683916000,639340000,601371000,547053000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,3634000,1469000,664000,1198000,6000,- -,- -,293000,324000,- -,- -,- -,- -,- -,- -,- -,- -,6312000,7547000,494000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9849000,9181000,11861000,4742000,2501000,4922000,4070000,4957000,4904000,4979000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,500000,500000,422000,118000,- -,- -,1110000,1110000,1110000,22199000,2391000,4779000,4735000,16039000,12197000,11751000,5792000,9862000,11770000
52,Other Current Liabilities,- -,- -,- -,- -,15766000,28131000,38736000,32580000,57476000,83800000,87100000,128497000,138866000,124490000,117701000,124909000,126662000,127281000,156724000,170445000,178682000,172062000,154591000,183529000
53,Total Current Liabilities,- -,- -,- -,- -,19400000,30100000,39900000,34200000,57600000,83800000,87100000,129900000,140300000,125600000,139900000,127300000,131441000,132016000,172763000,182642000,190433000,184166000,172000000,195793000
54,Long-Term Debt,- -,- -,- -,- -,100000,- -,300000,- -,1100000,- -,- -,200000,300000,- -,- -,- -,- -,- -,- -,- -,- -,208000,- -,24427000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10258000,6371000
57,Other Non-Current Liabilities,- -,- -,- -,- -,2800000,2200000,1700000,2000000,100000,5900000,17800000,40300000,26900000,25400000,26800000,21700000,27061000,56020000,44112000,44482000,49353000,73641000,62700000,42808000
58,Total Non-Current Liabilities,- -,- -,- -,- -,2900000,2200000,2000000,2000000,1200000,5900000,17800000,40500000,27200000,25400000,26800000,21700000,27061000,56020000,44112000,44482000,49353000,73849000,72958000,73606000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,60000,- -,287000,4000,- -,- -,- -,538000,587000,25143000,- -,- -,- -,- -,- -,- -,- -,31674000,24609000,15033000
61,Total Liabilities,- -,- -,- -,- -,22300000,32300000,41900000,36200000,58800000,89700000,104900000,170400000,167500000,151000000,166700000,149000000,158502000,188036000,216875000,227124000,239786000,258015000,244958000,269399000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,123000000,214000000,218800000,219400000,221900000,328300000,325900000,326000000,327700000,328400000,322800000,329600000,339640000,346453000,342450000,427748000,432552000,435532000,441999000,460331000
64,Retained Earnings,- -,- -,- -,- -,-73600000,-71300000,-46400000,-82900000,-73100000,-40600000,21300000,-18600000,-33200000,-62500000,-35300000,19400000,2514000,-160000,13718000,17502000,-8295000,-78833000,-128953000,-220564000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-484000,1054000,42276000,718000,792000,1229000,-749000,-37000,-5471000,-8000000,-7462000,-6858000,-5965000,-7978000,-14426000,-2476000,-9146000,-13216000,-5580000,-8732000
66,Other Total Stockholders Equity,- -,- -,- -,- -,-162000,-207000,-41011000,597000,3240000,6395000,10997000,6708000,13019000,14004000,18018000,20854000,20673000,19981000,19842000,24143000,29019000,37842000,48947000,46619000
67,Total Stockholders Equity,- -,- -,- -,- -,48754000,143547000,173665000,137815000,152832000,295324000,357448000,314071000,302048000,271904000,298056000,362996000,356862000,358296000,361584000,466917000,444130000,381325000,356413000,277654000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,71054000,175847000,215565000,174015000,211632000,385024000,462348000,484471000,469548000,422904000,464756000,511996000,515364000,546332000,578459000,694041000,683916000,639340000,601371000,547053000
69,Minority Interest,- -,- -,- -,- -,46000,53000,35000,-15000,-32000,-24000,52000,29000,52000,-4000,44000,4000,- -,- -,- -,603000,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,71100000,175900000,215600000,174000000,211600000,385000000,462400000,484500000,469600000,422900000,464800000,512000000,515364000,546332000,578459000,694644000,683916000,639340000,601371000,547053000
71,SEC Link,undefined,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1111863/000110465905012709/0001104659-05-012709-index.html,- -,https://www.sec.gov/Archives/edgar/data/1111863/000110465907023679/a07-9107_140f.htm,- -,https://www.sec.gov/Archives/edgar/data/1111863/000110465909020976/0001104659-09-020976-index.html,https://www.sec.gov/Archives/edgar/data/1111863/000110465910016706/0001104659-10-016706-index.html,https://www.sec.gov/Archives/edgar/data/1111863/000110465911015292/0001104659-11-015292-index.html,https://www.sec.gov/Archives/edgar/data/1111863/000110465912015859/0001104659-12-015859-index.html,https://www.sec.gov/Archives/edgar/data/1111863/000110465913018908/0001104659-13-018908-index.html,https://www.sec.gov/Archives/edgar/data/1111863/000111186314000005/a2013yefinancialstatements.htm,https://www.sec.gov/Archives/edgar/data/1111863/000111186315000005/a2014yefinancialstatements.htm,https://www.sec.gov/Archives/edgar/data/1111863/000111186316000032/0001111863-16-000032-index.html,https://www.sec.gov/Archives/edgar/data/1111863/000111186317000009/0001111863-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/1111863/000111186318000007/0001111863-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/1111863/000111186319000009/0001111863-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/1111863/000111186320000012/0001111863-20-000012-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,1624748,3212000,-2065000,-24769000,-41700000,2300000,24900000,-36500000,9800000,32500000,62600000,-39900000,-14500000,-29300000,27200000,55000000,-16853000,-2674000,15646000,4518000,-24610000,-70538000,-49341000,-89017000
74,Depreciation and Amortization,454929,892000,3318000,7161000,7038000,5669000,6915000,9012000,9665000,13791000,16309000,32704000,34990000,32386000,28590000,28296000,23517000,20216000,25894000,30503000,39150000,33177000,32345000,28718000
75,Deferred Income Tax,- -,-1100000,145000,-15000,3754000,2000,- -,- -,-118000,178000,-3842000,282000,-3374000,-2903000,-13606000,16339000,771000,-2841000,-2707000,748000,-1685000,8711000,-1150000,-3594000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8097000,6956000,6449000,6713000,9347000,9404000,8942000,7629000,10341000,13060000,12930000,19940000,19834000
77,Change in Working Capital,-3574446,-534000,-9113000,-4113000,-3240000,5053000,-3395000,-2148000,-32029000,-4853000,23249000,24835000,-27370000,5929000,-8603000,3559000,21320000,-14556000,1469000,-41761000,12999000,19365000,26341000,-53868000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20175000,-35671000,9067000,-616000,10897000,-5180000,-8437000,-26475000,-10584000,-5526000,37965000,1232000,-18610000
79,Inventory,-1884708,-537000,-5644000,-13031000,2517000,5878000,-9579000,219000,-15573000,-2493000,-8043000,15676000,-11399000,5664000,-4019000,11908000,-8949000,-16262000,-5785000,-6806000,1508000,-3712000,10997000,-49660000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1301000,12406000,-13783000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-422000,1147000,-510000,-451000,-11842000,-564000,-1402000,5792000,-1305000,1486000
82,Other Non-Cash Items,-0,30000,- -,671000,29458000,1236000,683000,12436000,4575000,7222000,-12183000,21681000,-1102000,11182000,173000,-94675000,10541000,5446000,-564000,-5277000,8316000,3217000,-35902000,21393000
83,Cash Provided by Operating Activities,-1494768,2500000,-7715000,-21065000,-4690000,14260000,29103000,-17200000,-8107000,48838000,86133000,47699000,-4400000,23743000,40467000,17866000,48700000,14533000,47367000,-928000,47230000,6862000,-7767000,-76534000
84,CAPEX,-584909,-1261000,-7141000,-10523000,-2219000,-1972000,-7120000,-8292000,-10748000,-11593000,-22678000,-19839000,-16556000,-18008000,-18452000,-13570000,-10829000,-15079000,-17857000,-15806000,-21099000,-20273000,-21975000,-19984000
85,Acquisitions Net,- -,-506000,-7250000,- -,- -,33000,- -,- -,- -,-12093000,-35000,-26493000,- -,- -,-55218000,114762000,-10053000,-112895000,-8782000,-21870000,5000000,500000,122297000,-319000
86,Purchases of Investments,-1689738,- -,-72144000,-69411000,-14662000,-49742000,-42674000,-103171000,-71943000,-199235000,-257497000,-173100000,-48310000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,3624000,- -,109676000,46541000,10492000,82433000,63593000,72318000,126826000,353572000,59560000,48799000,17058000,- -,- -,- -,- -,- -,- -,- -,3303000,- -,- -
88,Other Investing Activites,-64990,-624000,-4100000,-3471000,-1093000,-4073000,-3206000,-2090000,92000,52000,-173055000,169432000,-5430000,-5496000,6879000,-4649000,-3205000,-1071000,-897000,-1671000,-2840000,-3681000,-2742000,-4755000
89,Cash Used for Investing Activites,-2339637,1233000,-90635000,26271000,28567000,-45262000,29433000,-49960000,-10281000,-96043000,-99693000,16103000,-17521000,-2706000,-64184000,98754000,-22336000,-127969000,-26636000,-37641000,-16006000,-16372000,100603000,-20212000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-106169000,-2615000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9383000,- -
91,Common Stock Issued,9748489,29370000,66557000,499000,374000,- -,4758000,592000,1351000,85525000,1023000,96000,1074000,519000,436000,8106000,6404000,3837000,2048000,5708000,2636000,488000,1964000,5406000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7480000,-6417000,- -,-4472000,-8801000,-9205000,-5955000,-6584000,-14417000,-2779000,-5928000,-674000,-2802000,-10772000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-1104829,-389000,92000,-511000,-1495000,66519000,-1806000,-667000,-1136000,-1134000,-349000,102893000,- -,-905000,-1000000,-876000,-427000,-300000,-1320000,-3200000,-2635000,-1476000,7448000,8732000
95,Cash Used/Provided by Financing Activities,8643660,28981000,66649000,-12000,-1121000,66519000,2952000,-75000,215000,84391000,-6806000,-9597000,-1541000,-4858000,-9365000,-1975000,22000,-3047000,-13689000,-271000,-5927000,-1662000,-2773000,3366000
96,Effect of Forex Changes on Cash,- -,-37000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9972000,1414000,-247000,-4647000,-875000,3260000,3357000,1794000,1292000,-1224000,958000,2278000,-1160000
97,Net Change In Cash,4809255,32677000,-31701000,5194000,22756000,35517000,61488000,-67235000,-18173000,37186000,-20366000,44233000,-22048000,15932000,-37729000,113770000,29646000,-113126000,8836000,-37548000,24073000,-10214000,92341000,-94540000
98,Cash at the End of Period,5914083,38592000,6891000,12085000,34841000,70358000,131846000,64611000,46438000,83624000,63258000,107491000,85443000,101375000,63646000,177416000,207062000,93936000,102772000,65224000,89297000,79083000,171424000,76884000
99,Cash at the Beginning of Period,1104829,5915000,38592000,6891000,12085000,34841000,70358000,131846000,64611000,46438000,83624000,63258000,107491000,85443000,101375000,63646000,177416000,207062000,93936000,102772000,65224000,89297000,79083000,171424000
100,Free Cash Flow,-2079678,1239000,-14856000,-31588000,-6909000,12288000,21983000,-25492000,-18855000,37245000,63455000,27860000,-20956000,5735000,22015000,4296000,37871000,-546000,29510000,-16734000,26131000,-13411000,-29742000,-96518000
101,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1111863/000110465905012709/0001104659-05-012709-index.html,- -,https://www.sec.gov/Archives/edgar/data/1111863/000110465907023679/a07-9107_140f.htm,- -,https://www.sec.gov/Archives/edgar/data/1111863/000110465909020976/0001104659-09-020976-index.html,https://www.sec.gov/Archives/edgar/data/1111863/000110465910016706/0001104659-10-016706-index.html,https://www.sec.gov/Archives/edgar/data/1111863/000110465911015292/0001104659-11-015292-index.html,https://www.sec.gov/Archives/edgar/data/1111863/000110465912015859/0001104659-12-015859-index.html,https://www.sec.gov/Archives/edgar/data/1111863/000110465913018908/0001104659-13-018908-index.html,https://www.sec.gov/Archives/edgar/data/1111863/000111186314000005/a2013yefinancialstatements.htm,https://www.sec.gov/Archives/edgar/data/1111863/000111186315000005/a2014yefinancialstatements.htm,https://www.sec.gov/Archives/edgar/data/1111863/000111186316000032/0001111863-16-000032-index.html,https://www.sec.gov/Archives/edgar/data/1111863/000111186317000009/0001111863-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/1111863/000111186318000007/0001111863-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/1111863/000111186319000009/0001111863-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/1111863/000111186320000012/0001111863-20-000012-index.html,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,,
