,https://roic.ai/company/CLRO,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
14,Depreciation and Amortization,- -,100000,100000,100000,200000,200000,-200000,-300000,-300000,-500000,555039,673678,678501,660828,759810,1044878,1172019,3469000,1952000,2366000,1557000,870000,767000,- -,1201000,1220000,1917000,1422000,1972000,2058000,1873000,1531000,1590000,2475000,2313000
15,EBITDA,- -,300000,600000,800000,-200000,500000,400000,400000,-1700000,-400000,1023599,533856,2121950,4725999,8160744,11888729,12437730,-33337000,-8014000,15297000,2783000,6540000,3672000,- -,2945000,11816000,44472000,9191000,10201000,12609000,5751000,-14362000,-8657000,-5877000,-3175000
16,EBITDA ratio,- -,0.1304,0.1818,0.1569,-0.0364,0.0962,0.0571,0.0460,-0.1932,-0.0360,0.0892,0.0399,0.1229,0.2056,0.2643,0.2981,0.2280,-0.5789,-0.2364,0.4834,0.0740,0.1641,0.0924,- -,0.0713,0.2565,0.9581,0.1853,0.1762,0.2182,0.1182,-0.3436,-0.3075,-0.2347,-0.1092
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,459047,-129376,1657156,4143284,7221598,8470883,10733286,-36910000,-11621000,-1414000,-1720000,3721000,1879000,- -,1797000,10572000,42521000,7622000,7975000,10262000,3566000,-16193000,-10327000,-8562000,-5567000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0400,-0.0097,0.0960,0.1802,0.2339,0.2124,0.1968,-0.6410,-0.3429,-0.0447,-0.0457,0.0933,0.0473,- -,0.0435,0.2295,0.9161,0.1537,0.1377,0.1776,0.0733,-0.3874,-0.3668,-0.3419,-0.1915
19,Total Other Income Expenses (Gains),- -,100000,- -,-300000,-200000,- -,- -,- -,-900000,- -,-176163,-206622,-213707,-78113,179336,373147,508931,-96000,-261000,318000,1016000,1523000,1005000,- -,-104000,24000,34000,147000,254000,289000,312000,300000,80000,210000,-357000
20,Income Before Tax,- -,200000,400000,600000,-600000,- -,500000,- -,-1500000,- -,282884,-335998,1443449,4065171,7400934,8844030,11242217,-37006000,-11882000,-1096000,-704000,5244000,2884000,- -,1693000,10596000,42555000,7769000,8229000,10551000,3878000,-15893000,-10247000,-8352000,-5924000
21,Income Before Tax Ratio,- -,0.0870,0.1212,0.1176,-0.1091,- -,0.0714,- -,-0.1705,- -,0.0247,-0.0251,0.0836,0.1768,0.2397,0.2218,0.2061,-0.6426,-0.3506,-0.0346,-0.0187,0.1316,0.0725,- -,0.0410,0.2300,0.9168,0.1567,0.1421,0.1826,0.0797,-0.3802,-0.3639,-0.3335,-0.2038
22,Income Tax expense (Gain),- -,100000,100000,200000,-200000,- -,100000,- -,-200000,- -,900,36900,39000,1520700,2672601,3318845,3831465,-834000,-262000,-3248000,-870000,457000,-2756000,- -,-681000,3667000,15908000,2590000,2633000,3775000,1434000,-1721000,6440000,56000,-6429000
23,Net Income,- -,100000,300000,400000,-400000,100000,400000,- -,-1300000,-100000,281984,-372898,1404449,2544471,4728333,7482489,7410752,-35972000,-9887000,16075000,2096000,5209000,5656000,- -,2374000,6929000,26647000,5179000,5596000,6776000,2444000,-14172000,-16687000,-8408000,505000
24,Net Income ratio,- -,0.0435,0.0909,0.0784,-0.0727,0.0192,0.0571,- -,-0.1477,-0.0090,0.0246,-0.0279,0.0813,0.1107,0.1532,0.1876,0.1359,-0.6247,-0.2917,0.5080,0.0557,0.1307,0.1423,- -,0.0575,0.1504,0.5741,0.1044,0.0966,0.1172,0.0502,-0.3390,-0.5927,-0.3358,0.0174
25,EPS,- -,0.03,0.10,0.15,-0.14,0.05,0.06,- -,-0.17,-0.02,0.04,-0.05,0.18,0.31,0.57,0.87,0.77,-3.21,-0.89,1.44,0.18,0.45,0.53,- -,0.27,0.77,2.93,0.57,0.61,0.74,0.27,-1.65,-1.87,-0.51,0.03
26,EPS Diluted,- -,0.03,0.10,0.15,-0.14,0.05,0.06,- -,-0.17,-0.02,0.04,-0.05,0.18,0.30,0.54,0.83,0.74,-3.21,-0.89,1.30,0.17,0.45,0.52,- -,0.27,0.75,2.89,0.55,0.58,0.71,0.26,-1.65,-1.87,-0.51,0.03
27,Weighted Average Shares Outstanding,- -,3333333,3000000,2666667,2857143,2000000,6666667,7500000,7647059,6000000,7049600,7457960,7802494,8207971,8295321,8600562,9624353,11206231,11108989,11163194,11957756,11497773,10694401,9213731,8929305,9027934,9107234,9064340,9166769,9127385,9021980,8576588,8942629,16638580,17271629
28,Weighted Average Shares Outstanding Diluted,- -,3333333,3000000,2666667,2857143,2000000,6666667,7500000,7647059,6000000,7049600,8333333,7802494,8481570,8756172,9015047,10014530,11206231,11108989,12365385,12206618,11575721,10798281,9213731,8942929,9271811,9214685,9455518,9581326,9594659,9416085,8576588,8942629,16638580,17325351
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/840715/000089155401505330/0000891554-01-505330-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/840715/000114036105011060/0001140361-05-011060-index.htm,https://www.sec.gov/Archives/edgar/data/840715/000084071506000010/0000840715-06-000010-index.htm,https://www.sec.gov/Archives/edgar/data/840715/000084071506000045/0000840715-06-000045-index.htm,https://www.sec.gov/Archives/edgar/data/840715/000084071507000049/0000840715-07-000049-index.htm,https://www.sec.gov/Archives/edgar/data/840715/000084071508000040/0000840715-08-000040-index.htm,- -,https://www.sec.gov/Archives/edgar/data/840715/000084071511000003/0000840715-11-000003-index.htm,https://www.sec.gov/Archives/edgar/data/840715/000084071512000011/0000840715-12-000011-index.htm,https://www.sec.gov/Archives/edgar/data/840715/000084071513000019/0000840715-13-000019-index.htm,https://www.sec.gov/Archives/edgar/data/840715/000084071514000014/0000840715-14-000014-index.htm,https://www.sec.gov/Archives/edgar/data/840715/000084071515000005/0000840715-15-000005-index.htm,https://www.sec.gov/Archives/edgar/data/840715/000084071516000073/0000840715-16-000073-index.htm,https://www.sec.gov/Archives/edgar/data/840715/000149315217002516/0001493152-17-002516-index.htm,https://www.sec.gov/Archives/edgar/data/840715/000143774918007378/0001437749-18-007378-index.htm,https://www.sec.gov/Archives/edgar/data/840715/000143774919007187/0001437749-19-007187-index.htm,https://www.sec.gov/Archives/edgar/data/840715/000175392620000071/0001753926-20-000071-index.htm,https://www.sec.gov/Archives/edgar/data/840715/000175392621000080/0001753926-21-000080-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,100000,1300000,1300000,400000,100000,213763,63992,715325,3922183,5374996,6852243,14248502,6124000,4207000,1892000,1240000,2782000,3327000,9494000,11431000,16683000,55509000,17192000,7440000,13412000,12100000,5571000,11211000,4064000,3803000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1900000,1750000,15800000,20550000,19871000,5922000,- -,- -,- -,- -,3200000,6994000,7161000,5030000,2689000,951000,3026000,1117000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,100000,1300000,1300000,400000,100000,213763,63992,715325,3922183,5374996,6852243,14248502,8024000,5957000,17692000,21790000,22653000,9249000,9494000,11431000,16683000,55509000,20392000,14434000,20573000,17130000,8260000,12162000,7090000,4920000
34,Net Receivables,- -,300000,400000,500000,600000,700000,700000,1200000,1300000,1600000,1556436,1682254,1743390,2242294,4153677,7284393,20512328,4208000,10671000,10811000,10391000,8188000,7281000,6662000,9951000,8457000,8388000,9378000,9916000,8692000,7461000,7794000,6782000,5468000,12363000
35,Inventory,- -,600000,1000000,1500000,1300000,1300000,1800000,2500000,2400000,3300000,3229765,2668761,3154983,2858835,3484992,4132034,8605550,8966000,6297000,5806000,7025000,7263000,7799000,6236000,8780000,12565000,10873000,12278000,14464000,15075000,12907000,15970000,13228000,11441000,10463000
36,Other Current Assets,- -,100000,100000,100000,200000,- -,200000,200000,500000,200000,111743,136177,214667,258441,1802656,1027050,1903237,5719000,4227000,570000,383000,213000,4556000,4738000,3835000,3727000,4517000,6018000,5967000,1806000,2642000,1862000,2193000,1184000,1536000
37,Total Current Assets,- -,1000000,1500000,2100000,2100000,2100000,4000000,5200000,4600000,5200000,5111707,4551184,5828365,9281753,14816321,19295720,45269617,26917000,27152000,34879000,39589000,38317000,28885000,27130000,33997000,41432000,79287000,48066000,44781000,46146000,40140000,33886000,34365000,25183000,29282000
38,PP&E,- -,200000,400000,900000,1000000,900000,1000000,1400000,1500000,1800000,1514629,2493287,2320336,2125959,3050349,3696615,5769444,6768000,4077000,2805000,1647000,2694000,2554000,3246000,2965000,2338000,1708000,1825000,2039000,1589000,1513000,1549000,1388000,3503000,2842000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2633732,20552832,- -,- -,- -,- -,- -,- -,669000,726000,1153000,3472000,3472000,12724000,12724000,12724000,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,181722,6991410,1018000,901000,322000,154000,- -,47000,3095000,2745000,2690000,4258000,3710000,7896000,6638000,5677000,6543000,10249000,14009000,19248000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2815454,27544242,1018000,901000,322000,154000,- -,47000,3764000,3471000,3843000,7730000,7182000,20620000,19362000,18401000,6543000,10249000,14009000,19248000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11000000,- -,- -,- -,- -,22326000,19162000,19204000,21365000,10349000,3764000,1517000,1762000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,548000,- -,- -,- -,- -,1639000,1002000,913000,- -,1195000,1024000,1265000,5093000,4654000,6531000,- -,- -,- -
44,Other Non-Current Assets,- -,- -,100000,200000,200000,200000,1500000,300000,100000,200000,153874,291383,163039,111702,53861,1789834,1563390,25000,26000,15000,15000,52000,175000,6433000,2635000,1946000,2019000,638000,993000,2135000,2051000,9019000,9149000,10898000,9189000
45,Total Non-Current Assets,- -,200000,500000,1100000,1200000,1100000,2500000,1700000,1600000,2000000,1668503,2784670,2483375,2237661,3104210,8301903,34877076,8359000,5004000,3142000,1816000,2746000,15415000,14445000,9984000,8127000,12652000,32995000,44079000,47383000,47984000,33991000,24550000,29927000,33041000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,1200000,2000000,3200000,3300000,3200000,6500000,6900000,6200000,7200000,6780210,7335854,8311740,11519414,17920531,27597623,80146693,35276000,32156000,38021000,41405000,41063000,44300000,41575000,43981000,49559000,91939000,81061000,88860000,93529000,88124000,67877000,58915000,55110000,62323000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,500000,800000,1300000,900000,503168,471072,537202,725193,767095,568782,3053819,1948000,2234000,2163000,2597000,1745000,2187000,2304000,2362000,2814000,2302000,2730000,3057000,2815000,3545000,4122000,3729000,2871000,3950000
49,Short-Term Debt,- -,400000,600000,600000,1300000,1100000,500000,300000,200000,1700000,1079355,980161,285630,- -,- -,- -,196386,1454000,698000,- -,- -,- -,- -,2000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,577000,1251000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000,14782000,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5055000,5871000,4872000,4547000,4707000,4306000,3404000,3593000,4158000,5004000,4549000,3882000,4635000,283000,173000,123000
52,Other Current Liabilities,- -,200000,300000,500000,500000,700000,300000,300000,600000,400000,433516,611397,1096590,1769473,1989685,1733104,3784842,10741000,19575000,5622000,2397000,2534000,3672000,1768000,4573000,2534000,16925000,1761000,2694000,2243000,1894000,1843000,1996000,2628000,1773000
53,Total Current Liabilities,- -,600000,900000,1100000,1800000,1800000,1300000,1400000,2100000,3000000,2016039,2062630,1919422,2494666,2756780,2301886,7035047,14143000,22507000,12840000,10865000,9151000,10406000,10779000,11241000,8752000,22820000,8649000,10755000,9607000,9321000,10600000,6008000,6249000,7097000
54,Long-Term Debt,- -,100000,300000,600000,500000,300000,200000,200000,400000,500000,427250,687274,402584,- -,- -,- -,- -,931000,240000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2222000,3245000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,244000,- -,- -,- -,- -,- -,466000,584000,494000,422000,286000,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,217000,205000,746000,1457762,- -,401000,270000,128000,- -,- -,- -,- -,101000,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,163163,784354,752728,455389,205530,48227,317701,1215000,2000,- -,- -,1474000,1754000,1232000,421000,548000,2029000,1791000,2089000,1353000,1354000,710000,706000,2161000,2167000
58,Total Non-Current Liabilities,- -,100000,300000,600000,500000,300000,200000,200000,400000,500000,590413,1471628,1155312,672389,410530,794227,1775463,2390000,643000,270000,128000,1474000,1754000,1698000,1005000,1143000,2451000,2077000,2089000,1353000,1354000,710000,706000,4383000,5412000
59,Other Liabilities,- -,100000,200000,1300000,500000,300000,500000,700000,400000,500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2017000,8000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2598000,2068000
61,Total Liabilities,- -,700000,1100000,1800000,2300000,2100000,1600000,1900000,2500000,3500000,2606452,3534258,3074734,3167055,3167310,3096113,8810510,16533000,23150000,13110000,10993000,10625000,12160000,12477000,12246000,9895000,25271000,10726000,12844000,10960000,10675000,11310000,6714000,10632000,12509000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7662,7663,7699,8130,8427,8618,11178,11000,11000,11000,12000,11000,10000,9000,9000,9000,9000,9000,9000,9000,9000,8000,17000,17000,19000
64,Retained Earnings,- -,- -,200000,700000,300000,400000,800000,800000,-400000,-500000,-256651,-629549,774900,3319371,8047704,15530193,22940945,-30648000,-40535000,-24460000,-22364000,-17155000,-11794000,-9721000,-7347000,-418000,26229000,28992000,31076000,36435000,30976000,9160000,-5475000,-13883000,-13378000
65,Other Comprehensive Income/Loss,- -,-100000,-200000,-300000,-500000,-700000,-700000,-1100000,-1100000,-1100000,- -,- -,- -,- -,- -,- -,- -,1197000,1189000,-33000,-7969000,-7853000,-694000,- -,-10416000,-11271000,-11930000,23000,-8000,-166000,-205000,-65000,-181000,-176000,-186000
66,Other Total Stockholders Equity,- -,600000,900000,1000000,1200000,1400000,4800000,5300000,5200000,5300000,4422747,4423482,4454407,5024858,6697090,8962699,48384060,48183000,48341000,49393000,60733000,55435000,44618000,- -,49489000,51344000,52360000,41311000,44939000,46291000,46669000,47464000,57840000,58520000,63359000
67,Total Stockholders Equity,- -,500000,900000,1400000,1000000,1100000,4900000,5000000,3700000,3700000,4173758,3801596,5237006,8352359,14753221,24501510,71336183,18743000,9006000,24911000,30412000,30438000,32140000,29098000,31735000,39664000,66668000,70335000,76016000,82569000,77449000,56567000,52201000,44478000,49814000
68,Total Liabilities And Stockholders Equity,- -,1200000,2000000,3200000,3300000,3200000,6500000,6900000,6200000,7200000,6780210,7335854,8311740,11519414,17920531,27597623,80146693,35276000,32156000,38021000,41405000,41063000,44300000,41575000,43981000,49559000,91939000,81061000,88860000,93529000,88124000,67877000,58915000,55110000,62323000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,1200000,2000000,3200000,3300000,3200000,6500000,6900000,6200000,7200000,6780210,7335854,8311740,11519414,17920531,27597623,80146693,35276000,32156000,38021000,41405000,41063000,44300000,41575000,43981000,49559000,91939000,81061000,88860000,93529000,88124000,67877000,58915000,55110000,62323000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/840715/000089155401505330/0000891554-01-505330-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/840715/000114036105011060/0001140361-05-011060-index.htm,https://www.sec.gov/Archives/edgar/data/840715/000084071506000010/0000840715-06-000010-index.htm,https://www.sec.gov/Archives/edgar/data/840715/000084071506000045/0000840715-06-000045-index.htm,https://www.sec.gov/Archives/edgar/data/840715/000084071507000049/0000840715-07-000049-index.htm,https://www.sec.gov/Archives/edgar/data/840715/000084071508000040/0000840715-08-000040-index.htm,- -,https://www.sec.gov/Archives/edgar/data/840715/000084071511000003/0000840715-11-000003-index.htm,https://www.sec.gov/Archives/edgar/data/840715/000084071512000011/0000840715-12-000011-index.htm,https://www.sec.gov/Archives/edgar/data/840715/000084071513000019/0000840715-13-000019-index.htm,https://www.sec.gov/Archives/edgar/data/840715/000084071514000014/0000840715-14-000014-index.htm,https://www.sec.gov/Archives/edgar/data/840715/000084071515000005/0000840715-15-000005-index.htm,https://www.sec.gov/Archives/edgar/data/840715/000084071516000073/0000840715-16-000073-index.htm,https://www.sec.gov/Archives/edgar/data/840715/000149315217002516/0001493152-17-002516-index.htm,https://www.sec.gov/Archives/edgar/data/840715/000143774918007378/0001437749-18-007378-index.htm,https://www.sec.gov/Archives/edgar/data/840715/000143774919007187/0001437749-19-007187-index.htm,https://www.sec.gov/Archives/edgar/data/840715/000175392620000071/0001753926-20-000071-index.htm,https://www.sec.gov/Archives/edgar/data/840715/000175392621000080/0001753926-21-000080-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,400000,- -,-1300000,-100000,281984,-372898,1404449,2544471,4728333,7482489,7410752,-35972000,-9887000,16075000,2096000,5209000,5656000,2227000,2374000,6929000,26647000,5179000,5596000,6776000,2444000,-14172000,-16687000,-8408000,505000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,-200000,-300000,-300000,-500000,555039,673678,678501,660828,759810,1044878,1172019,3469000,1952000,2366000,1557000,870000,767000,720000,1201000,1220000,1917000,1422000,1972000,2058000,1873000,1531000,1590000,2475000,2313000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-40000,142000,-33000,-81402,-263885,- -,3079000,- -,- -,- -,- -,- -,- -,- -,-1457000,-6000,-495000,-4000,439000,-1877000,6531000,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,631000,263000,187000,241000,296000,401000,848000,667000,665000,463000,217000,63000
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,-700000,1100000,-1300000,-300000,895668,-607114,1420389,2878144,5272454,4934293,21240736,-25460570,-8129000,17394000,6685000,442000,-10687000,-7813000,6405000,9924000,23787000,-17050000,-5391000,2513000,-5720000,-7533000,5071000,-9423000,3251000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,-100000,-500000,-300000,-300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3483000,1081000,- -,- -,- -,- -,- -,-526000,- -,- -,192000
79,Inventory,- -,- -,- -,- -,- -,- -,-500000,-700000,-300000,-900000,95101,561004,-486222,296148,-626157,-354001,-930185,1516000,-491000,15000,-1900000,-1309000,-672000,-9798000,1355000,-3066000,447000,-998000,-2614000,-2249000,1869000,-10756000,155000,3565000,1517000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,400000,700000,-600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2402000,351000,634000,-512000,428000,-84000,-242000,733000,572000,-392000,-858000,1079000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,2700000,3800000,2500000,2200000,3095668,2488554,3908943,6787087,12059541,16993834,38234570,12774000,4645000,22039000,28724000,29166000,18479000,1305000,22756000,32680000,56467000,39417000,34026000,36539000,30819000,23286000,28357000,18934000,22185000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,500000,-1200000,2700000,-300000,-1203410,1104865,-1397474,-2145833,-7806404,-9662536,-29454529,60506570,14069000,-36205000,-8176000,263000,7789000,2314000,-5857000,-12461000,-7211000,207000,4627000,-4597000,8131000,12115000,-3589000,10483000,-7114000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,- -,-400000,-200000,-1200000,529281,798531,2065865,4079610,2921193,3717722,105093,2543000,1084000,-370000,2162000,6784000,3525000,-1921000,4386000,5799000,43924000,-9952000,6710000,7594000,7834000,-9271000,-6621000,-4656000,-982000
84,CAPEX,- -,- -,- -,- -,- -,- -,-300000,-200000,-300000,-600000,-176743,-623949,-313050,-466451,-1684200,-1356275,-2748268,-1903000,-1753000,-1136000,-224000,-909000,-835000,-1074000,-799000,-380000,-574000,-1040000,-732000,-359000,-891000,-3205000,-5135000,-5367000,-284000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1758085,-14424583,-7444000,- -,- -,- -,- -,- -,- -,350000,-980000,-4632000,- -,-13068000,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-1100000,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18500000,-3350000,-47100000,-14800000,-23369000,-15378000,-1253000,- -,- -,- -,-25502000,-5266000,-7630000,-9826000,-4248000,-2230000,-9003000,-2932000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,1100000,- -,- -,60320,- -,- -,- -,46145,- -,129274,29000000,3500000,33050000,10050000,24050000,16897000,17356000,- -,- -,- -,- -,4650000,7341000,9795000,17640000,10516000,9243000,4605000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,-100000,- -,- -,-100000,139,-247541,88746,29625,- -,-9335,- -,-116000,126000,14181000,2160000,976000,16000,-4000,- -,- -,- -,- -,-90000,- -,-161000,-2567000,-4799000,-5162000,-6933000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,-1500000,800000,-300000,-700000,-116284,-871490,-224304,-436826,-1638055,-3123695,-17043577,1117000,-1477000,-1005000,-2814000,748000,700000,15025000,-449000,-1360000,-5206000,-26542000,-14416000,-648000,-922000,10187000,3151000,-5127000,-5544000
