,https://roic.ai/company/JRSS,2013,2014,2015,2016,2017,2018,2019,2020
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1597892/000114420415020283/0001144204-15-020283-index.htm,https://www.sec.gov/Archives/edgar/data/1597892/000114420416090978/0001144204-16-090978-index.html,https://www.sec.gov/Archives/edgar/data/1597892/000114420417017152/0001144204-17-017152-index.html,https://www.sec.gov/Archives/edgar/data/1597892/000114420418020808/0001144204-18-020808-index.htm,https://www.sec.gov/Archives/edgar/data/1597892/000161577419005042/0001615774-19-005042-index.html,https://www.sec.gov/Archives/edgar/data/1597892/000121390020015080/0001213900-20-015080-index.htm,https://www.sec.gov/Archives/edgar/data/1597892/000121390021021624/0001213900-21-021624-index.htm
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,631288,1046485,352153,890662,884292,256450,1971129,844827
32,Short-Term Investments,- -,92630,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,631288,1139115,352153,890662,884292,256450,1971129,844827
34,Net Receivables,274126,661665,2009469,3335500,5678957,8213015,4583835,4456488
35,Inventory,98300,180630,499080,801240,936549,1163845,1072741,1458217
36,Other Current Assets,261802,878948,1346937,2390231,2762058,2347419,1886361,1119152
37,Total Current Assets,1265516,2860358,4207639,7417633,10261856,11980729,9514066,7878684
38,PP&E,17254282,20331864,22447911,23274180,26151630,37723969,22838622,47642704
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,107365,- -,- -
44,Other Non-Current Assets,- -,677013,1080269,1010777,12265508,2654653,19275994,3283501
45,Total Non-Current Assets,17254282,21008877,23528180,24284957,38417138,40485987,42114616,50926205
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,18519798,23869235,27735819,31702590,48678994,52466716,51628682,58804889
48,Accounts Payable,84469,291097,352789,743660,2105563,3635761,3619442,6687544
49,Short-Term Debt,211459,1278755,1881200,2313038,2758828,2830152,3813370,3435740
50,Tax Payable,- -,- -,- -,- -,- -,41156,12047,- -
51,Deferred Revenue,9208,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,45544,1405932,226677,161125,215249,705531,3482803,1632811
53,Total Current Liabilities,350680,2975784,2460666,3217823,5079640,7171444,10915615,11756095
54,Long-Term Debt,- -,15903211,17863608,16222992,22767740,19380209,13295933,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,15903211,17863608,16222992,22767740,1231462,1702752,3162037
57,Other Non-Current Liabilities,15024218,- -,- -,- -,- -,- -,- -,15046332
58,Total Non-Current Liabilities,15024218,31806422,35727216,32445984,45535480,20611671,14998685,18208369
59,Other Liabilities,- -,- -,- -,- -,- -,51769802,40893514,- -
60,Capital Lease Obligations,15235677,16710689,19744808,19110951,25679732,24193270,18593045,17509849
61,Total Liabilities,15374898,21875429,24047966,25068255,35785234,38329575,36810444,29964464
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,12000,13604,13915,13915,14835,14975,17976,18246
64,Retained Earnings,399977,1011471,2802184,6274052,10920942,12913912,-6788652,-4109557
65,Other Comprehensive Income/Loss,23859,14045,-260669,-786055,-93520,-983109,-1236873,-111016
66,Other Total Stockholders Equity,38000,954686,1132423,1132423,2051503,2191363,22825787,23240075
67,Total Stockholders Equity,473836,1993806,3687853,6634335,12893760,14137141,14818238,19037748
68,Total Liabilities And Stockholders Equity,15848734,23869235,27735819,31702590,48678994,52466716,51628682,49002212
69,Minority Interest,2671064,- -,- -,- -,- -,- -,- -,9802677
70,Total Liabilities & Equity,18519798,23869235,27735819,31702590,48678994,52466716,51628682,58804889
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1597892/000114420415020283/0001144204-15-020283-index.htm,https://www.sec.gov/Archives/edgar/data/1597892/000114420416090978/0001144204-16-090978-index.html,https://www.sec.gov/Archives/edgar/data/1597892/000114420417017152/0001144204-17-017152-index.html,https://www.sec.gov/Archives/edgar/data/1597892/000114420418020808/0001144204-18-020808-index.htm,https://www.sec.gov/Archives/edgar/data/1597892/000161577419005042/0001615774-19-005042-index.html,https://www.sec.gov/Archives/edgar/data/1597892/000121390020015080/0001213900-20-015080-index.htm,https://www.sec.gov/Archives/edgar/data/1597892/000121390021021624/0001213900-21-021624-index.htm
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,399977,611494,1790713,3471868,4646890,1992970,888061,2679095
74,Depreciation and Amortization,116378,175303,871948,1081123,1268253,1764765,2212022,2696065
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-451815,-1030262,1862399,2452837,982406,-372931,-6210834,-2475862
78,Accounts Receivable,-57653,-392318,-1440617,-1523067,-2040729,-2951899,3552836,492436
79,Inventory,-35360,-83033,-341698,-349866,-78437,-288677,76657,-310690
80,Accounts Payable,37023,216686,80102,432616,1263300,1966667,30176,2802124
81,Other Working Capital,914836,-115426,1746973,4199810,5182216,4809285,-1401549,-3877411
82,Other Non-Cash Items,928674,2297648,-1993421,-2019362,1440661,5814330,14958154,7743719
83,Cash Provided by Operating Activities,993214,2054183,2531639,4986466,8338210,9199134,11847403,10643017
84,CAPEX,-744420,-4245186,-5153796,-3610797,-13492318,-5967093,-3962588,-8271723
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,95351,65060,621141,- -,29088,- -,- -,- -
89,Cash Used for Investing Activites,-649069,-4180126,-4532655,-3610797,-13463230,-5967093,-3962588,-8271723
90,Debt Repayment,-627659,-1593231,-2149439,-3298131,- -,-4063177,-8095323,-4387588
91,Common Stock Issued,- -,918290,178048,- -,903153,140000,46800,414558
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,702670,3212317,3306709,2521933,4265331,- -,1939547,542937
95,Cash Used/Provided by Financing Activities,75011,2537376,1335318,-776198,5168484,-3923177,-6108976,-3430093
96,Effect of Forex Changes on Cash,11657,3764,-28634,-60962,-49834,63294,-61160,-67503
97,Net Change In Cash,430813,415197,-694332,538509,-6370,-627842,1714679,-1126302
98,Cash at the End of Period,631288,1046485,352153,890662,884292,256450,1971129,844827
99,Cash at the Beginning of Period,200475,631288,1046485,352153,890662,884292,256450,1971129
100,Free Cash Flow,248794,-2191003,-2622157,1375669,-5154108,3232041,7884815,2371294
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1597892/000114420415020283/0001144204-15-020283-index.htm,https://www.sec.gov/Archives/edgar/data/1597892/000114420416090978/0001144204-16-090978-index.html,https://www.sec.gov/Archives/edgar/data/1597892/000114420417017152/0001144204-17-017152-index.html,https://www.sec.gov/Archives/edgar/data/1597892/000114420418020808/0001144204-18-020808-index.htm,https://www.sec.gov/Archives/edgar/data/1597892/000161577419005042/0001615774-19-005042-index.html,https://www.sec.gov/Archives/edgar/data/1597892/000121390020015080/0001213900-20-015080-index.htm,https://www.sec.gov/Archives/edgar/data/1597892/000121390021021624/0001213900-21-021624-index.htm
102,false,,,,,,,,
