,https://roic.ai/company/CEA,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,7104240000,7998480000,9142867080,10444151880,17117021725,18218228357,21797091524,31281745714,42821263223,40904580000,42956481000,53851331000,42121607000,68359942000,78653711000,81063507000,86856710000,84184000000,81567000000,86687000000,94119000000,106442000000,111036000000,72398000000,81468000000
12,Interest Income ,- -,- -,- -,166775760,124397298,115811784,147821862,128997529,128700000,120161000,- -,2061625000,109925000,1155384000,2024002000,200765000,148111000,88000000,66000000,96000000,111000000,110000000,96000000,166000000,339000000
13,Interest Expense (Gain),- -,852840000,- -,981444960,938624376,847093011,860156048,891528027,707050000,876746883,- -,2328147000,1754640000,1501900000,1462727000,1697474000,1548622000,1957000000,2189000000,2699000000,3184000000,3576000000,5170000000,5213000000,5812000000
14,Depreciation and Amortization,-1263528000,-1488744000,-1610766360,-1623600360,1723418000,1730939000,1994511000,2300609000,-3936942157,-4579775112,4811916000,4755622000,5177149000,6726651000,6911989000,7556910000,8226198000,9183000000,10859000000,12548000000,13969000000,15313000000,21544000000,21685000000,- -
15,EBITDA,-339480000,-1194804000,-1400205960,-366928200,2942301376,2718839011,2152405048,3887436027,-3807324157,-7318725229,5080182000,-8110847000,7153102000,13320031000,13214677000,12412830000,12271672000,15123000000,18209000000,21287000000,25295000000,22513000000,30725000000,11135000000,-10631000000
16,EBITDA ratio,-0.0397,-0.1462,-0.1378,-0.0327,0.2421,0.2079,0.1508,0.1848,-0.1387,-0.1952,0.1195,-0.1943,0.1776,0.1789,0.1583,0.1456,0.1391,0.1677,0.1938,0.2152,0.2468,0.1954,0.2544,0.1904,-0.1589
17,Operating Income,- -,- -,- -,- -,874671000,1063467000,221463000,1479177000,14248000,-2991440000,38537000,-15083205000,1821340000,5696946000,4172554000,4228108000,1576359000,6058000000,12625000000,12486000000,9431000000,9309000000,10081000000,-13840000000,-13518000000
18,Operating Income ratio,- -,- -,- -,- -,0.0720,0.0813,0.0155,0.0703,0.0005,-0.0798,0.0009,-0.3613,0.0452,0.0765,0.0500,0.0496,0.0179,0.0672,0.1344,0.1262,0.0920,0.0808,0.0835,-0.2367,-0.2021
19,Total Other Income Expenses (Gains),-515016000,-732780000,-810454680,-503200440,-561088000,-800573000,-811294000,-633770000,-591680000,-624257000,229729000,-172804000,-1572135000,-279134000,668147000,-1215704000,640741000,-1945000000,-6958000000,-5989000000,-821000000,-5453000000,-5782000000,-2648000000,-3995000000
20,Income Before Tax,924048000,-558900000,210560400,275227200,313583000,262894000,-589831000,845407000,-577432000,-3615697000,268266000,-15256009000,249205000,5417812000,4840701000,3012404000,2217100000,4113000000,5667000000,6497000000,8610000000,3856000000,4299000000,-16488000000,-17513000000
21,Income Before Tax Ratio,0.1082,-0.0684,0.0207,0.0245,0.0258,0.0201,-0.0413,0.0402,-0.0210,-0.0964,0.0063,-0.3655,0.0062,0.0728,0.0580,0.0353,0.0251,0.0456,0.0603,0.0657,0.0840,0.0335,0.0356,-0.2820,-0.2618
22,Income Tax expense (Gain),291456000,-77832000,59922360,99658080,-261454000,54438000,247554000,181224000,-138704000,-162932000,23763000,73916000,52547000,133491000,264229000,204801000,124281000,573000000,624000000,1542000000,1800000000,926000000,819000000,-3927000000,-4229000000
23,Net Income,632592000,-481068000,150638040,175569120,541713000,86369000,-949816000,514075000,-438728000,-3452765000,244503000,-15268532000,168766000,4957989000,4575732000,2953645000,2372571000,3410000000,4537000000,4498000000,6342000000,2698000000,3192000000,-11836000000,-12214000000
24,Net Income ratio,0.0740,-0.0589,0.0148,0.0156,0.0446,0.0066,-0.0665,0.0244,-0.0160,-0.0921,0.0058,-0.3658,0.0042,0.0666,0.0548,0.0346,0.0269,0.0378,0.0483,0.0455,0.0619,0.0234,0.0264,-0.2024,-0.1826
25,EPS,8.28,-4.97,1.66,1.78,5.55,0.90,-9.75,5.50,-5.00,-34.00,3.00,-157.00,1.30,22.00,20.50,13.00,10.00,13.50,17.50,16.50,22.00,9.50,10.50,-36.00,-152.93
26,EPS Diluted,8.28,-4.97,1.66,1.78,5.55,0.90,-9.75,5.50,-5.00,-34.00,3.00,-157.00,1.30,22.00,20.50,13.00,10.00,13.50,17.50,16.50,22.00,9.50,10.50,-36.00,-152.93
27,Weighted Average Shares Outstanding,76400000,96833333,97339000,97339000,97605946,97339000,97417026,93468182,93461400,97453676,89632000,97339000,191634000,222988520,225530780,225530777,241837620,253485380,256370180,276222720,289351714,289351714,302097870,327590184,79867332
28,Weighted Average Shares Outstanding Diluted,76400000,96833333,97339000,97339000,100664924,103804738,97529147,95110477,95621501,97453676,89632000,97339000,191634000,222988520,225530780,225530777,241837620,253485380,256370180,276222720,289351714,289351714,302097870,327590184,79867332
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1030475/000114554904000822/0001145549-04-000822-index.htm,https://www.sec.gov/Archives/edgar/data/1030475/000114554905001140/0001145549-05-001140-index.htm,https://www.sec.gov/Archives/edgar/data/1030475/000114554906000986/0001145549-06-000986-index.htm,https://www.sec.gov/Archives/edgar/data/1030475/000114420407033911/0001144204-07-033911-index.htm,https://www.sec.gov/Archives/edgar/data/1030475/000114420408036474/0001144204-08-036474-index.htm,https://www.sec.gov/Archives/edgar/data/1030475/000114420409032160/0001144204-09-032160-index.htm,https://www.sec.gov/Archives/edgar/data/1030475/000114420410034855/0001144204-10-034855-index.htm,https://www.sec.gov/Archives/edgar/data/1030475/000114420411038042/0001144204-11-038042-index.htm,https://www.sec.gov/Archives/edgar/data/1030475/000114420412023290/0001144204-12-023290-index.htm,https://www.sec.gov/Archives/edgar/data/1030475/000114420413023527/0001144204-13-023527-index.htm,https://www.sec.gov/Archives/edgar/data/1030475/000114420414024778/0001144204-14-024778-index.htm,https://www.sec.gov/Archives/edgar/data/1030475/000114420415024171/0001144204-15-024171-index.htm,https://www.sec.gov/Archives/edgar/data/1030475/000114420416095915/0001144204-16-095915-index.htm,https://www.sec.gov/Archives/edgar/data/1030475/000114420417022414/0001144204-17-022414-index.htm,https://www.sec.gov/Archives/edgar/data/1030475/000119312518130055/0001193125-18-130055-index.htm,https://www.sec.gov/Archives/edgar/data/1030475/000119312519120784/0001193125-19-120784-index.htm,https://www.sec.gov/Archives/edgar/data/1030475/000119312520124188/0001193125-20-124188-index.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1063152000,1296648000,957913200,1284658560,1099630000,1889647000,1477409000,2114447000,1864001000,1987486000,1655244000,3451010000,1735248000,3078228000,3860973000,2511696000,1994978000,1355000000,9080000000,1695000000,4605000000,646000000,1350000000,7651000000,12950000000
32,Short-Term Investments,- -,- -,- -,- -,- -,290000000,- -,77426658,- -,808616165,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,96000000,121000000,95000000,84000000
33,Cash and Short-Term Investments,1063152000,1296648000,957913200,1284658560,1099630000,2179647000,1477409000,2191873658,1864001000,2796102165,1655244000,3451010000,1735248000,3078228000,3860973000,2511696000,1994978000,1355000000,9080000000,1695000000,4605000000,742000000,1471000000,7746000000,13034000000
34,Net Receivables,886788000,989460000,1156061880,2127132000,821378000,965226000,1325677000,1462672000,2124121000,2355574000,2161462000,1354811000,2439132000,2127446000,2197493000,5779721000,6977418000,9652000000,9752000000,8526000000,10486000000,11999000000,14338000000,11686000000,13063000000
35,Inventory,531576000,429732000,421808040,376085880,464747643,- -,- -,- -,978923330,1197505273,- -,871364000,932260000,1286898000,1555544000,2087978000,2305412000,2259000000,2056000000,2248000000,2185000000,1950000000,2407000000,2054000000,1799000000
36,Other Current Assets,1333080000,1180728000,1454746320,196211160,1023958357,1465927000,2028586000,1554723343,1050305670,2664470562,6032113000,4722896000,1756417000,5587509000,6094028000,2295433000,1332112000,4977000000,2190000000,3419000000,1017000000,1241000000,1527000000,1012000000,14000000
37,Total Current Assets,3814596000,3896568000,3990529440,3984087600,3409714000,4610800000,4831672000,5209269000,6017351000,9013652000,9848819000,10400081000,6863057000,12080081000,13708038000,12674828000,12609920000,18243000000,23078000000,15888000000,18293000000,15932000000,19743000000,22498000000,27910000000
38,PP&E,18510768000,19668312000,20173416840,21283309440,20570086000,20879762000,27058691000,30408973000,38588400000,40050466000,47548204000,52678473000,56703560000,68822273000,73757795000,95221195000,109748443000,130181000000,154943000000,177121000000,192506000000,203077000000,244271000000,236323000000,232282000000
39,Goodwill,- -,- -,- -,- -,42909000,40707000,38505000,36303000,- -,992199922,- -,- -,- -,- -,- -,11269695000,11269695000,11270000000,11270000000,11270000000,11270000000,11270000000,11270000000,11270000000,- -
40,Intangible Assets,- -,- -,107457840,101819160,1231505000,- -,- -,- -,688311000,345354078,1244706000,164851000,69622000,11333376000,- -,1961250000,2375056000,2436000000,2346000000,2418000000,2043000000,1726000000,1771000000,1816000000,11713000000
41,Intangible Assets,- -,- -,107457840,101819160,1274414000,40707000,38505000,36303000,688311000,1337554000,1244706000,164851000,69622000,11333376000,11353590000,13230945000,13644751000,13706000000,13616000000,13688000000,13313000000,12996000000,13041000000,13086000000,11713000000
42,Investments,- -,- -,- -,- -,- -,5792949000,4831153000,5548970000,841954000,8455192000,7686894000,7787473000,1153084000,1213839000,1260845000,1486321000,1908169000,2024000000,2513000000,2705000000,3011000000,3520000000,3878000000,3382000000,2718000000
43,Tax Assets,- -,- -,- -,- -,489375000,569997000,399771000,395465000,434839000,82146000,113211000,81947000,83748000,75188000,44418000,54561000,389466000,170000000,243000000,79000000,122000000,207000000,853000000,5011000000,9580000000
44,Other Non-Current Assets,4429800000,4429800000,4040979480,3664429920,3242053000,867368000,847319000,828808000,12751002000,2226896000,1634325000,1939065000,6978321000,9808959000,14614195000,1150713000,1767299000,1505000000,3599000000,2843000000,2482000000,3285000000,3399000000,4350000000,4587000000
45,Total Non-Current Assets,22940568000,24098112000,24321854160,25049558520,25575928000,28150783000,33175439000,37218519000,53304506000,52152254000,58227340000,62651809000,64988335000,91253635000,101030843000,111143735000,127458128000,147586000000,174914000000,196436000000,211434000000,223085000000,265442000000,262152000000,260880000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,26755164000,27994680000,28312383600,29033646120,28985642000,32761583000,38007111000,42427788000,59321857000,61165906000,68076159000,73051890000,71851392000,103333716000,114738881000,123818563000,140068048000,165829000000,197992000000,212324000000,229727000000,239017000000,285185000000,284650000000,288790000000
48,Accounts Payable,365148000,274896000,74420640,76995720,48117000,64523000,109242000,64718000,3394899104,5085389490,671593000,413126000,7356063000,7906405000,7084384000,3075325000,3463016000,2083000000,3712000000,3376000000,3184000000,4040000000,3877000000,3220000000,2454000000
49,Short-Term Debt,1752876000,2369736000,2200939920,2140851960,3584550000,8446720000,9331226000,11410336000,20998256000,18820283000,21039744000,28430309000,14455505000,17763972000,20630389000,25245224000,26265585000,33272000000,44323000000,35289000000,48331000000,38623000000,41338000000,71707000000,61349000000
50,Tax Payable,- -,- -,- -,- -,- -,44560000,106113000,162606000,47259000,80483000,90867000,39002000,21126000,64787000,172319000,1756362000,1755101000,1846000000,2246000000,1811000000,2076000000,2443000000,2746000000,1651000000,55000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1013878000,1420183000,2577855000,3197649000,3774745000,4314766000,5931000000,7741000000,9407000000,8934000000,9319000000,11273000000,4620000000,3287000000
52,Other Current Liabilities,1506960000,1877904000,2435553720,2624751720,2939955000,3536307000,5332555000,6236212000,7221761896,9900347510,14211924000,24000940000,12278896000,11015585000,12474318000,16527713000,19038336000,19844000000,18611000000,20010000000,19879000000,21082000000,21875000000,20261000000,18801000000
53,Total Current Liabilities,3624984000,4522536000,4710914280,4842599400,6572622000,12047550000,14773023000,17711266000,31614917000,33806020000,35923261000,53858253000,35510647000,39263817000,43386740000,48623007000,53081703000,61130000000,74387000000,68082000000,80328000000,73064000000,78363000000,99808000000,85891000000
54,Long-Term Debt,15414048000,16029252000,14669104680,14575267440,5100779000,11311886000,14502851000,15115670000,18414772000,21140055000,25276294000,27479962000,30249679000,40425499000,41405026000,42348872000,47469993000,64612000000,74788000000,82484000000,82338000000,93930000000,121289000000,112923000000,132918000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1585000000,1499000000,1320000000,899000000
56,Deferred Tax Liabilities,784116000,991944000,1069833960,1454199840,780419000,802822000,740112000,752917000,601340000,68459000,50369000,57589000,51539000,51814000,29326000,29326000,29550000,26000000,8000000,86000000,18000000,84000000,22000000,13000000,- -
57,Other Non-Current Liabilities,- -,- -,1109387520,747013320,8635823000,815705000,1086261000,1134483000,1772286000,2674729000,3213506000,4295595000,4363346000,7030700000,8112682000,8263961000,10904544000,8290000000,8878000000,9306000000,8265000000,8753000000,11366000000,11432000000,11930000000
58,Total Non-Current Liabilities,16198164000,17021196000,16848326160,16776480600,14517021000,12930413000,16329224000,17003070000,20788398000,23883243000,28540169000,31833146000,34664564000,47508013000,49547034000,50642159000,58404087000,72928000000,83674000000,91876000000,90621000000,104352000000,134176000000,125688000000,145747000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,5936907000,5408802000,7472638000,10608497000,11852598000,16452210000,20808899000,19370235000,19623814000,20260822000,21857978000,23135148000,38695000000,52399000000,61041000000,66868000000,77427000000,110790000000,96735000000,98476000000
61,Total Liabilities,19823148000,21543732000,21559240440,21619080000,21089643000,24977963000,31102247000,34714336000,52403315000,57689263000,64463430000,85691399000,70175211000,86771830000,92933774000,99265166000,111485790000,134058000000,158061000000,159958000000,170949000000,177416000000,212539000000,225496000000,231638000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,4849596000,4867812000,1867371840,4868043840,4866950000,4866280056,4866103678,4865986092,4866950000,4866950000,4866950000,4866950000,9581700000,11276539000,11276539000,11276539000,12674269000,12674000000,13140000000,14467000000,14467000000,14467000000,16379000000,16379000000,18874000000
64,Retained Earnings,794880000,360180000,508019400,1099095480,1539571749,1507291362,501874258,948710366,1229115000,- -,- -,-3621106000,-17913496000,-12955507000,-8379775000,-5426130000,-2594723000,815000000,5168000000,8784000000,- -,- -,- -,- -,- -
65,Other Comprehensive Income/Loss,-1800900000,-3167100000,-4416527160,-5878501920,-7580364131,-8818332354,-10541602402,-12460121773,-18191384839,-20982817170,- -,-25711435000,9566349000,-34133073000,-36752548000,11649259000,14228047000,17300000000,24271000000,34983000000,40893000000,43541000000,52629000000,39870000000,34741000000
66,Other Total Stockholders Equity,3088440000,4390056000,8794279080,7325928720,9069841382,9823863936,11555775466,13527669316,18191384839,18930764170,-1839187000,11368190000,- -,51083328000,53981676000,5426130000,2594723000,-815000000,-5168000000,-8784000000,- -,- -,- -,- -,- -
67,Total Stockholders Equity,6932016000,6450948000,6753143160,7414566120,7895999000,7379103000,6382151000,6882244000,6096065000,2814897000,3027763000,-13097401000,1234553000,15271287000,20125892000,22925798000,26902316000,29974000000,37411000000,49450000000,55360000000,58008000000,69008000000,56249000000,53615000000
68,Total Liabilities And Stockholders Equity,26755164000,27994680000,28312383600,29033646120,28985642000,32357066000,37484398000,41596580000,58499380000,60504160000,67491193000,72593998000,71409764000,102043117000,113059666000,122190964000,138388106000,164032000000,195472000000,209408000000,226309000000,235424000000,281547000000,281745000000,285253000000
69,Minority Interest,- -,- -,- -,- -,- -,404517000,522713000,831208000,822477000,661746000,584966000,457892000,441628000,1290599000,1679215000,1627599000,1679942000,1797000000,2520000000,2916000000,3418000000,3593000000,3638000000,2905000000,3537000000
70,Total Liabilities & Equity,26755164000,27994680000,28312383600,29033646120,28985642000,32761583000,38007111000,42427788000,59321857000,61165906000,68076159000,73051890000,71851392000,103333716000,114738881000,123818563000,140068048000,165829000000,197992000000,212324000000,229727000000,239017000000,285185000000,284650000000,288790000000
71,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1030475/000114554904000822/0001145549-04-000822-index.htm,https://www.sec.gov/Archives/edgar/data/1030475/000114554905001140/0001145549-05-001140-index.htm,https://www.sec.gov/Archives/edgar/data/1030475/000114554906000986/0001145549-06-000986-index.htm,https://www.sec.gov/Archives/edgar/data/1030475/000114420407033911/0001144204-07-033911-index.htm,https://www.sec.gov/Archives/edgar/data/1030475/000114420408036474/0001144204-08-036474-index.htm,https://www.sec.gov/Archives/edgar/data/1030475/000114420409032160/0001144204-09-032160-index.htm,https://www.sec.gov/Archives/edgar/data/1030475/000114420410034855/0001144204-10-034855-index.htm,https://www.sec.gov/Archives/edgar/data/1030475/000114420411038042/0001144204-11-038042-index.htm,https://www.sec.gov/Archives/edgar/data/1030475/000114420412023290/0001144204-12-023290-index.htm,https://www.sec.gov/Archives/edgar/data/1030475/000114420413023527/0001144204-13-023527-index.htm,https://www.sec.gov/Archives/edgar/data/1030475/000114420414024778/0001144204-14-024778-index.htm,https://www.sec.gov/Archives/edgar/data/1030475/000114420415024171/0001144204-15-024171-index.htm,https://www.sec.gov/Archives/edgar/data/1030475/000114420416095915/0001144204-16-095915-index.htm,https://www.sec.gov/Archives/edgar/data/1030475/000114420417022414/0001144204-17-022414-index.htm,https://www.sec.gov/Archives/edgar/data/1030475/000119312518130055/0001193125-18-130055-index.htm,https://www.sec.gov/Archives/edgar/data/1030475/000119312519120784/0001193125-19-120784-index.htm,https://www.sec.gov/Archives/edgar/data/1030475/000119312520124188/0001193125-20-124188-index.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,632592000,-481068000,150638040,175569120,541713000,86369000,-949816000,514075000,-438728000,-3452765000,244503000,-15268532000,168766000,4957989000,4575732000,2953645000,2372571000,3410000000,4537000000,4498000000,6342000000,2698000000,3192000000,-11836000000,- -
74,Depreciation and Amortization,-1263528000,-1488744000,-1610766360,-1623600360,1723418000,1730939000,1994511000,2300609000,-3936942157,-4579775112,4811916000,4755622000,5177149000,6726651000,6911989000,7556910000,8226198000,9183000000,10859000000,12548000000,13969000000,15313000000,21544000000,21685000000,- -
75,Deferred Income Tax,101844000,-77832000,59856120,76747320,-267706627,-17563794,118778922,19573923,- -,- -,- -,-86931000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,23184000,90252000,-284442840,282563280,627495232,415693667,3636708345,1410925224,-975041564,44411019,-51428168,2830906000,246709000,-2845120000,30004000,-946706000,-367169000,-1733000000,1915000000,1690000000,-896000000,-68000000,-1906000000,-7054000000,- -
78,Accounts Receivable,79488000,-19044000,-600300000,-14978520,509068836,-179370867,-360384071,-136967799,-112030516,-132608649,-18537806,-752180000,-210188000,-202667000,104977000,-427908000,-557376000,-345000000,985000000,208000000,-500000000,708000000,- -,- -,- -
79,Inventory,38088000,55476000,-38096280,44861040,-86920853,-91527066,4204564,28984303,-294965810,-582471198,- -,-529068000,-465626000,-776736000,-1023437000,-1176365000,-984471000,-750000000,117000000,-202000000,-109000000,-66000000,-457000000,200000000,- -
80,Accounts Payable,-256680000,-91908000,14705280,2558520,-83767469,16405014,44710733,-44511017,821223552,-182210060,-32890362,- -,- -,- -,- -,387615000,387691000,-720000000,1629000000,-336000000,1725000000,856000000,-163000000,-657000000,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,-226272268,- -,- -,805140000,-366439000,242812000,-274673000,632168000,1147773000,39000000,219000000,2259000000,-871000000,979000000,1782000000,-6926000000,- -
82,Other Non-Cash Items,2461644000,3508236000,3495435120,3218858280,-223502605,-54959873,-1532862266,-979078147,7303160721,9326822093,-2310226832,10624470000,-2163208000,1801728000,2105300000,3053510000,574878000,1436000000,7014000000,6157000000,157000000,4395000000,6142000000,-1584000000,- -
83,Cash Provided by Operating Activities,1955736000,1550844000,1810720080,2130137640,2401417000,2160478000,3267320000,3266105000,1952449000,1338693000,2694764000,2855535000,3429416000,10641248000,13623025000,12617359000,10806478000,12296000000,24325000000,24893000000,19572000000,22338000000,28972000000,1211000000,- -
84,CAPEX,-1214676000,-702972000,-1811432160,-951057360,-1689228000,-1497910000,-6026354000,-1703910000,-2676050000,-916914000,-1592310000,-4946291000,-7612597000,-6522951000,-5368362000,-13476668000,-19083078000,-25895000000,-33572000000,-38715000000,-24689000000,-26194000000,-7589000000,-7247000000,- -
85,Acquisitions Net,- -,- -,-87999840,- -,- -,-254656000,-327252000,-42673000,- -,-366184072,- -,-410488000,-30000000,-2294172000,-8286603000,-84877000,-236236000,-42000000,-364000000,12000000,1845000000,-27000000,-195000000,- -,- -
86,Purchases of Investments,-198720000,- -,- -,-42948360,-1066140421,-2889610000,-1364902000,-2347340000,-137730210,-6751000,- -,- -,- -,-437051000,-1964761000,- -,-47085000,-7000000,- -,- -,- -,- -,- -,-28000000,- -
87,Sales/Maturities of Investments,- -,325404000,- -,- -,74340421,10388000,311920000,307009000,69000210,- -,- -,153286000,210000000,- -,6426000,1053379000,1491654000,150000000,35000000,- -,5000000,1000000,- -,- -,- -
88,Other Investing Activites,-775008000,318780000,1301682240,-162552960,61973000,88868000,-2315000,1354352000,-7624314000,-426486928,-164016000,4225493000,196538000,621481000,674239000,719067000,847184000,1761000000,5992000000,1291000000,1401000000,13275000000,2885000000,992000000,- -
89,Cash Used for Investing Activites,-2188404000,-58788000,-597749760,-1156558680,-2554382000,-4542920000,-7408903000,-2432562000,-10369094000,-1679178000,-1756326000,-924883000,-7236059000,-8632693000,-14939061000,-11789099000,-17027561000,-24033000000,-27800000000,-37180000000,-21312000000,-12780000000,-4899000000,-6283000000,- -
90,Debt Repayment,-3294612000,-1934208000,-6370085520,-3750368040,-3331463000,-6744505000,-13114279000,-12962801000,-17249643000,-21852960000,-28186823000,-30610068000,-51062968000,-30670641000,-25950666000,-38066847000,-32063396000,-45011000000,-61657000000,-125634000000,-68216000000,-79787000000,-81363000000,-101170000000,- -
91,Common Stock Issued,3052008000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14056167000,- -,1004500000,453850000,3572391000,- -,2855000000,8540000000,- -,- -,9442000000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,-97339000,- -,-60000000,-187339000,-113550000,-46400000,-52700000,- -,- -,- -,- -,- -,- -,- -,-738000000,-709000000,-738000000,- -,-819000000,- -
94,Other Financing Activites,977868000,646668000,4662666720,2904450120,3411933000,9798273000,16878029000,12710453000,25622984000,22387348000,26978811000,30570976000,39092425000,30018199000,27081765000,35438707000,34220652000,56123000000,69885000000,122466000000,73633000000,66967000000,48546000000,113415000000,- -
95,Cash Used/Provided by Financing Activities,735264000,-1287540000,-1707418800,-845917920,80470000,2956429000,3763750000,-312348000,8186002000,420838000,-1254412000,-91792000,2085624000,-652442000,2135599000,-2174290000,5729647000,11112000000,11083000000,4634000000,4708000000,-13558000000,-23375000000,11426000000,- -
96,Effect of Forex Changes on Cash,-34776000,28980000,16767000,-19913400,-19416000,39558000,16088000,10472000,-19803000,43132000,-16268000,-43094000,5257000,-13133000,-36818000,-3247000,-25282000,-15000000,117000000,268000000,-47000000,30000000,6000000,-53000000,- -
97,Net Change In Cash,467820000,233496000,-477681480,107739360,-91911000,613545000,-361745000,531667000,-250446000,123485000,-332242000,1795766000,-1715762000,1342980000,782745000,-1349277000,-516718000,-640000000,7725000000,-7385000000,2921000000,-3970000000,704000000,6301000000,- -
98,Cash at the End of Period,1554156000,1793448000,1315253160,1423207800,1330980000,1944525000,1582780000,2114447000,1864001000,1987486000,1655244000,3451010000,1735248000,3078228000,3860973000,2511696000,1994978000,1355000000,9080000000,1695000000,4616000000,646000000,1350000000,7651000000,- -
99,Cash at the Beginning of Period,1086336000,1559952000,1792934640,1315468440,1422891000,1330980000,1944525000,1582780000,2114447000,1864001000,1987486000,1655244000,3451010000,1735248000,3078228000,3860973000,2511696000,1995000000,1355000000,9080000000,1695000000,4616000000,646000000,1350000000,- -
100,Free Cash Flow,741060000,847872000,-712080,1179080280,712189000,662568000,-2759034000,1562195000,-723601000,421779000,1102454000,-2090756000,-4183181000,4118297000,8254663000,-859309000,-8276600000,-13599000000,-9247000000,-13822000000,-5117000000,-3856000000,21383000000,-6036000000,- -
