,https://roic.ai/company/ENVB,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,82920,35430,70940,34104,25073,22989,2842,- -,- -,4219,4219,4219,- -,343809,542237,924266,818600,783606,700710,380838
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1440668,970638,1267807,739970,328841,1605008,69675,1792,1126,22450,5600,4468,5085,7176833,10064942,14644803,10061353,7599154,2279170,17736837
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,70842,42022,29527,18403,3477,- -,- -,- -,- -,- -,- -,- -,- -,73066,100241,95048,58892,83128,- -,470734
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3470522,17089076,21898323,13729770,13729770,- -,1587634
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,225859,192485,166710,138548,131258,- -,- -,- -,- -,- -,- -,- -,- -,3114513,8764704,9469703,5778036,3584221,1817721,6923928
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,225859,192485,166710,138548,131258,- -,- -,- -,- -,- -,- -,- -,- -,6585035,25853780,31368026,19507806,17313991,1817721,8511562
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3488960,6088751,9399,8879,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,8471,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,305172,234507,196237,156951,134735,- -,- -,- -,- -,- -,- -,- -,- -,6658101,29442981,37551825,19576097,17405998,1817721,8982296
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1745840,1205145,1464044,896921,463576,1605008,69675,1792,1126,22450,5600,4468,5085,13834934,39507923,52196628,29637450,25005152,4096891,26719133
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,39027,21466,71873,14195,32136,900,5206,11867,2642,- -,- -,- -,- -,2597386,5130817,5324872,4377794,4696352,681250,683393
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,112500,37500,66252,10443,9670,9680,- -,- -,- -,- -,8000,2000,- -,1235935,3494266,4802869,5207131,4881061,- -,107442
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,446694,182298,648460,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,391395,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,44841,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,164453,119026,135607,154881,45269,37323,16000,- -,48000,17895,17666,22695,8956,4698239,4083869,20240141,5104040,4806192,- -,1292721
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,315980,177992,665127,179519,87075,47903,21206,11867,50642,17895,25666,24695,8956,8576401,12708952,30367882,14688965,14383605,681250,2083556
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,70746,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000000,1536191,2380563,- -,- -,- -,68861
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1607122
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1028,1028,1182,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13599077,- -,4189388,- -,- -,653674
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1028,71774,1182,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000000,15135268,2380563,4189388,- -,- -,2329657
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,317008,249766,666309,179519,87075,47903,21206,11867,50642,17895,25666,24695,8956,13576401,27844220,32748445,18878353,14383605,681250,4413213
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,65000,- -,- -,- -,- -,- -,3636,4054,4207,4249,32754,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,474070,470159,469754,469772,469772,650000,650000,650000,- -,121420,121420,121420,154099,118743,138860,181625,423290,25221,100951,325785
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,-45447942,-45943395,-46100885,-46182400,-46535026,-45727751,-45871387,-47294931,-47334372,-47367752,-47392373,-47392534,-47426178,-1052902,-3833588,-14997552,-34478253,-40508231,-11759557,-60736453
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-534271,-564862,-602727,-619128,-634054,- -,-1365000,- -,- -,- -,- -,- -,- -,- -,-7426,36875,86997,60012,-181277,-30802
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,46936975,46993477,47031593,47049158,47075809,46634856,46634856,46634856,47284856,47250887,47250887,47250887,47268208,1192692,15358839,34223181,44722856,51040296,15222770,82747390
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,1428832,955379,797735,717402,376501,1557105,48469,-10075,-49516,4555,-20066,-20227,-3871,258533,11660321,19448183,10759097,10621547,3415641,22305920
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,1745840,1205145,1464044,896921,463576,1605008,69675,1792,1126,22450,5600,4468,5085,13834934,39504541,52196628,29637450,25005152,4096891,26719133
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3382,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,1745840,1205145,1464044,896921,463576,1605008,69675,1792,1126,22450,5600,4468,5085,13834934,39507923,52196628,29637450,25005152,4096891,26719133
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/890821/000149315220015385/0001493152-20-015385-index.htm,https://www.sec.gov/Archives/edgar/data/890821/000149315221007757/0001493152-21-007757-index.htm,https://www.sec.gov/Archives/edgar/data/890821/000149315222008510/0001493152-22-008510-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-1200000,-3200000,-25395170,-4719821,-5792061,354792,382019,-240107,18292,-495453,-157490,-81515,-352626,807276,-143636,-58544,-39441,-33380,-24621,-161,-33644,-1890758,-2780686,-9074813,-16897516,-5603975,-6864676,-48976896
74,Depreciation and Amortization,- -,- -,-100000,130057,407238,126334,103564,85969,139130,105503,82904,58857,47431,37229,- -,- -,- -,- -,- -,- -,- -,- -,157941,1361169,3217191,2903662,2265297,120872,656643
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3488960,-2391762,6348502,388657,- -,9061927
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1457647,7078230,1251488,586495,1977155,12597001
77,Change in Working Capital,- -,- -,- -,-100832,-74408,907119,-1404753,672874,- -,1124688,-332042,-189966,-42229,-318685,1315339,-1508636,-58544,-39441,54071,-24621,-161,16356,-1395697,-1244442,-13079069,11095467,-2156839,8382371,14055361
78,Accounts Receivable,- -,200000,-300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2301220,-3187828,-778543,967031,1487274,- -,- -
79,Inventory,- -,- -,- -,-34408,203289,85257,-5000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6661,-9225,- -,- -,- -,- -,- -,3604706,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,-100832,-175240,731879,-672874,- -,- -,1124688,792646,602680,560451,241766,1557105,48469,-10075,-49516,4555,-20066,-20227,-3871,-1399568,-2644010,-15723079,-4627612,-6784451,1597920,15653281
82,Other Non-Cash Items,- -,400000,-300000,20641410,689526,1761800,281015,-995018,-238698,-1163345,490626,632538,-180255,328175,-1792687,1502086,52047,38216,-51037,24392,-21310,-25876,-543108,1991283,11509429,-7267098,2067242,-7504507,1148293
83,Cash Provided by Operating Activities,- -,-800000,-3600000,-4724535,-3697465,-2996808,-665382,145844,-339675,85138,-253965,343939,-256568,-305907,329928,-150186,-65041,-40666,-30346,-24850,-21632,-43164,-3671622,-2703989,-2740794,-2565495,-2453123,-3888785,-11457671
84,CAPEX,- -,-100000,-200000,-283838,-424521,-77429,-23105,-40489,-20311,-74993,-1771,-4007,-5277,-15013,- -,- -,- -,- -,- -,- -,- -,- -,-1686084,-3688996,-4840,- -,-84331,-44143,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2903066,-804044,-3645667,-200000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,- -,- -,- -,- -,- -,- -,174184,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-1105274,-383565,-251975,-6740,-115735,-14282,-20898,-18938,-16580,-2868,- -,649812,- -,- -,- -,- -,- -,- -,- -,-1624733,-3688996,- -,6421,- -,-44143,2190609
89,Cash Used for Investing Activites,- -,-100000,-200000,-1345994,-571050,-295054,-23105,-156224,-34593,-95891,-20709,-20587,-8145,-15013,-350188,1000000,- -,- -,- -,- -,- -,- -,-1511900,-6592062,-808884,-3639246,-284331,-44143,2190609
90,Debt Repayment,- -,- -,- -,-228468,-18528,-3424,-520404,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2000,- -,- -,- -,-1976299,-1326070,-191640,- -
91,Common Stock Issued,- -,- -,- -,4747122,2877061,45954,7208,470519,1000,- -,- -,- -,- -,- -,373329,- -,- -,- -,20000,- -,100000,50000,- -,5000000,4898900,6327954,2123594,488000,39042282
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1365000,- -,- -,- -,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,700000,5400000,26213,400000,2935973,1959627,-14149,-225242,- -,5746,-41994,-55809,-773,10,- -,- -,40000,27451,8000,20500,- -,6235935,3797904,2152975,-1657667,1000000,5234910,-14142623
95,Cash Used/Provided by Financing Activities,- -,700000,5400000,4544867,3258533,2978503,1446431,456370,-224242,- -,5746,-41994,-55809,-773,373339,-1365000,- -,40000,47451,8000,20500,48000,6235935,8797904,7051875,2693988,1797524,5531270,24899659
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-63596,144942
97,Net Change In Cash,- -,700000,5400000,-1525662,-1009982,-313359,757944,445990,-598510,-10753,-268928,281358,-320522,-321693,353079,-515186,-65041,-666,17105,-16850,-1132,4836,1052413,-498147,3502197,-3510753,-939931,1534746,15777539
98,Cash at the End of Period,- -,- -,- -,1587395,577413,264054,1021998,1467988,869478,858725,589797,871155,550633,228940,582019,66833,1792,1126,18231,1381,249,5085,1878034,1379887,4882084,1371331,431400,1578460,17355999
99,Cash at the Beginning of Period,- -,1800000,1500000,3113057,1587395,577413,264054,1021998,1467988,869478,858725,589797,871155,550633,228940,582019,66833,1792,1126,18231,1381,249,825621,1878034,1379887,4882084,1371331,43714,1578460
100,Free Cash Flow,- -,-900000,-3800000,-5008373,-4121986,-3074237,-688487,105355,-359986,10145,-255736,339932,-261845,-320920,329928,-150186,-65041,-40666,-30346,-24850,-21632,-43164,-5357706,-6392985,-2745634,-2565495,-2537454,-3932928,-11457671
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/890821/000149315220015385/0001493152-20-015385-index.htm,https://www.sec.gov/Archives/edgar/data/890821/000149315221007757/0001493152-21-007757-index.htm,https://www.sec.gov/Archives/edgar/data/890821/000149315222008510/0001493152-22-008510-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
