,https://roic.ai/company/BYSI,2014,2015,2016,2017,2018,2019,2020
88,Other Investing Activites,-960000,-2117000,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-960000,355000,-64000,-3150000,2867000,-4000,-52000
90,Debt Repayment,- -,-402000,- -,- -,- -,-7358000,-64000
91,Common Stock Issued,- -,16000000,15250000,50505000,14000000,69454000,112577000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,-1201000,- -,- -,- -,- -,- -
94,Other Financing Activites,2498000,2273000,-537000,-2783000,-755000,18075000,5322000
95,Cash Used/Provided by Financing Activities,2498000,16670000,14713000,47722000,13245000,80171000,117835000
96,Effect of Forex Changes on Cash,-8000,-26000,-85000,18000,251000,39000,-434000
97,Net Change In Cash,384000,10429000,866000,15794000,-23592000,32044000,73604000
98,Cash at the End of Period,392000,10821000,11687000,27481000,3889000,35933000,109537000
99,Cash at the Beginning of Period,8000,392000,10821000,11687000,27481000,3889000,35933000
100,Free Cash Flow,-1146000,-6610000,-13762000,-28872000,-40162000,-48166000,-43797000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1677940/000114036118016587/form20f.htm,https://www.sec.gov/Archives/edgar/data/1677940/000114036119008017/form20f.htm,https://www.sec.gov/Archives/edgar/data/1677940/000114036120010310/form20f.htm,- -
102,false,,,,,,,
