,https://roic.ai/company/GDSI,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
67,Total Stockholders Equity,- -,- -,- -,- -,-182522,1211250,152406,-2515301,-1896424,-3012720,-4295479,-6157507,-16805460
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,664860,2097352,1379290,113651,29273,113000,8100,525684,701225
69,Minority Interest,- -,- -,- -,- -,115414,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,780274,2097352,1379290,113651,29273,113000,8100,525684,701225
71,SEC Link,undefined,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1011662/000121390015002213/0001213900-15-002213-index.htm,https://www.sec.gov/Archives/edgar/data/1011662/000165495418006131/0001654954-18-006131-index.htm,https://www.sec.gov/Archives/edgar/data/1011662/000165495419001809/0001654954-19-001809-index.htm,https://www.sec.gov/Archives/edgar/data/1011662/000165495418007193/0001654954-18-007193-index.htm,https://www.sec.gov/Archives/edgar/data/1011662/000165495419007433/0001654954-19-007433-index.htm,https://www.sec.gov/Archives/edgar/data/1011662/000165495420004602/0001654954-20-004602-index.htm,https://www.sec.gov/Archives/edgar/data/1011662/000152013821000206/0001520138-21-000206-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,-90000,-491091,-9297253,-11657188,-2689331,-1043783,-1116296,-1834358,-3292522,-12606540
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,80694,6010,4920,- -,- -,- -,5078
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,5158208,7687566,788015,-126554,- -,300125,229400,5075
77,Change in Working Capital,- -,- -,- -,-4499383,3545802,1639319,-1018424,-1157614,-933853,-1113881,-1282759,-1888309,-11219509
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,68081,-1861,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,-256991,57877,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,-26858,166101,151193,75471,192908,106652,15526,-132669,34978
81,Other Working Capital,- -,- -,- -,-3974069,-428267,1211052,192628,-964986,-1898839,-3012720,-4295479,-6183788,-17403297
82,Other Non-Cash Items,- -,- -,- -,4569383,-3270338,1516381,4199312,2285531,2096326,2055177,2376596,3479152,22343899
83,Cash Provided by Operating Activities,- -,- -,- -,-20000,-215627,-983345,-708040,-767389,-2944,-175000,-440396,-1472279,-1471997
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,-1890,- -,- -,- -,-26282,-113047
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,601299,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-1465874,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,-198,-2684,-1890,- -,- -,- -,- -,-115977
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,-1466072,598615,-1890,- -,- -,- -,-26282,-164477
90,Debt Repayment,- -,- -,- -,- -,-122500,-67500,-526939,-128694,- -,-2000,-61500,-724250,-424000
91,Common Stock Issued,- -,- -,- -,- -,150000,1966100,- -,- -,- -,- -,25746,286138,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,20000,572600,674900,287242,740816,- -,270000,391250,2421975,1567336
95,Cash Used/Provided by Financing Activities,- -,- -,- -,20000,600100,2573500,-239697,612122,- -,268000,355496,1983863,1143336
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,384473,124083,-349122,-157158,- -,- -,-84900,485302,-493138
98,Cash at the End of Period,- -,- -,- -,8100,385141,509224,160102,2944,- -,93000,8100,493402,264
99,Cash at the Beginning of Period,- -,- -,- -,8100,668,385141,509224,160102,2944,- -,93000,8100,493402
100,Free Cash Flow,- -,- -,- -,-20000,-215627,-983345,-708040,-769279,-2944,-175000,-440396,-1498561,-1585044
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1011662/000121390015002213/0001213900-15-002213-index.htm,https://www.sec.gov/Archives/edgar/data/1011662/000165495418006131/0001654954-18-006131-index.htm,https://www.sec.gov/Archives/edgar/data/1011662/000165495419001809/0001654954-19-001809-index.htm,https://www.sec.gov/Archives/edgar/data/1011662/000165495418007193/0001654954-18-007193-index.htm,https://www.sec.gov/Archives/edgar/data/1011662/000165495419007433/0001654954-19-007433-index.htm,https://www.sec.gov/Archives/edgar/data/1011662/000165495420004602/0001654954-20-004602-index.htm,https://www.sec.gov/Archives/edgar/data/1011662/000152013821000206/0001520138-21-000206-index.htm
102,false,,,,,,,,,,,,,
