,https://roic.ai/company/DEN,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,10000000,22400000,39300000,59600000,32800000,52787000,100298000,115471000,121138000,137725000,150895000,224172000,288002000,82113000,590644000,1069124000,1060753000,356871000,370688000,392423000,310302000,245272000,240833000,206276000,185441000,149435000,184177000
11,COGS and Expenses,16700000,35900000,61500000,88800000,62500000,91463000,156238000,188059000,212287000,226170000,265725000,398991000,529109000,457631000,963909000,1198170000,1234334000,1411462000,1628121000,1658176000,1361562000,1509626000,899444000,915261000,913523000,753630000,803779000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7758000,17462000,20152000,22943000,18089000,13908000,15029000,13938000,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32596000,47430000,176113000,164360000,153581000,140709000,183003000,159268000,125145000,99263000,69688000,81632000,50082000,4147000
14,Depreciation and Amortization,8100000,17900000,32700000,52200000,25500000,36214000,79161000,93844000,92251000,100810000,100059000,150768000,200049000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,234405000,150640000
15,EBITDA,9200000,31900000,56500000,-250500000,30100000,111147000,160535000,164159000,175016000,222650000,348100000,480342000,593463000,656824000,-74759000,641379000,1088405000,1010438000,783089000,1205560000,-6166714000,-1395202000,145763000,479619000,402943000,-1617404000,211556000
16,EBITDA ratio,0.4600,0.6030,0.6624,-3.0586,0.3689,0.6196,0.6044,0.5757,0.4446,0.4936,0.6208,0.6566,0.6106,0.4809,-0.0847,0.3539,0.4749,0.4147,0.3140,0.4988,-4.9586,-1.4525,0.1306,0.3299,0.3197,-2.1928,0.1702
17,Operating Income,3300000,17000000,23800000,-286900000,19100000,87909000,109370000,97093000,163735000,224883000,294981000,332545000,442841000,- -,- -,631350000,1074990000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,0.1650,0.3214,0.2790,-3.5031,0.2341,0.4901,0.4118,0.3405,0.4159,0.4986,0.5261,0.4546,0.4556,- -,- -,0.3483,0.4690,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),-2200000,-3000000,- -,-15800000,- -,-12976000,-27996000,-26778000,-83582000,-103043000,-46940000,-2971000,-49427000,-283843000,-40773000,-152280000,-150945000,-168001000,-223683000,263617000,-6208072000,-971288000,-169904000,-128542000,-25526000,-1885857000,- -
20,Income Before Tax,1100000,14000000,23800000,-302700000,- -,74933000,81374000,70315000,80153000,121840000,248041000,329574000,393414000,624228000,-122189000,479070000,924045000,856857000,642380000,1022557000,-6325982000,-1520347000,46500000,409931000,321311000,-1901891000,56769000
21,Income Before Tax Ratio,0.0550,0.2647,0.2790,-3.6960,- -,0.4178,0.3064,0.2466,0.2036,0.2701,0.4424,0.4505,0.4048,0.4571,-0.1385,0.2643,0.4032,0.3517,0.2576,0.4230,-5.0866,-1.5828,0.0417,0.2820,0.2549,-2.5785,0.0457
22,Income Tax expense (Gain),400000,5300000,8900000,-15600000,- -,-67294000,24824000,23520000,26212000,39392000,81570000,127117000,140267000,235832000,-47033000,193543000,350712000,331497000,232783000,387066000,-1940534000,-544170000,-116652000,87233000,104352000,-418655000,767000
23,Net Income,700000,8700000,14900000,-287100000,4600000,142227000,56550000,46795000,56553000,82448000,166471000,202457000,253147000,388396000,-75156000,271723000,573333000,525360000,409597000,635491000,-4385448000,-976177000,163152000,322698000,216959000,-1483236000,56002000
24,Net Income ratio,0.0350,0.1645,0.1747,-3.5055,0.0564,0.7929,0.2129,0.1641,0.1437,0.1828,0.2969,0.2768,0.2605,0.2844,-0.0852,0.1499,0.2502,0.2156,0.1642,0.2629,-3.5263,-1.0163,0.1462,0.2220,0.1721,-2.0109,0.0451
25,EPS,0.03,0.67,0.74,-11.08,0.12,3.10,1.15,0.88,1.05,1.50,1.49,1.74,1.05,1.59,-0.30,0.73,1.45,1.36,1.12,1.82,-12.57,-2.61,0.42,0.75,0.47,-3.86,1.10
26,EPS Diluted,0.03,0.62,0.70,-11.08,0.12,3.07,1.12,0.86,1.02,1.44,1.39,1.64,1.00,1.54,-0.30,0.72,1.43,1.35,1.11,1.81,-12.57,-2.61,0.41,0.71,0.45,-3.90,1.02
27,Weighted Average Shares Outstanding,28000000,13104000,20224000,25926000,39928000,45823000,49325000,53243000,53881000,54871000,111743000,116550000,240065000,243935000,246917000,370876000,396023000,385205000,366659000,348962000,348802000,373859000,390928000,432483000,459524000,384170000,51094000
28,Weighted Average Shares Outstanding Diluted,28000000,49142857,21285714,25926000,39987000,46352000,50361000,54365000,55464000,57301000,119634000,123774000,252101000,252530000,246917000,376255000,400958000,388938000,369877000,351167000,348802000,373859000,395921000,456169000,510341000,384170000,54714000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/945764/000094576420000009/0000945764-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/945764/000094576421000022/0000945764-21-000022-index.htm,https://www.sec.gov/Archives/edgar/data/945764/000094576422000013/0000945764-22-000013-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,6600000,13500000,9300000,2000000,11800000,22293000,23496000,23940000,24188000,33039000,165089000,53873000,60107000,17069000,20591000,381869000,18693000,98511000,12187000,23153000,2812000,1606000,58000,38560000,516000,518000,3671000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,57171000,- -,- -,- -,249746000,309000,93020000,86682000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,6600000,13500000,9300000,2000000,11800000,22293000,23496000,23940000,24188000,90210000,165089000,53873000,60107000,266815000,20900000,474889000,105375000,98511000,12187000,23153000,2812000,1606000,58000,38560000,516000,518000,3671000
34,Net Receivables,4400000,15500000,24100000,21900000,18800000,43266000,55335000,54638000,58951000,56498000,92810000,96658000,165261000,148384000,188541000,337733000,459135000,335102000,340342000,338716000,187506000,168836000,191527000,152758000,157725000,111103000,162635000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,-100000,- -,- -,- -,-100000,32431000,24447000,49886000,25016000,26138000,41284000,32738000,14991000,- -,46321000,51696000,119603000,1109141000,62030000,450811000,154390000,10684000,10670000,104976000,22370000,15225000,9099000
37,Total Current Assets,10900000,29000000,33400000,23900000,30500000,97990000,103278000,128464000,108155000,172846000,299183000,183269000,240359000,415199000,255762000,864318000,684113000,1542754000,414559000,812680000,344708000,181126000,202255000,296294000,180611000,126846000,175405000
38,PP&E,65600000,135000000,408800000,180700000,211000000,307514000,668007000,744085000,844745000,797362000,1155970000,1879768000,2392875000,3002197000,3702872000,6737358000,8011625000,8077110000,9851278000,10352244000,5375809000,3988374000,4166866000,4318610000,4406927000,1324142000,1561002000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,169517000,1232418000,1236318000,1283590000,1283590000,1283590000,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,97362000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,169517000,1232418000,1236318000,1283590000,1283590000,1283590000,- -,- -,- -,- -,- -,97362000,88248000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,80004000,75017000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,1100000,2500000,5300000,8300000,11100000,51875000,18703000,22743000,29721000,22498000,49916000,76800000,137843000,92274000,66810000,230969000,252368000,235888000,239310000,279288000,199307000,105078000,102178000,108318000,104329000,86408000,78298000
45,Total Non-Current Assets,66700000,137500000,414100000,189000000,222100000,359389000,686710000,766828000,874466000,819860000,1205886000,1956568000,2530718000,3174475000,4014216000,8200745000,9500311000,9596588000,11374178000,11915122000,5575116000,4093452000,4269044000,4426928000,4511256000,1507912000,1727548000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,77600000,166500000,447500000,212900000,252600000,457379000,789988000,895292000,982621000,992706000,1505069000,2139837000,2771077000,3589674000,4269978000,9065063000,10184424000,11139342000,11788737000,12727802000,5919824000,4274578000,4471299000,4723222000,4691867000,1634758000,1902953000
48,Accounts Payable,3900000,10900000,24600000,13600000,18000000,26628000,66491000,49281000,62349000,26262000,104840000,57637000,59076000,- -,- -,143145000,296536000,247996000,237940000,192774000,134117000,108886000,253808000,259668000,246701000,67794000,267497000
49,Short-Term Debt,200000,100000,- -,- -,- -,- -,- -,- -,- -,375000,574000,671000,737000,4507000,5308000,7948000,8316000,60828000,95919000,92268000,70030000,112284000,105188000,105125000,109195000,90652000,4677000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13455000,27523000,28019000,39816000,30477000,20979000,- -,- -,- -,17221000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4070000,4070000,4070000,4070000,4070000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,5500000,6100000,5100000,7200000,12158000,13447000,46598000,64225000,56269000,44580000,138020000,200750000,377490000,384412000,428252000,356415000,307597000,341340000,355083000,168868000,212326000,99061000,- -,8346000,126613000,134509000
53,Total Current Liabilities,4100000,16500000,30700000,18700000,25200000,38786000,79938000,95879000,126574000,82906000,154064000,200398000,264633000,386067000,393790000,579345000,661267000,616421000,675199000,640125000,373015000,433496000,458057000,364793000,364242000,285059000,406683000
54,Long-Term Debt,3400000,100000,240000000,225000000,152500000,199000000,334769000,344889000,298203000,223397000,373591000,507786000,674665000,852767000,1301068000,2416208000,2669729000,3104462000,3260625000,3535900000,3277866000,2909732000,2979086000,2664211000,2232570000,89460000,52094000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19957000,15749000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,1500000,6700000,15600000,- -,- -,- -,18422000,71663000,68555000,97125000,170758000,235780000,347370000,- -,- -,1547992000,1918576000,2153452000,2399294000,2694842000,853628000,293878000,198099000,309758000,410230000,1274000,1638000
57,Other Non-Current Liabilities,100000,700000,1000000,1500000,2500000,3428000,7691000,16064000,68087000,47606000,72994000,89814000,80031000,490815000,587134000,140811000,128354000,150118000,152213000,153079000,166403000,169024000,187892000,242683000,272566000,205297000,307148000
58,Total Non-Current Liabilities,5000000,7500000,256600000,226500000,155000000,202428000,360882000,432616000,434845000,368128000,617343000,833380000,1102066000,1363539000,1903951000,4105011000,4716659000,5408032000,5812132000,6383821000,4297897000,3372634000,3365077000,3216652000,2915366000,296031000,360880000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,4184000,5870000,6387000,5665000,- -,- -,- -,- -,23862000,59762000,56798000,37549000,28918000,218727000,185435000,48833000,42104000,21771000
61,Total Liabilities,9100000,24000000,287300000,245200000,180200000,241214000,440820000,528495000,561419000,451034000,771407000,1033778000,1366699000,1749606000,2297741000,4684356000,5377926000,6024453000,6487331000,7023946000,4670912000,3806130000,3823134000,3581445000,3279608000,581090000,767563000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,46000,53000,54000,54000,57000,115000,121000,245000,248000,262000,400000,403000,406000,409000,412000,355000,402000,403000,462000,508000,50000,50000
64,Retained Earnings,3400000,12200000,27100000,-260100000,-255400000,-113220000,-56670000,-9875000,46656000,129104000,295575000,498032000,751179000,1139575000,1064419000,1336142000,1909475000,2434835000,2844432000,3392465000,-1058954000,-2018989000,-1855810000,-1533112000,-1321314000,-50658000,5344000
65,Other Comprehensive Income/Loss,-14000000,-31100000,-62700000,-393600000,-417800000,-452358000,-520332000,-19288000,-27113000,-26466000,-17829000,-951447000,-1591000,-627000,-557000,-488000,-418000,-348000,-276000,-209000,-9653205000,-11212327000,-11376646000,-11500190000,-11688020000,-41095000,- -
66,Other Total Stockholders Equity,79100000,161400000,195800000,621400000,745600000,781697000,926117000,395906000,401605000,438977000,455801000,1559353000,654545000,700872000,908113000,3044653000,2897038000,2679996000,2456841000,2311188000,11960716000,13699362000,13880218000,14174617000,14421085000,1145371000,1129996000
67,Total Stockholders Equity,68500000,142500000,160200000,-32300000,72400000,216165000,349168000,366797000,421202000,541672000,733662000,1106059000,1404378000,1840068000,1972237000,4380707000,4806498000,5114889000,5301406000,5703856000,1248912000,468448000,648165000,1141777000,1412259000,1053668000,1135390000
68,Total Liabilities And Stockholders Equity,77600000,166500000,447500000,212900000,252600000,457379000,789988000,895292000,982621000,992706000,1505069000,2139837000,2771077000,3589674000,4269978000,9065063000,10184424000,11139342000,11788737000,12727802000,5919824000,4274578000,4471299000,4723222000,4691867000,1634758000,1902953000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,77600000,166500000,447500000,212900000,252600000,457379000,789988000,895292000,982621000,992706000,1505069000,2139837000,2771077000,3589674000,4269978000,9065063000,10184424000,11139342000,11788737000,12727802000,5919824000,4274578000,4471299000,4723222000,4691867000,1634758000,1902953000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/945764/000094576420000009/0000945764-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/945764/000094576421000022/0000945764-21-000022-index.htm,https://www.sec.gov/Archives/edgar/data/945764/000094576422000013/0000945764-22-000013-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,700000,8700000,14900000,-287100000,4600000,142227000,56550000,46795000,56553000,82448000,166471000,202457000,253147000,388396000,-75156000,271723000,573333000,525360000,409597000,635491000,-4385448000,-976177000,163152000,322698000,216959000,-1483236000,56002000
74,Depreciation and Amortization,8100000,17900000,32700000,52200000,25500000,36214000,79161000,93844000,92251000,100810000,100059000,150768000,200049000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,234405000,- -
75,Deferred Income Tax,400000,5300000,8900000,-15600000,- -,-67852000,24184000,23926000,26303000,16463000,54393000,107252000,110193000,195020000,-51644000,160349000,342463000,255743000,222526000,429973000,-1932179000,-543385000,-95779000,103234000,100471000,-411425000,364000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14068000,35581000,35366000,33190000,29310000,33003000,30513000,30604000,14995000,15154000,11951000,12470000,12323000,25322000
77,Change in Working Capital,-2700000,5700000,-9800000,2500000,100000,53904000,-35864000,9245000,-51004000,108359000,55179000,-162248000,-7145000,53406000,-167160000,423001000,-262127000,903487000,-1186973000,433195000,-200862000,-224063000,-3432000,187303000,-115132000,25418000,5043000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10243000,-40315000,25559000,-130251000,45836000,4981000,-78469000,67047000,35923000,-4421000,16094000,9379000,-6776000,-284000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,254000,25673000,64114000,18929000,-17632000,104547000,-46005000,-96067000,-40992000,-28707000,-2292000,-1105000,-96973000,57851000
81,Other Working Capital,6800000,12500000,2700000,5200000,5300000,59204000,23340000,32585000,-18419000,89940000,145119000,-17129000,-24274000,29132000,-138028000,284973000,22846000,926333000,-260640000,172555000,-28307000,-252370000,-255802000,-68499000,-183631000,-158213000,- -
82,Other Non-Cash Items,300000,-2400000,15600000,268300000,11000000,-68521000,61016000,-14210000,73512000,-139428000,-15142000,163581000,13970000,123629000,788978000,-34628000,517955000,-303009000,1883042000,-306347000,7352189000,1947853000,188048000,-95501000,279375000,1776249000,230427000
83,Cash Provided by Operating Activities,6800000,35200000,62300000,20300000,41200000,95972000,185047000,159600000,197615000,168652000,360960000,461810000,570214000,774519000,530599000,855811000,1204814000,1410891000,1361195000,1222825000,864304000,219223000,267143000,529685000,494143000,153734000,317158000
84,CAPEX,-28500000,-38500000,-305400000,-102700000,-55000000,-73736000,-170109000,-99273000,-146596000,-178070000,-379236000,-826327000,-833918000,-1085621000,-1462518000,-697246000,-1439080000,-1740157000,-1187494000,-1075904000,-556303000,-249324000,-356452000,-346174000,-292557000,-130230000,-231113000
85,Acquisitions Net,- -,- -,- -,- -,- -,-60285000,-143426000,-72809000,-34521000,-50265000,-78726000,-63586000,- -,- -,- -,-784622000,-199263000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-76517000,- -,- -,-47738000,-516000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,19350000,57133000,- -,- -,7139000,4975000,- -,- -,83545000,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-600000,-49900000,-2200000,-1100000,-3300000,981000,-5295000,921000,45239000,191952000,17142000,33286000,119143000,-969915000,-521894000,455514000,-1135257000,-1304304000,-1266066000,-1067982000,-528309000,-204107000,-268418000,-332735000,-269613000,-58998000,-191953000
89,Cash Used for Investing Activites,-29100000,-88400000,-307600000,-103800000,-58300000,-133040000,-318830000,-171161000,-135878000,-93550000,-383687000,-856627000,-762513000,-994659000,-969714000,-354780000,-1605958000,-1376841000,-1275309000,-1076755000,-550185000,-205417000,-357304000,-333276000,-269692000,-58998000,-202932000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-222000000,-866080000,-2222888000,-868137000,-1555000000,-2237745000,-3707687000,-1862485000,-1836057000,-1618965000,-2005953000,-939699000,-815730000,-1001008000
91,Common Stock Issued,41800000,60700000,2800000,94700000,100100000,1491000,2594000,3594000,5537000,13168000,12392000,139834000,18222000,13972000,12991000,13065000,15920000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3977000,-5119000,-5544000,-2960000,- -,- -,- -,-195227000,-251480000,-281958000,-211356000,-11759000,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-87044000,-65426000,-486000,-275000,- -,- -,- -,- -
94,Other Financing Activites,-13600000,-600000,238300000,-18500000,-73300000,46102000,132392000,8411000,-67026000,-75442000,147504000,149311000,183271000,385130000,1295726000,2070070000,1085412000,1852248000,2347493000,3870983000,1605210000,1821531000,1707853000,1848501000,693344000,730197000,894878000
95,Cash Used/Provided by Financing Activities,28200000,60100000,241100000,76200000,26800000,47593000,134986000,12005000,-61489000,-66251000,154777000,283601000,198533000,177102000,442637000,-139753000,37968000,45768000,-172210000,-135104000,-334460000,-15012000,88613000,-157452000,-246355000,-85533000,-106130000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,28200000,60100000,241100000,76200000,9800000,10525000,1203000,444000,248000,8851000,132050000,-111216000,6234000,-43038000,3522000,361278000,-363176000,79818000,-86324000,10966000,-20341000,-1206000,-1548000,38957000,-21904000,9203000,8096000
98,Cash at the End of Period,- -,- -,- -,- -,11800000,22293000,23496000,23940000,24188000,33039000,165089000,53873000,60107000,17069000,20591000,381869000,18693000,98511000,12187000,23153000,2812000,1606000,58000,54949000,33045000,42248000,50344000
99,Cash at the Beginning of Period,700000,6600000,13500000,9300000,2000000,11768000,22293000,23496000,23940000,24188000,33039000,165089000,53873000,60107000,17069000,20591000,381869000,18693000,98511000,12187000,23153000,2812000,1606000,15992000,54949000,33045000,42248000
100,Free Cash Flow,-21700000,-3300000,-243100000,-82400000,-13800000,22236000,14938000,60327000,51019000,-9418000,-18276000,-364517000,-263704000,-311102000,-931919000,158565000,-234266000,-329266000,173701000,146921000,308001000,-30101000,-89309000,183511000,201586000,23504000,86045000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/945764/000094576420000009/0000945764-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/945764/000094576421000022/0000945764-21-000022-index.htm,https://www.sec.gov/Archives/edgar/data/945764/000094576422000013/0000945764-22-000013-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,
