,https://roic.ai/company/SUND,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,6299000,12243411,22544635,29822186,34156005,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,-9000,4456589,3823805,4,- -,- -,- -,- -,- -
45,Total Non-Current Assets,14525,10839,10000,- -,- -,- -,- -,- -,6290000,16700000,26368440,29822190,- -,- -,- -,- -,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,45440,35036,10000,20000,10000,- -,- -,- -,6840000,17080000,26706690,29848780,34165070,941610,5690,30990,30572
48,Accounts Payable,5024,36487,240000,- -,- -,- -,- -,- -,90000,50000,255360,351670,508070,162590,306870,481720,893675
49,Short-Term Debt,149151,164507,211922,- -,- -,- -,3250,3250,3002441,90000,2826876,- -,- -,- -,- -,- -,826000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,-211922,- -,- -,- -,6750,16750,7559,- -,181914,750000,7427510,- -,400000,400000,615443
53,Total Current Liabilities,154175,200994,240000,- -,- -,- -,10000,20000,3100000,140000,3264150,1101670,7935580,162590,706870,881720,2335118
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,1460000,- -,4520180,- -,829510,1672010,2450510,1915808
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,758972,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,192160,- -,144650,240160,424950,495708
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1460000,- -,4712340,- -,974160,1912170,2875460,2411516
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,154175,200994,240000,- -,- -,- -,10000,20000,3100000,1600000,3264150,5814010,7935580,1136750,2619040,3757180,4746634
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,5701,5701,10000,10000,10000,10000,10000,10000,40000,40000,43190,44130,44130,44130,37830,37830,40109
64,Retained Earnings,-312336,-370496,-440000,-470000,-480000,-490000,-490000,-500000,-100000,-310000,-457530,-373800,1638360,-24786290,-26842410,-27955240,-29484809
65,Other Comprehensive Income/Loss,-3375,-7061,-10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,201275,205898,208053,480397,481102,482831,474967,474416,3808894,15751433,23856880,24364442,24547008,24547013,24191225,24191221,24728638
67,Total Stockholders Equity,-108735,-165958,-231947,20397,11102,2831,-5033,-15584,3748894,15481433,23442540,24034772,26229498,-195147,-2613355,-3726189,-4716062
68,Total Liabilities And Stockholders Equity,45440,35036,8053,20000,10000,- -,4967,4416,6848894,17081433,26706690,29848782,34165078,941603,5685,30991,30572
69,Minority Interest,- -,- -,1947,- -,- -,- -,-4967,-4416,-8894,-1433,- -,-2,-8,7,5,-1,- -
70,Total Liabilities & Equity,45440,35036,10000,20000,10000,- -,- -,- -,6840000,17080000,26706690,29848780,34165070,941610,5690,30990,30572
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1171838/000102317508000105/0001023175-08-000105-index.html,https://www.sec.gov/Archives/edgar/data/1171838/000102317509000197/0001023175-09-000197-index.html,https://www.sec.gov/Archives/edgar/data/1171838/000102317510000181/0001023175-10-000181-index.html,https://www.sec.gov/Archives/edgar/data/1171838/000102317511000355/0001023175-11-000355-index.html,- -,https://www.sec.gov/Archives/edgar/data/1171838/000101041213000195/0001010412-13-000195-index.htm,https://www.sec.gov/Archives/edgar/data/1171838/000101041214000126/0001010412-14-000126-index.htm,https://www.sec.gov/Archives/edgar/data/1171838/000101041215000084/0001010412-15-000084-index.html,https://www.sec.gov/Archives/edgar/data/1171838/000158095716000709/0001580957-16-000709-index.html,https://www.sec.gov/Archives/edgar/data/1171838/000158095718000172/0001580957-18-000172-index.htm,https://www.sec.gov/Archives/edgar/data/1171838/000158095718000172/0001580957-18-000172-index.html,https://www.sec.gov/Archives/edgar/data/1171838/000149315220000649/0001493152-20-000649-index.htm,https://www.sec.gov/Archives/edgar/data/1171838/000149315220015137/0001493152-20-015137-index.htm,https://www.sec.gov/Archives/edgar/data/1171838/000149315221015565/0001493152-21-015565-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,-168842,-58160,-70000,-30000,-10000,-10000,-10000,-10000,-100000,-210000,-146740,83730,2012150,-26424650,-2056120,-1112830,-1529567
74,Depreciation and Amortization,6245,3686,3304,2190,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,758972,-758972,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,816802,417846,508503,182572,- -,20070,- -,39694
77,Change in Working Capital,6651,-53537,-63203,260000,-10000,-10000,-10000,-10000,-2530000,2790000,-3165900,1850820,27304570,-25450470,-1480200,-149550,-1453816
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,-3176,76,-130,1860,- -,- -,202446,96310,156400,-345477,144277,174845,411959
81,Other Working Capital,-123260,-176797,-240000,20000,10000,- -,-10000,-20000,-2550000,240000,-2925900,-1075080,26229490,779020,-701180,-850730,-2304546
82,Other Non-Cash Items,22000,93695,66990,-267887,7529,11805,11868,11569,-690000,-13867882,895952,-5235884,-30823192,58651875,1737427,512085,2125326
83,Cash Provided by Operating Activities,-133946,-14316,-62909,-35697,-12471,-8195,-8132,-8431,-3320000,-10471080,-1998842,-2792831,-564928,6017783,-1778823,-750295,-818363
84,CAPEX,-6500,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,6245,- -,- -,- -,- -,- -,- -,- -,- -,-861000,400000,211000,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-255,- -,- -,- -,- -,- -,- -,- -,- -,-861000,400000,211000,- -,- -,- -,- -,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-150000,-5285245,- -,- -,- -
91,Common Stock Issued,4446,- -,- -,55000,- -,- -,- -,- -,- -,11161875,150000,- -,- -,- -,- -,- -,500000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,3870000,- -,- -,-750000,-750000,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,157073,6937,39394,4303,- -,- -,6049,7800,- -,- -,1410000,3020178,1444575,200000,842500,778500,310758
95,Cash Used/Provided by Financing Activities,161519,6937,39394,59303,- -,- -,6049,7800,3870000,11161875,1560000,2270178,544575,-5085245,842500,778500,810758
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,27318,-7379,-23515,23606,-12471,-8195,-2083,-631,550000,-170205,-38842,-311653,-20353,932538,-936323,28205,-7605
98,Cash at the End of Period,30915,23536,21,23627,11156,2961,878,247,550000,375212,336370,24717,4364,936902,579,28784,21179
99,Cash at the Beginning of Period,3597,30915,23536,21,23627,11156,2961,878,- -,545417,375212,336370,24717,4364,936902,579,28784
100,Free Cash Flow,-140446,-14316,-62909,-35697,-12471,-8195,-8132,-8431,-3320000,-10471080,-1998842,-2792831,-564928,6017783,-1778823,-750295,-818363
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1171838/000102317508000105/0001023175-08-000105-index.html,https://www.sec.gov/Archives/edgar/data/1171838/000102317509000197/0001023175-09-000197-index.html,https://www.sec.gov/Archives/edgar/data/1171838/000102317510000181/0001023175-10-000181-index.html,https://www.sec.gov/Archives/edgar/data/1171838/000102317511000355/0001023175-11-000355-index.html,- -,https://www.sec.gov/Archives/edgar/data/1171838/000101041213000195/0001010412-13-000195-index.htm,https://www.sec.gov/Archives/edgar/data/1171838/000101041214000126/0001010412-14-000126-index.htm,https://www.sec.gov/Archives/edgar/data/1171838/000101041215000084/0001010412-15-000084-index.html,https://www.sec.gov/Archives/edgar/data/1171838/000158095716000709/0001580957-16-000709-index.html,https://www.sec.gov/Archives/edgar/data/1171838/000158095718000172/0001580957-18-000172-index.htm,https://www.sec.gov/Archives/edgar/data/1171838/000158095718000172/0001580957-18-000172-index.html,https://www.sec.gov/Archives/edgar/data/1171838/000149315220000649/0001493152-20-000649-index.htm,https://www.sec.gov/Archives/edgar/data/1171838/000149315220015137/0001493152-20-015137-index.htm,https://www.sec.gov/Archives/edgar/data/1171838/000149315221015565/0001493152-21-015565-index.htm
102,false,,,,,,,,,,,,,,,,,
