,https://roic.ai/company/TWTR,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
32,Short-Term Investments,- -,330543000,221528000,1393044000,2111154000,2583877000,2785981000,2764689000,4314957000,4839970000,5483873000,4207133000
33,Cash and Short-Term Investments,- -,549539000,424856000,2234054000,3621878000,3495348000,3774579000,4403102000,6209401000,6639052000,7472302000,6393682000
34,Net Receivables,- -,39834000,112155000,247328000,418454000,638694000,650650000,664268000,788700000,850184000,1041743000,1217404000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,6695000,17455000,93297000,215521000,247750000,226967000,254514000,112935000,130839000,123063000,307284000
37,Total Current Assets,- -,596068000,554466000,2574679000,4255853000,4381792000,4652196000,5321884000,7111036000,7620075000,8637108000,7918370000
38,PP&E,- -,61983000,185574000,332662000,557019000,735299000,783901000,773715000,885078000,1728876000,2423933000,3277284000
39,Goodwill,- -,36761000,68813000,363477000,622570000,1122728000,1185315000,1188935000,1227269000,1256699000,1312346000,1301520000
40,Intangible Assets,- -,6418000,3753000,77627000,105011000,141015000,95334000,49654000,45025000,55106000,58338000,69324000
41,Intangible Assets,- -,43179000,72566000,441104000,727581000,1263743000,1280649000,1238589000,1272294000,1311805000,1370684000,1370844000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,808459000,1908086000,796326000,1148573000
44,Other Non-Current Assets,- -,19445000,18962000,17795000,42629000,61605000,153619000,78289000,85705000,134547000,151039000,344445000
45,Total Non-Current Assets,- -,124607000,277102000,791561000,1327229000,2060647000,2218169000,2090593000,3051536000,5083314000,4741982000,6141146000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,720675000,831568000,3366240000,5583082000,6442439000,6870365000,7412477000,10162572000,12703389000,13379090000,14059516000
48,Accounts Payable,- -,4543000,8432000,27994000,53241000,134081000,122236000,170969000,145186000,161148000,194281000,203171000
49,Short-Term Debt,- -,22694000,48836000,87126000,112320000,88166000,80848000,84976000,965374000,170435000,1095580000,222346000
50,Tax Payable,- -,5266000,5711000,9515000,18380000,25880000,29558000,36097000,39729000,45967000,40384000,47830000
51,Deferred Revenue,- -,- -,- -,14479000,18679000,23674000,33659000,27824000,38949000,68987000,58976000,78541000
52,Other Current Liabilities,- -,20507000,52611000,95831000,209554000,260118000,347278000,299509000,366802000,431906000,603989000,839809000
53,Total Current Liabilities,- -,47744000,109879000,225430000,393794000,506039000,584021000,583278000,1516311000,832476000,1952826000,1343867000
54,Long-Term Debt,- -,- -,- -,- -,1376020000,1455095000,1538967000,1627460000,1730922000,2508800000,3388620000,5324228000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,59500000,24706000,2978000,7556000,13240000,17849000,24170000,31463000,40691000
57,Other Non-Current Liabilities,- -,874769000,969861000,131304000,162159000,110280000,134886000,141281000,91896000,633557000,36099000,43531000
58,Total Non-Current Liabilities,- -,874769000,969861000,190804000,1562885000,1568353000,1681409000,1781981000,1840667000,3166527000,3456182000,5408450000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,43798000,114568000,197646000,231270000,147861000,147685000,166284000,92440000,779885000,997462000,1293555000
61,Total Liabilities,- -,922513000,1079740000,416234000,1956679000,2074392000,2265430000,2365259000,3356978000,3999003000,5409008000,6752317000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,1000,1000,3000,3000,3000,4000,4000,4000,4000,4000,4000
64,Retained Earnings,- -,-269904000,-349303000,-994626000,-1572446000,-2093477000,-2550350000,-2671729000,-1454073000,11586000,-1125669000,-1002302000
65,Other Comprehensive Income/Loss,- -,-32000,-657000,-323000,-10024000,-45566000,-69253000,-31579000,-65311000,-70534000,-66094000,-117320000
66,Other Total Stockholders Equity,- -,68097000,101787000,3944952000,5208870000,6507087000,7224534000,7750522000,8324974000,8763330000,9161841000,8426817000
67,Total Stockholders Equity,- -,-201838000,-248172000,2950006000,3626403000,4368047000,4604935000,5047218000,6805594000,8704386000,7970082000,7307199000
68,Total Liabilities And Stockholders Equity,- -,720675000,831568000,3366240000,5583082000,6442439000,6870365000,7412477000,10162572000,12703389000,13379090000,14059516000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,720675000,831568000,3366240000,5583082000,6442439000,6870365000,7412477000,10162572000,12703389000,13379090000,14059516000
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1418091/000156459015001159/twtr-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/1418091/000156459016013646/0001564590-16-013646-index.html,https://www.sec.gov/Archives/edgar/data/1418091/000156459017002584/0001564590-17-002584-index.html,https://www.sec.gov/Archives/edgar/data/1418091/000156459018003046/0001564590-18-003046-index.html,https://www.sec.gov/Archives/edgar/data/1418091/000156459019003523/0001564590-19-003523-index.html,https://www.sec.gov/Archives/edgar/data/1418091/000141809120000037/0001418091-20-000037-index.html,https://www.sec.gov/Archives/edgar/data/1418091/000141809121000031/0001418091-21-000031-index.htm,https://www.sec.gov/Archives/edgar/data/1418091/000141809122000029/0001418091-22-000029-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,-67324000,-128302000,-79399000,-645323000,-577820000,-521031000,-456873000,-108063000,1205596000,1465659000,-1135626000,-221409000
74,Depreciation and Amortization,10364000,24192000,72506000,110894000,208165000,312823000,402172000,395867000,425498000,465549000,495177000,544848000
75,Deferred Income Tax,-220000,-2252000,-1098000,-8902000,-9609000,-28125000,-4775000,-6415000,-801720000,-1122511000,1064396000,-228774000
76,Stock Based Compensation,5931000,60384000,25741000,600367000,631597000,678924000,615233000,433806000,326228000,378025000,474932000,629901000
77,Change in Working Capital,839000,-103737000,1904662000,1512810000,13694000,192422000,670431000,856119000,1192874000,-103317000,-150029000,5033000
78,Accounts Receivable,-4838000,-33023000,-73898000,-112060000,-177583000,-216585000,-22969000,2668000,-130871000,-67000000,-188039000,-189946000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,1497000,-918000,2931000,7957000,18059000,76355000,-7112000,8371000,-1533000,2946000,18232000,20869000
81,Other Working Capital,548324000,444587000,2349249000,3862059000,3875753000,4068175000,4738606000,5594725000,6787599000,6684282000,6534253000,- -
82,Other Non-Cash Items,1673000,79118000,-1950347000,-1568448000,-184231000,-251947000,-463133000,-740105000,-1008765000,219959000,244020000,-96910000
83,Cash Provided by Operating Activities,-48737000,-70597000,-27935000,1398000,81796000,383066000,763055000,831209000,1339711000,1303364000,992870000,632689000
84,CAPEX,-5692000,-11546000,-50599000,-75744000,-201630000,-347280000,-218657000,-160742000,-483934000,-540688000,-873354000,-1011546000
85,Acquisitions Net,-1531000,-18906000,-1526000,-44072000,-165177000,-51644000,-85082000,- -,-33572000,-29664000,-48016000,-32702000
86,Purchases of Investments,-47681000,-487595000,-542638000,-1573489000,-2937033000,-3683488000,-2990113000,-2688039000,-5337771000,-5849274000,-6284307000,-3845920000
87,Sales/Maturities of Investments,103878000,197817000,647349000,398086000,2217610000,3205158000,2701785000,2704573000,3791694000,5295213000,5646992000,4984394000
88,Other Investing Activites,- -,-4645000,-3143000,-10847000,-11042000,-25167000,-5941000,31276000,8070000,8439000,-1880000,-41603000
89,Cash Used for Investing Activites,48974000,-324875000,49443000,-1306066000,-1097272000,-902421000,-598008000,-112932000,-2055513000,-1115974000,-1560565000,52623000
90,Debt Repayment,-1615000,-15103000,-39436000,-70445000,-131945000,-117535000,-100558000,-102775000,-90351000,-1001677000,-23062000,-954565000
91,Common Stock Issued,- -,- -,- -,2018579000,- -,39295000,24431000,23920000,29288000,42378000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-245292000,-930530000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,115930000,495313000,2312000,-5958000,1823667000,15242000,-7848000,482000,1039179000,673124000,1023664000,1412272000
95,Cash Used/Provided by Financing Activities,114315000,480210000,-37124000,1942176000,1691722000,-62998000,-83975000,-78373000,978116000,-286175000,755310000,-472823000
96,Effect of Forex Changes on Cash,7000,5000,-52000,174000,-6532000,-16900000,-3945000,9911000,-14296000,4576000,-4005000,-13080000
97,Net Change In Cash,114559000,84743000,-15668000,637682000,669714000,-599253000,77127000,649815000,248018000,-94209000,183610000,199409000
98,Cash at the End of Period,134253000,218996000,203328000,841010000,1510724000,911471000,988598000,1638413000,1921875000,1827666000,2011276000,2210685000
99,Cash at the Beginning of Period,19694000,134253000,218996000,203328000,841010000,1510724000,911471000,988598000,1673857000,1921875000,1827666000,2011276000
100,Free Cash Flow,-54429000,-82143000,-78534000,-74346000,-119834000,35786000,544398000,670467000,855777000,762676000,119516000,-378857000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1418091/000156459015001159/twtr-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/1418091/000156459016013646/0001564590-16-013646-index.html,https://www.sec.gov/Archives/edgar/data/1418091/000156459017002584/0001564590-17-002584-index.html,https://www.sec.gov/Archives/edgar/data/1418091/000156459018003046/0001564590-18-003046-index.html,https://www.sec.gov/Archives/edgar/data/1418091/000156459019003523/0001564590-19-003523-index.html,https://www.sec.gov/Archives/edgar/data/1418091/000141809120000037/0001418091-20-000037-index.html,https://www.sec.gov/Archives/edgar/data/1418091/000141809121000031/0001418091-21-000031-index.htm,https://www.sec.gov/Archives/edgar/data/1418091/000141809122000029/0001418091-22-000029-index.htm
102,false,,,,,,,,,,,,
