,https://roic.ai/company/QTRX,2015,2016,2017,2018,2019,2020,2021
61,Total Liabilities,22546000,23641000,25913000,26546000,41293000,64920000,60575000
62,Preferred Stock,73445000,128585000,- -,- -,- -,- -,- -
63,Common Stock,2000,2000,22000,22000,28000,32000,- -
64,Retained Earnings,-88642000,-115111000,-144352000,-175888000,-216244000,-247774000,-305462000
65,Other Comprehensive Income/Loss,-1579000,-1955000,-2423000,-3023000,-4339000,2434000,441000
66,Other Total Stockholders Equity,1579000,1955000,212619000,219954000,349213000,451433000,745973000
67,Total Stockholders Equity,-15195000,13476000,65866000,41065000,128658000,206125000,440952000
68,Total Liabilities And Stockholders Equity,7351000,37117000,91779000,67611000,169951000,271045000,501527000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,7351000,37117000,91779000,67611000,169951000,271045000,501527000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1503274/000104746918001842/0001047469-18-001842-index.html,https://www.sec.gov/Archives/edgar/data/1503274/000104746919001374/0001047469-19-001374-index.html,https://www.sec.gov/Archives/edgar/data/1503274/000155837020002676/0001558370-20-002676-index.html,https://www.sec.gov/Archives/edgar/data/1503274/000155837021002469/0001558370-21-002469-index.htm,https://www.sec.gov/Archives/edgar/data/1503274/000155837022002489/0001558370-22-002489-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,-15943000,-23173000,-27019000,-31536000,-40796000,-31530000,-57688000
74,Depreciation and Amortization,425000,444000,482000,1352000,3009000,4312000,4851000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,1104000,928000,2168000,4884000,6388000,10099000,15975000
77,Change in Working Capital,993000,26356000,45250000,-28167000,71457000,66974000,232176000
78,Accounts Receivable,-1467000,-1655000,-1682000,-983000,-3365000,-6240000,-6853000
79,Inventory,-254000,-526000,-2043000,-1603000,-3447000,-5119000,-8090000
80,Accounts Payable,542000,1131000,1003000,1318000,621000,649000,2414000
81,Other Working Capital,-2068000,24288000,69538000,41371000,112828000,179802000,411978000
82,Other Non-Cash Items,904000,-22297000,-42987000,24746000,-66245000,-73220000,-243221000
83,Cash Provided by Operating Activities,-12517000,-17742000,-22106000,-28721000,-26187000,-23365000,-47907000
84,CAPEX,-597000,-526000,-1132000,-1518000,-10847000,-3930000,-13616000
85,Acquisitions Net,- -,- -,- -,-3801000,-14529000,- -,- -
86,Purchases of Investments,- -,-300000,- -,-150000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,43000,- -,- -,15000,- -,3304000,7278000
89,Cash Used for Investing Activites,-554000,-826000,-1132000,-5454000,-25376000,-626000,-6338000
90,Debt Repayment,-339000,-2697000,-980000,-1929000,-50000,-75000,- -
91,Common Stock Issued,- -,- -,65575000,- -,112548000,91404000,- -
92,Common Stock Repurchased,- -,- -,- -,-20000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,12043000,48613000,8654000,1871000,3699000,4907000,270795000
95,Cash Used/Provided by Financing Activities,11704000,45916000,73249000,-78000,116197000,96236000,270795000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,118000,158000,-92000
97,Net Change In Cash,-1367000,27348000,50011000,-34253000,64752000,72403000,216458000
98,Cash at the End of Period,2323000,29671000,79682000,45429000,110181000,182584000,399042000
99,Cash at the Beginning of Period,3690000,2323000,29671000,79682000,45429000,110181000,182584000
100,Free Cash Flow,-13114000,-18268000,-23238000,-30239000,-37034000,-27295000,-61523000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1503274/000104746918001842/0001047469-18-001842-index.html,https://www.sec.gov/Archives/edgar/data/1503274/000104746919001374/0001047469-19-001374-index.html,https://www.sec.gov/Archives/edgar/data/1503274/000155837020002676/0001558370-20-002676-index.html,https://www.sec.gov/Archives/edgar/data/1503274/000155837021002469/0001558370-21-002469-index.htm,https://www.sec.gov/Archives/edgar/data/1503274/000155837022002489/0001558370-22-002489-index.htm
102,false,,,,,,,
