,https://roic.ai/company/ALRM,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
43,Tax Assets,- -,5546000,5121000,11915000,16752000,18444000,28952000,19137000,21692000,13547000
44,Other Non-Current Assets,- -,8249000,9371000,6643000,4838000,7925000,13555000,48039000,18233000,24349000
45,Total Non-Current Assets,- -,44031000,49088000,65045000,71061000,207705000,212922000,314125000,334273000,314395000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,99487000,120932000,226095000,261245000,371641000,440985000,557799000,731687000,1232015000
48,Accounts Payable,- -,11570000,11179000,12813000,18289000,17008000,20214000,32878000,38163000,64751000
49,Short-Term Debt,- -,2000000,- -,- -,- -,- -,- -,7683000,9973000,10331000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,1163000,1699000,2289000,2585000,3292000,3356000,3043000,4037000,5697000
52,Other Current Liabilities,- -,8065000,9870000,13977000,18825000,24203000,51700000,32191000,38071000,48560000
53,Total Current Liabilities,- -,22798000,22748000,29079000,39699000,44503000,75270000,75795000,90244000,129339000
54,Long-Term Debt,- -,5500000,6700000,6700000,6700000,71000000,67000000,63000000,110000000,457936000
55,Deferred Revenue,- -,8488000,9202000,9701000,10040000,9386000,7820000,7455000,8492000,9140000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,935000,1670000,10484000,13557000,13925000,13306000,55898000,55199000,9545000
58,Total Non-Current Liabilities,- -,14923000,17572000,26885000,30297000,94311000,88126000,126353000,173691000,476621000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,44882000,47670000,42922000
61,Total Liabilities,- -,37721000,40320000,55964000,69996000,138814000,163396000,202148000,263935000,605960000
62,Preferred Stock,- -,202456000,202456000,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,17000,26000,455000,461000,472000,481000,487000,496000,504000
64,Retained Earnings,- -,-142498000,-128996000,-128063000,-117909000,-88677000,-64031000,-10463000,66574000,118833000
65,Other Comprehensive Income/Loss,- -,56000,- -,- -,- -,-14861000,-20988000,-27542000,- -,- -
66,Other Total Stockholders Equity,- -,1735000,7126000,297739000,308697000,335893000,362127000,393169000,400682000,493830000
67,Total Stockholders Equity,- -,61766000,80612000,170131000,191249000,232827000,277589000,355651000,467752000,613167000
68,Total Liabilities And Stockholders Equity,- -,99487000,120932000,226095000,261245000,371641000,440985000,557799000,731687000,1219127000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,12888000
70,Total Liabilities & Equity,- -,99487000,120932000,226095000,261245000,371641000,440985000,557799000,731687000,1232015000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1459200/000145920016000024/0001459200-16-000024-index.html,https://www.sec.gov/Archives/edgar/data/1459200/000145920017000007/0001459200-17-000007-index.html,https://www.sec.gov/Archives/edgar/data/1459200/000145920018000013/0001459200-18-000013-index.html,https://www.sec.gov/Archives/edgar/data/1459200/000145920019000007/0001459200-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/1459200/000145920020000005/0001459200-20-000005-index.html,https://www.sec.gov/Archives/edgar/data/1459200/000145920021000012/0001459200-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1459200/000145920022000008/0001459200-22-000008-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,8929000,4524000,13502000,11768000,10154000,29251000,21524000,53531000,77853000,52259000
74,Depreciation and Amortization,2432000,3561000,4192000,6199000,7276000,18699000,22621000,22834000,28402000,30955000
75,Deferred Income Tax,-2147000,-2164000,-1735000,-3552000,-4837000,2488000,-11482000,2599000,-3256000,-10115000
76,Stock Based Compensation,1759000,841000,3267000,3347000,4001000,7413000,13429000,20603000,29176000,38694000
77,Change in Working Capital,3506000,30133000,16438000,82875000,18514000,-31052000,33360000,15086000,139291000,-35496000
78,Accounts Receivable,-3986000,-8678000,-3898000,-5910000,-11181000,-1911000,-9298000,-22273000,-10098000,-23941000
79,Inventory,-22000,-1412000,-4334000,378000,-4068000,-3335000,-8813000,-6491000,-10647000,-31443000
80,Accounts Payable,4927000,5169000,444000,5966000,10458000,3774000,30615000,-10980000,13781000,39418000
81,Other Working Capital,2525000,32658000,49096000,131971000,150485000,119433000,152793000,167879000,307170000,2308000
82,Other Non-Cash Items,1644000,-26241000,-20029000,-73500000,-17608000,30388000,-18742000,-67541000,-169386000,26860000
83,Cash Provided by Operating Activities,16123000,10654000,15635000,27137000,17500000,57187000,60710000,47112000,102080000,103157000
84,CAPEX,-2322000,-2275000,-6892000,-11347000,-10655000,-10464000,-12090000,-20174000,-20488000,-15424000
85,Acquisitions Net,- -,-8148000,-3186000,-6049000,- -,-154289000,- -,-58833000,-26299000,- -
86,Purchases of Investments,-300000,-6516000,- -,-247000,-139000,-42000,- -,- -,- -,-5000000
87,Sales/Maturities of Investments,- -,- -,2000000,- -,- -,- -,- -,- -,25687000,- -
88,Other Investing Activites,-1186000,-1492000,1790000,-1406000,-2232000,-4000000,-2362000,4743000,-3521000,-4303000
89,Cash Used for Investing Activites,-2808000,-18431000,-6288000,-18049000,-11426000,-168795000,-13377000,-73414000,-20274000,-20365000
90,Debt Repayment,-1000000,-1500000,-7500000,- -,- -,-74700000,-4000000,-4000000,-3000000,-110000000
91,Common Stock Issued,255000,- -,554000,97976000,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-115906000,-5000,-7000,-1000,-11000,-9000,-1000,- -,-5149000,- -
93,Dividends Paid,-8596000,- -,- -,-20000000,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,137035000,945000,6595000,-1277000,6213000,142012000,6400000,3870000,60173000,484370000
95,Cash Used/Provided by Financing Activities,11788000,-560000,-358000,76698000,6202000,67303000,2399000,-130000,52024000,374370000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,25103000,-8337000,8989000,85786000,12276000,-44305000,49732000,-26432000,133830000,457162000
98,Cash at the End of Period,41920000,33583000,42572000,128358000,140634000,96329000,146061000,119629000,253459000,710621000
99,Cash at the Beginning of Period,16817000,41920000,33583000,42572000,128358000,140634000,96329000,146061000,119629000,253459000
100,Free Cash Flow,13801000,8379000,8743000,15790000,6845000,46723000,48620000,26938000,81592000,87733000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1459200/000145920016000024/0001459200-16-000024-index.html,https://www.sec.gov/Archives/edgar/data/1459200/000145920017000007/0001459200-17-000007-index.html,https://www.sec.gov/Archives/edgar/data/1459200/000145920018000013/0001459200-18-000013-index.html,https://www.sec.gov/Archives/edgar/data/1459200/000145920019000007/0001459200-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/1459200/000145920020000005/0001459200-20-000005-index.html,https://www.sec.gov/Archives/edgar/data/1459200/000145920021000012/0001459200-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1459200/000145920022000008/0001459200-22-000008-index.htm
102,false,,,,,,,,,,
