,https://roic.ai/company/ABILF,2013,2014,2015,2016,2017,2018,2019,2020
22,Income Tax expense (Gain),-57000,- -,3023000,1086000,- -,- -,- -,- -
23,Net Income,-280000,-914698,14753000,-8053000,-9111000,-10189000,-7737000,-6709000
24,Net Income ratio,-0.0474,-Infinity,0.2829,-0.4878,-3.0656,-18.9035,-4.1045,-3.8870
25,EPS,-0.10,-3.10,6.00,-3.30,-3.71,-3.45,-1.09,-0.94
26,EPS Diluted,-0.10,-3.10,6.00,-3.30,-3.71,-3.45,-1.09,-0.94
27,Weighted Average Shares Outstanding,2458287,293774,2458287,2458287,2459088,2956908,7096266,7153586
28,Weighted Average Shares Outstanding Diluted,2458287,293774,2458287,2458287,2459088,2956908,7096266,7153586
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,803613,47185,25829000,11840000,1944000,9856000,433000,418000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,803613,47185,25829000,11840000,1944000,9856000,433000,418000
34,Net Receivables,- -,- -,4378000,3787000,4488000,2171000,2029000,61000
35,Inventory,- -,- -,- -,481000,50000,- -,- -,- -
36,Other Current Assets,25300,2445,2594000,14139000,- -,12331000,12460000,12497000
37,Total Current Assets,828913,49630,32801000,30247000,6482000,24358000,14922000,12976000
38,PP&E,- -,- -,757000,1588000,1388000,1016000,915000,486000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,698000,356000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,698000,356000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,81305000,81339095,12012000,- -,12143000,- -,680000,- -
45,Total Non-Current Assets,81305000,81339095,12769000,1588000,13531000,1016000,2293000,842000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,82133913,81388725,45570000,31835000,20013000,25374000,17215000,13818000
48,Accounts Payable,- -,- -,941000,9686000,4056000,3910000,2978000,3384000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,138000,166000
50,Tax Payable,- -,- -,6062000,32000,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,306000,2490000,1352000,2771000
52,Other Current Liabilities,19667,235469,14592000,12202000,2676000,15258000,15370000,16621000
53,Total Current Liabilities,19667,235469,15533000,21888000,7038000,21658000,19838000,22942000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,77114245,76153255,12282000,245000,12384000,167000,242000,128000
58,Total Non-Current Liabilities,77114245,76153255,12282000,245000,12384000,167000,242000,128000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,317000,242000
61,Total Liabilities,77133912,76388724,27815000,22133000,19422000,21825000,20080000,23070000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,77114535,76153554,3000,3000,3000,6000,8000,8000
64,Retained Earnings,-8329,-923027,-808000,-8861000,-17972000,-28161000,-35898000,-42747000
65,Other Comprehensive Income/Loss,- -,- -,-642000,-612000,-1008000,-1415000,-1750000,-2002000
66,Other Total Stockholders Equity,-72106205,-70230526,19202000,19172000,19568000,33119000,34775000,35489000
67,Total Stockholders Equity,5000001,5000001,17755000,9702000,591000,3549000,-2865000,-9252000
68,Total Liabilities And Stockholders Equity,82133913,81388725,45570000,31835000,20013000,25374000,17215000,13818000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,82133913,81388725,45570000,31835000,20013000,25374000,17215000,13818000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,-280000,-914698,14753000,-8053000,-9111000,-10189000,-7737000,-6709000
74,Depreciation and Amortization,115000,- -,132000,342000,489000,478000,766000,699000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,91000,288000,351000
77,Change in Working Capital,780000,238657,-5341000,-3166000,-1437000,4532000,-2728000,5031000
78,Accounts Receivable,430000,- -,-3756000,631000,1198000,-21000,46000,1950000
79,Inventory,- -,- -,- -,-311000,-50000,- -,- -,- -
80,Accounts Payable,127000,- -,694000,- -,-896000,-146000,-932000,406000
81,Other Working Capital,1044000,- -,-6959000,-2731000,2339000,2110000,-1922000,1408000
82,Other Non-Cash Items,-1000,-34095,18000,305000,30000,-7000,37000,21000
83,Cash Provided by Operating Activities,614000,-710136,9562000,-10572000,-10029000,-5095000,-9374000,-607000
84,CAPEX,-265000,- -,-353000,-182000,-187000,-123000,-141000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-487943697,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,487943697,- -,- -,- -,- -,5000,- -
88,Other Investing Activites,-196000,- -,867000,10000,124000,74000,84000,680000
89,Cash Used for Investing Activites,-461000,- -,514000,-172000,-63000,-49000,-52000,680000
90,Debt Repayment,- -,- -,- -,- -,- -,-1457000,- -,-88000
91,Common Stock Issued,- -,- -,- -,- -,- -,13056000,3000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-231000,- -,-14951000,- -,- -,- -,- -,- -
94,Other Financing Activites,-300000,-46292,18995000,-3245000,196000,1457000,- -,- -
95,Cash Used/Provided by Financing Activities,-531000,-46292,4044000,-3245000,196000,13056000,3000,-88000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-378000,-756428,14120000,-13989000,-9896000,7912000,-9423000,-15000
98,Cash at the End of Period,376000,47185,25829000,11840000,1944000,9856000,433000,418000
99,Cash at the Beginning of Period,754000,803613,11709000,25829000,11840000,1944000,9856000,433000
100,Free Cash Flow,349000,-710136,9209000,-10754000,-10216000,-5218000,-9515000,-607000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -
102,false,,,,,,,,
