,https://roic.ai/company/HPP,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1482512/000144530511000462/hpp1231201010k.htm,https://www.sec.gov/Archives/edgar/data/1482512/000148251212000020/0001482512-12-000020-index.html,https://www.sec.gov/Archives/edgar/data/1482512/000148251213000012/0001482512-13-000012-index.html,https://www.sec.gov/Archives/edgar/data/1482512/000148251214000011/a201310k.htm,https://www.sec.gov/Archives/edgar/data/1482512/000148251215000009/a201410k.htm,https://www.sec.gov/Archives/edgar/data/1482512/000148251216000149/0001482512-16-000149-index.html,https://www.sec.gov/Archives/edgar/data/1482512/000148251217000034/0001482512-17-000034-index.html,https://www.sec.gov/Archives/edgar/data/1482512/000148251218000031/0001482512-18-000031-index.html,- -,https://www.sec.gov/Archives/edgar/data/1482512/000148251220000040/0001482512-20-000040-index.html,https://www.sec.gov/Archives/edgar/data/1482512/000148251221000058/0001482512-21-000058-index.htm,https://www.sec.gov/Archives/edgar/data/1482512/000148251222000052/0001482512-22-000052-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,96000,4955000,2256000,48875000,13705000,18904000,30356000,17753000,53551000,83015000,78922000,53740000,46224000,113686000,96555000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,146880000,- -,135115000,129321000
33,Cash and Short-Term Investments,96000,4955000,2256000,48875000,13705000,18904000,30356000,17753000,53551000,83015000,78922000,200620000,46224000,248801000,225876000
34,Net Receivables,846000,1228000,4208000,11181000,19764000,26607000,30283000,49253000,80795000,94133000,113820000,156373000,208335000,247790000,265645000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1578000
36,Other Current Assets,8062000,6184000,3709000,4121000,9521000,2857000,2682000,71986000,243687000,63761000,211335000,14451000,27938000,71580000,406080000
37,Total Current Assets,9004000,12367000,10173000,64177000,42990000,48368000,63321000,138992000,378033000,240909000,404077000,371444000,282497000,568171000,899179000
38,PP&E,179352000,353024000,353505000,838777000,1007175000,167000,490000,1405000,- -,- -,- -,- -,269029000,264880000,345510000
39,Goodwill,- -,- -,- -,8754000,8754000,8754000,8754000,8754000,8754000,8754000,8754000,8754000,8754000,8754000,109439000
40,Intangible Assets,11206000,17250000,14235000,85241000,84131000,473000,372000,271000,- -,- -,- -,- -,- -,- -,341444000
41,Intangible Assets,11206000,17250000,14235000,93995000,92885000,9227000,9126000,9025000,8754000,8754000,8754000,8754000,8754000,8754000,450883000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,37228000,14240000,2799000,211220000,86193000,186178000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,3450000,4061000,6702000,7627000,9741000,1501928000,2058337000,2191463000,5867248000,6392107000,6194999000,6687882000,6695068000,7422204000,7108439000
45,Total Non-Current Assets,194008000,374335000,374442000,940399000,1109801000,1511322000,2067953000,2201893000,5876002000,6438089000,6217993000,6699435000,7184071000,7782031000,8091010000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,203012000,386702000,384615000,1004576000,1152791000,1559690000,2131274000,2340885000,6254035000,6678998000,6622070000,7070879000,7466568000,8350202000,8990189000
48,Accounts Payable,4390000,8679000,4207000,11507000,12469000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
49,Short-Term Debt,134280000,152000000,152000000,342060000,399871000,- -,- -,- -,- -,- -,- -,66136000,75000000,- -,125000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,18833000,27511000,80058000,97340000,124378000,165323000,109164000,137673000,235860000,304857000
53,Total Current Liabilities,138670000,160679000,156207000,353567000,412340000,18833000,27511000,80058000,97340000,124378000,165323000,175300000,212673000,235860000,429857000
54,Long-Term Debt,- -,- -,- -,- -,- -,582085000,931308000,918059000,2260716000,2688010000,2421380000,2828194000,3019076000,3867349000,4096847000
55,Deferred Revenue,- -,- -,- -,- -,10795000,11518000,7651000,8600000,38245000,40755000,64031000,68687000,86188000,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,1141000,16626000,13479000,49151000,40987000,50032000,61938000,59153000,128697000,123105000,60372000,168568000,439269000,279013000,266493000
58,Total Non-Current Liabilities,1141000,16626000,13479000,49151000,51782000,643635000,1000897000,985812000,2427658000,2851870000,2545783000,3065449000,3544533000,4146362000,4363340000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,20994000,22861000,- -,- -,- -,95208000,80130000,49930000,45612000,272701000,270014000,293596000
61,Total Liabilities,139811000,177305000,169686000,402718000,464122000,662468000,1028408000,1065870000,2524998000,2976248000,2711106000,3240749000,3757206000,4382222000,4793197000
62,Preferred Stock,- -,- -,- -,87500000,87500000,145000000,145000000,145000000,10177000,10177000,10177000,9815000,9815000,- -,425000000
63,Common Stock,- -,- -,- -,224000,338000,475000,572000,668000,891000,1364000,1556000,1543000,1546000,1514000,1511000
64,Retained Earnings,- -,- -,- -,-3482000,-13685000,-30580000,-45113000,-34884000,-44955000,-16971000,- -,- -,- -,- -,- -
65,Other Comprehensive Income/Loss,-741000,-5592000,-12909000,6000,-883000,-1287000,-997000,-2443000,-1081000,9496000,13227000,17501000,-561000,-8133000,-1761000
66,Other Total Stockholders Equity,63942000,214989000,227838000,411598000,552043000,726605000,903984000,1070833000,1700802000,3099217000,3612811000,3514687000,3405993000,3469758000,3317072000
67,Total Stockholders Equity,- -,- -,- -,495846000,625313000,840213000,1003446000,1179174000,1665834000,3103283000,3637771000,3543546000,3416793000,3463139000,3741822000
68,Total Liabilities And Stockholders Equity,203012000,386702000,384615000,898564000,1089435000,1502681000,2031854000,2245044000,4190832000,6079531000,6348877000,6784295000,7173999000,7845361000,8535019000
69,Minority Interest,- -,- -,- -,106012000,63356000,57009000,99420000,95841000,2063203000,599467000,273193000,286584000,292569000,504841000,455170000
70,Total Liabilities & Equity,203012000,386702000,384615000,1004576000,1152791000,1559690000,2131274000,2340885000,6254035000,6678998000,6622070000,7070879000,7466568000,8350202000,8990189000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1482512/000144530511000462/hpp1231201010k.htm,https://www.sec.gov/Archives/edgar/data/1482512/000148251212000020/0001482512-12-000020-index.html,https://www.sec.gov/Archives/edgar/data/1482512/000148251213000012/0001482512-13-000012-index.html,https://www.sec.gov/Archives/edgar/data/1482512/000148251214000011/a201310k.htm,https://www.sec.gov/Archives/edgar/data/1482512/000148251215000009/a201410k.htm,https://www.sec.gov/Archives/edgar/data/1482512/000148251216000149/0001482512-16-000149-index.html,https://www.sec.gov/Archives/edgar/data/1482512/000148251217000034/0001482512-17-000034-index.html,https://www.sec.gov/Archives/edgar/data/1482512/000148251218000031/0001482512-18-000031-index.html,- -,https://www.sec.gov/Archives/edgar/data/1482512/000148251220000040/0001482512-20-000040-index.html,https://www.sec.gov/Archives/edgar/data/1482512/000148251221000058/0001482512-21-000058-index.htm,https://www.sec.gov/Archives/edgar/data/1482512/000148251222000052/0001482512-22-000052-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,-2260000,-1710000,31000,-3250000,-10434000,-4985000,-2273000,23373000,-19935000,34468000,69226000,99371000,44029000,2036000,10047000
74,Depreciation and Amortization,741000,6599000,10652000,15975000,44926000,53460000,64824000,66581000,222998000,251513000,268013000,235832000,271712000,292399000,334566000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,4212000,6454000,7559000,8421000,14144000,15079000,17028000,19481000,22723000,21163000
77,Change in Working Capital,-4221000,-18646000,2278000,-143356000,-79960000,398885000,6275000,23124000,221759000,-164162000,122223000,-42610000,-126320000,262487000,-54296000
78,Accounts Receivable,-846000,-595000,-236000,-3817000,-5431000,-4203000,3557000,-7375000,-5734000,15088000,1929000,-10854000,699000,-9098000,3523000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13184000,- -,11693000,-38000
81,Other Working Capital,-129666000,-148312000,-146034000,-289390000,-369350000,29535000,35810000,58934000,280693000,116531000,238754000,196144000,69824000,332311000,-19831000
82,Other Non-Cash Items,830000,33589000,-13049000,138250000,77550000,-408751000,-33733000,-57469000,-258387000,83644000,-181582000,-94995000,79109000,-277613000,3383000
83,Cash Provided by Operating Activities,-4910000,19832000,-88000,7619000,32082000,42821000,41547000,63168000,174856000,219607000,292959000,214626000,288011000,302032000,314863000
84,CAPEX,-192321000,-192460000,-7567000,-242156000,-130604000,-392320000,-389883000,-113580000,-1804597000,-630145000,-257734000,-362687000,-20500000,-593945000,-125228000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-37228000,-1071000,- -,-64498000,-16756000,-285439000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-149176000,- -,-3404000,-12397000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2229000,6226000,6698000,5778000
88,Other Investing Activites,- -,14036000,30000,- -,- -,-31150000,-34159000,-132781000,6898000,142476000,-74233000,117301000,-237637000,-399437000,-336922000
89,Cash Used for Investing Activites,-192321000,-178424000,-7537000,-242156000,-130604000,-423470000,-424042000,-246361000,-1797699000,-524897000,-333038000,-392333000,-316409000,-1006844000,-754208000
90,Debt Repayment,- -,-23875000,- -,-161648000,-389808000,-143761000,-202122000,-417508000,-913694000,-888607000,-822526000,-449711000,-1013762000,-1153420000,-1121397000
91,Common Stock Issued,- -,- -,- -,252720000,156696000,190798000,202542000,197468000,385589000,1449581000,647382000,- -,- -,- -,44974000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-2000000,-298000,-145000000,-1446039000,-310855000,-50362000,-525000,-80213000,-46137000
93,Dividends Paid,- -,- -,- -,-7292000,-25244000,-36123000,-42500000,-47751000,-87946000,-118455000,-159180000,-157621000,-158437000,-155608000,-155172000
94,Other Financing Activites,197327000,187326000,4926000,195938000,321708000,374934000,438027000,438679000,2419692000,1338274000,678346000,802312000,1191189000,2185335000,1764413000
95,Cash Used/Provided by Financing Activities,197327000,163451000,4926000,279718000,63352000,385848000,393947000,170590000,1658641000,334754000,33167000,144618000,18465000,796094000,486681000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,197327000,4859000,-2699000,45181000,-35170000,5199000,11452000,-12603000,35798000,29464000,-6912000,-33089000,-9933000,91282000,47336000
98,Cash at the End of Period,96000,4955000,2256000,48875000,13705000,18904000,30356000,17753000,53551000,83015000,101280000,68191000,58258000,149540000,196876000
99,Cash at the Beginning of Period,- -,96000,4955000,3694000,48875000,13705000,18904000,30356000,17753000,53551000,108192000,101280000,68191000,58258000,149540000
100,Free Cash Flow,-197231000,-172628000,-7655000,-234537000,-98522000,-349499000,-348336000,-50412000,-1629741000,-410538000,35225000,-148061000,267511000,-291913000,189635000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1482512/000144530511000462/hpp1231201010k.htm,https://www.sec.gov/Archives/edgar/data/1482512/000148251212000020/0001482512-12-000020-index.html,https://www.sec.gov/Archives/edgar/data/1482512/000148251213000012/0001482512-13-000012-index.html,https://www.sec.gov/Archives/edgar/data/1482512/000148251214000011/a201310k.htm,https://www.sec.gov/Archives/edgar/data/1482512/000148251215000009/a201410k.htm,https://www.sec.gov/Archives/edgar/data/1482512/000148251216000149/0001482512-16-000149-index.html,https://www.sec.gov/Archives/edgar/data/1482512/000148251217000034/0001482512-17-000034-index.html,https://www.sec.gov/Archives/edgar/data/1482512/000148251218000031/0001482512-18-000031-index.html,- -,https://www.sec.gov/Archives/edgar/data/1482512/000148251220000040/0001482512-20-000040-index.html,https://www.sec.gov/Archives/edgar/data/1482512/000148251221000058/0001482512-21-000058-index.htm,https://www.sec.gov/Archives/edgar/data/1482512/000148251222000052/0001482512-22-000052-index.htm
102,false,,,,,,,,,,,,,,,
