,https://roic.ai/company/ADT,2014,2015,2016,2017,2018,2019,2020,2021
40,Intangible Assets,- -,1149912000,8308749000,7856775000,7488194000,6669645000,5906690000,5413000000
41,Intangible Assets,- -,2077808000,13322125000,12927361000,12570081000,11629303000,11142992000,11356000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,65192000,286273000,406445000,550244000,760839000,1017606000,4181000000
45,Total Non-Current Assets,- -,2177822000,16788125000,16558934000,16354591000,15458169000,15149542000,15901000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,2319515000,17176481000,17014820000,17208608000,16083652000,16116936000,16894000000
48,Accounts Payable,- -,21128000,212239000,187695000,221341000,241954000,321595000,475000000
49,Short-Term Debt,- -,16813000,40288000,48060000,58184000,58049000,44764000,118000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,69143000,313278000,309157000,334886000,342359000,345582000,374000000
52,Other Current Liabilities,- -,64875000,286734000,351340000,398079000,477366000,584151000,736000000
53,Total Current Liabilities,- -,171959000,852539000,896252000,1012490000,1119728000,1296092000,1703000000
54,Long-Term Debt,- -,1321084000,9436625000,10092483000,9944112000,9634226000,9447780000,9575000000
55,Deferred Revenue,- -,9967000,167075000,368669000,544429000,673625000,832166000,1199000000
56,Deferred Tax Liabilities,- -,89404000,2117943000,1376708000,1342168000,1166269000,990899000,867000000
57,Other Non-Current Liabilities,- -,24204000,797323000,847596000,140604000,305435000,510663000,302000000
58,Total Non-Current Liabilities,- -,1444659000,12518966000,12685456000,11971313000,11779555000,11781508000,11943000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,14922000,45719000,41166000,- -,- -,- -,- -
61,Total Liabilities,- -,1616618000,13371505000,13581708000,12983803000,12899283000,13077600000,13646000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,2000,2000,7669000,7536000,8257000,- -
64,Retained Earnings,- -,-54253000,-590840000,-998212000,-1680432000,-2742193000,-3491069000,- -
65,Other Comprehensive Income/Loss,- -,- -,-28507000,-4007000,-71779000,-58376000,-118615000,- -
66,Other Total Stockholders Equity,- -,764955000,4424321000,4435329000,5969347000,5977402000,6640763000,3249000000
67,Total Stockholders Equity,- -,702897000,3804976000,3433112000,4224805000,3184369000,3039336000,3249000000
68,Total Liabilities And Stockholders Equity,- -,2319515000,17176481000,17014820000,17208608000,16083652000,16116936000,16895000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,-1000000
70,Total Liabilities & Equity,- -,2319515000,17176481000,17014820000,17208608000,16083652000,16116936000,16894000000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1703056/000170305618000008/0001703056-18-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1703056/000170305619000042/0001703056-19-000042-index.htm,https://www.sec.gov/Archives/edgar/data/1703056/000170305620000013/0001703056-20-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1703056/000170305621000020/0001703056-21-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1703056/000170305622000042/0001703056-22-000042-index.htm
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,-18488000,-72844000,-536587000,342627000,-609155000,-424150000,-632193000,-341000000
74,Depreciation and Amortization,79650000,125198000,1232967000,1863299000,1930929000,1989082000,1913767000,1915000000
75,Deferred Income Tax,2296000,-29533000,-272512000,-776683000,-27338000,-117889000,-173415000,-139000000
76,Stock Based Compensation,1913000,3040000,4625000,11276000,135012000,85626000,96013000,61000000
77,Change in Working Capital,-25546000,-9784000,-433917000,23817000,281893000,-335772000,165547000,-381302000
78,Accounts Receivable,3331000,-9236000,-34221000,-60113000,-60686000,-94449000,-84050000,- -
79,Inventory,-7002000,-5853000,-8797000,4944000,-2602000,-14711000,-60797000,38000000
80,Accounts Payable,-1393000,-2423000,-9103000,-30695000,9007000,19325000,65317000,- -
81,Other Working Capital,-20482000,-30266000,-464183000,-440366000,-158473000,-494245000,-328698000,-710000000
82,Other Non-Cash Items,21000000,20233000,622947000,127594000,76266000,676220000,-2970000,535302000
83,Cash Provided by Operating Activities,60825000,36310000,617523000,1591930000,1787607000,1873117000,1366749000,1650000000
84,CAPEX,-57912000,-64668000,-547093000,-713347000,-703089000,-701151000,-575546000,-168000000
85,Acquisitions Net,-1787000,-1997503000,-8501542000,-63518000,-352819000,387682000,-227065000,-164000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-7436000,-50074000,-414733000,-755950000,-809101000,-823554000,-334866000,-1364000000
89,Cash Used for Investing Activites,-58219000,-2101660000,-9384869000,-1402191000,-1738210000,-978177000,-1137477000,-1696000000
90,Debt Repayment,-11220000,-12325000,-1392549000,-724999000,-699637000,-3845195000,-3061540000,-1251000000
91,Common Stock Issued,- -,- -,- -,- -,1406019000,- -,447811000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-852769000,-149868000,-4000,- -
93,Dividends Paid,- -,- -,- -,-749999000,-79439000,-564767000,-109328000,-116000000
94,Other Financing Activites,95083000,2082140000,10221324000,1331929000,418827000,3345626000,2652800000,1239000000
95,Cash Used/Provided by Financing Activities,83863000,2069815000,8828775000,-143069000,193001000,-1214204000,-70261000,-128000000
96,Effect of Forex Changes on Cash,- -,- -,-1297000,338000,-2018000,838000,- -,- -
97,Net Change In Cash,86469000,4465000,60132000,47008000,240380000,-318426000,159011000,- -
98,Cash at the End of Period,89834000,94299000,75891000,122899000,367162000,48736000,207747000,- -
99,Cash at the Beginning of Period,3365000,89834000,15759000,75891000,126782000,367162000,48736000,- -
100,Free Cash Flow,2913000,-28358000,70430000,878583000,1084518000,1171966000,791203000,1482000000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1703056/000170305618000008/0001703056-18-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1703056/000170305619000042/0001703056-19-000042-index.htm,https://www.sec.gov/Archives/edgar/data/1703056/000170305620000013/0001703056-20-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1703056/000170305621000020/0001703056-21-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1703056/000170305622000042/0001703056-22-000042-index.htm
102,false,,,,,,,,
