,https://roic.ai/company/GILD,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,- -,6900000,10100000,24100000,36400000,37900000,73100000,87700000,109100000,203800000,226369000,310694000,316059000,425249000,526345000,656972000,957521000,1296767000,1519112000,1886604000,2117322000,2471134000,3220979000,3819187000,5837000000,6440000000,8496000000,7612000000,9074000000,13487000000,10190000000,10609000000
11,COGS and Expenses,- -,6100000,9100000,22400000,33600000,34700000,69500000,85900000,106900000,220700000,247873000,354458000,385783000,537940000,692932000,917298000,1390841000,2065538000,2646358000,3482162000,3987198000,4595544000,5692342000,6677689000,9625000000,10446000000,12757000000,11983000000,13927000000,18162000000,14762000000,17210000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,59401000,42397000,60287000,66581000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12101000,69662000,108961000,205418000,360916000,306894000,412000000,688000000,964000000,1118000000,1077000000,995000000,984000000,1001000000
14,Depreciation and Amortization,- -,800000,1000000,1700000,2800000,3200000,4500000,3000000,2800000,12600000,12008000,14691000,14428000,20859000,24408000,35777000,47284000,51279000,102467000,212944000,265477000,302232000,278206000,344704000,1050000000,1098000000,1158000000,1286000000,1429000000,1404000000,1480000000,2050000000
15,EBITDA,- -,-3200000,-3500000,-12400000,-22900000,-24200000,-17200000,-25000000,-53300000,-53000000,-43569000,71097000,87825000,-146674000,680830000,1197569000,-590923000,2321617000,2848973000,3794725000,4299494000,4173232000,4269069000,4877339000,16360000000,23447000000,19232000000,15917000000,10300000000,7581000000,4167000000,11353000000
16,EBITDA ratio,- -,-2.4615,-1.2500,-2.9524,-5.5854,-8.9630,-0.5150,-0.6250,-1.6350,-0.3136,-0.2228,0.3041,0.1881,-0.1690,0.5140,0.5904,-0.1953,0.5488,0.5339,0.5412,0.5409,0.4977,0.4400,0.4354,0.6573,0.7184,0.6328,0.6097,0.4655,0.3377,0.1688,0.4158
17,Operating Income,- -,-4800000,-6300000,-18200000,-29500000,-32000000,-36100000,-45900000,-74300000,-51700000,-52318000,-120689000,81007000,-158675000,631689000,1111102000,-758753000,2164507000,2678541000,3529221000,3962222000,3789841000,4010175000,4523999000,15265000000,22193000000,17633000000,14124000000,8200000000,4287000000,4071000000,9918000000
18,Operating Income ratio,- -,-3.6923,-2.2500,-4.3333,-7.1951,-11.8519,-1.0808,-1.1475,-2.2791,-0.3059,-0.2675,-0.5163,0.1735,-0.1828,0.4769,0.5478,-0.2507,0.5117,0.5020,0.5034,0.4984,0.4520,0.4133,0.4039,0.6133,0.6800,0.5802,0.5410,0.3706,0.1910,0.1649,0.3632
19,Total Other Income Expenses (Gains),- -,800000,1900000,4300000,4200000,5200000,15000000,18300000,18400000,-13900000,10411000,178136000,-7610000,-8858000,24733000,50690000,120546000,105831000,55864000,-27265000,-48674000,-138837000,-398195000,-315780000,-409000000,-534000000,-536000000,-595000000,-401000000,873000000,-2402000000,-1640000000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,-65600000,-41907000,57447000,73397000,-167533000,656422000,1161792000,-638207000,2270338000,2734405000,3501956000,3913548000,3651004000,3611980000,4208219000,14856000000,21659000000,17097000000,13529000000,7799000000,5160000000,1669000000,8278000000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,-0.3882,-0.2143,0.2457,0.1572,-0.1930,0.4956,0.5728,-0.2109,0.5367,0.5125,0.4995,0.4923,0.4354,0.3723,0.3757,0.5969,0.6636,0.5626,0.5182,0.3525,0.2299,0.0676,0.3032
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,900000,1199000,4135000,1300000,-95530000,207051000,347878000,551750000,655040000,723251000,876364000,1023799000,861945000,1038381000,1150933000,2797000000,3553000000,3609000000,8885000000,2339000000,-204000000,1580000000,2077000000
23,Net Income,- -,-4000000,-4500000,-14100000,-25700000,-27400000,-21700000,-28000000,-56100000,-66500000,-56776000,52271000,72097000,-72003000,449371000,813914000,-1189957000,1615298000,2011154000,2635755000,2901257000,2803637000,2591566000,3074808000,12101000000,18108000000,13501000000,4628000000,5455000000,5386000000,123000000,6225000000
24,Net Income ratio,- -,-3.0769,-1.6071,-3.3571,-6.2683,-10.1481,-0.6497,-0.7000,-1.7209,-0.3935,-0.2903,0.2236,0.1545,-0.0830,0.3392,0.4013,-0.3932,0.3819,0.3769,0.3759,0.3650,0.3343,0.2671,0.2745,0.4862,0.5548,0.4443,0.1773,0.2465,0.2399,0.0050,0.2280
25,EPS,- -,-0.01,-0.01,-0.03,-0.04,-0.04,-0.02,-0.03,-0.06,-0.05,-0.04,0.04,0.05,-0.04,0.26,0.45,-0.65,0.87,1.09,1.46,1.70,1.81,1.71,2.01,7.95,12.37,10.08,3.54,4.20,4.24,0.10,4.94
26,EPS Diluted,- -,-0.01,-0.01,-0.03,-0.04,-0.04,-0.02,-0.03,-0.06,-0.05,-0.04,0.03,0.04,-0.04,0.25,0.43,-0.65,0.84,1.05,1.41,1.66,1.77,1.64,1.81,7.35,11.91,9.94,3.51,4.17,4.22,0.10,4.91
27,Weighted Average Shares Outstanding,- -,304761905,360000000,512727273,595942029,680768000,889152000,938432000,971616000,1370432000,1456800000,1521960000,1564344000,1608840000,1728000000,1817356000,1836424000,1858266000,1841386000,1809208000,1712120000,1549806000,1514621000,1528620000,1522000000,1464000000,1339000000,1307000000,1298000000,1270000000,1257000000,1256000000
28,Weighted Average Shares Outstanding Diluted,- -,304761905,360000000,512727273,595942029,680768000,889152000,938432000,971616000,1370432000,1456800000,1618568000,1651816000,1608840000,1856984000,1897136000,1836424000,1928712000,1917650000,1868218000,1746792000,1580236000,1582549000,1694747000,1647000000,1521000000,1358000000,1319000000,1308000000,1277000000,1263000000,1262000000
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/882095/000091205702011690/0000912057-02-011690-index.htm,https://www.sec.gov/Archives/edgar/data/882095/000104746903008695/0001047469-03-008695-index.htm,https://www.sec.gov/Archives/edgar/data/882095/000110465904007080/0001104659-04-007080-index.htm,https://www.sec.gov/Archives/edgar/data/882095/000110465905010858/0001104659-05-010858-index.htm,https://www.sec.gov/Archives/edgar/data/882095/000119312506045128/0001193125-06-045128-index.htm,https://www.sec.gov/Archives/edgar/data/882095/000119312507041203/0001193125-07-041203-index.htm,https://www.sec.gov/Archives/edgar/data/882095/000119312508040255/0001193125-08-040255-index.htm,https://www.sec.gov/Archives/edgar/data/882095/000119312509040769/0001193125-09-040769-index.htm,https://www.sec.gov/Archives/edgar/data/882095/000119312510044753/0001193125-10-044753-index.htm,https://www.sec.gov/Archives/edgar/data/882095/000119312511050041/0001193125-11-050041-index.htm,https://www.sec.gov/Archives/edgar/data/882095/000119312512075335/0001193125-12-075335-index.htm,https://www.sec.gov/Archives/edgar/data/882095/000088209513000015/0000882095-13-000015-index.htm,https://www.sec.gov/Archives/edgar/data/882095/000088209514000013/0000882095-14-000013-index.htm,https://www.sec.gov/Archives/edgar/data/882095/000088209515000008/0000882095-15-000008-index.htm,https://www.sec.gov/Archives/edgar/data/882095/000088209516000039/0000882095-16-000039-index.htm,https://www.sec.gov/Archives/edgar/data/882095/000088209517000006/0000882095-17-000006-index.htm,https://www.sec.gov/Archives/edgar/data/882095/000088209518000008/0000882095-18-000008-index.htm,https://www.sec.gov/Archives/edgar/data/882095/000088209519000006/0000882095-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/882095/000088209520000006/0000882095-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/882095/000088209521000008/0000882095-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/882095/000088209522000007/0000882095-22-000007-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,132000000,32000000,32500000,47000000,197292000,162339000,616931000,194719000,280909000,707913000,816007000,968086000,1459302000,1272958000,907879000,9883777000,1803694000,2112806000,10027000000,12851000000,8229000000,7588000000,17940000000,11631000000,5997000000,5338000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,247400000,315586000,420512000,325443000,512281000,973129000,1615972000,120844000,203892000,330760000,384017000,1190789000,16491000,58556000,18756000,101000000,1756000000,3666000000,17922000000,12149000000,12721000000,1411000000,1182000000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,132000000,32000000,32500000,294400000,512878000,582851000,942374000,707000000,1254038000,2323885000,936851000,1171978000,1790062000,1656975000,2098668000,9900268000,1862250000,2131562000,10128000000,14607000000,11895000000,25510000000,30089000000,24352000000,7408000000,6520000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,45600000,48814000,74228000,175036000,235217000,371245000,396125000,609320000,795127000,1023397000,1389534000,1621966000,1951167000,1751388000,2100286000,4635000000,5854000000,4514000000,3851000000,3327000000,3582000000,4892000000,4493000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,21000000,20562000,39280000,51628000,98102000,135991000,216903000,564145000,599966000,927868000,1051771000,1203809000,1389983000,1744982000,2055788000,1386000000,1955000000,1587000000,801000000,814000000,922000000,1683000000,1618000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,168300000,308300000,255800000,11000000,11544000,11400000,14722000,225579000,88420000,155295000,318890000,461221000,558954000,714278000,783639000,677367000,797727000,986117000,1565000000,2347000000,2449000000,1661000000,1606000000,1440000000,2013000000,2141000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,300300000,340300000,288300000,372000000,593798000,707759000,1183760000,1265898000,1849694000,3092208000,2429206000,3028292000,4300281000,4812558000,5708082000,13918785000,6156347000,7273753000,17714000000,24763000000,20445000000,31823000000,35836000000,30296000000,15996000000,14772000000
38,PP&E,- -,- -,- -,- -,- -,- -,9200000,10300000,10200000,51400000,55174000,62828000,67727000,198200000,223106000,242568000,361299000,447696000,528799000,699970000,701235000,774406000,1100259000,1166181000,1674000000,2276000000,2865000000,3295000000,4006000000,4502000000,4967000000,5121000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1524777000,1425592000,1004102000,1060919000,1169023000,1172000000,1172000000,1172000000,4159000000,4117000000,4117000000,8108000000,8332000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1425592000,1062864000,11736393000,11900106000,11073000000,10247000000,8971000000,17100000000,15738000000,13786000000,33126000000,33455000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1524777000,1425592000,2066966000,12797312000,13069129000,12245000000,11419000000,10143000000,21259000000,19855000000,17903000000,41234000000,41787000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,453000000,1550000000,1449577000,2247871000,3219403000,63704000,719836000,439028000,1598000000,11601000000,20485000000,11184000000,1423000000,1488000000,502000000,1309000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,52494000,45446000,66893000,302539000,297359000,283214000,101498000,153379000,144015000,131107000,154765000,236000000,324000000,402000000,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,1200000,1500000,4400000,13400000,29127000,24199000,36696000,38130000,37717000,362982000,539937000,511369000,456703000,311885000,384939000,335258000,334977000,393929000,1197000000,1456000000,2637000000,2722000000,2555000000,7438000000,5708000000,4963000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,10400000,11800000,14600000,64800000,84301000,87027000,104423000,288824000,306269000,672443000,1656775000,2806424000,2718293000,4886001000,5884548000,3384349000,15083491000,15223032000,16950000000,27076000000,36532000000,38460000000,27839000000,31331000000,52411000000,53180000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,310700000,352100000,302900000,436800000,678099000,794786000,1288183000,1554722000,2155963000,3764651000,4085981000,5834716000,7018574000,9698559000,11592630000,17303134000,21239838000,22496785000,34664000000,51839000000,56977000000,70283000000,63675000000,61627000000,68407000000,67952000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,2500000,3300000,3400000,9500000,11605000,19174000,24406000,35649000,47552000,61083000,367029000,290333000,601200000,810544000,803025000,1206052000,1327339000,1255914000,955000000,1178000000,1206000000,814000000,790000000,713000000,844000000,705000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,3600000,1900000,800000,3200000,3034000,1492000,194000,139000,181000,60206000,18747000,286000,5631000,5587000,646345000,1572000,1169490000,2697044000,483000000,983000000,- -,2747000000,2748000000,2499000000,2757000000,1516000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,44757000,167623000,1862000,40583000,13403000,10855000,105000000,65000000,- -,713000000,190000000,287000000,598000000,539000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3996000,7692000,5474000,19880000,18353000,17777000,30747000,42963000,122721000,103175000,74665000,103162000,110640000,134000000,440000000,202000000,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,10000000,28200000,27600000,35200000,43599000,55455000,72600000,144633000,185841000,315696000,360723000,414909000,571198000,932779000,912405000,1232501000,1670029000,2261823000,4189000000,7290000000,7811000000,8074000000,7067000000,6547000000,7796000000,9389000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,16100000,33400000,31800000,47900000,58238000,80117000,104892000,185895000,253454000,455338000,764276000,736275000,1220992000,1871631000,2464950000,2514790000,4270020000,6325421000,5761000000,9891000000,9219000000,11635000000,10605000000,9759000000,11397000000,11610000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,2900000,1300000,600000,84800000,252238000,250389000,595273000,345323000,234000,240650000,1391847000,1311604000,1356442000,1242826000,2945598000,7605734000,7054555000,3938708000,11921000000,21195000000,26346000000,30795000000,24574000000,22094000000,28645000000,25179000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,74181000,43026000,32844000,31870000,20532000,21979000,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,83286000,51000000,- -,- -,- -,- -,- -,- -,4356000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,100000,- -,6800000,16499000,11843000,16677000,20530000,31403000,32725000,61049000,186548000,21462000,35918000,27401000,283391000,343862000,382890000,1112000000,1640000000,2049000000,7352000000,6962000000,7124000000,10144000000,5743000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,2900000,1400000,600000,91600000,268737000,262232000,611950000,365853000,31637000,273375000,1452896000,1498152000,1452085000,1321770000,3005843000,7920995000,7418949000,4426863000,13084000000,22835000000,28395000000,38147000000,31536000000,29218000000,38789000000,35278000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5631000,5587000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,19000000,34800000,32400000,139500000,326975000,342349000,716842000,551748000,285091000,728713000,2217172000,2234427000,2673077000,3193401000,5470793000,10435785000,11688969000,10752284000,18845000000,32726000000,37614000000,49782000000,42141000000,38977000000,50186000000,46888000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,94000,193000,198000,213000,449000,460000,461000,932000,910000,900000,802000,753000,760000,1534000,2000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,-134500000,-162500000,-218600000,-449200000,-506008000,-453737000,-381640000,-453643000,-4272000,809642000,-891363000,249080000,382874000,1995272000,1183730000,1776760000,3704744000,6105244000,12732000000,18001000000,18154000000,19012000000,19024000000,19388000000,14381000000,16324000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,-13000000,-15600000,-17700000,-64100000,-72872000,-68300000,2475000,3201000,-19231000,11448000,2221000,-4363000,41240000,-5758000,30911000,58200000,-45615000,-124446000,301000000,88000000,278000000,165000000,80000000,85000000,-60000000,83000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,439200000,495400000,506800000,810600000,929910000,974281000,950308000,1453203000,1893926000,2206228000,2704399000,3214341000,3727463000,4376651000,4648286000,4903143000,5649850000,5386735000,2391000000,444000000,454000000,1264000000,2282000000,3051000000,3880000000,4661000000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,291700000,317300000,270500000,297300000,351124000,452437000,571341000,1002974000,1870872000,3027778000,1815718000,3459990000,4152487000,6367065000,5863729000,6738856000,9309739000,11369067000,15426000000,18534000000,18887000000,20442000000,21387000000,22525000000,18202000000,21069000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,310700000,352100000,302900000,436800000,678099000,794786000,1288183000,1554722000,2155963000,3756491000,4032890000,5694417000,6825564000,9560466000,11334522000,17174641000,20998708000,22121351000,34271000000,51260000000,56501000000,70224000000,63528000000,61502000000,68388000000,67957000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8160000,53091000,140299000,193010000,138093000,258108000,128493000,241130000,375434000,393000000,579000000,476000000,59000000,147000000,125000000,19000000,-5000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,310700000,352100000,302900000,436800000,678099000,794786000,1288183000,1554722000,2155963000,3764651000,4085981000,5834716000,7018574000,9698559000,11592630000,17303134000,21239838000,22496785000,34664000000,51839000000,56977000000,70283000000,63675000000,61627000000,68407000000,67952000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/882095/000091205702011690/0000912057-02-011690-index.htm,https://www.sec.gov/Archives/edgar/data/882095/000104746903008695/0001047469-03-008695-index.htm,https://www.sec.gov/Archives/edgar/data/882095/000110465904007080/0001104659-04-007080-index.htm,https://www.sec.gov/Archives/edgar/data/882095/000110465905010858/0001104659-05-010858-index.htm,https://www.sec.gov/Archives/edgar/data/882095/000119312506045128/0001193125-06-045128-index.htm,https://www.sec.gov/Archives/edgar/data/882095/000119312507041203/0001193125-07-041203-index.htm,https://www.sec.gov/Archives/edgar/data/882095/000119312508040255/0001193125-08-040255-index.htm,https://www.sec.gov/Archives/edgar/data/882095/000119312509040769/0001193125-09-040769-index.htm,https://www.sec.gov/Archives/edgar/data/882095/000119312510044753/0001193125-10-044753-index.htm,https://www.sec.gov/Archives/edgar/data/882095/000119312511050041/0001193125-11-050041-index.htm,https://www.sec.gov/Archives/edgar/data/882095/000119312512075335/0001193125-12-075335-index.htm,https://www.sec.gov/Archives/edgar/data/882095/000088209513000015/0000882095-13-000015-index.htm,https://www.sec.gov/Archives/edgar/data/882095/000088209514000013/0000882095-14-000013-index.htm,https://www.sec.gov/Archives/edgar/data/882095/000088209515000008/0000882095-15-000008-index.htm,https://www.sec.gov/Archives/edgar/data/882095/000088209516000039/0000882095-16-000039-index.htm,https://www.sec.gov/Archives/edgar/data/882095/000088209517000006/0000882095-17-000006-index.htm,https://www.sec.gov/Archives/edgar/data/882095/000088209518000008/0000882095-18-000008-index.htm,https://www.sec.gov/Archives/edgar/data/882095/000088209519000006/0000882095-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/882095/000088209520000006/0000882095-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/882095/000088209521000008/0000882095-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/882095/000088209522000007/0000882095-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-4000000,-4500000,-14100000,-25700000,-27400000,-21700000,-28000000,-56100000,-66500000,-56776000,52271000,72097000,-72003000,449371000,813914000,-1189957000,1615298000,2011154000,2635755000,2901257000,2803637000,2591566000,3074808000,12101000000,18108000000,13501000000,4628000000,5455000000,5386000000,123000000,6225000000
74,Depreciation and Amortization,- -,800000,1000000,1700000,2800000,3200000,4500000,3000000,2800000,12600000,12008000,14691000,14428000,20859000,24408000,35777000,47284000,51279000,102467000,212944000,265477000,302232000,278206000,344704000,1050000000,1098000000,1158000000,1286000000,1429000000,1404000000,1480000000,2050000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,151568000,-53239000,-9220000,133069000,-4081000,-42013000,12152000,101292000,73236000,186474000,248000000,193000000,67000000,-82000000,289000000,-2098000000,-214000000,-116000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,153364000,180684000,200041000,192378000,208725000,251984000,360000000,382000000,380000000,638000000,845000000,636000000,643000000,635000000
77,Change in Working Capital,- -,900000,- -,- -,- -,- -,284200000,22700000,-50400000,67600000,211460000,92082000,451226000,1135000,516237000,1040630000,-971940000,627087000,787272000,-138362000,302205000,8160863000,-9517668000,-937995000,11004668000,2919000000,-3646000000,8962000000,5043000000,-4694000000,-15938000000,489000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-257161000,-356462000,-348875000,-375736000,197986000,-315299000,-2578000000,-1397000000,1192000000,754000000,480000000,-218000000,-1171000000,313000000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4400000,397000,-18718000,-12348000,-46474000,-37889000,-81923000,-358184000,-34619000,-330726000,-75266000,-161190000,-200793000,-349924000,-343143000,143000000,-855000000,-488000000,-253000000,-310000000,-95000000,-195000000,11000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,312568000,203641000,-4453000,428944000,117485000,-97673000,-289000000,226000000,47000000,-430000000,-39000000,-61000000,80000000,-118000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,284200000,306900000,256500000,324100000,535560000,627642000,1078868000,1080003000,1596240000,2636870000,1664930000,2292017000,3079289000,2940927000,3243132000,11403995000,1886327000,948332000,11953000000,14872000000,11226000000,20188000000,25231000000,20537000000,4599000000,- -
82,Other Non-Cash Items,- -,-100000,-200000,3500000,500000,1200000,-283500000,-17600000,57000000,-76300000,-204894000,-247176000,-463342000,284616000,-630206000,-1122002000,3341892000,-661335000,-845517000,231046000,-847219000,-7921392000,9560651000,185013000,-11945668000,-2371000000,5209000000,-3534000000,-4661000000,8510000000,22074000000,2101000000
83,Cash Provided by Operating Activities,- -,-2400000,-3700000,-8900000,-22400000,-23000000,-16500000,-19900000,-46700000,-62600000,-38202000,-88132000,74409000,234607000,511378000,715080000,1218059000,1765398000,2204659000,3080054000,2833913000,3639010000,3194716000,3104988000,12818000000,20329000000,16669000000,11898000000,8400000000,9144000000,8168000000,11384000000
84,CAPEX,- -,-300000,-500000,-4400000,-3200000,-600000,-3700000,-3900000,-2500000,-12500000,-15621000,-26329000,-17597000,-38609000,-51366000,-47951000,-105208000,-78648000,-115005000,-230057000,-61884000,-131904000,-397046000,-190782000,-557000000,-747000000,-748000000,-590000000,-924000000,-825000000,-650000000,-579000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-498507000,- -,- -,-2736172000,-46443000,-10851000,-1247816000,-91000000,-588608000,-10751635000,-378645000,- -,- -,- -,-10426000000,- -,- -,-25742000000,-1402000000
