,https://roic.ai/company/KALV,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
37,Total Current Assets,- -,8325000,9910000,4587000,54945000,24671000,34248000,59380000,115546000,88696000,264264000
38,PP&E,- -,84000,75000,180000,805000,74000,97000,1836000,2413000,3655000,7549000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,120000,120000,1877000,1041000,- -,- -,173000,173000,178000,200000
45,Total Non-Current Assets,- -,204000,195000,2057000,1846000,74000,97000,2009000,2586000,3833000,7749000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,8529000,10105000,6644000,56791000,24745000,34345000,61389000,118132000,92529000,272013000
48,Accounts Payable,- -,147000,462000,1024000,1460000,1008000,1153000,1433000,2860000,1677000,1981000
49,Short-Term Debt,- -,2685000,3063000,4435000,1455000,- -,- -,221000,54000,588000,863000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,23000,29000,29000,29000,- -,- -,18475000,9545000,- -,- -
52,Other Current Liabilities,- -,213000,396000,1605000,1327000,2241000,1865000,3087000,5593000,5455000,6930000
53,Total Current Liabilities,- -,3068000,3950000,7093000,4271000,3249000,3018000,23216000,18052000,7720000,9774000
54,Long-Term Debt,- -,- -,- -,2131000,3154000,- -,- -,- -,- -,- -,5046000
55,Deferred Revenue,- -,114000,114000,85000,56000,- -,- -,- -,3342000,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,33632000,39749000,41516000,- -,- -,- -,10920000,- -,1057000,- -
58,Total Non-Current Liabilities,- -,33746000,39863000,43732000,3210000,- -,- -,10920000,3342000,1057000,5046000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,279000,54000,1645000,5909000
61,Total Liabilities,- -,36814000,43813000,50825000,7481000,3249000,3018000,34136000,21394000,8777000,14820000
62,Preferred Stock,- -,- -,- -,- -,- -,58608000,- -,- -,- -,- -,- -
63,Common Stock,- -,2000,2000,1000,27000,3000,10000,11000,17000,18000,24000
64,Retained Earnings,- -,-28738000,-34416000,-47775000,-72621000,-37252000,-55855000,-71660000,-92476000,-121592000,-167836000
65,Other Comprehensive Income/Loss,- -,-414000,-441000,-495000,-628000,-75000,-2643000,-1109000,-1926000,-1882000,-1432000
66,Other Total Stockholders Equity,- -,865000,1147000,4088000,122532000,212000,89815000,100011000,191123000,207208000,426437000
67,Total Stockholders Equity,- -,-28285000,-33708000,-44181000,49310000,21496000,31327000,27253000,96738000,83752000,257193000
68,Total Liabilities And Stockholders Equity,- -,8529000,10105000,6644000,56791000,24745000,34345000,61389000,118132000,92529000,272013000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,8529000,10105000,6644000,56791000,24745000,34345000,61389000,118132000,92529000,272013000
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1348911/000156459016015646/0001564590-16-015646-index.html,https://www.sec.gov/Archives/edgar/data/1348911/000156459016019244/0001564590-16-019244-index.htm,https://www.sec.gov/Archives/edgar/data/1348911/000156459017014286/0001564590-17-014286-index.html,https://www.sec.gov/Archives/edgar/data/1348911/000156459018017915/0001564590-18-017915-index.html,https://www.sec.gov/Archives/edgar/data/1348911/000156459019025009/kalv-10k_20190430.htm,https://www.sec.gov/Archives/edgar/data/1348911/000156459020031501/0001564590-20-031501-index.htm,https://www.sec.gov/Archives/edgar/data/1348911/000156459021036441/0001564590-21-036441-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,- -,-2053000,-5678000,-13359000,-24846000,-11436000,-18603000,-15805000,-20816000,-29116000,-46244000
74,Depreciation and Amortization,- -,38000,27000,54000,133000,33000,40000,180000,378000,512000,537000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,47000,238000,381000,785000,118000,394000,1060000,2966000,4448000,7118000
77,Change in Working Capital,- -,35000,-8466000,53180000,9808000,4934000,61330000,-16518000,173514000,-30126000,-19549000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,-8000,315000,487000,355000,374000,-1599000,217000,1534000,-1004000,150000
81,Other Working Capital,- -,5960000,-2506000,50674000,31230000,36164000,97494000,80976000,254490000,224364000,204815000
82,Other Non-Cash Items,- -,98000,9021000,-51509000,-6743000,-6805000,-66883000,41641000,-192407000,9466000,27967000
83,Cash Provided by Operating Activities,- -,-1835000,-4858000,-11253000,-20863000,-13156000,-23722000,10558000,-36365000,-44816000,-30171000
84,CAPEX,- -,-91000,-18000,-159000,-1374000,-11000,-74000,-1427000,-1081000,-220000,-82000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-79889000,-49797000,-201210000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,11548000,66770000,53638000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,34139000,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,-91000,-18000,-159000,-1374000,-11000,34065000,-1427000,-69422000,16753000,-147654000
90,Debt Repayment,- -,-389000,-158000,-708000,- -,- -,- -,-151000,-209000,-54000,- -
91,Common Stock Issued,- -,- -,17000,229000,67908000,1000,2000,9137000,87910000,11422000,210582000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,5953000,6556000,6007000,4155000,33002000,- -,- -,242000,216000,1535000
95,Cash Used/Provided by Financing Activities,- -,5564000,6415000,5528000,72063000,33003000,2000,8986000,87943000,11584000,212117000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,-598000,-1159000,1988000,-1205000,262000,511000
97,Net Change In Cash,- -,3638000,1539000,-5884000,49826000,19238000,9186000,20105000,-19049000,-16217000,34803000
98,Cash at the End of Period,- -,8242000,9781000,3897000,53723000,21764000,30950000,51055000,32006000,15789000,50592000
99,Cash at the Beginning of Period,- -,4604000,8242000,9781000,3897000,2526000,21764000,30950000,51055000,32006000,15789000
100,Free Cash Flow,- -,-1926000,-4876000,-11412000,-22237000,-13167000,-23796000,9131000,-37446000,-45036000,-30253000
101,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1348911/000156459016015646/0001564590-16-015646-index.html,https://www.sec.gov/Archives/edgar/data/1348911/000156459016019244/0001564590-16-019244-index.htm,https://www.sec.gov/Archives/edgar/data/1348911/000156459017014286/0001564590-17-014286-index.html,https://www.sec.gov/Archives/edgar/data/1348911/000156459018017915/0001564590-18-017915-index.html,https://www.sec.gov/Archives/edgar/data/1348911/000156459019025009/kalv-10k_20190430.htm,https://www.sec.gov/Archives/edgar/data/1348911/000156459020031501/0001564590-20-031501-index.htm,https://www.sec.gov/Archives/edgar/data/1348911/000156459021036441/0001564590-21-036441-index.htm
102,false,,,,,,,,,,,
