,https://roic.ai/company/BWA,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
22,Income Tax expense (Gain),2700000,24300000,43300000,37000000,12900000,54700000,46000000,74700000,54800000,39700000,77200000,73200000,81200000,55100000,32400000,113900000,33300000,-18500000,81700000,195300000,238600000,218300000,292600000,280400000,30300000,580300000,211300000,468000000,397000000,150000000
23,Net Income,-12100000,-98000000,64400000,74200000,41800000,103200000,94700000,132300000,94000000,66400000,-119100000,174900000,218300000,239600000,211600000,288500000,-35600000,27000000,377400000,550100000,500900000,624300000,655800000,609700000,118500000,439900000,930700000,746000000,500000000,537000000
24,Net Income ratio,-0.0131,-0.0995,0.0526,0.0558,0.0271,0.0584,0.0516,0.0538,0.0355,0.0282,-0.0436,0.0570,0.0619,0.0558,0.0461,0.0541,-0.0068,0.0068,0.0668,0.0773,0.0697,0.0839,0.0790,0.0760,0.0131,0.0449,0.0884,0.0734,0.0492,0.0362
25,EPS,-0.07,-0.54,0.35,0.39,0.22,0.54,0.50,0.64,0.45,0.32,-0.56,0.81,0.98,1.06,0.92,1.25,-0.15,0.12,1.68,2.53,2.23,2.74,2.90,2.78,0.56,2.09,4.47,3.61,2.09,2.25
26,EPS Diluted,-0.07,-0.54,0.34,0.39,0.22,0.54,0.50,0.63,0.44,0.31,-0.56,0.80,0.96,1.04,0.91,1.23,-0.15,0.12,1.53,2.23,2.08,2.70,2.86,2.70,0.55,2.08,4.44,3.61,2.09,2.25
27,Weighted Average Shares Outstanding,182641509,180229885,184659498,188496000,188512000,189464000,187832000,207584000,211128000,210520000,213000000,216464000,223488000,226832000,229612000,232004000,232014000,233044000,224632888,217028924,225304000,227932856,226430083,219324821,212262965,210400000,208200000,206407543,238930703,238930703
28,Weighted Average Shares Outstanding Diluted,182641509,185342790,187345455,188496000,188928571,191472000,189408000,208624000,211896000,211704000,214832000,218416000,226148000,229592000,231884000,235680000,232014000,233878000,259200000,257000000,242754000,231300000,228900000,225600000,215300000,211500000,209500000,206800000,238930703,238930703
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/908255/0000908255-96-000014-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/908255/000095013706002007/0000950137-06-002007-index.html,https://www.sec.gov/Archives/edgar/data/908255/000095013707002405/c12236e10vk.htm,https://www.sec.gov/Archives/edgar/data/908255/000090825508000021/form10k.htm,https://www.sec.gov/Archives/edgar/data/908255/000095013709001021/0000950137-09-001021-index.html,https://www.sec.gov/Archives/edgar/data/908255/000095012310011337/0000950123-10-011337-index.html,https://www.sec.gov/Archives/edgar/data/908255/000095012311011507/c61332e10vk.htm,https://www.sec.gov/Archives/edgar/data/908255/000090825512000008/0000908255-12-000008-index.html,https://www.sec.gov/Archives/edgar/data/908255/000090825513000006/0000908255-13-000006-index.html,https://www.sec.gov/Archives/edgar/data/908255/000090825514000012/a10k12312013.htm,https://www.sec.gov/Archives/edgar/data/908255/000090825515000012/a10k12312014.htm,- -,https://www.sec.gov/Archives/edgar/data/908255/000090825517000011/0000908255-17-000011-index.html,https://www.sec.gov/Archives/edgar/data/908255/000090825518000017/0000908255-18-000017-index.html,https://www.sec.gov/Archives/edgar/data/908255/000090825519000014/0000908255-19-000014-index.html,https://www.sec.gov/Archives/edgar/data/908255/000090825520000014/0000908255-20-000014-index.html,https://www.sec.gov/Archives/edgar/data/908255/000090825521000008/0000908255-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/908255/000090825522000009/0000908255-22-000009-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,9400000,9400000,14900000,12100000,11500000,13400000,44000000,21700000,10100000,32900000,36600000,113100000,229700000,89700000,123300000,188500000,103400000,357400000,449900000,359600000,715700000,939500000,797800000,577700000,443700000,545300000,739400000,832000000,1650000000,1841000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,11300000,- -,- -,- -,- -,40600000,59100000,14600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,9400000,9400000,14900000,12100000,11500000,13400000,44000000,21700000,21400000,32900000,36600000,113100000,229700000,130300000,182400000,203100000,103400000,357400000,449900000,359600000,715700000,939500000,797800000,577700000,443700000,545300000,739400000,832000000,1650000000,1841000000
34,Net Receivables,83200000,98900000,98900000,91400000,124600000,158600000,185400000,216200000,168900000,203700000,292100000,414900000,499100000,626100000,767300000,802400000,607100000,732000000,1023900000,1183000000,1147300000,1248500000,1443500000,1665000000,1689300000,2018900000,1987400000,1921000000,2935000000,2915000000
35,Inventory,64800000,68100000,81300000,94000000,91100000,108000000,115700000,164400000,161600000,143800000,180300000,201300000,223400000,332000000,386900000,447600000,451200000,314300000,430600000,454300000,447600000,458100000,505700000,723600000,641200000,766300000,780800000,807000000,1286000000,1534000000
36,Other Current Assets,15900000,17000000,20700000,10000000,25900000,26900000,31000000,156000000,58700000,60900000,57500000,95300000,122100000,80300000,100900000,127200000,146500000,148100000,155500000,140900000,162200000,152400000,223800000,169000000,137400000,212700000,297000000,276000000,296000000,307000000
37,Total Current Assets,173300000,193400000,215800000,207500000,253100000,306900000,376100000,558300000,410600000,441300000,566500000,824600000,1074300000,1168700000,1437500000,1580300000,1308200000,1551800000,2059900000,2137800000,2472800000,2798500000,2970800000,3135300000,2911600000,3543200000,3804600000,3836000000,6167000000,6597000000
38,PP&E,412900000,418300000,462300000,523000000,534200000,611700000,634500000,796000000,807200000,838200000,894900000,985300000,1077200000,1294900000,1460700000,1609100000,1586200000,1490300000,1542600000,1664300000,1788000000,1939400000,2093900000,2448100000,2501800000,2863800000,2903800000,3010000000,4802000000,4580000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1086500000,1168200000,1052400000,1061400000,1113500000,1186200000,1181400000,1197000000,1205700000,1757700000,1702200000,1881800000,1853400000,1842000000,2627000000,3279000000
40,Intangible Assets,331900000,322300000,312600000,313000000,555700000,545600000,560400000,1284700000,1203100000,1160600000,827000000,852000000,860800000,1029800000,120400000,139400000,148400000,- -,168800000,243300000,206300000,169500000,151100000,543800000,463500000,492700000,439500000,402000000,1096000000,1091000000
41,Intangible Assets,331900000,322300000,312600000,313000000,555700000,545600000,560400000,1284700000,1203100000,1160600000,827000000,852000000,860800000,1029800000,1206900000,1307600000,1200800000,1061400000,1282300000,1429500000,1387700000,1366500000,1356800000,2301500000,2165700000,2374500000,2292900000,2244000000,3723000000,4370000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,257400000,307900000,345300000,382700000,405100000,184200000,200100000,218900000,239600000,243500000,316000000,769000000,428000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,5700000,51200000,- -,- -,- -,176900000,124400000,201400000,- -,305500000,313900000,244100000,257600000,180500000,213500000,424000000,121200000,197700000,79000000,291000000,254000000
44,Other Non-Current Assets,156100000,225400000,249600000,291700000,280600000,272100000,275100000,331700000,345000000,325100000,343300000,377000000,516800000,596000000,302000000,337100000,347400000,450500000,56800000,67800000,125500000,149900000,441800000,543000000,612700000,645300000,652800000,217000000,277000000,346000000
45,Total Non-Current Assets,900900000,966000000,1024500000,1127700000,1370500000,1429400000,1470000000,2412400000,2355300000,2329600000,2116400000,2214300000,2454800000,2920700000,3146500000,3378200000,3335800000,3259600000,3495100000,3820800000,3928000000,4118500000,4257200000,5706200000,5923100000,6244400000,6290700000,5866000000,9862000000,9978000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1074200000,1159400000,1240300000,1335200000,1623600000,1736300000,1846100000,2970700000,2765900000,2770900000,2682900000,3038900000,3529100000,4089400000,4584000000,4958500000,4644000000,4811400000,5555000000,5958600000,6400800000,6917000000,7228000000,8841500000,8834700000,9787600000,10095300000,9702000000,16029000000,16575000000
48,Accounts Payable,156900000,147400000,203700000,194300000,269300000,273600000,276900000,433700000,408200000,410600000,435600000,460300000,608000000,786400000,534700000,626300000,466600000,977100000,766600000,869600000,855200000,935400000,979200000,1225600000,1323300000,1545600000,1485400000,1325000000,2352000000,2276000000
49,Short-Term Debt,- -,19700000,20500000,31600000,38000000,67700000,145000000,134000000,54400000,35600000,14400000,10000000,16500000,299900000,151700000,63700000,320700000,69100000,128500000,577800000,243400000,201600000,623700000,441500000,175900000,84600000,172600000,304000000,96000000,109000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39700000,29800000,72500000,38500000,14200000,49400000,68600000,151800000,131800000,127000000,171000000,233000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,220000000,241000000
52,Other Current Liabilities,10100000,20200000,23600000,26600000,30600000,53900000,32200000,92100000,67300000,8800000,1200000,- -,39300000,35800000,348400000,393900000,462700000,- -,497200000,458000000,504500000,486900000,565300000,690200000,592600000,795000000,740900000,700000000,1142000000,1172000000
53,Total Current Liabilities,167000000,187300000,247800000,252500000,337900000,395200000,454100000,659800000,529900000,455000000,451200000,470300000,663800000,1122100000,1034800000,1083900000,1250000000,1046200000,1392300000,1905400000,1603100000,1623900000,2168200000,2357300000,2091800000,2425200000,2398900000,2329000000,3810000000,3798000000
54,Long-Term Debt,107500000,139900000,86800000,103100000,279300000,270400000,248500000,846300000,740400000,701400000,632300000,634000000,568000000,440600000,569400000,572600000,459600000,773200000,1051900000,751300000,823800000,1021000000,716300000,2124600000,2043600000,2103700000,1940700000,1741000000,3910000000,4413000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23400000,26000000,30500000,46200000,37800000,36600000,33500000,52400000,- -,49000000,55000000,68000000
56,Deferred Tax Liabilities,43400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,108000000,102100000,89600000,- -,113700000,120200000,89400000,81300000,46800000,120100000,54200000,61400000,51400000,125000000,276000000,206000000
57,Other Non-Current Liabilities,26100000,371400000,367600000,376400000,370600000,356300000,357700000,398300000,398200000,498900000,603500000,657000000,740900000,746400000,834300000,760900000,807300000,769300000,663900000,702700000,707900000,512200000,568000000,571400000,1309700000,1319000000,1359500000,614000000,1254000000,828000000
58,Total Non-Current Liabilities,177000000,511300000,454400000,479500000,649900000,626700000,606200000,1244600000,1138600000,1200300000,1235800000,1291000000,1308900000,1187000000,1511700000,1435600000,1356500000,1542500000,1852900000,1600200000,1651600000,1660700000,1368900000,2852700000,3441000000,3536500000,3351600000,2529000000,5495000000,5515000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,85000000,219000000,195000000
61,Total Liabilities,344000000,698600000,702200000,732000000,987800000,1021900000,1060300000,1904400000,1668500000,1655300000,1687000000,1761300000,1972700000,2309100000,2546500000,2519500000,2606500000,2588700000,3245200000,3505600000,3254700000,3284600000,3537100000,5210000000,5532800000,5961700000,5750500000,4858000000,9305000000,9313000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,300000,300000,300000,300000,300000,600000,600000,600000,1200000,1200000,1200000,1200000,1200000,1200000,2500000,2500000,2500000,2500000,2500000,2500000,3000000,3000000,3000000
64,Retained Earnings,- -,-98000000,-33600000,34100000,61800000,150700000,230200000,346400000,422900000,470900000,335800000,491300000,681400000,889200000,1064100000,1295900000,1200500000,1193400000,1560200000,2110300000,2611200000,3177400000,3717100000,4210100000,4215200000,4531000000,5336100000,5942000000,6296000000,6671000000
65,Other Comprehensive Income/Loss,-278700000,-334200000,-364500000,-404800000,-328900000,-359500000,-370400000,-408100000,-472100000,-509500000,-56500000,14000000,55200000,-74200000,-60300000,127100000,-85900000,14500000,-53700000,-150800000,-121300000,-14000000,-383600000,-610200000,-722100000,-490000000,-674100000,-727000000,-651000000,-551000000
66,Other Total Stockholders Equity,1008900000,893000000,936200000,973900000,902900000,923200000,926000000,1127700000,1146300000,1153900000,701800000,754800000,797000000,828600000,871000000,896900000,890200000,976200000,750900000,427200000,591500000,394700000,280200000,-48700000,-277300000,-326700000,-439000000,-512000000,780000000,825000000
67,Total Stockholders Equity,730200000,460800000,538100000,603200000,635800000,714400000,785800000,1066300000,1097400000,1115600000,981400000,1260400000,1534200000,1644200000,1875400000,2321100000,2006000000,2185300000,2258600000,2387900000,3082600000,3560600000,3616200000,3553700000,3218300000,3716800000,4225500000,4706000000,6428000000,6948000000
68,Total Liabilities And Stockholders Equity,1074200000,1159400000,1240300000,1335200000,1623600000,1736300000,1846100000,2970700000,2765900000,2770900000,2668400000,3021700000,3506900000,3953300000,4421900000,4840600000,4612500000,4774000000,5503800000,5893500000,6337300000,6845200000,7153300000,8763700000,8751100000,9678500000,9976000000,9564000000,15733000000,16261000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14500000,17200000,22200000,136100000,162100000,117900000,31500000,37400000,51200000,65100000,63500000,71800000,74700000,77800000,83600000,109100000,119300000,138000000,296000000,314000000
70,Total Liabilities & Equity,1074200000,1159400000,1240300000,1335200000,1623600000,1736300000,1846100000,2970700000,2765900000,2770900000,2682900000,3038900000,3529100000,4089400000,4584000000,4958500000,4644000000,4811400000,5555000000,5958600000,6400800000,6917000000,7228000000,8841500000,8834700000,9787600000,10095300000,9702000000,16029000000,16575000000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/908255/0000908255-96-000014-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/908255/000095013706002007/0000950137-06-002007-index.html,https://www.sec.gov/Archives/edgar/data/908255/000095013707002405/c12236e10vk.htm,https://www.sec.gov/Archives/edgar/data/908255/000090825508000021/form10k.htm,https://www.sec.gov/Archives/edgar/data/908255/000095013709001021/0000950137-09-001021-index.html,https://www.sec.gov/Archives/edgar/data/908255/000095012310011337/0000950123-10-011337-index.html,https://www.sec.gov/Archives/edgar/data/908255/000095012311011507/c61332e10vk.htm,https://www.sec.gov/Archives/edgar/data/908255/000090825512000008/0000908255-12-000008-index.html,https://www.sec.gov/Archives/edgar/data/908255/000090825513000006/0000908255-13-000006-index.html,https://www.sec.gov/Archives/edgar/data/908255/000090825514000012/a10k12312013.htm,https://www.sec.gov/Archives/edgar/data/908255/000090825515000012/a10k12312014.htm,- -,https://www.sec.gov/Archives/edgar/data/908255/000090825517000011/0000908255-17-000011-index.html,https://www.sec.gov/Archives/edgar/data/908255/000090825518000017/0000908255-18-000017-index.html,https://www.sec.gov/Archives/edgar/data/908255/000090825519000014/0000908255-19-000014-index.html,https://www.sec.gov/Archives/edgar/data/908255/000090825520000014/0000908255-20-000014-index.html,https://www.sec.gov/Archives/edgar/data/908255/000090825521000008/0000908255-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/908255/000090825522000009/0000908255-22-000009-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-12100000,-98000000,64400000,74200000,41800000,103200000,94700000,132300000,94000000,66400000,-119100000,174900000,218300000,239600000,211600000,288500000,-35600000,27000000,377400000,550100000,500900000,624300000,655800000,609700000,118500000,439900000,930700000,746000000,500000000,537000000
74,Depreciation and Amortization,74000000,67600000,70500000,77600000,84800000,87100000,91600000,123400000,145500000,104200000,137400000,161300000,177000000,255500000,256600000,264600000,286800000,260900000,252900000,283000000,288600000,299400000,330400000,320200000,391400000,407800000,431300000,439000000,568000000,772000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,24100000,16700000,-4000000,-8500000,3100000,30400000,40000000,13800000,-32400000,-46400000,-29900000,-78300000,-57700000,-52200000,-1100000,-10700000,-22900000,42300000,13300000,-268900000,315300000,-69800000,202000000,123000000,-180000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22000000,22800000,21800000,56700000,36600000,32100000,40200000,43600000,52700000,52900000,42000000,41000000,62000000
77,Change in Working Capital,-47500000,-15200000,46800000,-24500000,-1900000,-3800000,-65300000,99100000,45300000,17900000,-73000000,-78500000,-14100000,-67500000,-107000000,48000000,-94300000,17000000,-106800000,-200100000,-25600000,-272500000,-334200000,-181500000,-116300000,-144800000,-319500000,-187000000,319000000,-469000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,1500000,-3800000,-12300000,-6500000,-8700000,-8900000,-9100000,-19000000,-14700000,10100000,-29300000,-9100000,-12700000,-30100000,-32700000,-34700000,-26300000,143000000,-79000000,-38600000,-5300000,-14800000,-39700000,-52900000,-36500000,-84500000,-53300000,-36000000,-28000000,-268000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-27100000,33100000,129100000,23100000,134900000,232800000,-76100000,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,3200000,- -,27700000,- -,-83100000,-53600000,15900000,800000,-29300000,-112600000,3900000,-46100000,-66500000,-154900000,-158900000,-95100000,-71800000,-82900000,-43800000,-29000000,111000000,-19000000
82,Other Non-Cash Items,22700000,119700000,-24000000,-15100000,53200000,-43200000,-5100000,-6300000,26000000,4200000,285700000,9200000,31600000,1300000,127300000,32300000,322200000,81800000,44800000,54500000,68800000,53900000,75400000,66000000,867400000,109400000,100900000,-234000000,-367000000,584000000
83,Cash Provided by Operating Activities,37100000,74100000,157700000,112200000,177900000,167400000,132600000,344500000,302300000,195800000,261400000,306900000,426600000,396500000,442100000,603500000,400800000,351000000,538900000,708200000,878700000,718800000,801800000,867900000,1035700000,1180300000,1126500000,1008000000,1184000000,1306000000
84,CAPEX,-47700000,-65500000,-98800000,-92500000,-91900000,-177500000,-187600000,-998900000,-167100000,-140900000,-166100000,-172000000,-204900000,-246700000,-268300000,-293900000,-369700000,-172000000,-276600000,-393700000,-407400000,-417800000,-563000000,-577300000,-500600000,-560000000,-546600000,-481000000,-461000000,-668000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3300000,- -,-12800000,- -,-477200000,-63700000,-138800000,-135700000,-5900000,-159700000,-178700000,56800000,9100000,-110500000,-1199600000,96400000,-181200000,36000000,23000000,-449000000,-737000000
86,Purchases of Investments,- -,- -,- -,- -,- -,-100000,-5700000,- -,- -,- -,- -,- -,- -,-52300000,-41500000,-13000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11100000,-6000000,-53000000,-2000000,-20000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,5500000,- -,- -,- -,- -,- -,58200000,28800000,60400000,14600000,- -,- -,- -,- -,- -,- -,13100000,- -,- -,2100000,22000000,10000000,11000000
88,Other Investing Activites,1900000,-900000,11200000,-31800000,-259900000,8500000,65700000,182700000,105100000,20900000,36100000,-43400000,-52300000,17900000,3600000,17300000,5700000,-148900000,-269800000,-385800000,-402000000,-393900000,-554600000,-572600000,-500600000,-560000000,-546600000,-481000000,-425000000,-649000000
89,Cash Used for Investing Activites,-45800000,-66400000,-87600000,-124300000,-351800000,-169100000,-127600000,-810700000,-62000000,-123300000,-130000000,-228200000,-257200000,-700100000,-341100000,-368000000,-485100000,-154800000,-429500000,-564500000,-345200000,-384800000,-665100000,-1759100000,-404200000,-752300000,-514500000,-489000000,-866000000,-1395000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-279200000,-116100000,-309100000,-246400000,-121400000,-541600000,-346500000,-322700000,-107600000,-99900000,-204000000,-331000000,-707000000
91,Common Stock Issued,- -,84900000,3900000,5000000,2600000,2100000,700000,700000,1100000,2800000,9800000,39300000,14400000,17600000,27100000,46300000,17100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-600000,- -,- -,- -,-10200000,-13000000,- -,-22100000,-700000,-18100000,-2500000,- -,- -,- -,-47000000,-55900000,- -,-325700000,-357600000,-295900000,-225500000,-139900000,-349800000,-288000000,-100000000,-150000000,-100000000,-216000000,- -
93,Dividends Paid,- -,- -,-13300000,-13900000,-14100000,-14300000,-14100000,-15500000,-15900000,-15800000,-16000000,-19400000,-27900000,-40000000,-51800000,-39400000,-51100000,-22600000,- -,- -,- -,-56800000,-116100000,-116700000,-113400000,-124100000,-141500000,-140000000,-146000000,-162000000
