,https://roic.ai/company/BASA,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
21,Income Before Tax Ratio,-Infinity,-Infinity,- -,- -,-48.9915,-48.8209,-242.7118,-46.9746,-4.1703,-9.3792,-260.9560,-67.0405,-1007.1614,-586.4168
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-8763,-1000,-19400,-1813866,-1615398,-1606550,-2433186,-1426713,-730451,-3697453,-2935112,-5909949,-4308804,-4199331
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-48.9915,-48.8209,-242.7118,-46.9746,-4.1703,-9.3792,-303.7161,-67.2839,-1107.0925,-586.4168
25,EPS,-15.87,-0.02,-0.69,-15.18,-2.76,-2.07,-0.55,-0.17,-0.06,-0.26,-0.03,-0.04,-0.02,-0.02
26,EPS Diluted,-15.87,-0.02,-0.69,-15.18,-2.76,-2.07,-0.55,-0.17,-0.06,-0.26,-0.03,-0.04,-0.02,-0.02
27,Weighted Average Shares Outstanding,44928,48913,48913,118463,536939,680767,4433572,8514381,12650443,14447469,104587211,135126733,186607492,209163821
28,Weighted Average Shares Outstanding Diluted,44928,48913,48913,118463,536939,680767,4433572,8514381,12650443,14447469,104587211,135126733,186607492,209163821
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1448705/000094344013000353/0000943440-13-000353-index.html,https://www.sec.gov/Archives/edgar/data/1448705/000155335014000381/0001553350-14-000381-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1448705/000155335016001903/0001553350-16-001903-index.htm,https://www.sec.gov/Archives/edgar/data/1448705/000155335017000439/0001553350-17-000439-index.htm,https://www.sec.gov/Archives/edgar/data/1448705/000155335018000813/0001553350-18-000813-index.htm,https://www.sec.gov/Archives/edgar/data/1448705/000155335019000269/0001553350-19-000269-index.html,https://www.sec.gov/Archives/edgar/data/1448705/000155335020000299/0001553350-20-000299-index.htm,https://www.sec.gov/Archives/edgar/data/1448705/000155335021000256/0001553350-21-000256-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,2231,6328,20711,3061,1558,50243,10341,188738,121831,129152,259505
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,2231,6328,20711,3061,1558,50243,10341,188738,121831,129152,259505
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,883,- -,1907
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,67752,11916,380265,56586,159472,446575
36,Other Current Assets,- -,2750,1000,190900,3000,- -,- -,7252,103864,49556,81793,107177,172311,116278
37,Total Current Assets,- -,2750,1000,193131,9328,20711,3061,8810,221859,71813,650796,286477,460935,824265
38,PP&E,- -,- -,- -,- -,21313,11837,2616,1029,290368,227397,456709,23700,1994849,1004167
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,2181,- -,- -,- -,- -,- -,- -,447260,- -,- -,- -
41,Intangible Assets,- -,- -,- -,2181,- -,- -,- -,- -,- -,- -,447260,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,63634,4290,4290,31407,- -,12397,12397,1060000,200000,5380,1020035
45,Total Non-Current Assets,- -,- -,- -,65815,25603,16127,34023,1029,302765,239794,1963969,223700,2000229,2024202
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,2750,1000,258946,34931,36838,37084,9839,524624,311607,2614765,510177,2461164,2848467
48,Accounts Payable,- -,1000,775,53735,45115,45519,188021,229904,286141,333938,355684,1002238,218082,249353
49,Short-Term Debt,- -,- -,- -,16000,- -,2000,670118,223582,415448,902414,835273,909222,895605,1430310
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25144,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,5080,- -,- -,3598,34634,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,45550,261596,428991,635518,871828,1120966,1379764,636469,1279785,1046477
53,Total Current Liabilities,- -,1000,775,69735,90665,314195,1287130,1089004,1577015,2391952,2570721,2547929,2393472,2726140
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,300000,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1094970,826388
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,300000,- -,- -,- -,1094970,826388
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1316967,1093677
61,Total Liabilities,- -,1000,775,69735,90665,314195,1287130,1089004,1877015,2391952,2570721,2547929,3488442,3552528
62,Preferred Stock,873,873,873,638,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,3100,3375,3375,11599,44645,75852,5573,12563,12863,17180,128306,154202,200736,224838
64,Retained Earnings,-698115,-716641,-737791,-2551657,-1869734,-3476284,-5909470,-7336183,-8066634,-11764087,-15225303,-21135252,-25444056,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,-18346,-28248,-27493,-38970,-104102,-31671,-34888,-48307,- -
66,Other Total Stockholders Equity,711668,714143,733768,2728631,1769355,3141421,4682099,6271948,6740350,9770664,14948237,18753171,24264349,-928899
67,Total Stockholders Equity,17526,1750,225,189211,-55734,-277357,-1250046,-1079165,-1352391,-2080345,-180431,-2262767,-1027278,-704061
68,Total Liabilities And Stockholders Equity,- -,2750,1000,258946,34931,36838,37084,9839,524624,311607,2390290,285162,2461164,2848467
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,224475,225015,- -,- -
70,Total Liabilities & Equity,- -,2750,1000,258946,34931,36838,37084,9839,524624,311607,2614765,510177,2461164,2848467
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1448705/000094344013000353/0000943440-13-000353-index.html,https://www.sec.gov/Archives/edgar/data/1448705/000155335014000381/0001553350-14-000381-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1448705/000155335016001903/0001553350-16-001903-index.htm,https://www.sec.gov/Archives/edgar/data/1448705/000155335017000439/0001553350-17-000439-index.htm,https://www.sec.gov/Archives/edgar/data/1448705/000155335018000813/0001553350-18-000813-index.htm,https://www.sec.gov/Archives/edgar/data/1448705/000155335019000269/0001553350-19-000269-index.html,https://www.sec.gov/Archives/edgar/data/1448705/000155335020000299/0001553350-20-000299-index.htm,https://www.sec.gov/Archives/edgar/data/1448705/000155335021000256/0001553350-21-000256-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,-8763,-1000,-19400,-1813866,-1615398,-1606550,-2433186,-1426713,-730451,-3697453,-2935112,-5909949,-4308804,-4199331
74,Depreciation and Amortization,- -,- -,- -,2182,10579,9476,9221,1103,11478,65131,68638,90613,193063,336026
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,509071,- -,- -,- -,- -,- -,- -,815790,1661104,1701316,165590
77,Change in Working Capital,- -,1750,-225,123171,67423,-212147,-990585,203875,-274962,-964983,400214,-341527,328915,30662
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,268197,330054,238515,883,-1907
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,-67752,55836,-377184,83559,-102886,-320165
80,Accounts Payable,- -,1000,775,52960,- -,- -,- -,- -,- -,-10544,- -,- -,- -,- -
81,Other Working Capital,- -,1750,- -,123396,-9250,-293484,-1284069,-1080194,-1355156,-2320139,-1919925,-2261452,-1932537,-1901875
82,Other Non-Cash Items,- -,-750,10000,1076199,1003340,1339804,2692215,956243,740356,4141806,-647955,3101099,-174027,867554
83,Cash Provided by Operating Activities,-8763,- -,-9625,-103243,-534056,-469417,-722335,-265492,-253579,-455499,-2298425,-1398660,-2259537,-2799499
84,CAPEX,- -,- -,- -,- -,-5155,- -,-66976,- -,-817,-2160,-456881,-202935,-766918,-339586
85,Acquisitions Net,- -,- -,- -,- -,4088,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,-97157,- -,-1060000,-200000,200000,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,-1067,- -,-66976,- -,-97974,-2160,-1516881,-402935,-566918,-339586
90,Debt Repayment,- -,- -,- -,- -,-30000,-155000,- -,- -,- -,-5000,- -,-45900,-97108,-66357
91,Common Stock Issued,- -,2750,9625,89474,527462,25000,- -,29305,17500,293000,3175680,1370739,2392828,1797068
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,16000,30000,613800,771661,234684,382738,129757,740026,409849,538056,1538727
95,Cash Used/Provided by Financing Activities,- -,2750,9625,105474,527462,483800,771661,263989,400238,417757,3915706,1734688,2833776,3269438
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,2750,9625,105474,-7661,14383,-17650,-1503,48685,-39902,100400,-66907,7321,130353
98,Cash at the End of Period,- -,2750,- -,2231,6328,20711,3061,1558,50243,10341,188738,121831,129152,259505
99,Cash at the Beginning of Period,8763,- -,- -,- -,13989,6328,20711,3061,1558,50243,88338,188738,121831,129152
100,Free Cash Flow,-8763,- -,-9625,-103243,-539211,-469417,-789311,-265492,-254396,-457659,-2755306,-1601595,-3026455,-3139085
101,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1448705/000094344013000353/0000943440-13-000353-index.html,https://www.sec.gov/Archives/edgar/data/1448705/000155335014000381/0001553350-14-000381-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1448705/000155335016001903/0001553350-16-001903-index.htm,https://www.sec.gov/Archives/edgar/data/1448705/000155335017000439/0001553350-17-000439-index.htm,https://www.sec.gov/Archives/edgar/data/1448705/000155335018000813/0001553350-18-000813-index.htm,https://www.sec.gov/Archives/edgar/data/1448705/000155335019000269/0001553350-19-000269-index.html,https://www.sec.gov/Archives/edgar/data/1448705/000155335020000299/0001553350-20-000299-index.htm,https://www.sec.gov/Archives/edgar/data/1448705/000155335021000256/0001553350-21-000256-index.htm
102,false,,,,,,,,,,,,,,
