,https://roic.ai/company/CTSO,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1175151/000106299305001978/form10ksb.htm,- -,https://www.sec.gov/Archives/edgar/data/1175151/000114420408022351/v110361_10ksb.htm,https://www.sec.gov/Archives/edgar/data/1175151/000114420409019971/v145044_10k.htm,https://www.sec.gov/Archives/edgar/data/1175151/000114420410019399/v180039_10k.htm,https://www.sec.gov/Archives/edgar/data/1175151/000114420411018583/v215795_10k.htm,https://www.sec.gov/Archives/edgar/data/1175151/000114420412018905/0001144204-12-018905-index.html,https://www.sec.gov/Archives/edgar/data/1175151/000114420413019816/v337555_10k.htm,https://www.sec.gov/Archives/edgar/data/1175151/000114420414019382/v372215_10k.htm,https://www.sec.gov/Archives/edgar/data/1175151/000114420415020124/v404798_10k.htm,https://www.sec.gov/Archives/edgar/data/1175151/000114420416086916/0001144204-16-086916-index.html,https://www.sec.gov/Archives/edgar/data/1175151/000114420417012631/0001144204-17-012631-index.html,https://www.sec.gov/Archives/edgar/data/1175151/000114420418013618/0001144204-18-013618-index.html,https://www.sec.gov/Archives/edgar/data/1175151/000114420419012774/0001144204-19-012774-index.html,https://www.sec.gov/Archives/edgar/data/1175151/000110465920029712/0001104659-20-029712-index.html,https://www.sec.gov/Archives/edgar/data/1175151/000110465921033790/0001104659-21-033790-index.htm,https://www.sec.gov/Archives/edgar/data/1175151/000141057822000331/0001410578-22-000331-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,10000,2873138,211613,2749208,1595628,1055669,1186653,1729344,2183030,3605280,5316851,5245178,17321862,22368837,12232418,71421601,52137707
32,Short-Term Investments,- -,- -,- -,199607,- -,- -,- -,- -,- -,1944547,2192000,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,10000,2873138,211613,2948815,1595628,1055669,1186653,1729344,2183030,5549827,7508851,5245178,17321862,22368837,12232418,71421601,52137707
34,Net Receivables,- -,- -,- -,- -,- -,- -,36078,51779,453017,819151,648869,1433468,2205859,3943119,4467087,5159275,4523430
35,Inventory,- -,- -,- -,- -,- -,- -,431022,682372,245608,537566,1190681,833976,795657,833133,2113897,2673799,4766098
36,Other Current Assets,- -,24880,200682,117003,369091,344536,43728,476093,605312,700462,511927,315802,415962,1118998,2088127,3198460,2871655
37,Total Current Assets,10000,2898018,412295,3065818,1964719,1400205,1697481,2939588,3486967,7607006,9860328,7828424,20739340,28264087,20901529,82453135,64298890
38,PP&E,20000,303560,144457,52057,18853,144146,155067,145600,144393,245821,557289,569409,1402782,1729860,2996087,3149050,18574358
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,191926,202676,198514,211181,269994,207267,360481,557528,771795,1191101,1838052,2625265,3361412,4222394,- -
41,Intangible Assets,- -,- -,191926,202676,198514,211181,269994,207267,360481,557528,771795,1191101,1838052,2625265,3361412,4222394,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,46953,53894,58270,64954,104910,123133,128114,123482,125892,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,243471,53894,66634,56394,56394,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6646034
45,Total Non-Current Assets,20000,547031,390277,321367,273761,411721,425061,399820,558768,861619,1394038,1865420,3363967,4483239,6480981,7497336,25220392
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,30000,3445049,802572,3387185,2238480,1811926,2122542,3339408,4045735,8468625,11254366,9693844,24103307,32747326,27382510,89950471,89519282
48,Accounts Payable,- -,942265,775342,885465,852167,817701,675160,800670,786517,698307,684633,1330072,1566815,1965595,2668408,2466724,2805235
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,294323,926225,1644356,- -,- -,833333,4000000,666667,2094749,447485,570566
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,64745,22592,96159,452362,182753,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,272359,30833,30000,- -,14747,- -,157656,1034203,- -
52,Other Current Liabilities,80000,139779,131526,92239,118598,401418,558466,349841,361700,3776302,2329146,3926213,2266769,3905937,5015454,6204842,10314341
53,Total Current Liabilities,80000,1082044,906868,977704,970765,1219119,1527949,2076736,3064932,4505442,3043779,6089618,7848331,6538199,9936267,10153254,13690142
54,Long-Term Debt,10000,- -,- -,50000,- -,1077388,276250,- -,- -,- -,- -,4078314,5992141,9274527,13385522,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,12887817,15246350,- -,- -,- -,- -,- -,642679,581638,13250943
58,Total Non-Current Liabilities,10000,- -,- -,50000,- -,1077388,276250,12887817,15246350,- -,- -,4078314,5992141,9274527,14028201,581638,13250943
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1070762,1029123,- -
61,Total Liabilities,90000,1082044,906868,1027704,970765,2296507,1804199,14964553,18311282,4505442,3043779,10167932,13840472,15812726,23964468,10734892,26941085
62,Preferred Stock,- -,7403,8019,8848,6325,5887,1512,1594,1760,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,10000,24629,25045,25264,66375,122838,177626,214968,251320,23305,25397,25484,28974,31774,32616,43222,43478
64,Retained Earnings,-170000,-67426583,-71538209,-75461481,-78902521,-83988850,-92557542,-98732460,-105805775,-124394120,-132525858,-144464733,-152312636,-169523815,-188789459,-196626647,-221185295
65,Other Comprehensive Income/Loss,-10000,- -,-2179780,-2272180,-2311794,-2316172,-2339923,-12662,-55987,227701,584317,898684,-360985,288175,525978,-1734078,525585
66,Other Total Stockholders Equity,110000,69757556,73580629,80059030,82409330,85691716,95036670,86903415,91343135,128106297,140126731,143066477,162907482,186138466,191648907,277533082,283194429
67,Total Stockholders Equity,-60000,2363005,-104296,2359481,1267715,-484581,318343,-11625145,-14265547,3963183,8210587,-474088,10262835,16934600,3418042,79215579,62578197
68,Total Liabilities And Stockholders Equity,30000,3445049,802572,3387185,2238480,1811926,2122542,3339408,4045735,8468625,11254366,9693844,24103307,32747326,27382510,89950471,89519282
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,30000,3445049,802572,3387185,2238480,1811926,2122542,3339408,4045735,8468625,11254366,9693844,24103307,32747326,27382510,89950471,89519282
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1175151/000106299305001978/form10ksb.htm,- -,https://www.sec.gov/Archives/edgar/data/1175151/000114420408022351/v110361_10ksb.htm,https://www.sec.gov/Archives/edgar/data/1175151/000114420409019971/v145044_10k.htm,https://www.sec.gov/Archives/edgar/data/1175151/000114420410019399/v180039_10k.htm,https://www.sec.gov/Archives/edgar/data/1175151/000114420411018583/v215795_10k.htm,https://www.sec.gov/Archives/edgar/data/1175151/000114420412018905/0001144204-12-018905-index.html,https://www.sec.gov/Archives/edgar/data/1175151/000114420413019816/v337555_10k.htm,https://www.sec.gov/Archives/edgar/data/1175151/000114420414019382/v372215_10k.htm,https://www.sec.gov/Archives/edgar/data/1175151/000114420415020124/v404798_10k.htm,https://www.sec.gov/Archives/edgar/data/1175151/000114420416086916/0001144204-16-086916-index.html,https://www.sec.gov/Archives/edgar/data/1175151/000114420417012631/0001144204-17-012631-index.html,https://www.sec.gov/Archives/edgar/data/1175151/000114420418013618/0001144204-18-013618-index.html,https://www.sec.gov/Archives/edgar/data/1175151/000114420419012774/0001144204-19-012774-index.html,https://www.sec.gov/Archives/edgar/data/1175151/000110465920029712/0001104659-20-029712-index.html,https://www.sec.gov/Archives/edgar/data/1175151/000110465921033790/0001104659-21-033790-index.htm,https://www.sec.gov/Archives/edgar/data/1175151/000141057822000331/0001410578-22-000331-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,-80000,-7671580,-3350754,-3017890,-2736715,-2908865,-5481648,-3663506,-4677795,-9321672,-8131738,-11938875,-8460799,-17211179,-19265644,-7837188,-24558648
74,Depreciation and Amortization,10000,1255526,190440,103701,51695,17804,39150,54606,64350,65547,112969,161613,218271,390551,581532,660788,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,63128,65468,695841,382284,2756793,3313603,4437250,2839767,4707620,- -
77,Change in Working Capital,-80000,1885974,-2310547,2582687,-1094160,-812868,-11554,693320,-440817,2679529,3714985,-5077743,11152203,8834879,-10760626,61334619,-21691133
78,Accounts Receivable,-74000,- -,- -,- -,- -,- -,-36078,-15701,-401238,-412118,131970,-889715,-649318,-1847848,-642171,-326860,- -
79,Inventory,- -,- -,- -,- -,- -,- -,-431022,-251350,436764,-303129,-632535,340392,57320,-56751,-1284848,-461512,- -
80,Accounts Payable,- -,- -,- -,- -,666,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,-70000,1815974,-494573,2088114,993954,181086,169532,862852,422035,3101564,6816549,1738806,12891009,21725888,10965262,72299881,50608748
82,Other Non-Cash Items,100000,1680898,2843022,-2033847,1104567,1226671,1625525,-763995,1499474,-780438,-5087434,7367245,-12683983,-7291185,9846189,-64479125,46249781
83,Cash Provided by Operating Activities,-50000,-2849182,-2627839,-2365349,-2674613,-2477258,-3828527,-3616447,-3489320,-6661193,-9008934,-6730967,-6460705,-10839684,-16758782,-5613286,- -
84,CAPEX,- -,-64863,-33686,-22052,-14328,-165449,-52490,-38806,-216356,-367322,-643447,-595531,-1678119,-1520264,-1520117,-1676218,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-393607,- -,- -,- -,- -,- -,-6689547,-5678000,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,194000,199607,- -,- -,- -,- -,4745000,5430547,2192000,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-22052,-7917,-26093,-17818,-18956,-177672,-214165,-239839,-454807,-687446,-848294,-821952,-967823,- -
89,Cash Used for Investing Activites,- -,-64863,-33686,-221659,185279,-165449,-52490,-38806,-216356,-2311869,-890900,1596469,-1678119,-1520264,-1520117,-1676218,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-666667,- -,-16410900,- -
91,Common Stock Issued,- -,5079927,- -,- -,- -,767498,2756860,3500001,2199967,9751455,9524083,- -,13679730,14126525,673653,80214008,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,40000,- -,- -,5124603,1335754,1335250,1255141,710605,2002720,265451,2116159,5064207,6443343,4005995,7504026,2545222,- -
95,Cash Used/Provided by Financing Activities,40000,5079927,- -,5124603,1335754,2102748,4012001,4210606,4202687,10016906,11640242,5064207,20123073,17465853,8177679,66348330,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,-12662,-43325,378406,-28837,-1382,92435,-58930,-35199,130357,- -
97,Net Change In Cash,-20000,2165882,-2661525,2537595,-1153580,-539959,130984,542691,453686,1422250,1711571,-71673,12076684,5046975,-10136419,59189183,- -
98,Cash at the End of Period,10000,2873138,211613,2749208,1595628,1055669,1186653,1729344,2183030,3605280,5316851,5245178,17321862,22368837,12232418,71421601,- -
99,Cash at the Beginning of Period,30000,707256,2873138,211613,2749208,1595628,1055669,1186653,1729344,2183030,3605280,5316851,5245178,17321862,22368837,12232418,71421601
100,Free Cash Flow,-50000,-2914045,-2661525,-2387401,-2688941,-2642707,-3881017,-3655253,-3705676,-7028515,-9652381,-7326498,-8138824,-12359948,-18278899,-7289504,- -
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1175151/000106299305001978/form10ksb.htm,- -,https://www.sec.gov/Archives/edgar/data/1175151/000114420408022351/v110361_10ksb.htm,https://www.sec.gov/Archives/edgar/data/1175151/000114420409019971/v145044_10k.htm,https://www.sec.gov/Archives/edgar/data/1175151/000114420410019399/v180039_10k.htm,https://www.sec.gov/Archives/edgar/data/1175151/000114420411018583/v215795_10k.htm,https://www.sec.gov/Archives/edgar/data/1175151/000114420412018905/0001144204-12-018905-index.html,https://www.sec.gov/Archives/edgar/data/1175151/000114420413019816/v337555_10k.htm,https://www.sec.gov/Archives/edgar/data/1175151/000114420414019382/v372215_10k.htm,https://www.sec.gov/Archives/edgar/data/1175151/000114420415020124/v404798_10k.htm,https://www.sec.gov/Archives/edgar/data/1175151/000114420416086916/0001144204-16-086916-index.html,https://www.sec.gov/Archives/edgar/data/1175151/000114420417012631/0001144204-17-012631-index.html,https://www.sec.gov/Archives/edgar/data/1175151/000114420418013618/0001144204-18-013618-index.html,https://www.sec.gov/Archives/edgar/data/1175151/000114420419012774/0001144204-19-012774-index.html,https://www.sec.gov/Archives/edgar/data/1175151/000110465920029712/0001104659-20-029712-index.html,https://www.sec.gov/Archives/edgar/data/1175151/000110465921033790/0001104659-21-033790-index.htm,https://www.sec.gov/Archives/edgar/data/1175151/000141057822000331/0001410578-22-000331-index.htm
102,false,,,,,,,,,,,,,,,,,
