,https://roic.ai/company/NIMU,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
27,Weighted Average Shares Outstanding,3160000,2500000,6250000,8750000,8500000,10000000,10840000,12439729,12439729,12439729,13458478,18199658,21514726,21658562,25354931,30240002,30734008,31221971,51295259,64093238,67673063,68050943,68497000,68892000,68922000,72052000,78942000,79007000,79007000,79007000,79007000,123262000,154811000,154811000
28,Weighted Average Shares Outstanding Diluted,3160000,2500000,6250000,8750000,8500000,10000000,10840000,12439729,12439729,12439729,13458478,18199658,21514726,21658562,25354931,30240002,30734008,31221971,51295259,64093238,67673063,68050943,68497000,68892000,68922000,72052000,78942000,79007000,79007000,79007000,79007000,123262000,154811000,154811000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/720762/000114420408060032/v130050_10ksb.htm,https://www.sec.gov/Archives/edgar/data/720762/000114420409055262/0001144204-09-055262-index.html,https://www.sec.gov/Archives/edgar/data/720762/000095012310098266/0000950123-10-098266-index.html,https://www.sec.gov/Archives/edgar/data/720762/000095012311093481/0000950123-11-093481-index.html,https://www.sec.gov/Archives/edgar/data/720762/000114420412058243/0001144204-12-058243-index.html,https://www.sec.gov/Archives/edgar/data/720762/000114420413057394/0001144204-13-057394-index.html,https://www.sec.gov/Archives/edgar/data/720762/000114420414063035/0001144204-14-063035-index.html,https://www.sec.gov/Archives/edgar/data/720762/000114420415060632/0001144204-15-060632-index.html,https://www.sec.gov/Archives/edgar/data/720762/000149315216014232/0001493152-16-014232-index.html,https://www.sec.gov/Archives/edgar/data/720762/000149315217012147/0001493152-17-012147-index.html,https://www.sec.gov/Archives/edgar/data/720762/000149315218015658/0001493152-18-015658-index.htm,https://www.sec.gov/Archives/edgar/data/720762/000149315219017042/form10-k.htm,https://www.sec.gov/Archives/edgar/data/720762/000149315220020128/0001493152-20-020128-index.htm,https://www.sec.gov/Archives/edgar/data/720762/000149315221026767/0001493152-21-026767-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1480000,1200000,3800000,700000,40000,40000,300000,189769,189092,646261,136975,3198,27721,158962,293715,2372,133671,1742,404376,1156337,86000,886000,165000,64000,56000,296000,21000,40000,87000,11000,90000,353000,203000,55000
32,Short-Term Investments,10000,- -,- -,- -,- -,- -,2000000,- -,- -,- -,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1490000,1200000,3800000,700000,40000,40000,2300000,189769,189092,646261,336975,3198,27721,158962,293715,2372,133671,1742,404376,1156337,86000,886000,165000,64000,56000,296000,21000,40000,87000,11000,90000,353000,203000,55000
34,Net Receivables,860000,- -,100000,200000,100000,2400000,80000,108752,632542,93905,75997,35636,36637,32432,33734,50757,97736,52047,23604,48756,43000,60000,211000,69000,18000,1000,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,200000,300000,600000,700000,800000,690000,623575,337280,- -,- -,37665,18451,30050,163473,131579,20635,36715,10490,- -,173000,911000,766000,531000,499000,462000,455000,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,200000,2100000,2060000,60000,10000,42539,16678,10313,4000,- -,- -,59772,43607,25646,57043,10988,20674,429803,687000,219000,147000,31000,32000,46000,49000,52000,56000,10000,20000,8000,3000,4000
37,Total Current Assets,2350000,1400000,4400000,3600000,2900000,3300000,3080000,964635,1175592,750479,416972,76499,82809,281216,534529,210354,309085,101492,459144,1634896,989000,2076000,1289000,695000,605000,805000,525000,92000,143000,21000,110000,361000,206000,59000
38,PP&E,80000,- -,- -,- -,- -,- -,120000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26000,- -,26000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,200000,1000000,300000,- -,238066,241552,253326,293500,283632,342466,236339,161745,103574,112046,15253,12029,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,200000,1000000,300000,- -,238066,241552,253326,293500,283632,342466,236339,161745,103574,112046,15253,12029,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,140000,100000,700000,900000,200000,500000,460000,241481,97932,98590,76287,32792,16148,36983,59511,54213,33553,16709,8215,20025,470000,434000,342000,2000,11000,5000,1000,436000,99000,- -,- -,- -,- -,- -
45,Total Non-Current Assets,220000,100000,700000,1100000,1200000,800000,580000,479547,339484,351916,369787,316424,358614,273322,221256,157787,145599,31962,20244,20025,470000,460000,342000,28000,11000,5000,1000,436000,99000,- -,- -,- -,- -,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2570000,1500000,5100000,4700000,4100000,4100000,3660000,1444182,1515076,1102395,786759,392923,441423,554538,755785,368141,454684,133454,479388,1654921,1459000,2536000,1631000,723000,616000,810000,526000,528000,242000,21000,110000,361000,206000,59000
48,Accounts Payable,20000,- -,- -,200000,100000,200000,110000,63604,419456,25775,30150,- -,125754,131891,102397,182300,98924,128717,207605,217677,474000,- -,276000,326000,616000,754000,- -,- -,- -,- -,417000,198000,210000,217000
49,Short-Term Debt,540000,200000,- -,2300000,2400000,1800000,1970000,45267,66103,- -,- -,29500,- -,- -,- -,799975,165000,287544,745563,520600,19000,34000,33000,50000,- -,- -,1200000,- -,1725000,1825000,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24633,20296,- -,5000,3900,3900,- -,- -,16000,- -,4000,4000,4000,4000,4000,4000,4000,- -,- -,- -
52,Other Current Liabilities,120000,- -,1200000,300000,300000,200000,370000,112093,200439,84638,38930,64629,51980,25000,- -,- -,25000,100000,- -,- -,2000,251000,600000,1000000,1000000,- -,909000,1128000,1258000,1425000,1242000,82000,78000,82000
53,Total Current Liabilities,680000,200000,1200000,2800000,2800000,2200000,2450000,220964,685998,110413,69080,94129,177734,156891,127030,1002571,288924,521261,957068,742177,495000,285000,925000,1376000,1620000,758000,2113000,1132000,2987000,3254000,1663000,280000,288000,299000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,700000,543114,- -,- -,- -,- -,- -,- -,50000,50000,- -,1400000,- -,- -,2125000,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,150000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6375,2475,- -,- -,- -,- -,100000,1150000,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,150000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,700000,543114,6375,2475,- -,- -,- -,- -,150000,1200000,- -,1400000,- -,- -,2125000,- -,- -,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,680000,200000,1200000,2800000,2700000,2200000,2450000,220964,685998,110413,69080,94129,177734,156891,127030,1002571,988924,1064375,963443,744652,495000,285000,925000,1376000,1770000,1958000,2113000,2532000,2987000,3254000,3788000,280000,288000,299000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,62148,62148,62148,62148,62148,62000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,- -,- -,- -
63,Common Stock,9280000,- -,- -,- -,- -,- -,120000,124398,124398,124398,165148,215148,215148,220148,12867175,13160175,13234175,13234175,523158,672937,681000,684000,687000,689000,689000,789000,789000,790000,790000,790000,790000,1548000,1548000,1548000
64,Retained Earnings,- -,-8100000,-3200000,-5300000,-7100000,-8700000,-9670000,-9656454,-10050594,-9887691,-10406494,-10975379,-11010484,-11032926,-12300568,-13856753,-13830563,-14227244,-14840304,-16198996,-18035000,-19803000,-21427000,-22819000,-23373000,-23880000,-24323000,-24741000,-25482000,-26018000,-26463000,-28041000,-28204000,-28362000
65,Other Comprehensive Income/Loss,-190000,-100000,-100000,-200000,-300000,-400000,-440000,-509925,-570595,-616339,-661969,-712036,-99570,- -,-78280,-95968,-52301,-73952,-83634,-17713,-23000,-131000,-254000,-90000,-107000,-110000,-110000,-110000,-111000,-111000,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,9500000,7200000,7400000,8800000,11000000,11200000,11265199,11325869,11371614,11620994,11771061,11158595,11210425,140428,95968,52301,73952,13854577,16391893,18279000,21436000,21635000,21502000,21572000,21988000,21992000,21992000,21993000,22041000,21930000,26574000,26574000,26574000
67,Total Stockholders Equity,1890000,1300000,3900000,1900000,1400000,1900000,1210000,1223218,829078,991982,717679,298794,263689,397647,628755,-634430,-534240,-930921,-484055,910269,964000,2251000,706000,-653000,-1154000,-1148000,-1587000,-2004000,-2745000,-3233000,-3678000,81000,-82000,-240000
68,Total Liabilities And Stockholders Equity,2570000,1500000,5100000,4700000,4100000,4100000,3660000,1444182,1515076,1102395,786759,392923,441423,554538,755785,368141,454684,133454,479388,1654921,1459000,2536000,1631000,723000,616000,810000,526000,528000,242000,21000,110000,361000,206000,59000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,2570000,1500000,5100000,4700000,4100000,4100000,3660000,1444182,1515076,1102395,786759,392923,441423,554538,755785,368141,454684,133454,479388,1654921,1459000,2536000,1631000,723000,616000,810000,526000,528000,242000,21000,110000,361000,206000,59000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/720762/000114420408060032/v130050_10ksb.htm,https://www.sec.gov/Archives/edgar/data/720762/000114420409055262/0001144204-09-055262-index.html,https://www.sec.gov/Archives/edgar/data/720762/000095012310098266/0000950123-10-098266-index.html,https://www.sec.gov/Archives/edgar/data/720762/000095012311093481/0000950123-11-093481-index.html,https://www.sec.gov/Archives/edgar/data/720762/000114420412058243/0001144204-12-058243-index.html,https://www.sec.gov/Archives/edgar/data/720762/000114420413057394/0001144204-13-057394-index.html,https://www.sec.gov/Archives/edgar/data/720762/000114420414063035/0001144204-14-063035-index.html,https://www.sec.gov/Archives/edgar/data/720762/000114420415060632/0001144204-15-060632-index.html,https://www.sec.gov/Archives/edgar/data/720762/000149315216014232/0001493152-16-014232-index.html,https://www.sec.gov/Archives/edgar/data/720762/000149315217012147/0001493152-17-012147-index.html,https://www.sec.gov/Archives/edgar/data/720762/000149315218015658/0001493152-18-015658-index.htm,https://www.sec.gov/Archives/edgar/data/720762/000149315219017042/form10-k.htm,https://www.sec.gov/Archives/edgar/data/720762/000149315220020128/0001493152-20-020128-index.htm,https://www.sec.gov/Archives/edgar/data/720762/000149315221026767/0001493152-21-026767-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-600000,-1000000,-2100000,-1700000,-1700000,-930000,11070,-394140,162903,-518803,-568885,-35105,-22442,-1267642,-1556185,26190,-396681,-613060,-1358692,-1836000,-1768000,-1624000,-1392000,-554000,-507000,-443000,-418000,-741000,-488000,-445000,-1615000,-163000,-158000
74,Depreciation and Amortization,- -,30000,30000,-100000,-200000,-200000,210000,178949,168130,65324,68580,84868,30280,120106,72689,28510,23596,13496,11718,18821,6000,114000,123000,119000,17000,5000,- -,- -,1000,- -,- -,- -,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,189000,94000,68000,27000,12000,4000,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,380000,2000000,-2400000,-700000,1000000,-470000,113671,-254077,150472,-292174,-365522,-77295,219250,283174,-1199716,812378,-439930,-78155,1390643,-398719,1297000,-1427000,-1045000,-334000,1062000,-1635000,548000,-1804000,-389000,1680000,1634000,-163000,-158000
78,Accounts Receivable,- -,780000,-60000,-100000,100000,-300000,310000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-24000,- -,2000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,-330000,10000,-300000,-200000,-100000,100000,62446,14262,92970,- -,-37665,19214,-11599,-133423,31894,110944,-52795,- -,10490,-173000,-711000,145000,252000,30000,38000,7000,- -,9000,- -,- -,- -,- -,- -
80,Accounts Payable,- -,-420000,-170000,100000,- -,- -,60000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,1200000,3200000,800000,100000,1100000,630000,743671,489594,640066,347892,-17630,-94925,124325,407499,-792217,20161,-419769,-497924,892719,494000,1791000,364000,-681000,-1015000,47000,-1588000,-1040000,-2844000,-3233000,-1553000,81000,-82000,-240000
82,Other Non-Cash Items,- -,-180000,-1850000,2400000,900000,-400000,1030000,-353681,515847,109824,275062,364779,159730,-171579,-282412,1376495,-795545,634071,274726,-999187,-3281,-1700000,1525000,1722000,734000,-883000,1795000,-311000,2266000,701000,-1456000,-456000,176000,168000
83,Cash Provided by Operating Activities,- -,-370000,-820000,-2200000,-1700000,-1300000,-160000,-49991,35760,488523,-467335,-484760,77610,145335,-1194191,-1350896,66619,-189044,-404771,-948415,-2232000,-1868000,-1309000,-528000,-110000,-311000,-279000,-181000,-278000,-176000,-221000,-437000,-150000,-148000
84,CAPEX,- -,-70000,-60000,-200000,-100000,- -,-70000,-92328,-36437,-31354,-86451,-28517,- -,-37114,-38823,-12390,- -,-3361,- -,-18602,-314000,-232000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-2000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,1500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-130000,-1740000,-400000,-200000,-100000,40000,-30923,-29316,-31354,-263124,175067,-75567,- -,-37233,-18532,-15345,-5182,- -,-400000,400000,- -,- -,6000,- -,- -,4000,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,-200000,-1800000,-1100000,-300000,-100000,-30000,-92328,-36437,-31354,-286451,171483,-75567,-37114,-76056,-30922,-15345,-8543,- -,-418602,86000,-232000,- -,6000,- -,- -,4000,- -,- -,- -,- -,- -,- -,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-348000,-71000,-33000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,244500,- -,- -,72500,1330000,293000,15000,- -,892500,2199541,1576000,51000,1000,2000,- -,501000,- -,- -,- -,- -,- -,600000,- -,- -
92,Common Stock Repurchased,- -,- -,4200000,- -,- -,- -,250000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-51980,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,170000,760000,1600000,1300000,1500000,200000,35000,- -,- -,- -,179500,22480,2500,75000,797475,65025,65658,-85095,-80563,-500000,3200000,670000,450000,100000,50000,- -,200000,325000,100000,300000,100000,- -,- -
95,Cash Used/Provided by Financing Activities,- -,170000,4960000,1600000,1300000,1500000,450000,35000,- -,- -,244500,179500,22480,23020,1405000,1090475,80025,65658,807405,2118978,1076000,2903000,600000,419000,100000,551000,- -,200000,325000,100000,300000,700000,- -,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3000,-12000,2000,2000,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,-410000,2350000,1600000,1300000,1500000,260000,-107319,-677,457169,-509286,-133777,24523,131241,134753,-291343,131299,-131929,402634,751961,-1070000,800000,-721000,-101000,-8000,240000,-275000,19000,47000,-76000,79000,263000,-150000,-148000
98,Cash at the End of Period,- -,1070000,2350000,- -,- -,- -,300000,189769,189092,646261,136975,3198,27721,158962,293715,2372,133671,1742,404376,1156337,86000,886000,165000,64000,56000,296000,21000,40000,87000,11000,90000,353000,203000,55000
99,Cash at the Beginning of Period,- -,1480000,- -,2300000,700000,- -,40000,297088,189769,189092,646261,136975,3198,27721,158962,293715,2372,133671,1742,404376,1156000,86000,886000,165000,64000,56000,296000,21000,40000,87000,11000,90000,353000,203000
