,https://roic.ai/company/RLJ,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
17,Operating Income,58158000,-76058000,41393000,83950000,126200000,164539000,191394000,203915000,220397000,181140000,258100000,232859000,-257090000,-194954000
18,Operating Income ratio,0.1054,-0.1576,0.0759,0.1106,0.1477,0.1696,0.1726,0.1794,0.1900,0.1336,0.1465,0.1487,-0.5434,-0.2481
19,Total Other Income Expenses (Gains),-90535000,-90596000,-85209000,-93337000,-83512000,-56917000,-53769000,-23229000,-10893000,-63283000,-58445000,-107231000,-99742000,-114946000
20,Income Before Tax,-32377000,-166654000,-43816000,-9387000,42688000,107622000,137625000,180686000,209504000,117857000,199655000,125628000,-356832000,-309900000
21,Income Before Tax Ratio,-0.0587,-0.3454,-0.0803,-0.0124,0.0500,0.1109,0.1241,0.1590,0.1806,0.0869,0.1134,0.0802,-0.7543,-0.3944
22,Income Tax expense (Gain),-945000,1801000,945000,740000,1369000,879000,1145000,-39126000,8190000,42118000,8793000,-3751000,-51970000,1188000
23,Net Income,-29321000,-167998000,-22403000,11407000,40894000,112921000,135441000,218221000,200352000,75331000,190126000,129181000,-304862000,-305168000
24,Net Income ratio,-0.0531,-0.3482,-0.0411,0.0150,0.0479,0.1164,0.1221,0.1920,0.1727,0.0555,0.1080,0.0825,-0.6444,-0.3884
25,EPS,-0.29,-1.64,-0.22,0.12,0.38,0.95,1.05,1.69,1.61,0.47,0.93,0.59,-2.61,-1.90
26,EPS Diluted,-0.29,-1.64,-0.22,0.12,0.38,0.94,1.05,1.68,1.61,0.47,0.93,0.59,-2.61,-1.90
27,Weighted Average Shares Outstanding,102226781,102226781,102226781,95340666,105423604,117950066,127360669,128444469,123651003,140616838,174225130,171287086,164503661,164068011
28,Weighted Average Shares Outstanding Diluted,102226781,102226781,102226781,95340666,105748685,118738626,128293843,128967754,123879007,140694049,174316405,171388476,164503661,164068011
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1511337/000104746912002292/0001047469-12-002292-index.htm,https://www.sec.gov/Archives/edgar/data/1511337/000104746913001965/0001047469-13-001965-index.htm,https://www.sec.gov/Archives/edgar/data/1511337/000151133714000034/0001511337-14-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1511337/000151133715000039/0001511337-15-000039-index.htm,https://www.sec.gov/Archives/edgar/data/1511337/000151133716000282/0001511337-16-000282-index.htm,https://www.sec.gov/Archives/edgar/data/1511337/000151133717000027/0001511337-17-000027-index.htm,https://www.sec.gov/Archives/edgar/data/1511337/000151133718000046/0001511337-18-000046-index.htm,https://www.sec.gov/Archives/edgar/data/1511337/000151133719000040/0001511337-19-000040-index.htm,https://www.sec.gov/Archives/edgar/data/1511337/000151133720000006/0001511337-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1511337/000162828021003473/0001628280-21-003473-index.htm,https://www.sec.gov/Archives/edgar/data/1511337/000151133722000009/0001511337-22-000009-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,156181000,151382000,267454000,310231000,115861000,332248000,262458000,134192000,456672000,586470000,320147000,882474000,899813000,665341000
32,Short-Term Investments,- -,12899000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,156181000,164281000,267454000,310231000,115861000,332248000,262458000,134192000,456672000,586470000,320147000,882474000,899813000,665341000
34,Net Receivables,10254000,21737000,20240000,20081000,22738000,22762000,25691000,25755000,26018000,60011000,52115000,39762000,13346000,31091000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,84006000,85112000,117015000,116977000,98630000,92219000,302504000,87191000,127415000,142542000,132062000,103222000,-13346000,81918000
37,Total Current Assets,250441000,271130000,404709000,447289000,237229000,447229000,590653000,247138000,610105000,789023000,504324000,1025458000,899813000,778350000
38,PP&E,1908847000,1879969000,2628275000,2820457000,- -,- -,- -,- -,- -,- -,- -,144358000,- -,144988000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,133211000,52448000,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,1857000,2507000,2507000,2507000,2309000,133211000,52448000,- -,- -,- -
42,Investments,- -,- -,12840000,12633000,12426000,8208000,197335000,- -,- -,23885000,22279000,15171000,6798000,6522000
43,Tax Assets,- -,- -,- -,- -,2206000,2529000,7502000,49978000,44614000,56761000,47395000,51447000,- -,- -
44,Other Non-Current Assets,53820000,51766000,- -,9639000,3092667000,3257501000,3330382000,3680588000,3366365000,5791925000,5378651000,4614966000,- -,4219116000
45,Total Non-Current Assets,1962667000,1931735000,2641115000,2842729000,3109156000,3270745000,3537726000,3733073000,3413288000,6005782000,5500773000,4825942000,- -,4370626000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4717359000,- -
47,Total Assets,2213108000,2202865000,3045824000,3290018000,3346385000,3717974000,4128379000,3980211000,4023393000,6794805000,6005097000,5851400000,5617172000,5148976000
48,Accounts Payable,54168000,48176000,60911000,86213000,87105000,115011000,129388000,129192000,137066000,225664000,203833000,183408000,172325000,155136000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2587731000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,4471000,4972000,5927000,4781000,8508000,9851000,9984000,11647000,11975000,30463000,- -,- -,32177000,- -
52,Other Current Liabilities,39403000,20593000,8176000,23301000,16168000,23714000,34913000,34645000,32955000,51902000,73470000,67189000,- -,27457000
53,Total Current Liabilities,98042000,73741000,75014000,114295000,111781000,148576000,174285000,175484000,181996000,308029000,277303000,250597000,2792233000,182593000
54,Long-Term Debt,1448872000,1598991000,1747077000,1341735000,1413651000,1409665000,1557747000,1582755000,1582715000,2880488000,2202676000,2195707000,- -,2532469000
55,Deferred Revenue,- -,- -,- -,- -,8508000,9851000,9984000,11647000,11975000,30463000,25411000,57459000,- -,20047000
56,Deferred Tax Liabilities,- -,- -,- -,- -,4064000,3548000,7879000,9801000,11430000,5547000,2766000,- -,- -,- -
57,Other Non-Current Liabilities,677670000,525160000,- -,- -,470000,- -,- -,- -,- -,- -,- -,121154000,- -,- -
58,Total Non-Current Liabilities,2126542000,2124151000,1747077000,1341735000,1426693000,1423064000,1575610000,1604203000,1606120000,2916498000,2230853000,2374320000,- -,2552516000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,137551000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,121154000,122593000,123031000
61,Total Liabilities,2224584000,2197892000,1822091000,1456030000,1538474000,1571640000,1749895000,1779687000,1788116000,3224527000,2508156000,2624917000,2929784000,2735109000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,366936000,366936000,366936000,366936000,366936000
63,Common Stock,- -,- -,- -,1063000,1066000,1226000,1319000,1246000,1244000,1749000,1740000,1699000,- -,1665000
64,Retained Earnings,- -,- -,- -,- -,-52681000,-45522000,-46415000,2439000,38249000,-82566000,-150476000,-274769000,- -,-1046739000
65,Other Comprehensive Income/Loss,-165902000,-261147000,- -,-2000000,-585791000,-6000000,-14000000,-17000000,-5000000,9000000,16000000,-20000000,-69050000,-17113000
66,Other Total Stockholders Equity,- -,- -,- -,1816269000,2427240000,2178063000,2420087000,2196130000,2187431000,3252278000,3240006000,3128468000,2735567000,3092883000
67,Total Stockholders Equity,- -,- -,- -,1815332000,1789834000,2127767000,2360991000,2182815000,2221924000,3547397000,3474206000,3202334000,2666517000,2397632000
68,Total Liabilities And Stockholders Equity,2224584000,2197892000,1822091000,3271362000,3328308000,3699407000,4110886000,3962502000,4010040000,6771924000,5982362000,5827251000,5596301000,5132741000
69,Minority Interest,-11476000,4973000,1223733000,18656000,18077000,18567000,17493000,17709000,13353000,22881000,22735000,24149000,20871000,16235000
70,Total Liabilities & Equity,2213108000,2202865000,3045824000,3290018000,3346385000,3717974000,4128379000,3980211000,4023393000,6794805000,6005097000,5851400000,5617172000,5148976000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1511337/000104746912002292/0001047469-12-002292-index.htm,https://www.sec.gov/Archives/edgar/data/1511337/000104746913001965/0001047469-13-001965-index.htm,https://www.sec.gov/Archives/edgar/data/1511337/000151133714000034/0001511337-14-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1511337/000151133715000039/0001511337-15-000039-index.htm,https://www.sec.gov/Archives/edgar/data/1511337/000151133716000282/0001511337-16-000282-index.htm,https://www.sec.gov/Archives/edgar/data/1511337/000151133717000027/0001511337-17-000027-index.htm,https://www.sec.gov/Archives/edgar/data/1511337/000151133718000046/0001511337-18-000046-index.htm,https://www.sec.gov/Archives/edgar/data/1511337/000151133719000040/0001511337-19-000040-index.htm,https://www.sec.gov/Archives/edgar/data/1511337/000151133720000006/0001511337-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1511337/000162828021003473/0001628280-21-003473-index.htm,https://www.sec.gov/Archives/edgar/data/1511337/000151133722000009/0001511337-22-000009-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,-29321000,-167998000,-22403000,11407000,40894000,112921000,135441000,218221000,200352000,75331000,190126000,129181000,-304862000,-305168000
74,Depreciation and Amortization,84390000,98884000,100793000,131714000,126798000,127430000,144294000,156226000,162500000,184895000,238560000,209529000,191764000,187778000
75,Deferred Income Tax,-1123000,- -,- -,- -,-87000,-839000,-642000,-40554000,6994000,40140000,8384000,-6818000,51447000,- -
76,Stock Based Compensation,- -,- -,- -,3284000,8626000,13078000,15088000,13002000,5990000,10607000,12251000,11459000,12396000,17054000
77,Change in Working Capital,-5227000,44990000,132306000,3299000,-207546000,173205000,117715000,-344714000,356455000,52885000,-253973000,547840000,-2667281000,4398530000
78,Accounts Receivable,- -,- -,- -,- -,-2493000,716000,-2122000,115000,-263000,-5686000,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,-4448000,-114000,-5096000,-5502000,2870000,-27575000,-20590000,-10706000,-48791000,7203000
81,Other Working Capital,152399000,197389000,329695000,332994000,125448000,298653000,416368000,71654000,428109000,480994000,227021000,774861000,-1892420000,2506110000
82,Other Non-Cash Items,28259000,52976000,-146618000,-15584000,207449000,-174409000,-113063000,326733000,-400928000,-103263000,199486000,-493866000,2547828000,-4255233000
83,Cash Provided by Operating Activities,76978000,28852000,64078000,134120000,176134000,251386000,298833000,328914000,331363000,260595000,394834000,397325000,-168708000,42961000
84,CAPEX,-126308000,-20612000,-844936000,-330451000,-342000,-185000,-47000,-659000,-283000,-219000,-279000,- -,- -,- -
85,Acquisitions Net,- -,-145315000,- -,- -,- -,- -,- -,- -,- -,-24883000,-350000,-603000,-100000,-174675000
86,Purchases of Investments,- -,-12917000,- -,- -,-9910000,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,68000,207000,207000,2664000,7246000,- -,- -,12792000,- -,- -,- -,- -
88,Other Investing Activites,-4092000,-19181000,58261000,-16768000,-353783000,-264546000,-618382000,-37442000,173654000,77290000,277743000,531015000,-66592000,150048000
89,Cash Used for Investing Activites,-130400000,-198025000,-786607000,-347012000,-363828000,-262067000,-611183000,-38101000,173371000,64980000,277114000,530412000,-66692000,-24627000
90,Debt Repayment,-106118000,-16808000,-814835000,-629342000,-514084000,-798941000,-463222000,-166587000,-54651000,-5760000,-958498000,-518591000,-3376000,- -
91,Common Stock Issued,- -,- -,- -,567672000,- -,327547000,232712000,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-6405000,-39000,-28971000,-1202000,-2345000,-4034000,-6107000,-12020000,-5502000,-3050000,-3599000,-47385000,-1641000,-2543000
93,Dividends Paid,-92584000,- -,-31065000,-44118000,-69303000,-98052000,-126021000,-171252000,-165202000,-177492000,-258822000,-254944000,-86544000,- -
94,Other Financing Activites,330813000,181221000,1713472000,362659000,579056000,800548000,605198000,-69220000,43101000,-4075000,274737000,435501000,334591000,-236712000
95,Cash Used/Provided by Financing Activities,125706000,164374000,838601000,255669000,-6676000,227068000,242560000,-419079000,-182254000,-190377000,-946182000,-385419000,243030000,-239255000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,72284000,-4799000,116072000,42777000,-194370000,216387000,-69790000,-128266000,322480000,135198000,-274234000,542318000,7630000,-220921000
98,Cash at the End of Period,156181000,151382000,267454000,310231000,115861000,332248000,262458000,134192000,456672000,659076000,384842000,927160000,934790000,713869000
99,Cash at the Beginning of Period,83897000,156181000,151382000,267454000,310231000,115861000,332248000,262458000,134192000,523878000,659076000,384842000,927160000,934790000
100,Free Cash Flow,-49330000,8240000,-780858000,-196331000,175792000,251201000,298786000,328255000,331080000,260376000,394555000,397325000,-168708000,42961000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1511337/000104746912002292/0001047469-12-002292-index.htm,https://www.sec.gov/Archives/edgar/data/1511337/000104746913001965/0001047469-13-001965-index.htm,https://www.sec.gov/Archives/edgar/data/1511337/000151133714000034/0001511337-14-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1511337/000151133715000039/0001511337-15-000039-index.htm,https://www.sec.gov/Archives/edgar/data/1511337/000151133716000282/0001511337-16-000282-index.htm,https://www.sec.gov/Archives/edgar/data/1511337/000151133717000027/0001511337-17-000027-index.htm,https://www.sec.gov/Archives/edgar/data/1511337/000151133718000046/0001511337-18-000046-index.htm,https://www.sec.gov/Archives/edgar/data/1511337/000151133719000040/0001511337-19-000040-index.htm,https://www.sec.gov/Archives/edgar/data/1511337/000151133720000006/0001511337-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1511337/000162828021003473/0001628280-21-003473-index.htm,https://www.sec.gov/Archives/edgar/data/1511337/000151133722000009/0001511337-22-000009-index.htm
102,false,,,,,,,,,,,,,,
