,https://roic.ai/company/ARNA,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,3344332,10927893,19889909,33775266,55749208,64296634,71469425,94368933,123391000,177632000,237223000,138914000,105554000,83951000,81003000,98168000,134447000,124411000,97625000,101288000,162729000,323669000,426940000,554347000
11,COGS and Expenses,3344332,10528615,19102080,33775266,55749208,64296634,71469425,94368933,123391000,177632000,245738000,145450000,112968000,92051000,84674000,104348000,142206000,137586000,112966000,101288000,162729000,323669000,426940000,554347000
12,Interest Income ,- -,- -,4644471,- -,- -,3594580,- -,4426279,12691000,- -,- -,689000,469000,117000,119000,89000,83000,158000,290000,492000,8772000,26872000,11052000,1428000
13,Interest Expense (Gain),- -,- -,220483,- -,- -,37231,- -,1838843,1838000,- -,- -,18718000,21681000,14309000,9120000,7091000,6915000,6828000,6512000,6119000,5695000,4791000,4523000,4159000
14,Depreciation and Amortization,- -,777387,5130725,7202519,8781712,12269362,11691573,8977954,8181000,8931000,14645000,14526000,12552000,11124000,9746000,8202000,9161000,10042000,9355000,4278000,3759000,3233000,3858000,3872000
15,EBITDA,-3344332,-9460563,-1010762,319795,-24048226,-34752846,-46300197,-57084248,-76229000,-134235000,-222928000,-119960000,-90301000,-83791000,-66611000,-4142000,-44432000,-91109000,-6649000,-81010000,-130210000,515912000,-396353000,-608402000
16,EBITDA ratio,-Infinity,-9460563.0000,-0.1316,0.0177,-1.2382,-2.7078,-3.3831,-2.4570,-2.4937,-6.9437,-22.7269,-11.5491,-5.4356,-6.5879,-2.4146,-0.0509,-1.2018,-2.3772,-0.0536,-3.7967,-7.2460,0.6397,-1242.4859,-11266.7037
17,Operating Income,-3344332,-10528614,-11418684,-15715267,-36327443,-51462355,-57783603,-71135587,-92822000,-158300000,-235929000,-138387000,-96355000,-82799000,-57113000,-22935000,-105273000,-103198000,-17146000,-91967000,-144783000,482746000,-426639000,-624299000
18,Operating Income ratio,-Infinity,-10528614.0000,-1.4862,-0.8702,-1.8705,-4.0098,-4.2222,-3.0618,-3.0365,-8.1885,-24.0523,-13.3231,-5.8000,-6.5099,-2.0703,-0.2818,-2.8475,-2.6926,-0.1383,-4.3102,-8.0569,0.5986,-1337.4263,-11561.0926
19,Total Other Income Expenses (Gains),- -,9420,632726,1538440,-817038,1984175,191422,647106,-4279000,30000,-3339000,-112000,-6967000,-15700000,-28338000,3481000,44802000,-4815000,-5707000,-3846000,5949000,25142000,21905000,7866000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-85451000,-19454000,-60471000,-108013000,-22853000,-95813000,-138834000,507888000,-404734000,-616433000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3.0975,-0.2390,-1.6357,-2.8183,-0.1843,-4.4905,-7.7259,0.6298,-1268.7586,-11415.4259
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-110265000,110333000,- -,- -
23,Net Income,-3396318,-10237950,-6361970,-6882724,-32829938,-47059439,-57991770,-67901045,-86248000,-143166000,-237573000,-153204000,-124534000,-109224000,-85477000,-19435000,-60508000,-107979000,-22516000,-91407000,-29399000,397555000,-404734000,-616433000
24,Net Income ratio,-Infinity,-10237950.0000,-0.8280,-0.3811,-1.6904,-3.6667,-4.2374,-2.9226,-2.8214,-7.4056,-24.2199,-14.7496,-7.4962,-8.5875,-3.0985,-0.2388,-1.6367,-2.8174,-0.1816,-4.2840,-1.6360,0.4930,-1268.7586,-11415.4259
25,EPS,-35.10,-12.90,-28.40,-2.80,-11.90,-17.40,-24.00,-22.40,-18.90,-23.10,-32.40,-18.20,-11.40,-8.00,-4.50,-0.90,-2.80,-4.50,-0.90,-2.77,-0.63,7.99,-7.39,-11.26
26,EPS Diluted,-35.10,-12.90,-28.40,-2.80,-11.90,-17.40,-24.00,-22.40,-18.90,-23.10,-32.40,-18.20,-11.40,-8.00,-4.50,-0.90,-2.80,-4.50,-0.90,-2.77,-0.63,7.69,-7.39,-11.26
27,Weighted Average Shares Outstanding,96679,792695,1013975,2498906,2748753,2715923,2552761,3437769,4675059,6278285,7384071,8434100,10957317,13917072,19652400,21810400,21973400,24067100,24313300,32990000,47041000,49779000,54767000,54767000
28,Weighted Average Shares Outstanding Diluted,96679,792695,1013975,2498906,2748753,2715923,2552761,3437769,4675059,6278285,7384071,8434100,10957317,13917072,19652400,21810400,21973400,24067100,24313300,32990000,47041000,51698000,54767000,54767000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1080709/000091205701007933/0000912057-01-007933-index.html,https://www.sec.gov/Archives/edgar/data/1080709/000091205702010177/0000912057-02-010177-index.htm,https://www.sec.gov/Archives/edgar/data/1080709/000110465903005300/0001104659-03-005300-index.htm,https://www.sec.gov/Archives/edgar/data/1080709/000110465904005990/0001104659-04-005990-index.htm,https://www.sec.gov/Archives/edgar/data/1080709/000110465905008997/0001104659-05-008997-index.htm,https://www.sec.gov/Archives/edgar/data/1080709/000110465906014415/0001104659-06-014415-index.htm,https://www.sec.gov/Archives/edgar/data/1080709/000110465907016738/0001104659-07-016738-index.htm,https://www.sec.gov/Archives/edgar/data/1080709/000104746908002233/0001047469-08-002233-index.htm,https://www.sec.gov/Archives/edgar/data/1080709/000119312509055404/0001193125-09-055404-index.htm,https://www.sec.gov/Archives/edgar/data/1080709/000119312510058356/0001193125-10-058356-index.htm,https://www.sec.gov/Archives/edgar/data/1080709/000119312511067308/0001193125-11-067308-index.htm,https://www.sec.gov/Archives/edgar/data/1080709/000119312512117359/0001193125-12-117359-index.htm,https://www.sec.gov/Archives/edgar/data/1080709/000119312513087866/0001193125-13-087866-index.htm,https://www.sec.gov/Archives/edgar/data/1080709/000119312514080400/0001193125-14-080400-index.htm,https://www.sec.gov/Archives/edgar/data/1080709/000119312515073420/0001193125-15-073420-index.htm,https://www.sec.gov/Archives/edgar/data/1080709/000162828016011994/0001628280-16-011994-index.htm,https://www.sec.gov/Archives/edgar/data/1080709/000156459017004354/0001564590-17-004354-index.htm,https://www.sec.gov/Archives/edgar/data/1080709/000156459018005660/0001564590-18-005660-index.htm,https://www.sec.gov/Archives/edgar/data/1080709/000156459019005441/0001564590-19-005441-index.htm,https://www.sec.gov/Archives/edgar/data/1080709/000156459020007399/0001564590-20-007399-index.htm,https://www.sec.gov/Archives/edgar/data/1080709/000156459021007609/0001564590-21-007609-index.htm,https://www.sec.gov/Archives/edgar/data/1080709/000108070922000006/0001080709-22-000006-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,194243,5401508,144413176,176676669,61871305,60471856,58686129,73781143,373044000,386989000,73329000,94733000,150669000,57632000,156091000,221878000,163209000,156184000,90712000,158837000,161037000,243274000,219544000,224572000
32,Short-Term Investments,- -,- -,- -,50247624,123271580,93545027,54627710,54157836,15781000,11196000,36800000,20716000,- -,- -,- -,- -,- -,- -,- -,88240000,284594000,496291000,884497000,325897000
33,Cash and Short-Term Investments,194243,5401508,144413176,226924293,185142885,154016883,113313839,127938979,388825000,398185000,110129000,115449000,150669000,57632000,156091000,221878000,163209000,156184000,90712000,247077000,445631000,739565000,1104041000,550469000
34,Net Receivables,- -,- -,2116146,3481250,3519209,27712,22590323,848095,310000,1901000,1823000,1415000,3499000,607000,5556000,10602000,3712000,4934000,20162000,14382000,5086000,1654000,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6058000,12759000,10831000,9502000,6708000,- -,- -,- -,- -,- -
36,Other Current Assets,- -,172052,1685122,2903281,4647558,4730961,5331799,5720970,10551000,9162000,5031000,4409000,2638000,2021000,3454000,3571000,4144000,4218000,2307000,19821000,10008000,18715000,35266000,18996000
37,Total Current Assets,- -,5573560,148214444,233308824,193309652,158775556,141235961,134508044,399686000,409248000,116983000,121273000,156806000,60260000,171159000,248810000,181896000,174838000,119889000,281280000,460725000,759934000,1139307000,569465000
38,PP&E,- -,2773382,4265260,23268567,44073364,55729472,52994209,49639322,56500000,65940000,102740000,95445000,91533000,82066000,75417000,77388000,82919000,71828000,43828000,30131000,23114000,25128000,22090000,19125000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,6412000,4875000,16262000,13123000,12031000,11032000,10611000,10182000,8482000,7775000,2357000,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,6412000,4875000,16262000,13123000,12031000,11032000,10611000,10182000,8482000,7775000,2357000,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24242000,82412000,370938000,- -,160796000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,110333000,- -,- -,- -
44,Other Non-Current Assets,- -,178898,232225,20396319,17507031,15393081,12134825,13981908,5867000,7443000,5346000,6437000,5992000,3771000,4019000,3427000,3088000,2351000,2936000,3622000,10319000,18123000,29323000,35319000
45,Total Non-Current Assets,- -,2952280,4497485,43664886,61580395,71122553,65129034,63621230,68779000,78258000,124348000,115005000,109556000,96869000,90047000,90997000,94489000,81954000,49121000,57995000,226178000,414189000,51413000,215240000
46,Other Assets,1653090,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1653090,8525840,152711929,276973710,254890047,229898109,206364995,198129274,468465000,487506000,241331000,236278000,266362000,157129000,261206000,339807000,276385000,256792000,169010000,339275000,686903000,1174123000,1190720000,784705000
48,Accounts Payable,- -,866414,915540,2329426,4010513,1741981,4988586,8300783,3165000,26922000,12936000,- -,- -,2363000,3884000,3721000,2844000,2078000,5977000,1599000,6192000,6043000,12004000,13304000
49,Short-Term Debt,- -,355119,480538,499387,4511803,43874,- -,- -,- -,231000,410000,717000,22340000,1313000,1664000,2056000,2492000,2978000,3518000,4000000,3283000,3814000,4401000,5052000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,2386029,- -,2861736,11497209,15151507,13054000,- -,- -,4086000,3846000,3473000,15453000,37861000,15238000,21425000,35288000,1110000,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,220000,620404,912906,1281486,1300371,1974473,19782000,3136000,33853000,15884000,10680000,7211000,8913000,27106000,46788000,23415000,19096000,65618000,20443000,35110000,41672000,47960000
53,Total Current Liabilities,- -,1221533,1616078,5835246,9435222,5929077,17786166,25426763,36001000,30289000,47199000,20687000,36866000,14360000,29914000,70744000,67362000,49896000,63879000,72327000,29918000,44967000,58077000,66316000
54,Long-Term Debt,- -,2158784,960517,- -,- -,- -,- -,- -,- -,- -,- -,57049000,27403000,14698000,- -,- -,- -,- -,- -,- -,- -,- -,- -,36159000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,564000,44643000,41434000,47282000,101329000,93064000,87617000,2167000,1067000,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,534000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,793123,1351009,1664786,3403124,40820900,61855843,73162171,66349000,120840000,75966000,83411000,77435000,76075000,85371000,75877000,68614000,65737000,62569000,58737000,50727000,57691000,52174000,8993000
58,Total Non-Current Liabilities,- -,2951907,2311526,1664786,3403124,40820900,61855843,73162171,66349000,120840000,76500000,141024000,149481000,132207000,132653000,177206000,161678000,153354000,64736000,59804000,50727000,57691000,52174000,45152000
59,Other Liabilities,5721373,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,45737,- -,- -,- -,- -,- -,62657000,77486000,76769000,75771000,74458000,72794000,70737000,68245000,65266000,61748000,52709000,49427000,45612000,41211000
61,Total Liabilities,5721373,4173440,3927604,7500032,12838346,46749977,79642009,98588934,102350000,151129000,123699000,161711000,186347000,146567000,162567000,247950000,229040000,203250000,128615000,132131000,80645000,102658000,110251000,111468000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,111,2268,2759,2775,2867,2972,3862,6000,8000,8000,10000,12000,15000,22000,22000,22000,24000,24000,4000,5000,5000,6000,6000
64,Retained Earnings,-4091083,-14329033,-20691003,-27573727,-60403665,-107525478,-168806515,-245892203,-334171000,-479451000,-718936000,-864587000,-989121000,-1079751000,-1188298000,-1207733000,-1268241000,-1376220000,-1398736000,-1490187000,-1500552000,-1102997000,-1507731000,-2124164000
65,Other Comprehensive Income/Loss,- -,-589006,-1376835,-3005410,1564674,-2121030,-943427,-434253,-13000,-23000,256000,945000,4966000,4743000,5489000,5728000,2908000,-1179000,-3099000,-1216000,-155000,1303000,700000,-280000
66,Other Total Stockholders Equity,22800,19270328,170849895,300050056,300887917,292791773,296469956,345862934,700293000,815843000,836304000,938199000,1064158000,1085555000,1281426000,1293840000,1312656000,1430917000,1441715000,1698543000,2106960000,2173154000,2587494000,2797675000
67,Total Stockholders Equity,-4068283,4352400,148784325,269473678,242051701,183148132,126722986,99540340,366115000,336377000,117632000,74567000,80015000,10562000,98639000,91857000,47345000,53542000,39904000,207144000,606258000,1071465000,1080469000,673237000
68,Total Liabilities And Stockholders Equity,1653090,8525840,152711929,276973710,254890047,229898109,206364995,198129274,468465000,487506000,241331000,236278000,266362000,157129000,261206000,339807000,276385000,256792000,168519000,339275000,686903000,1174123000,1190720000,784705000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,491000,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,1653090,8525840,152711929,276973710,254890047,229898109,206364995,198129274,468465000,487506000,241331000,236278000,266362000,157129000,261206000,339807000,276385000,256792000,169010000,339275000,686903000,1174123000,1190720000,784705000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1080709/000091205701007933/0000912057-01-007933-index.html,https://www.sec.gov/Archives/edgar/data/1080709/000091205702010177/0000912057-02-010177-index.htm,https://www.sec.gov/Archives/edgar/data/1080709/000110465903005300/0001104659-03-005300-index.htm,https://www.sec.gov/Archives/edgar/data/1080709/000110465904005990/0001104659-04-005990-index.htm,https://www.sec.gov/Archives/edgar/data/1080709/000110465905008997/0001104659-05-008997-index.htm,https://www.sec.gov/Archives/edgar/data/1080709/000110465906014415/0001104659-06-014415-index.htm,https://www.sec.gov/Archives/edgar/data/1080709/000110465907016738/0001104659-07-016738-index.htm,https://www.sec.gov/Archives/edgar/data/1080709/000104746908002233/0001047469-08-002233-index.htm,https://www.sec.gov/Archives/edgar/data/1080709/000119312509055404/0001193125-09-055404-index.htm,https://www.sec.gov/Archives/edgar/data/1080709/000119312510058356/0001193125-10-058356-index.htm,https://www.sec.gov/Archives/edgar/data/1080709/000119312511067308/0001193125-11-067308-index.htm,https://www.sec.gov/Archives/edgar/data/1080709/000119312512117359/0001193125-12-117359-index.htm,https://www.sec.gov/Archives/edgar/data/1080709/000119312513087866/0001193125-13-087866-index.htm,https://www.sec.gov/Archives/edgar/data/1080709/000119312514080400/0001193125-14-080400-index.htm,https://www.sec.gov/Archives/edgar/data/1080709/000119312515073420/0001193125-15-073420-index.htm,https://www.sec.gov/Archives/edgar/data/1080709/000162828016011994/0001628280-16-011994-index.htm,https://www.sec.gov/Archives/edgar/data/1080709/000156459017004354/0001564590-17-004354-index.htm,https://www.sec.gov/Archives/edgar/data/1080709/000156459018005660/0001564590-18-005660-index.htm,https://www.sec.gov/Archives/edgar/data/1080709/000156459019005441/0001564590-19-005441-index.htm,https://www.sec.gov/Archives/edgar/data/1080709/000156459020007399/0001564590-20-007399-index.htm,https://www.sec.gov/Archives/edgar/data/1080709/000156459021007609/0001564590-21-007609-index.htm,https://www.sec.gov/Archives/edgar/data/1080709/000108070922000006/0001080709-22-000006-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-10237950,-6361970,-6882724,-32829938,-47059439,-57991770,-67901045,-86248000,-143166000,-237573000,-153204000,-124534000,-109224000,-85477000,-19435000,-60508000,-107979000,-22516000,-91407000,-29399000,397555000,-404734000,-616433000
74,Depreciation and Amortization,- -,777387,5130725,7202519,8781712,12269362,11691573,8977954,8181000,8931000,14645000,14526000,12552000,11124000,9746000,8202000,9161000,10042000,9355000,4278000,3759000,3233000,3858000,3872000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,534000,-534000,- -,- -,- -,- -,- -,- -,- -,- -,-110333000,110333000,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7149000,5495000,3748000,5072000,9024000,13509000,14463000,11117000,7855000,19543000,53047000,59920000,70373000
77,Change in Working Capital,- -,514124,142246339,80875212,-43599148,-31027951,-29396684,-14368514,254603719,15274000,-309175000,30802000,19354000,-74040000,95345000,36821000,-63532000,10408000,-68932000,152943000,221854000,284160000,366263000,23179000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,430000,-1931000,2878000,-5260000,-4473000,6407000,-1425000,-15903000,10787000,-2760000,3432000,344000,1101000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5875000,-6065000,870000,1858000,3193000,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,276000,19572000,13240000,-16970000,-103000,1803000,10871000,- -,11856000,5618000
81,Other Working Capital,- -,4352027,146598366,227473578,183874430,152846479,123449795,109081281,363685000,378959000,69784000,100586000,119940000,45900000,141245000,178066000,114534000,124942000,56010000,208953000,430807000,714967000,1081230000,- -
82,Other Non-Cash Items,- -,277045,-145151490,-82831307,50425052,31241425,36535599,30432533,-247553719,-9187000,340130000,-54664000,34818000,90135000,-68733000,38188000,-28000,-25047000,8837000,-140311000,-237636000,-279634000,-378401000,66993000
83,Cash Provided by Operating Activities,- -,-8669394,-4136396,-1636300,-17222322,-34576603,-39161282,-42859072,-71017000,-128148000,-191439000,-155925000,-52315000,-78257000,-44047000,72800000,-101398000,-98113000,-62139000,-66642000,-132212000,568694000,-353094000,-452016000
84,CAPEX,- -,-2007020,-2279707,-20631882,-24325234,-17286030,-4414741,-3581283,-14231000,-17423000,-42790000,-5331000,-4211000,-619000,-1777000,-9164000,-8905000,-10992000,-950000,-113000,-692000,-4819000,-820000,-70988000
85,Acquisitions Net,- -,- -,- -,-15000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-406000,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-51292856,-207336208,-174527521,-95314008,-152638555,-17976000,-60998000,-65023000,-20433000,-1231000,- -,- -,- -,- -,- -,- -,-112615000,-364539000,-1469220000,-1033665000,-612218000
87,Sales/Maturities of Investments,- -,- -,- -,998648,135543996,200510138,132274753,153079418,57096000,65992000,39123000,36696000,21664000,- -,- -,- -,49553000,- -,- -,- -,110564000,976093000,1014083000,1004607000
88,Other Investing Activites,- -,-98383,90882,-2960088,-1497619,240559,793744,254879,167000,-167000,217000,433000,95000,-53000,-394000,499000,256000,2841000,200000,784000,-11000,- -,-1000000,-70000000
89,Cash Used for Investing Activites,- -,-2105403,-2188825,-88886178,-97615065,8937146,33339748,-2885541,25056000,-12596000,-68473000,11365000,16317000,-672000,-2171000,-8665000,40904000,-8151000,-750000,-112350000,-254678000,-497946000,-21402000,321401000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10581000,-30717000,-49797000,-23574000,-1664000,-2057000,-2492000,-2979000,-3518000,-4000000,-3282000,-3815000,-4401000
91,Common Stock Issued,- -,14160799,145475425,123325547,524454,891526,4079681,60839627,345224000,106736000,1733000,65368000,120466000,17977000,151218000,3315000,5225000,103628000,370000,248805000,389031000,13147000,354421000,98438000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-23070000,- -,- -,- -,- -,-55834000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,1821263,-138536,-539576,-492431,46418482,-43874,- -,- -,47974000,760000,111865000,- -,17662000,16462000,- -,- -,- -,320000,- -,- -,- -,- -,41370000
95,Cash Used/Provided by Financing Activities,- -,15982062,145336889,122785971,32023,24240008,4035807,60839627,345224000,154710000,-53341000,166652000,89749000,-14158000,144106000,1651000,3168000,101136000,-2289000,245287000,385031000,9865000,350606000,135407000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,-21000,-407000,-688000,2185000,50000,571000,1000,-1343000,-1897000,-294000,1870000,654000,-10000,160000,236000
97,Net Change In Cash,- -,5207265,139011668,32263493,-114805364,-1399449,-1785727,15095014,299263000,13945000,-313660000,21404000,55936000,-93037000,98459000,65787000,-58669000,-7025000,-65472000,68125000,2200000,81600000,-23730000,5028000
98,Cash at the End of Period,- -,5401508,144413176,176676669,61871305,60471856,58686129,73781143,373044000,386989000,73329000,94733000,150669000,57632000,156091000,221878000,163209000,156184000,90712000,158837000,161900000,243500000,219770000,224798000
99,Cash at the Beginning of Period,- -,194243,5401508,144413176,176676669,61871305,60471856,58686129,73781000,373044000,386989000,73329000,94733000,150669000,57632000,156091000,221878000,163209000,156184000,90712000,159700000,161900000,243500000,219770000
100,Free Cash Flow,- -,-10676414,-6416103,-22268182,-41547556,-51862633,-43576023,-46440355,-85248000,-145571000,-234229000,-161256000,-56526000,-78876000,-45824000,63636000,-110303000,-109105000,-63089000,-66755000,-132904000,563875000,-353914000,-523004000
101,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1080709/000091205701007933/0000912057-01-007933-index.html,https://www.sec.gov/Archives/edgar/data/1080709/000091205702010177/0000912057-02-010177-index.htm,https://www.sec.gov/Archives/edgar/data/1080709/000110465903005300/0001104659-03-005300-index.htm,https://www.sec.gov/Archives/edgar/data/1080709/000110465904005990/0001104659-04-005990-index.htm,https://www.sec.gov/Archives/edgar/data/1080709/000110465905008997/0001104659-05-008997-index.htm,https://www.sec.gov/Archives/edgar/data/1080709/000110465906014415/0001104659-06-014415-index.htm,https://www.sec.gov/Archives/edgar/data/1080709/000110465907016738/0001104659-07-016738-index.htm,https://www.sec.gov/Archives/edgar/data/1080709/000104746908002233/0001047469-08-002233-index.htm,https://www.sec.gov/Archives/edgar/data/1080709/000119312509055404/0001193125-09-055404-index.htm,https://www.sec.gov/Archives/edgar/data/1080709/000119312510058356/0001193125-10-058356-index.htm,https://www.sec.gov/Archives/edgar/data/1080709/000119312511067308/0001193125-11-067308-index.htm,https://www.sec.gov/Archives/edgar/data/1080709/000119312512117359/0001193125-12-117359-index.htm,https://www.sec.gov/Archives/edgar/data/1080709/000119312513087866/0001193125-13-087866-index.htm,https://www.sec.gov/Archives/edgar/data/1080709/000119312514080400/0001193125-14-080400-index.htm,https://www.sec.gov/Archives/edgar/data/1080709/000119312515073420/0001193125-15-073420-index.htm,https://www.sec.gov/Archives/edgar/data/1080709/000162828016011994/0001628280-16-011994-index.htm,https://www.sec.gov/Archives/edgar/data/1080709/000156459017004354/0001564590-17-004354-index.htm,https://www.sec.gov/Archives/edgar/data/1080709/000156459018005660/0001564590-18-005660-index.htm,https://www.sec.gov/Archives/edgar/data/1080709/000156459019005441/0001564590-19-005441-index.htm,https://www.sec.gov/Archives/edgar/data/1080709/000156459020007399/0001564590-20-007399-index.htm,https://www.sec.gov/Archives/edgar/data/1080709/000156459021007609/0001564590-21-007609-index.htm,https://www.sec.gov/Archives/edgar/data/1080709/000108070922000006/0001080709-22-000006-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
