,https://roic.ai/company/BANT,2017,2018,2019,2020,2021
55,Deferred Revenue,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,688444,1282939,- -,338014
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,139171,86990
61,Total Liabilities,12419948,15310282,15979942,1878303,16252664
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,4311,76716,325537,49104,247052
64,Retained Earnings,-13856425,-19631292,-26746451,- -,-32956840
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,7442028,10397232,11525560,-17994077,17913710
67,Total Stockholders Equity,-6410086,-9157344,-14895354,-17944973,-14796078
68,Total Liabilities And Stockholders Equity,6009862,6152938,1084588,-16066670,1456586
69,Minority Interest,- -,- -,- -,16668910,- -
70,Total Liabilities & Equity,6009862,6152938,1084588,602240,1456586
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1704795/000114420417065943/0001144204-17-065943-index.html,https://www.sec.gov/Archives/edgar/data/1704795/000121390018018073/0001213900-18-018073-index.html,https://www.sec.gov/Archives/edgar/data/1704795/000121390020002774/0001213900-20-002774-index.htm,https://www.sec.gov/Archives/edgar/data/1704795/000121390021001662/0001213900-21-001662-index.htm,https://www.sec.gov/Archives/edgar/data/1704795/000121390022001080/0001213900-22-001080-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-7826933,-5774867,-7115159,-4328318,-1882071
74,Depreciation and Amortization,1002637,274655,276276,11088,7374
75,Deferred Income Tax,- -,- -,- -,- -,- -
76,Stock Based Compensation,2037158,413321,481583,127277,250709
77,Change in Working Capital,- -,-1809415,-1462221,-2581943,1504689
78,Accounts Receivable,-303316,-446491,823854,442339,221003
79,Inventory,710382,147951,414548,73959,-17238
80,Accounts Payable,2228943,2413381,129006,1395156,703927
81,Other Working Capital,-10360702,-12170117,-13632338,-16214281,-14709592
82,Other Non-Cash Items,4308369,6101937,6714191,6280896,-1457349
83,Cash Provided by Operating Activities,-478769,-794369,-1105330,-491000,-1576648
84,CAPEX,- -,-25256,-15606,- -,-44650
85,Acquisitions Net,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-44650
89,Cash Used for Investing Activites,- -,-25256,-15606,- -,-44650
90,Debt Repayment,- -,-97591,-121484,-1137020,-2130975
91,Common Stock Issued,- -,- -,- -,264637,3083930
92,Common Stock Repurchased,-152492,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,152733,873170,1283806,1377565,1490282
95,Cash Used/Provided by Financing Activities,241,775579,1162322,505182,2443237
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -
97,Net Change In Cash,-478528,-44046,41386,14182,821939
98,Cash at the End of Period,152492,108446,149832,164014,985953
99,Cash at the Beginning of Period,631020,152492,108446,149832,164014
100,Free Cash Flow,-478769,-819625,-1120936,-491000,-1621298
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1704795/000114420417065943/0001144204-17-065943-index.html,https://www.sec.gov/Archives/edgar/data/1704795/000121390018018073/0001213900-18-018073-index.html,https://www.sec.gov/Archives/edgar/data/1704795/000121390020002774/0001213900-20-002774-index.htm,https://www.sec.gov/Archives/edgar/data/1704795/000121390021001662/0001213900-21-001662-index.htm,https://www.sec.gov/Archives/edgar/data/1704795/000121390022001080/0001213900-22-001080-index.htm
102,false,,,,,
