,https://roic.ai/company/NDLS,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1275158/000127515814000011/a10k20131231.htm,https://www.sec.gov/Archives/edgar/data/1275158/000127515815000005/a10k2014.htm,https://www.sec.gov/Archives/edgar/data/1275158/000127515816000096/0001275158-16-000096-index.html,- -,undefined,https://www.sec.gov/Archives/edgar/data/1275158/000127515818000017/0001275158-18-000017-index.html,https://www.sec.gov/Archives/edgar/data/1275158/000127515820000014/0001275158-20-000014-index.html,https://www.sec.gov/Archives/edgar/data/1275158/000127515821000015/0001275158-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1275158/000127515822000006/0001275158-22-000006-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,523000,581000,968000,1906000,1912000,1837000,- -,3361000,10459000,7840000,2
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,523000,581000,968000,1906000,1912000,1837000,- -,3361000,10459000,7840000,2
34,Net Receivables,- -,4429000,5561000,4832000,5184000,5810000,5694000,- -,2510000,3606000,3428000,- -
35,Inventory,- -,4595000,6042000,7223000,9415000,10494000,11285000,- -,9929000,9871000,9643000,- -
36,Other Current Assets,- -,3332000,3970000,5310000,6271000,7185000,6972000,- -,6258000,5386000,2803000,22561998
37,Total Current Assets,- -,12879000,16154000,18333000,22776000,25401000,25788000,- -,22058000,29322000,23714000,22562000
38,PP&E,- -,103831000,136287000,167614000,205573000,203713000,173533000,- -,152593000,338584000,122917000,- -
39,Goodwill,- -,- -,- -,- -,6400000,6400000,6400000,- -,6400000,7154000,7154000,- -
40,Intangible Assets,- -,- -,- -,- -,1927000,1809000,1715000,- -,1565000,883000,757000,- -
41,Intangible Assets,- -,- -,- -,- -,8327000,8209000,8115000,- -,7965000,8037000,7911000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,5496000,2791000,- -,6512000,- -,- -,- -,416000,- -,- -,- -
44,Other Non-Current Assets,- -,4119000,1763000,1855000,-4649000,2638000,2025000,- -,2201000,2576000,- -,318897000
45,Total Non-Current Assets,- -,113446000,140841000,169469000,215763000,214560000,183673000,- -,163175000,349197000,130828000,318897000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,126325000,156995000,187802000,238539000,239961000,209461000,- -,185233000,378519000,154542000,341459000
48,Accounts Payable,- -,6900000,9393000,8167000,10865000,15073000,10601000,- -,10929000,9351000,6402000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,750000,26094000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,1875000,2182000,2289000,- -,- -,3857000,- -,- -,555000,- -,- -
52,Other Current Liabilities,- -,11782000,12185000,13709000,14966000,17841000,34575000,- -,32940000,47378000,25633000,76582000
53,Total Current Liabilities,- -,20557000,23760000,24165000,25831000,32914000,49033000,- -,43869000,58034000,58129000,76582000
54,Long-Term Debt,- -,77523000,93731000,6312000,27136000,67732000,84676000,- -,57624000,40497000,1125000,- -
55,Deferred Revenue,- -,- -,- -,- -,35498000,39597000,- -,- -,38872000,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,1146000,6512000,- -,435000,- -,416000,200000,- -,- -
57,Other Non-Current Liabilities,- -,20722000,25496000,31706000,3447000,5946000,49499000,- -,8591000,229217000,14160000,227244000
58,Total Non-Current Liabilities,- -,98245000,119227000,39164000,72593000,113275000,134610000,- -,105503000,269914000,15285000,227244000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,281088000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,248299000,238348000,- -
61,Total Liabilities,- -,118802000,142987000,63329000,98424000,146189000,183643000,- -,149372000,327948000,323932000,303826000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,232000,232000,295000,298000,301000,303000,- -,436000,466000,468000,- -
64,Retained Earnings,- -,-1520000,2614000,10308000,21736000,7971000,-63706000,- -,-101188000,-115480000,- -,- -
65,Other Comprehensive Income/Loss,- -,-75181000,-88700000,-106243000,-129327000,-268000,-51000,- -,-169444000,-197355000,- -,- -
66,Other Total Stockholders Equity,- -,83992000,99862000,220113000,247408000,85768000,89272000,- -,306057000,362940000,29231000,- -
67,Total Stockholders Equity,- -,7523000,14008000,124473000,140115000,93772000,25818000,- -,35861000,50571000,29699000,37633000
68,Total Liabilities And Stockholders Equity,- -,126325000,156995000,187802000,238539000,239961000,209461000,- -,185233000,378519000,353631000,341459000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-199089000,- -
70,Total Liabilities & Equity,- -,126325000,156995000,187802000,238539000,239961000,209461000,- -,185233000,378519000,154542000,341459000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1275158/000127515814000011/a10k20131231.htm,https://www.sec.gov/Archives/edgar/data/1275158/000127515815000005/a10k2014.htm,https://www.sec.gov/Archives/edgar/data/1275158/000127515816000096/0001275158-16-000096-index.html,- -,undefined,https://www.sec.gov/Archives/edgar/data/1275158/000127515818000017/0001275158-18-000017-index.html,https://www.sec.gov/Archives/edgar/data/1275158/000127515820000014/0001275158-20-000014-index.html,https://www.sec.gov/Archives/edgar/data/1275158/000127515821000015/0001275158-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1275158/000127515822000006/0001275158-22-000006-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,2378000,3829000,5163000,6665000,11428000,-13765000,-71677000,- -,-37482000,1647000,-23259000,3665000
74,Depreciation and Amortization,13932000,14501000,16719000,20623000,24787000,27802000,28134000,- -,24613000,22086000,21709000,4000
75,Deferred Income Tax,-419000,1520000,2607000,4206000,6330000,-8878000,1099000,- -,-228000,68000,40000,29
76,Stock Based Compensation,5610000,1327000,1234000,4230000,1330000,1469000,2319000,- -,1514000,2443000,2497000,4110
77,Change in Working Capital,384000,-10651000,72000,1774000,2777000,-4458000,-15732000,- -,1434000,-18916000,-5703000,-19605000
78,Accounts Receivable,-2384000,166000,-1104000,538000,-75000,-437000,-443000,- -,2976000,-630000,-392000,-491
79,Inventory,-572000,-680000,-1447000,-1181000,-1840000,-1058000,-790000,- -,-387000,-625000,61000,-382
80,Accounts Payable,270000,80000,-155000,-230000,2661000,2794000,-2440000,- -,-1302000,406000,-1287000,4689
81,Other Working Capital,2973000,-7678000,-7606000,-5832000,-3055000,-7513000,-23245000,- -,-21811000,-28712000,-34415000,-54020000
82,Other Non-Cash Items,2720000,17396000,6274000,6136000,2375000,42336000,80594000,- -,14251000,22732000,13840000,15968026
83,Cash Provided by Operating Activities,24605000,27922000,32069000,43634000,49027000,44506000,24737000,- -,4102000,30060000,9124000,36165
84,CAPEX,-26933000,-30047000,-47384000,-54429000,-72060000,-50721000,-43335000,- -,-20828000,-18791000,-11782000,-18776
85,Acquisitions Net,- -,- -,- -,- -,-15708000,-628000,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,578000,- -,- -,-1035000,837000,406
89,Cash Used for Investing Activites,-26933000,-30047000,-47384000,-54429000,-72060000,-50721000,-42757000,- -,-20828000,-18439000,-10945000,-18370
90,Debt Repayment,-59462000,-111475000,-89549000,-224526000,-289292000,-384771000,-2649000,- -,-37111000,-6565000,-55393000,-21556
91,Common Stock Issued,174042000,- -,- -,100069000,- -,- -,- -,- -,29110000,- -,- -,- -
92,Common Stock Repurchased,- -,-133000,-48000,-2777000,-71000,-35000000,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-99365000,100954000,104970000,138416000,313334000,426126000,20553000,- -,26266000,748000,54595000,-1824
95,Cash Used/Provided by Financing Activities,15215000,-10654000,15373000,11182000,23971000,6355000,17904000,- -,18265000,-5817000,-798000,-23380
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,-134000,41000,- -,-15000,- -,- -,- -
97,Net Change In Cash,12887000,-12779000,58000,387000,938000,6000,-75000,- -,1524000,5804000,-2619000,-5585
98,Cash at the End of Period,13302000,523000,581000,968000,1906000,1912000,1837000,- -,3361000,10459000,7840000,- -
99,Cash at the Beginning of Period,415000,13302000,523000,581000,968000,1906000,1912000,- -,1837000,4655000,10459000,- -
100,Free Cash Flow,-2328000,-2125000,-15315000,-10795000,-23033000,-6215000,-18598000,- -,-16726000,11269000,-2658000,17389
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1275158/000127515814000011/a10k20131231.htm,https://www.sec.gov/Archives/edgar/data/1275158/000127515815000005/a10k2014.htm,https://www.sec.gov/Archives/edgar/data/1275158/000127515816000096/0001275158-16-000096-index.html,- -,undefined,https://www.sec.gov/Archives/edgar/data/1275158/000127515818000017/0001275158-18-000017-index.html,https://www.sec.gov/Archives/edgar/data/1275158/000127515820000014/0001275158-20-000014-index.html,https://www.sec.gov/Archives/edgar/data/1275158/000127515821000015/0001275158-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1275158/000127515822000006/0001275158-22-000006-index.htm
102,false,,,,,,,,,,,,
