,https://roic.ai/company/IMMP,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,109962,109962,109962,109962,109962,109962,109962
40,Intangible Assets,583712,541777,499841,457906,225759,171321,116883,22552455,20741737,18910374,18219193,16836763,15084845,12737286
41,Intangible Assets,583712,541777,499841,457906,225759,171321,116883,22662417,20851699,19020336,18329155,16946725,15194807,12847248
42,Investments,1026571,555107,574504,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,1065000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,454190
45,Total Non-Current Assets,1639995,1116195,2236832,577859,709687,1005999,694147,22960374,20883199,19044538,18355604,16999675,15445378,13611142
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2821250,2489620,19011184,57640661,41612671,32814298,25377955,30983445,42554067,34963796,46998783,40541499,46597252,82030533
48,Accounts Payable,118891,116030,1352199,1770121,2724109,3087398,2216723,2201864,561263,1138753,1615381,2557273,1639661,1824901
49,Short-Term Debt,- -,240385,700000,- -,- -,- -,- -,1508473,- -,- -,- -,- -,129412,208194
50,Tax Payable,- -,- -,- -,- -,- -,27065,16990,20837,21549,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,68926,320683,170584,766970,1720363,472734,554113,669326,910778,1493255,2237982,2741665,1595172,3306963
53,Total Current Liabilities,187817,677098,2222783,2537091,4444472,3560132,2770836,4379663,1472041,2632008,3853363,5298938,3364245,5340058
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,5027168,5778984,6645832,7642707,8922084,2606983
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,1878333,694194,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,887,4440,10328,5748,14799,35706,43151,20498,2977661,3212138,1011578,811881
58,Total Non-Current Liabilities,- -,- -,887,4440,10328,5748,14799,1914039,5764513,5799482,9623493,10854845,9933662,3418864
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,262383,288307
61,Total Liabilities,187817,677098,2223670,2541531,4454800,3565880,2785635,6293702,7236554,8431490,13476856,16153783,13297907,8758922
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,142326977,149014372,179887135,194530932,195352543,213232719,221091591,242990507,313422305
64,Retained Earnings,-35851998,-38798354,-50957202,-79794714,-99735674,-114961345,-128304726,-160456422,-222471606,-231838812,-244584832,-262237829,-275706061,-274642220
65,Other Comprehensive Income/Loss,-1954945,-1954694,- -,-1157,181020,1882786,1882674,5267729,63258187,63018575,64874040,65533954,66014899,34491526
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,-8699,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,2633332,1812758,16787766,55099130,37157871,29248418,22592320,24689743,35317513,26532306,33521927,24387716,33299345,73271611
68,Total Liabilities And Stockholders Equity,2821149,2489856,19011436,57640661,41612671,32814298,25377955,30983445,42554067,34963796,46998783,40541499,46597252,82030533
69,Minority Interest,101,-236,-252,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,2821250,2489620,19011184,57640661,41612671,32814298,25377955,30983445,42554067,34963796,46998783,40541499,46597252,82030533
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,-1887356,-2946356,-12158848,-21081095,-19940960,-15225671,-13343381,-32151696,-62015184,-9367206,-12746020,-18343984,-13468232,-29902624
74,Depreciation and Amortization,52861,49418,53039,64220,377299,254024,446360,1341202,1993093,1701615,1808929,1879151,2079639,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,376741,10581933,303412,189524,57309,738799,49526730,862227,- -,- -,- -,- -
77,Change in Working Capital,-140885,198028,999089,124204,191674,164703,-468778,4981077,-2790413,-2236683,- -,- -,- -,- -
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,-214346,22620,191726,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,887,-674566,44168,-645975,377141,206549,279818,-872365,- -,- -,- -,- -
82,Other Non-Cash Items,421044,815440,4268299,555035,-51794,-1419706,-918671,17303636,1976083,533249,10937091,16464833,11388593,29902624
83,Cash Provided by Operating Activities,-1554336,-1883470,-6461680,-9755703,-19120369,-16037126,-14227161,-7786982,-11309691,-8506798,- -,- -,- -,- -
84,CAPEX,-4571,-2660,-95327,-44751,-574568,-507924,-103675,-48499,-27130,-6644,-11893,-41434,-19348,-17000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-20912912,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-21045423,-8000000,-9000000,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,10000000,21045423,8000000,9000000,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,901,-9998186,- -,- -,- -,- -,- -,129705,- -,- -,- -,- -,-7000
89,Cash Used for Investing Activites,-4571,-1759,-10093513,-44751,-11619991,12537499,-1103675,-11961411,102575,-6644,-11893,-41434,-19348,-24000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-237308,-1508473,- -,- -,- -,-77541,-229000
91,Common Stock Issued,2179920,1688898,- -,48602601,1820455,7714250,6845001,7744648,13761075,1,16968200,4871250,22030556,43307000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-194534,37633,21253974,1478063,-6931,-552224,-157606,3761089,13467682,-8533,1436367,3141465,-1474934,9607000
95,Cash Used/Provided by Financing Activities,1985386,1726531,21253974,50080664,1813524,7162026,6687395,11268429,25720284,-8532,18404567,8012715,20478081,52685000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,1369028,820340,1039537,-393235,-120600,622576,407578,134671,-717000
97,Net Change In Cash,426479,-158698,4698781,40280210,-28926836,5031427,-7823101,-7440427,14119933,-8642574,11238547,-6907539,9754065,34271000
98,Cash at the End of Period,1098259,939561,5638342,45918552,16991716,22023143,14200042,6759615,20879548,12236974,23475521,16567982,26322047,60593000
99,Cash at the Beginning of Period,671780,1098259,939561,5638342,45918552,16991716,22023143,14200042,6759615,20879548,12236974,23475521,16567982,26322000
100,Free Cash Flow,-1558907,-1886130,-6557007,-9800454,-19694937,-16545050,-14330836,-7835481,-11336821,-8513442,-7788596,-15327832,-10858687,-17690000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,Forex Rate,0.9579,0.8069,0.84,1.0717,1.0233,0.9136,0.943,0.7704,0.745,0.7686,0.7402,0.702,0.6902,0.7498
