,https://roic.ai/company/EC,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12,Interest Income ,- -,- -,- -,682542000000,479694000000,156336000000,193087000000,383795000000,461303000000,467073000000,293507000000,386001000000,405562000000,383624000000,481674000000,299246000000,- -
13,Interest Expense (Gain),- -,- -,- -,19376000000,138801000000,145910000000,415222000000,581597000000,592643000000,817546000000,2396445000000,3345515000000,3139041000000,3068196000000,2651999000000,3257329000000,2829000000000
14,Depreciation and Amortization,- -,- -,- -,1648089000000,3392461000000,1813270000000,2255677000000,5002497000000,5193352000000,6483366000000,170640000000,223017000000,149312000000,85156000000,278031000000,9324538000000,10160000000000
15,EBITDA,4288330000000,4891142000000,7065304000000,17679124000000,10777345000000,13344301000000,26078954000000,27496436000000,26981336000000,21946250000000,-3916421000000,10559459000000,16267160000000,22793223000000,21392454000000,16207205000000,37282000000000
16,EBITDA ratio,0.2764,0.2660,0.3164,0.5216,0.3545,0.3180,0.3966,0.3994,0.3831,0.3184,-0.0748,0.2178,0.2907,0.3322,0.2992,0.3227,0.4064
17,Operating Income,4498385000000,4635832000000,8931837000000,12655301000000,7873339000000,12878842000000,25690963000000,24206290000000,21834729000000,16601989000000,2131165000000,8904548000000,16171855000000,22458414000000,21027158000000,7181765000000,29594000000000
18,Operating Income ratio,0.2900,0.2521,0.4000,0.3733,0.2590,0.3069,0.3907,0.3516,0.3100,0.2409,0.0407,0.1837,0.2890,0.3274,0.2941,0.1430,0.3226
19,Total Other Income Expenses (Gains),-210055000000,255310000000,-1866533000000,3355903000000,-622495000000,-1386225000000,-2049531000000,-1874589000000,47478000000,-1181242000000,-7709791000000,-1114022000000,-2402193000000,-1844539000000,-1303590000000,-2405251000000,-3272000000000
20,Income Before Tax,4288330000000,4891142000000,7065304000000,16011204000000,7250844000000,11492617000000,23641432000000,22331701000000,21882207000000,15420747000000,-5578626000000,7790526000000,13769662000000,20613875000000,19723568000000,4776514000000,26322000000000
21,Income Before Tax Ratio,0.2764,0.2660,0.3164,0.4724,0.2385,0.2738,0.3596,0.3243,0.3107,0.2237,-0.1066,0.1607,0.2461,0.3005,0.2759,0.0951,0.2869
22,Income Tax expense (Gain),1034574000000,1499769000000,1885512000000,4381982000000,2114029000000,3238650000000,7955721000000,7133395000000,8088838000000,7135068000000,710353000000,4543046000000,5800268000000,8258485000000,4718413000000,2038661000000,7598000000000
23,Net Income,3253756000000,3391373000000,5179792000000,11629677000000,5132054000000,8146471000000,15452334000000,14778947000000,13106503000000,7510270000000,-7193859000000,2447881000000,7178539000000,11381386000000,13744011000000,1586677000000,16695000000000
24,Net Income ratio,0.2097,0.1844,0.2319,0.3431,0.1688,0.1941,0.2350,0.2146,0.1861,0.1090,-0.1374,0.0505,0.1283,0.1659,0.1923,0.0316,0.1820
25,EPS,3832.40,3994.55,3380.00,5747.00,2536.07,4025.68,7516.33,7188.78,6375.27,3653.15,-1939.71,761.25,3220.10,5744.63,7067.20,821.08,8120.79
26,EPS Diluted,3832.40,3994.55,3380.00,5747.00,2536.07,4025.68,7516.33,7188.78,6375.27,3653.15,-1939.71,761.25,3220.10,5744.63,7067.20,821.08,8120.79
27,Weighted Average Shares Outstanding,848996500,848996500,1535108244,2023625629,2023625629,2023625629,2055834922,2055834922,2055834922,2055834922,2055834734,2055834734,2055834734,2055834734,2055834734,2055834734,2055834734
28,Weighted Average Shares Outstanding Diluted,848996500,848996500,1535108244,2023625629,2023625629,2023625629,2055834922,2055834922,2055834922,2055834922,2055834734,2055834734,2055834734,2055834734,2055834734,2055834734,2055834734
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,1627876000000,3749899000000,2113803000000,3562119000000,3726778000000,6585628000000,7940690000000,8841438000000,7951201000000,6550450000000,8410467000000,7945885000000,6311744000000,7075758000000,5082308000000,14550000000000
32,Short-Term Investments,- -,1961687000000,5954502000000,3749919000000,462258000000,327782000000,1531911000000,1371559000000,1659308000000,1087439000000,1242715000000,5367147000000,2967878000000,5321098000000,1624018000000,2194651000000,1627000000000
33,Cash and Short-Term Investments,- -,3589563000000,9704401000000,5863722000000,4024377000000,4054560000000,8117539000000,9312249000000,10500746000000,9038640000000,7793165000000,13777614000000,10913763000000,11632842000000,8699776000000,7276959000000,16177000000000
34,Net Receivables,- -,1336319000000,2269904000000,5877282000000,2969120000000,2736592000000,4635834000000,5261501000000,6176891000000,4109054000000,7929146000000,5341799000000,6724292000000,9225550000000,7219141000000,8795387000000,24723000000000
35,Inventory,- -,996361000000,1298792000000,1611296000000,2042697000000,2192088000000,2761605000000,2806282000000,3259399000000,3023503000000,3057958000000,3841901000000,4601396000000,5100407000000,5658099000000,5053960000000,8398000000000
36,Other Current Assets,- -,1361490000000,2501025000000,2352600000000,3081594000000,3646398000000,3522335000000,5503595000000,8790126000000,8581201000000,1333069000000,1167848000000,984565000000,1071813000000,1787445000000,1708068000000,2398000000000
37,Total Current Assets,- -,7283733000000,15774122000000,15704900000000,12117788000000,12629638000000,19037313000000,22883627000000,28727162000000,24752398000000,20113338000000,24129162000000,23224016000000,27030612000000,23364461000000,22834374000000,51696000000000
38,PP&E,- -,9614324000000,11280868000000,16131537000000,27944874000000,22266258000000,30033380000000,55659257000000,92070603000000,82316369000000,89148370000000,84669549000000,82712639000000,85875433000000,93743845000000,98820383000000,126522000000000
39,Goodwill,- -,- -,- -,668614000000,2507552000000,11068676000000,- -,2842518000000,2175084000000,1747561000000,1159922000000,1159922000000,1159922000000,1159922000000,1159922000000,1594279000000,5515000000000
40,Intangible Assets,- -,58550000000,53775000000,45968000000,96027000000,- -,- -,569320000000,293286000000,261310000000,388051000000,272132000000,380226000000,410747000000,483098000000,555043000000,14961000000000
41,Intangible Assets,- -,58550000000,53775000000,714582000000,2603579000000,11068676000000,- -,3411838000000,2468370000000,2008871000000,1547973000000,1432054000000,1540148000000,1570669000000,1643020000000,2149322000000,20476000000000
42,Investments,- -,2808690000000,3844819000000,9150126000000,3786924000000,5177491000000,5474805000000,5880038000000,2944037000000,1686658000000,3188086000000,2924052000000,4896307000000,4671053000000,6600346000000,4051636000000,9665000000000
43,Tax Assets,- -,- -,- -,1285648000000,1408659000000,2040140000000,- -,- -,- -,- -,8239472000000,5726961000000,4016161000000,3879427000000,6809347000000,7673912000000,11731000000000
44,Other Non-Current Assets,- -,22372425000000,17158496000000,5715619000000,7697693000000,15587153000000,37731888000000,26044818000000,6217822000000,31416995000000,1350951000000,1556146000000,1458141000000,1616304000000,1729277000000,2164542000000,24160000000000
45,Total Non-Current Assets,- -,34853989000000,32337958000000,32997512000000,43441729000000,56139718000000,73240073000000,90995951000000,103700832000000,117428893000000,103474852000000,96308762000000,94623396000000,97612886000000,110525835000000,114859795000000,192554000000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,42137722000000,48112080000000,48702412000000,55559517000000,68769356000000,92277386000000,113879578000000,132427994000000,142181291000000,123588190000000,120437924000000,117847412000000,124643498000000,133890296000000,137694169000000,244250000000000
48,Accounts Payable,- -,- -,- -,1708647000000,3280232000000,4062602000000,1974233000000,10905375000000,5459752000000,6304889000000,7757277000000,6854363000000,6968207000000,8945790000000,10689246000000,8449041000000,13568000000000
49,Short-Term Debt,- -,- -,- -,410684000000,602544000000,1079169000000,831594000000,2239139000000,774559000000,1789320000000,4573620000000,4126203000000,5144504000000,4019927000000,5012173000000,4923346000000,9206000000000
50,Tax Payable,- -,2037748000000,2893012000000,3906468000000,2433022000000,3589263000000,8617438000000,7859948000000,9619049000000,7495613000000,2803559000000,2130940000000,2005688000000,1751300000000,2570779000000,1243883000000,2152000000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,1481829000000,1429002000000,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,3982429000000,6065784000000,4580441000000,3587437000000,4900807000000,12946610000000,9989212000000,14586487000000,10865166000000,5112710000000,5406792000000,4733900000000,4858905000000,6040880000000,4910056000000,7475000000000
53,Total Current Liabilities,- -,3982429000000,6065784000000,6699772000000,7470213000000,10042578000000,15752437000000,23133726000000,22302627000000,20388377000000,17443607000000,16387358000000,16846611000000,17824622000000,21742299000000,18282443000000,30249000000000
54,Long-Term Debt,- -,- -,- -,1250281000000,6711141000000,7833715000000,7969978000000,11466686000000,21423992000000,33859657000000,48649718000000,48095824000000,38403331000000,34042718000000,33226966000000,41808408000000,85855000000000
55,Deferred Revenue,- -,3844167000000,- -,- -,- -,- -,- -,369517000000,335550000000,333310000000,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,944816000000,1194848000000,- -,1788224000000,1790546000000,2177409000000,2774106000000,6026050000000,3118650000000,1333280000000,1337943000000,1328831000000,1639206000000,- -
57,Other Non-Current Liabilities,- -,13475380000000,15237829000000,4944875000000,6672047000000,9078931000000,9825261000000,9776055000000,10495465000000,12083934000000,8367852000000,9275591000000,13048491000000,14330435000000,19360572000000,22464749000000,34394000000000
58,Total Non-Current Liabilities,- -,17319547000000,15237829000000,7139972000000,14578036000000,16912646000000,19583463000000,23402804000000,34432416000000,49051007000000,63043620000000,60490065000000,52785102000000,49711096000000,53916369000000,65912363000000,120249000000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1055198000000,- -
61,Total Liabilities,- -,21301976000000,21303613000000,13839744000000,22048249000000,26955224000000,35335900000000,46536530000000,56735043000000,69439384000000,80487227000000,76877423000000,69631713000000,67535718000000,75658668000000,84194806000000,150498000000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,4244943000000,10113334000000,10117791000000,10117791000000,10118128000000,10279175000000,10279175000000,10279175000000,10279175000000,25040068000000,25040067000000,25040067000000,25040067000000,25040067000000,25040067000000,- -
64,Retained Earnings,- -,3391373000000,5179792000000,11629677000000,5132054000000,8146471000000,15125899000000,14456513000000,12590066000000,6747349000000,-7763907000000,-402462000000,5210302000000,9970492000000,12334706000000,669900000000,- -
65,Other Comprehensive Income/Loss,- -,2994712000000,1910686000000,-22198679000000,-31328440000000,-22932396000000,22495637000000,12292736000000,15300726000000,17963370000000,17342048000000,10781554000000,2177869000000,13519656000000,10431318000000,17582198000000,- -
66,Other Total Stockholders Equity,- -,10204718000000,9604655000000,35070928000000,48648552000000,45995978000000,6788144000000,27712457000000,32949236000000,33556078000000,6607699000000,6607699000000,14006715000000,6607699000000,6607699000000,6607699000000,- -
67,Total Stockholders Equity,- -,20835746000000,26808467000000,34619717000000,32569957000000,41328181000000,54688855000000,64740881000000,71119203000000,68545972000000,41225908000000,42026858000000,46434953000000,55137914000000,54413790000000,49899864000000,71733000000000
68,Total Liabilities And Stockholders Equity,- -,42137722000000,48112080000000,48459461000000,54618206000000,68283405000000,90024755000000,111277411000000,127854246000000,137985356000000,121713135000000,118904281000000,116066666000000,122673632000000,130072458000000,134094670000000,222231000000000
69,Minority Interest,- -,- -,- -,242951000000,941311000000,485951000000,2252631000000,2602167000000,4573748000000,4195935000000,1875055000000,1533643000000,1780746000000,1969866000000,3817838000000,3599499000000,22019000000000
70,Total Liabilities & Equity,- -,42137722000000,48112080000000,48702412000000,55559517000000,68769356000000,92277386000000,113879578000000,132427994000000,142181291000000,123588190000000,120437924000000,117847412000000,124643498000000,133890296000000,137694169000000,244250000000000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,3253756000000,3391373000000,5179792000000,11629677000000,5132054000000,8146471000000,15452334000000,14778947000000,13106503000000,7510270000000,-7193859000000,2447881000000,7178539000000,11381386000000,13744011000000,1586677000000,16695000000000
74,Depreciation and Amortization,- -,- -,- -,1648089000000,3392461000000,1813270000000,2255677000000,5002497000000,5193352000000,6483366000000,170640000000,223017000000,149312000000,85156000000,278031000000,9324538000000,- -
75,Deferred Income Tax,- -,- -,- -,770962000000,165210000000,37609000000,394087000000,37521000000,-202733000000,403413000000,710353000000,4543046000000,5800268000000,8258485000000,4718413000000,2038661000000,7563000000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,-749401000000,405732000000,1395176000000,1460854000000,-1173610000000,-3409449000000,-63130000000,-3368426000000,-409987000000,-2657201000000,-3034983000000,783666000000,-2370840000000,-12677000000000
78,Accounts Receivable,- -,- -,- -,-529246000000,2030376000000,794512000000,- -,-2517198000000,-6090115000000,1765004000000,751031000000,-1400583000000,-2189473000000,-2039161000000,- -,- -,- -
79,Inventory,- -,- -,- -,-312504000000,-291819000000,-129823000000,-561846000000,-390847000000,-465611000000,567950000000,-183231000000,-217198000000,-323626000000,-448135000000,-597552000000,716077000000,- -
80,Accounts Payable,- -,- -,- -,562351000000,1536580000000,1248736000000,-121422000000,2318922000000,676518000000,94667000000,-2202808000000,-619131000000,21417000000,1355175000000,- -,- -,- -
81,Other Working Capital,- -,- -,- -,-9827817000000,-1395959000000,100191000000,560249000000,-107396000000,-915552000000,46744000000,-206444000000,-11677000000,-165519000000,-1902862000000,-2389751000000,-1214855000000,- -
82,Other Non-Cash Items,-3253756000000,-3391373000000,-5179792000000,-1506427000000,310180000000,2964286000000,3433359000000,1885878000000,2835088000000,3171130000000,20092767000000,7428983000000,6502708000000,5779150000000,8187646000000,-1392332000000,10955000000000
83,Cash Provided by Operating Activities,- -,- -,- -,11792900000000,9405637000000,14356812000000,22996311000000,20531233000000,17522761000000,17505049000000,10411475000000,14232940000000,16973626000000,22469194000000,27711767000000,9186704000000,22536000000000
84,CAPEX,-1254144000000,-1862934000000,-3036962000000,-1469648000000,-12850662000000,-6445151000000,-10189522000000,-15467862000000,-14227777000000,-15682392000000,-14251509000000,-5837477000000,-5965556000000,-8460426000000,-13979141000000,-11116861000000,-13295000000000
85,Acquisitions Net,- -,- -,- -,- -,-1082580000000,-1163131000000,-868954000000,- -,- -,-5684018000000,613998000000,966715000000,-85020000000,- -,- -,- -,-9032000000000
86,Purchases of Investments,- -,- -,- -,-8420857000000,-7939870000000,-11808784000000,-15996179000000,-15281566000000,-7567590000000,-5684018000000,- -,-5446507000000,- -,-843612000000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,15917196000000,10578200000000,9667021000000,14725312000000,11933852000000,7106487000000,1208898000000,- -,564754000000,- -,- -,2107856000000,- -
88,Other Investing Activites,-494094000000,-1358094000000,-5031216000000,- -,- -,-3870073000000,- -,- -,199071000000,5844280000000,771319000000,864447000000,926195000000,479566000000,3774883000000,390118000000,1365000000000
89,Cash Used for Investing Activites,-1748238000000,-3221028000000,-8068178000000,-9890505000000,-5955916000000,-12708939000000,-17387634000000,-16024116000000,-9662444000000,-14099661000000,-11545039000000,-9383569000000,-4383759000000,-8718803000000,-10035969000000,-8528805000000,-20518000000000
90,Debt Repayment,- -,- -,- -,- -,- -,2761449000000,-245454000000,- -,- -,- -,-4903592000000,-3149917000000,-9007340000000,-9270262000000,-1896956000000,-5354424000000,-336000000000
91,Common Stock Issued,- -,- -,- -,- -,41044000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-1298000000000,-2000000000000,-4475399000000,-4654340000000,-8902602000000,-3789828000000,-5896886000000,-8386790000000,-14570467000000,-12558250000000,-5493400000000,-1712298000000,-1504647000000,-4427701000000,-13867029000000,-8734351000000,-2771000000000
94,Other Financing Activites,-288783000000,-226685000000,4828646000000,1115849000000,6860153000000,-454835000000,3392513000000,5040426000000,7492714000000,7153082000000,9004809000000,2099194000000,-2252152000000,-2092815000000,-1406347000000,11459720000000,10065000000000
95,Cash Used/Provided by Financing Activities,-1586783000000,-2226685000000,353247000000,-3538491000000,-2001405000000,-1483214000000,-2749827000000,-3346364000000,-7077753000000,-5405168000000,-1392183000000,-2763021000000,-12764139000000,-15790778000000,-17170332000000,-2629055000000,6958000000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,118184000000,1109543000000,1458019000000,-226333000000,-290310000000,406246000000,258548000000,-22294000000,492000000000
97,Net Change In Cash,540743000000,905977000000,2122023000000,-1636096000000,1448316000000,164659000000,2858850000000,1160753000000,900748000000,-890237000000,-1067728000000,1860017000000,-464582000000,-1634141000000,764014000000,-1993450000000,9468000000000
98,Cash at the End of Period,721899000000,1627876000000,3749899000000,2113803000000,3562119000000,3726778000000,6585628000000,7940690000000,8841438000000,7951201000000,6550450000000,8410467000000,7945885000000,6311744000000,7075758000000,5082308000000,14550000000000
99,Cash at the Beginning of Period,181156000000,721899000000,1627876000000,3749899000000,2113803000000,3562119000000,3726778000000,6779937000000,7940690000000,8841438000000,7618178000000,6550450000000,8410467000000,7945885000000,6311744000000,7075758000000,5082000000000
100,Free Cash Flow,2621620000000,4490756000000,6799992000000,10323252000000,-3445025000000,7911661000000,12806789000000,5063371000000,3294984000000,1822657000000,-3840034000000,8395463000000,11008070000000,14008768000000,13732626000000,-1930157000000,9241000000000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,Forex Rate,- -,- -,- -,- -,- -,0.0005,0.0005,0.0006,0.0005,0.0004,0.0003,0.000325,0.000332,0.000308,0.000304,0.000292,0.000246
