,https://roic.ai/company/BBGI,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,19931568,29489229,13629364,13629364,13629364,13629364,13629364,13629364,8857516,5336583,3393234,15275264,25377447,28596547,28596547,28596547
40,Intangible Assets,151000000,137287291,164893584,258134556,217814910,217006689,216209036,209789522,206324298,238371639,191748998,178913816,178913816,178913816,183251728,186174864,235686356,235263743,477106722,489736737,519558732,546862397,534417547,22697207
41,Intangible Assets,151000000,137287291,164893584,258134556,217814910,217006689,216209036,209789522,226255866,267860868,205378362,192543180,192543180,192543180,196881092,199804228,244543872,240600326,480499956,505012001,544936179,575458944,563014094,51293754
42,Investments,- -,- -,- -,- -,- -,- -,- -,1000000,1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,2200000,2552615,8939840,7890870,11210640,9118080,9641031,7884399,8849322,7794298,6619158,7651556,7653209,7846025,10033846,8416204,7630910,6198636,17583873,5726874,7449486,11014063,9654447,514597414
45,Total Non-Current Assets,169700000,155613081,189453112,286285110,247103988,243104594,244579757,237681731,261892829,302748046,237806381,222107469,220771639,220150322,225981819,228357209,280428984,274322315,558250641,570057808,610139311,680402186,661089087,649889509
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,762088000
47,Total Assets,194800000,185861156,218158564,318593676,282090570,277890745,286300317,280816996,297967833,337152277,264636116,249925993,253011514,254988907,259372664,264208889,315967189,311401895,661670048,654718781,681085079,760060229,738614356,762088000
48,Accounts Payable,7700000,5027145,2355006,3189388,1478872,1997209,2551926,1770129,3449742,4207745,2346691,3438932,688710,1920691,1156406,1675130,1814253,2588347,7170138,9123999,10861605,12504191,13287950,6995081
49,Short-Term Debt,10500000,10613773,8352,15009045,7318961,- -,5625000,- -,3750000,- -,4462500,4987013,6925283,6848276,3500000,4250000,3112500,1484048,6686077,2314020,67101,14804684,7076365,309179499
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2413145,- -,- -,- -,- -,4483800,3481710,-6724460000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2230907,912733,823533,840547,1156510,1798443,1893508,1868223,3639077,3732890,- -
52,Other Current Liabilities,7400000,10183241,7784204,8216931,7123158,5989856,6963216,8963615,8533810,8242156,6545086,7615152,7663769,4049368,7067242,7567635,8259868,5670252,18292274,15629517,16062431,22244507,16363008,-271672497
53,Total Current Liabilities,25600000,25824159,10147562,26415364,15920991,7987065,15140142,10733744,15733552,12449901,13354277,16041097,15277762,15049242,12636381,14316298,14027168,10899157,33946932,28961044,28859360,53192459,40460213,44502083
54,Long-Term Debt,163100000,162956318,103478405,210489420,189040209,169986906,153361906,144375000,150625000,191055556,170037500,146839703,135064472,119885343,113250000,102625000,94581250,86461778,247692171,212465882,243276273,248712452,258345380,-4996731000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,22730705,30506455,36723082,37709914,42866849,47310538,28002018,33010719,39292192,45303518,49449507,52771252,75996813,77739201,160539268,115282931,122912545,121130996,120913983,115689317
57,Other Non-Current Liabilities,100000,- -,25575000,24488000,219000,- -,- -,- -,1150751,1150751,5716435,1594462,1150751,1103582,987519,870245,819670,2764684,17000054,11842724,11002810,52552364,51792960,5335545364
58,Total Non-Current Liabilities,163200000,162956318,129053405,234977420,211989914,200493361,190084988,182084914,194642600,239516845,203755953,181444884,175507415,166292443,163687026,156266497,171397733,166965663,425231493,339591537,377191628,422395812,431052323,454503681
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,42217508,36711218,- -
61,Total Liabilities,188800000,188780477,139200967,261392784,227910905,208480426,205225130,192818658,210376152,251966746,217110230,197485981,190785177,181341685,176323407,170582795,185424901,177864820,459178425,368552581,406050988,475588271,471512536,499005764
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,4500000,4530352,24273,24273,24273,24275,24277,24547,25069,25107,25201,25270,25371,25481,25559,25736,25938,26112,31775,31885,31996,32466,32592,32910
64,Retained Earnings,-21800000,-32818024,-27700608,-49457313,-52478540,-39707348,-27676506,-18477748,-14297106,-15359228,-49985137,-46537022,-38551397,-28451072,-19347366,-8824642,27066481,29302054,72401766,154389494,155398555,162350145,143304213,142220494
65,Other Comprehensive Income/Loss,-12400000,-15041921,-16676731,-14845832,-10679820,2439041,2671424,-1655557,287257,24960,-2802416,-2171794,-818224,17269,14186,24622,21933,75159,-721822,424574,87885,-436338,-1426619,-1046357
66,Other Total Stockholders Equity,35700000,40410272,123310663,121479764,117313752,106654351,106055992,108107096,101576461,100494692,100288238,101123558,101570587,102055544,102356878,102400378,103427936,104133750,130779904,131320247,119515655,122592267,125817108,121875251
67,Total Stockholders Equity,6000000,-2919321,78957597,57200892,54179665,69410319,81075187,87998338,87591681,85185531,47525886,52440012,62226337,73647222,83049257,93626094,130542288,133537075,202491623,286166200,275034091,284538540,267727294,263082298
68,Total Liabilities And Stockholders Equity,194800000,185861156,218158564,318593676,282090570,277890745,286300317,280816996,297967833,337152277,264636116,249925993,253011514,254988907,259372664,264208889,315967189,311401895,661670048,654718781,681085079,760126811,739239830,762088062
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-66582,-625474,-62
70,Total Liabilities & Equity,194800000,185861156,218158564,318593676,282090570,277890745,286300317,280816996,297967833,337152277,264636116,249925993,253011514,254988907,259372664,264208889,315967189,311401895,661670048,654718781,681085079,760060229,738614356,762088000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1099160/000102140801001243/0001021408-01-001243-index.html,https://www.sec.gov/Archives/edgar/data/1099160/000095016802000549/0000950168-02-000549-index.html,https://www.sec.gov/Archives/edgar/data/1099160/000104596903000606/0001045969-03-000606-index.htm,https://www.sec.gov/Archives/edgar/data/1099160/000119312504040433/0001193125-04-040433-index.htm,https://www.sec.gov/Archives/edgar/data/1099160/000119312505040695/0001193125-05-040695-index.htm,https://www.sec.gov/Archives/edgar/data/1099160/000119312506050492/0001193125-06-050492-index.htm,https://www.sec.gov/Archives/edgar/data/1099160/000119312507052193/0001193125-07-052193-index.htm,https://www.sec.gov/Archives/edgar/data/1099160/000119312508055048/0001193125-08-055048-index.htm,https://www.sec.gov/Archives/edgar/data/1099160/000119312509065373/0001193125-09-065373-index.htm,https://www.sec.gov/Archives/edgar/data/1099160/000119312510053370/0001193125-10-053370-index.htm,https://www.sec.gov/Archives/edgar/data/1099160/000119312511068032/0001193125-11-068032-index.htm,https://www.sec.gov/Archives/edgar/data/1099160/000119312512077172/0001193125-12-077172-index.htm,https://www.sec.gov/Archives/edgar/data/1099160/000119312513061733/0001193125-13-061733-index.htm,https://www.sec.gov/Archives/edgar/data/1099160/000119312514054147/0001193125-14-054147-index.htm,https://www.sec.gov/Archives/edgar/data/1099160/000119312515097149/0001193125-15-097149-index.htm,https://www.sec.gov/Archives/edgar/data/1099160/000119312516480510/0001193125-16-480510-index.htm,https://www.sec.gov/Archives/edgar/data/1099160/000119312517093457/0001193125-17-093457-index.htm,https://www.sec.gov/Archives/edgar/data/1099160/000119312518050343/0001193125-18-050343-index.htm,https://www.sec.gov/Archives/edgar/data/1099160/000119312519044206/0001193125-19-044206-index.htm,https://www.sec.gov/Archives/edgar/data/1099160/000119312520044711/0001193125-20-044711-index.htm,https://www.sec.gov/Archives/edgar/data/1099160/000119312521048932/0001193125-21-048932-index.htm,https://www.sec.gov/Archives/edgar/data/1099160/000119312522050000/0001193125-22-050000-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-5300000,-3847633,-29597687,-21756705,-3727050,12771192,12030842,10705329,10134177,4771271,-30549462,3448115,7985625,10100325,11031270,11546263,39999367,6362322,47488413,87131169,6481049,13450224,-17765922,-1405845
74,Depreciation and Amortization,16100000,16410321,17409162,27554534,3725484,3573992,3276521,3348231,3154221,3391132,3234049,2886854,2652841,2391531,2097179,2220641,2525951,3834992,6232572,6133812,6601123,7349682,11096937,- -
75,Deferred Income Tax,- -,- -,25399000,- -,5477246,8480794,6707656,3515581,5322767,4138895,-16637136,4506602,6140012,5127247,3870822,3663938,24344571,2014468,5963207,-46051371,7749100,-1753952,-129005,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1001567,738860,619100,434069,693095,1317902,1112891,809371,1745134,1945669,2118718,750670,- -
77,Change in Working Capital,1600000,4923916,14133974,-12664688,13172389,7733495,-218668,5821103,-12060069,1612878,-8478872,-1698031,5184686,2827230,965121,780918,-24345,4669386,43292052,-13772546,-13613521,-15620824,10599472,- -
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1753678,-698214,-1635513,178353,-1031503,-2905096,-510803,4045237,-12590742,-2852760,1975606,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1747777,218070,249626,518724,-554696,706569,3831391,1760393,1763322,712257,2071999,- -
81,Other Working Capital,-500000,4423916,18557890,5893202,19065591,26799086,26580418,32401521,20341452,21954330,13475458,11777427,16962113,19789343,20754464,21535382,21511037,26180423,69472475,55699929,42086408,26465584,37065056,- -
82,Other Non-Cash Items,-7500000,-10291419,-19639684,16226967,-5382645,-12221523,2939769,-2923216,12658373,4942636,74675379,1447952,-6289864,-397092,2006074,1008829,-51249746,-3622304,-86634515,-7165141,15231060,15447376,-337836,-501382
83,Cash Provided by Operating Activities,4900000,7195185,7704765,9360108,13265424,20337950,24736120,20467028,19209469,18856812,22243958,11593059,16412160,20668341,20404535,19913684,16913700,14371755,17151100,28021057,24394480,20991224,4214316,-1907227
84,CAPEX,-20500000,-2025425,-3641877,-2688125,-2119220,-1374904,-3852961,-3177562,-4776092,-3276243,-1617900,-957997,-1158016,-1444879,-3904291,-6901631,-3202388,-2520259,-3435832,-17326717,-4412343,-9030025,-7477182,- -
85,Acquisitions Net,- -,- -,-34780000,-128305753,- -,- -,- -,- -,-22161142,-44817539,- -,- -,- -,- -,- -,- -,- -,- -,-86760198,- -,-39520000,9084978,4631566,- -
86,Purchases of Investments,- -,- -,-50002,- -,- -,- -,-2751,-1375,-201376,- -,- -,- -,- -,-1150000,-166667,-104167,-104167,-166667,-166667,- -,-1680000,-5009999,-1000000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,699877,4791938,- -,158382,- -,- -,- -,236978,251598,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,8000000,-734282,9414773,-2351980,19779387,4988427,147318,620000,2345722,181280,205517,14292003,-1158016,-1177766,-1620703,-2551066,-2827012,222138,-2692637,17523283,-4412343,-9030025,-7477182,-1136268
89,Cash Used for Investing Activites,-12500000,-2759707,-29057106,-133345858,18360044,8405461,-3708394,-2400555,-24792888,-47912502,-1412383,14528981,-906418,-2327766,-3787370,-6655233,-2931179,55471,-89619502,17523283,-45612343,-4955046,-3845616,-1136268
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-23516590,-10447126,- -,-12483619,-9875000,-9181250,-9500000,-90536160,-52061077,-8064019,-16067492,-6814821,- -
91,Common Stock Issued,1600000,2764553,99009900,- -,- -,18376,16500,24750,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2250000,- -
92,Common Stock Repurchased,-500000,- -,-2613336,- -,- -,- -,-623209,-1865089,-5923699,-3501114,-1842523,-166178,-291730,-214137,-111854,-190451,-377480,-254405,-198152,-1107064,-265106,-214735,-65951,- -
93,Dividends Paid,-6000000,-4938993,-2250000,- -,- -,- -,- -,- -,-5994074,-5845262,-5530611,- -,- -,- -,-1927564,- -,-4104155,-4121804,-4140864,-5137470,-5388512,-5539608,-2795504,- -
94,Other Financing Activites,9600000,-17967,-74054264,123241648,-31176390,-26479645,-13300323,-14797623,9768585,36406342,-16555556,- -,- -,-15176032,-4043549,-554635,-359208,-491964,173350499,6358246,34446938,11000000,9168837,33662705
95,Cash Used/Provided by Financing Activities,4700000,-2192407,20092300,123241648,-31176390,-26461269,-13907032,-16637962,-2149188,27059966,-23928690,-23682768,-10738856,-15390169,-18566586,-10620086,-14022093,-14368173,78475323,-51947365,20729301,-10821835,1742561,33662705
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-2900000,2243071,-1260041,-744102,449078,2282142,7120694,1428511,-7732607,-1995724,-3097115,2439272,4766886,2950406,-1949421,2638365,-39572,59053,6006921,-6403025,-488562,5214343,2111261,33662705
98,Cash at the End of Period,4800000,7002669,5742628,4998526,5447604,7729746,14850440,16278951,8546344,6550620,3453505,5892777,10659663,13610069,11660648,14299013,14259441,14318494,20325415,13922390,13433828,18648171,20759432,- -
99,Cash at the Beginning of Period,7700000,4759598,7002669,5742628,4998526,5447604,7729746,14850440,16278951,8546344,6550620,3453505,5892777,10659663,13610069,11660648,14299013,14259441,14318494,20325415,13922390,13433828,18648171,- -
100,Free Cash Flow,-15600000,5169760,4062888,6671983,11146204,18963046,20883159,17289466,14433377,15580569,20626058,10635062,15254144,19223462,16500244,13012053,13711312,11851496,13715268,10694340,19982137,11961199,-3262866,-1907227
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1099160/000102140801001243/0001021408-01-001243-index.html,https://www.sec.gov/Archives/edgar/data/1099160/000095016802000549/0000950168-02-000549-index.html,https://www.sec.gov/Archives/edgar/data/1099160/000104596903000606/0001045969-03-000606-index.htm,https://www.sec.gov/Archives/edgar/data/1099160/000119312504040433/0001193125-04-040433-index.htm,https://www.sec.gov/Archives/edgar/data/1099160/000119312505040695/0001193125-05-040695-index.htm,https://www.sec.gov/Archives/edgar/data/1099160/000119312506050492/0001193125-06-050492-index.htm,https://www.sec.gov/Archives/edgar/data/1099160/000119312507052193/0001193125-07-052193-index.htm,https://www.sec.gov/Archives/edgar/data/1099160/000119312508055048/0001193125-08-055048-index.htm,https://www.sec.gov/Archives/edgar/data/1099160/000119312509065373/0001193125-09-065373-index.htm,https://www.sec.gov/Archives/edgar/data/1099160/000119312510053370/0001193125-10-053370-index.htm,https://www.sec.gov/Archives/edgar/data/1099160/000119312511068032/0001193125-11-068032-index.htm,https://www.sec.gov/Archives/edgar/data/1099160/000119312512077172/0001193125-12-077172-index.htm,https://www.sec.gov/Archives/edgar/data/1099160/000119312513061733/0001193125-13-061733-index.htm,https://www.sec.gov/Archives/edgar/data/1099160/000119312514054147/0001193125-14-054147-index.htm,https://www.sec.gov/Archives/edgar/data/1099160/000119312515097149/0001193125-15-097149-index.htm,https://www.sec.gov/Archives/edgar/data/1099160/000119312516480510/0001193125-16-480510-index.htm,https://www.sec.gov/Archives/edgar/data/1099160/000119312517093457/0001193125-17-093457-index.htm,https://www.sec.gov/Archives/edgar/data/1099160/000119312518050343/0001193125-18-050343-index.htm,https://www.sec.gov/Archives/edgar/data/1099160/000119312519044206/0001193125-19-044206-index.htm,https://www.sec.gov/Archives/edgar/data/1099160/000119312520044711/0001193125-20-044711-index.htm,https://www.sec.gov/Archives/edgar/data/1099160/000119312521048932/0001193125-21-048932-index.htm,https://www.sec.gov/Archives/edgar/data/1099160/000119312522050000/0001193125-22-050000-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
