,https://roic.ai/company/MNDT,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,470000,2028000,8677000,7533000,10998000,10910000,11537000,82769000,84468000,74664000,26220000
45,Total Non-Current Assets,- -,2405000,21032000,1061146000,1101744000,1054214000,1295054000,1254943000,1314898000,1576750000,1683638000,1237851000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,35646000,125273000,1376313000,1758881000,2441473000,2382965000,2332081000,2696078000,2890486000,3245882000,3651187000
48,Accounts Payable,- -,6517000,15653000,34128000,34057000,43650000,20269000,35684000,26944000,26271000,5107000,32585000
49,Short-Term Debt,- -,1400000,1231000,- -,- -,- -,- -,- -,- -,135725000,16024000,464336000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,16215000,43750000,110535000,203877000,305169000,397118000,443064000,556815000,603944000,613709000,307611000
52,Other Current Liabilities,- -,6561000,11446000,59302000,89147000,109114000,119001000,79157000,93605000,84009000,118903000,177546000
53,Total Current Liabilities,- -,30693000,72080000,203965000,327081000,457933000,536388000,557905000,677364000,849949000,753743000,982078000
54,Long-Term Debt,- -,4528000,10916000,- -,- -,706198000,741980000,779578000,962577000,963754000,1003098000,608372000
55,Deferred Revenue,- -,13887000,32656000,76979000,148666000,221829000,256398000,227680000,378013000,370623000,342748000,102717000
56,Deferred Tax Liabilities,- -,- -,- -,45147000,24903000,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,1189000,4231000,2120000,7403000,11141000,7087000,22102000,27730000,4494000,12339000,7376000
58,Total Non-Current Liabilities,- -,19604000,47803000,124246000,180972000,939168000,1005465000,1029360000,1368320000,1338871000,1358185000,718465000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,88918000,58226000,65438000
61,Total Liabilities,- -,50297000,119883000,328211000,508053000,1397101000,1541853000,1587265000,2045684000,2188820000,2111928000,1700543000
62,Preferred Stock,- -,5000,6000,- -,- -,- -,- -,- -,- -,- -,401050000,419404000
63,Common Stock,- -,1000,2000,14000,15000,16000,17000,19000,20000,22000,24000,23000
64,Retained Earnings,- -,-67111000,-102867000,-223502000,-667292000,-1206507000,-1690072000,-1993763000,-2349486000,-2606895000,-2814198000,-1898055000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-441000,-2225000,-1742000,-2881000,-2299000,1180000,3834000,-2172000
66,Other Total Stockholders Equity,- -,52454000,108249000,1271590000,1918546000,2253088000,2532909000,2741441000,3002159000,3307359000,3543244000,3431444000
67,Total Stockholders Equity,- -,-14651000,5390000,1048102000,1250828000,1044372000,841112000,744816000,650394000,701666000,1133954000,1950644000
68,Total Liabilities And Stockholders Equity,- -,35646000,125273000,1376313000,1758881000,2441473000,2382965000,2332081000,2696078000,2890486000,3245882000,3651187000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,35646000,125273000,1376313000,1758881000,2441473000,2382965000,2332081000,2696078000,2890486000,3245882000,3651187000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1370880/000137088021000010/0001370880-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1370880/000137088022000004/0001370880-22-000004-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,-9481000,-16782000,-35756000,-120635000,-443790000,-539215000,-480129000,-303691000,-243123000,-257409000,-207303000,916141000
74,Depreciation and Amortization,842000,3272000,6917000,20758000,94136000,111956000,119267000,103417000,86505000,103305000,96384000,94723000
75,Deferred Income Tax,- -,- -,-1241000,-61028000,-39869000,-1353000,-11926000,-1287000,-930000,-257000,-838000,795000
76,Stock Based Compensation,137000,715000,6843000,28858000,151852000,222119000,199066000,166336000,153675000,153517000,156107000,151405000
77,Change in Working Capital,1453000,16900000,42005000,55637000,104140000,218767000,111163000,8104000,6077000,19453000,-3181000,35584000
78,Accounts Receivable,-5614000,-13540000,-10106000,-35145000,-97165000,19126000,61785000,-20749000,-11605000,-12109000,16681000,-67584000
79,Inventory,211000,-658000,-817000,-3089000,-2024000,-7820000,1415000,-3333000,-5216000,51000,3285000,- -
80,Accounts Payable,466000,5400000,6189000,11504000,-3193000,7705000,-19093000,6040000,-8205000,4707000,-18931000,13095000
81,Other Working Capital,6058000,25540000,48799000,112801000,188386000,189197000,80810000,19792000,28948000,32692000,15378000,125951000
82,Other Non-Cash Items,348000,1006000,2732000,6648000,2261000,24741000,47974000,44761000,15177000,48928000,53726000,-1136692000
83,Cash Provided by Operating Activities,-6701000,5111000,21500000,-69762000,-131270000,37015000,-14585000,17640000,17381000,67537000,94895000,61956000
84,CAPEX,-1558000,-5217000,-18848000,-57560000,-67715000,-54549000,-36314000,-43779000,-50831000,-45605000,-26326000,-25536000
85,Acquisitions Net,- -,- -,-889000,-89240000,-55058000,- -,-204926000,-4300000,-5240000,-127249000,-123740000,1159986000
86,Purchases of Investments,- -,- -,- -,- -,-390360000,-770897000,-507073000,-411858000,-479862000,-617194000,-394442000,-938938000
87,Sales/Maturities of Investments,- -,- -,- -,- -,131118000,249923000,558865000,401103000,487141000,620580000,472557000,508869000
88,Other Investing Activites,40000,-7000,-478000,-1669000,-496000,-1226000,-248000,-489000,275000,432000,-207000,-14940000
89,Cash Used for Investing Activites,-1518000,-5224000,-20215000,-148469000,-382511000,-576749000,-189696000,-59323000,-48517000,-169036000,-72158000,689441000
90,Debt Repayment,-383000,-2879000,-1405000,-22150000,- -,- -,-8842000,- -,-286817000,- -,-96392000,- -
91,Common Stock Issued,- -,- -,- -,321389000,444338000,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-3000,-214000,- -,- -,-150000000,-1124000,-1408000,- -,- -,-9363000,-299750000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,15002000,6006000,49858000,32710000,41888000,945473000,35812000,315000,546891000,26273000,424869000,26357000
95,Cash Used/Provided by Financing Activities,14619000,3124000,48239000,331949000,486226000,795473000,25846000,-1093000,260074000,26273000,319114000,-273393000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,6400000,3011000,49524000,113718000,-27555000,255739000,-178435000,-42776000,228938000,-75226000,341851000,481224000
98,Cash at the End of Period,7665000,10676000,60200000,173918000,146363000,402102000,223667000,180891000,409829000,334603000,676454000,1154458000
99,Cash at the Beginning of Period,1265000,7665000,10676000,60200000,173918000,146363000,402102000,223667000,180891000,409829000,334603000,673234000
100,Free Cash Flow,-8259000,-106000,2652000,-127322000,-198985000,-17534000,-50899000,-26139000,-33450000,21932000,68569000,36420000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1370880/000137088021000010/0001370880-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1370880/000137088022000004/0001370880-22-000004-index.htm
102,false,,,,,,,,,,,,
