,https://roic.ai/company/ASAN,2019,2020,2021,2022
34,Net Receivables,5595000,12659000,32194000,59085000
35,Inventory,- -,- -,- -,- -
36,Other Current Assets,9595000,16667000,27295000,40278000
37,Total Current Assets,103157000,380634000,445763000,411394000
38,PP&E,4099000,30918000,257360000,273715000
39,Goodwill,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -
42,Investments,- -,- -,19125000,71628000
43,Tax Assets,- -,- -,- -,- -
44,Other Non-Current Assets,6493000,10140000,8871000,-49702000
45,Total Non-Current Assets,10592000,41058000,285356000,295641000
46,Other Assets,- -,- -,- -,- -
47,Total Assets,113749000,421692000,731119000,707035000
48,Accounts Payable,3647000,7549000,9599000,11557000
49,Short-Term Debt,- -,11613000,8386000,12573000
50,Tax Payable,2291000,3312000,2963000,- -
51,Deferred Revenue,31918000,62725000,103875000,170143000
52,Other Current Liabilities,7930000,18241000,41616000,60915000
53,Total Current Liabilities,43495000,100128000,163476000,255188000
54,Long-Term Debt,- -,203097000,577471000,208422000
55,Deferred Revenue,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -
57,Other Non-Current Liabilities,251265000,263782000,2961000,39585000
58,Total Non-Current Liabilities,251265000,466879000,580432000,248007000
59,Other Liabilities,- -,- -,- -,- -
60,Capital Lease Obligations,- -,22085000,205188000,- -
61,Total Liabilities,294760000,567007000,743908000,503195000
62,Preferred Stock,- -,- -,- -,- -
63,Common Stock,1000,1000,2000,2000
64,Retained Earnings,-211147000,-329736000,-541446000,-829788000
65,Other Comprehensive Income/Loss,-80000,-102000,39000,-626000
66,Other Total Stockholders Equity,30215000,184522000,528616000,1034252000
67,Total Stockholders Equity,-181011000,-145315000,-12789000,203840000
68,Total Liabilities And Stockholders Equity,113749000,421692000,731119000,707035000
69,Minority Interest,- -,- -,- -,- -
70,Total Liabilities & Equity,113749000,421692000,731119000,707035000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1477720/000147772021000007/0001477720-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1477720/000147772022000012/0001477720-22-000012-index.htm
72,CASH FLOW STATEMENT, , , , 
73,Net Income,-50928000,-118589000,-211710000,-288342000
74,Depreciation and Amortization,4231000,2233000,3486000,8464000
75,Deferred Income Tax,- -,- -,- -,- -
76,Stock Based Compensation,8547000,48386000,34225000,104527000
77,Change in Working Capital,8338000,220844000,1781000,-126081000
78,Accounts Receivable,-3427000,-7718000,-20458000,-26993000
79,Inventory,- -,- -,- -,- -
80,Accounts Payable,362000,3472000,-2877000,7259000
81,Other Working Capital,59662000,280506000,282287000,156206000
82,Other Non-Cash Items,-368000,-193010000,79348000,217647000
83,Cash Provided by Operating Activities,-30180000,-40136000,-92870000,-83785000
84,CAPEX,-3407000,-7262000,-58306000,-42719000
85,Acquisitions Net,- -,- -,- -,- -
86,Purchases of Investments,-103205000,-77759000,-191576000,-62394000
87,Sales/Maturities of Investments,61950000,97676000,90933000,132674000
88,Other Investing Activites,-557000,-384000,-950000,-1132000
89,Cash Used for Investing Activites,-44662000,12655000,-158937000,27561000
90,Debt Repayment,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -
92,Common Stock Repurchased,-14000,-77000,-33000,-40000
93,Dividends Paid,- -,- -,- -,- -
94,Other Financing Activites,55307000,311674000,201038000,37250000
95,Cash Used/Provided by Financing Activities,55293000,311597000,201005000,37210000
96,Effect of Forex Changes on Cash,4000,-19000,3000,-461000
97,Net Change In Cash,-19545000,284097000,-50799000,-19475000
98,Cash at the End of Period,26580000,310677000,259878000,240403000
99,Cash at the Beginning of Period,46125000,26580000,310677000,259878000
100,Free Cash Flow,-33587000,-47398000,-151176000,-126504000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1477720/000147772021000007/0001477720-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1477720/000147772022000012/0001477720-22-000012-index.htm
102,false,,,,
