,https://roic.ai/company/CYD,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,0.1266,0.1208,-0.2797,0.1886,0.1572,0.1545,0.1947,0.1821,0.1532,0.1363,0.0514,0.0581,0.0986,0.0748,0.0864,0.1142,0.0973,0.0931,0.0916,0.0879,0.0790,0.0890,0.1049,0.0880,0.0760,0.0672,0.0203
17,Operating Income,- -,-25725040,-69548640,90240010,114601740,90098125,295171499,640417103,721531832,780083187,168760371,346138823,899489111,603907000,854257000,1949672000,1535088000,1163464000,1402416000,1292618000,805180000,967173000,1715622000,1282521000,1146081000,1182004000,663533000
18,Operating Income ratio,- -,-0.0213,-0.0739,0.0770,0.0902,0.0638,0.1655,0.1823,0.1579,0.1397,0.0289,0.0440,0.0881,0.0582,0.0648,0.1203,0.0994,0.0865,0.0882,0.0786,0.0586,0.0708,0.1058,0.0789,0.0636,0.0574,0.0312
19,Total Other Income Expenses (Gains),- -,-53109760,-375893840,-80305330,-59693235,-42403495,-108335233,-144659448,-24503324,-26076173,-51468563,-114911758,-61611045,-140285000,112411000,-184469000,-235806000,-249888000,-240297000,-91233000,-119042000,-83295000,-90385000,-101454000,-112762000,-210140000,-211823000
20,Income Before Tax,- -,-78834800,-445442480,9934680,54908505,47694631,186836266,495757655,697028508,754007015,117291808,231227065,837878066,463622000,966668000,1765203000,1299282000,913576000,1162119000,1201385000,686138000,883878000,1625237000,1181067000,1033319000,971864000,451710000
21,Income Before Tax Ratio,- -,-0.0652,-0.4732,0.0085,0.0432,0.0338,0.1048,0.1411,0.1525,0.1350,0.0201,0.0294,0.0820,0.0446,0.0734,0.1089,0.0841,0.0679,0.0731,0.0731,0.0500,0.0647,0.1002,0.0726,0.0574,0.0472,0.0212
22,Income Tax expense (Gain),- -,-7468560,4967760,4139450,11216798,10664946,-63592211,83252651,112947079,105190452,20886145,34636495,73233427,110531000,147223000,327946000,226780000,142238000,222147000,179639000,176818000,160270000,220167000,206667000,172619000,192538000,43816000
23,Net Income,1281974688,-71366240,-450410240,5795230,43691706,37029685,250428476,412505004,438261817,491490322,68511721,126514438,561643771,252450000,628331000,1117297000,818532000,567333000,700423000,730280000,341108000,515737000,953922000,695266000,604914000,548903000,272673000
24,Net Income ratio,0.1266,-0.0590,-0.4785,0.0049,0.0344,0.0262,0.1404,0.1174,0.0959,0.0880,0.0117,0.0161,0.0550,0.0243,0.0477,0.0689,0.0530,0.0422,0.0440,0.0444,0.0248,0.0377,0.0588,0.0428,0.0336,0.0267,0.0128
25,EPS,6.66,-2.16,-12.75,0.17,1.24,1.07,7.12,11.67,12.40,13.90,1.88,2.99,14.10,6.77,16.85,30.32,21.25,15.13,18.58,19.36,8.81,12.89,23.40,17.02,14.81,13.43,6.67
26,EPS Diluted,6.58,-2.16,-12.75,0.17,1.24,1.07,7.12,11.67,12.40,13.90,1.88,2.99,14.10,6.77,16.85,30.32,21.25,15.13,18.58,19.36,8.81,12.89,23.40,17.02,14.81,13.43,6.67
27,Weighted Average Shares Outstanding,6031000,33076923,35324675,35000000,35340000,35340000,35340000,35340000,35340000,35340000,36459635,37267673,37267673,37267673,37268546,37272098,37260706,37273298,37276964,37721126,38718275,40010628,40765897,40849941,40844970,40871407,40880510
28,Weighted Average Shares Outstanding Diluted,6031000,33076923,35324675,35000000,35340000,35340000,35340000,35340000,35340000,35402963,36459635,37267673,37267673,37267673,37268546,37272098,37260706,37273298,37276964,37721126,38718275,40010628,40765897,40849941,40844970,40871407,40880510
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/932695/000114554909000137/0001145549-09-000137-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,260569760,147376880,173029010,285792434,417139934,409259997,643314431,632053309,722814945,736496964,847985923,556807808,693436000,3657981000,4060990000,4124776000,3156999000,2596536000,2291345000,3474364000,3653914000,5390324000,5559890000,5753268000,5877647000,- -
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,289327000,138629000,216295000,19179000,375224000,538788000,448802000,365778000,265014000,- -
33,Cash and Short-Term Investments,- -,260569760,147376880,173029010,285792434,417139934,409259997,643314431,632053309,722814945,736496964,847985923,556807808,693436000,3657981000,4060990000,4124776000,3446326000,2735165000,2507640000,3493543000,4029138000,5929112000,6008692000,6119046000,6142661000,- -
34,Net Receivables,- -,648934880,618486120,683837140,560450850,620774264,822187184,1038410633,913609747,1076805196,1338408683,1870370730,3457582025,2904943000,2694931000,4449565000,7156986000,6825303000,7741803000,8344895000,7518811000,7398466000,7306931000,7661385000,8117981000,8391377000,- -
35,Inventory,- -,331106160,326216240,301351960,292149999,368420146,544763889,843379068,877483900,1346813614,1636950566,1779319323,1760400094,2250030000,2130026000,2632860000,2416056000,2063219000,2373378000,1954615000,1733939000,1687257000,2596578000,2538131000,2841858000,4488101000,5208636000
36,Other Current Assets,- -,69706560,52989440,32287710,60024358,75894732,181861140,102267400,37508298,333344544,460480146,415232470,313307576,232529000,517054000,237488000,208377000,145604000,754946000,94657000,372001000,183082000,176358000,212683000,303419000,238846000,- -
37,Total Current Assets,- -,1310317360,1145068680,1190505820,1198417642,1482229076,1958072209,2627371533,2460655253,3479778300,4172336359,4912908445,6088097502,6080938000,8999992000,11380903000,13906195000,12480452000,13605292000,12901807000,13118294000,13297943000,16008979000,16420891000,17382304000,19260985000,- -
38,PP&E,- -,1738514800,1242767960,1135865080,1127101982,1025372552,955671224,894984619,1133485689,1538270667,1903198449,2369075438,2504466322,2402162000,3146206000,3276302000,3748233000,4363161000,4438528000,4885433000,4721999000,4506821000,4191288000,4111088000,4625828000,4642761000,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,212720578,241722500,233338865,212636000,212636000,212636000,212636000,212636000,212636000,212636000,212636000,212636000,212636000,212636000,212636000,212636000,- -
40,Intangible Assets,- -,297082720,279850480,263269020,246314270,229197130,212672153,212672153,212673952,212682230,- -,- -,- -,- -,- -,13389000,24754000,135411000,145283000,108526000,81826000,81826000,10122000,206001000,741508000,1271332000,- -
41,Intangible Assets,- -,297082720,279850480,263269020,246314270,229197130,212672153,212672153,212673952,212682230,212720578,241722500,233338865,212636000,212636000,226025000,237390000,348047000,357919000,321162000,294462000,294462000,222758000,418637000,954144000,1483968000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,997497000,277245000,595098000,512030000,378631000,502352000,275391000,330163000,180187000,268287000,294942000,325946000,369513000,- -
43,Tax Assets,- -,- -,- -,- -,- -,24165610,118616608,149849804,143592790,72748382,65548747,79253790,35802197,19445000,241718000,294934000,359332000,353382000,389077000,388282000,341728000,308207000,315390000,361207000,422960000,400198000,- -
44,Other Non-Current Assets,- -,204970480,148204840,120871940,28087525,5696239,18377338,101290587,83932163,81837791,262687470,1447598078,1376890699,- -,428114000,473001000,387839000,- -,- -,1261000,8956000,8886000,8357000,51199000,143009000,133533000,- -
45,Total Non-Current Assets,- -,2240568000,1670823280,1520006040,1401503778,1284431531,1305337323,1358797164,1573684593,1905539070,2444155243,4137649805,4150498083,3631740000,4305919000,4865360000,5244824000,5443221000,5687876000,5871529000,5697308000,5298563000,5006080000,5237073000,6471887000,7029973000,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,3550885360,2815891960,2710511860,2599921420,2766660608,3263409532,3986168697,4034339846,5385317370,6616491602,9050558250,10238595586,9712678000,13305911000,16246263000,19151019000,17923673000,19293168000,18773336000,18815602000,18596506000,21015059000,21657964000,23854191000,26290958000,- -
48,Accounts Payable,- -,196672080,188774880,202005160,128252293,212257228,349368088,629009909,732094752,1089926063,1643651571,2516822468,2682739494,2612928000,6190246000,7902317000,7234151000,4587358000,5085349000,4214289000,3841756000,4672750000,5177123000,2641229000,3433856000,3645225000,7361818000
49,Short-Term Debt,- -,682958320,399076720,312114530,384740324,274643028,265047565,265047565,290049820,430083005,913209732,1147191593,875550363,1068675000,453792000,423543000,3551848000,2339273000,1230994000,1209093000,2399254000,894136000,1600000000,2001028000,2083679000,1752755000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10998000,- -,- -,- -,- -,64116000,39600000,39064000,42750000,51387000,38823000,39698000,62111000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,202950000,- -,- -,- -,- -,202138000,220833000,266168000,246636000,117117000,287155000,383192000,868513000,- -
52,Other Current Liabilities,- -,259739920,121710120,146536530,145934272,191646599,243003038,392231987,475538327,557243667,655681229,728855718,1430254308,1168725000,392075000,566747000,449824000,2669139000,2752907000,2331647000,2244703000,2212352000,2510964000,4629838000,5308328000,6785302000,- -
53,Total Current Liabilities,- -,1139370320,709561720,660656220,658926890,678546855,857418692,1286289461,1497682898,2077252736,3212542532,4392869778,4988544166,5053278000,7036113000,8892607000,11235823000,9595770000,9271388000,7975862000,8751881000,8025874000,9405204000,9559250000,11209055000,13051795000,- -
54,Long-Term Debt,- -,- -,278194560,208628280,59991246,169779326,180031684,50007881,- -,100024886,50023406,767866610,820791484,254529000,625256000,201850000,144883000,111422000,1028439000,1077844000,56564000,16270000,26341000,15112000,31374000,517023000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,176035000,269736000,318583000,326062000,310965000,313004000,- -,- -,8060000,53703000,53813000,67269000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31840000,77274000,100739000,118552000,141617000,134224000,127419000,115758000,116468000,136728000,153486000,112456000,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26877000,18869000,830000,- -,106594000,120588000,449669000,452792000,479710000,745617000,833078000,709705000,- -
58,Total Non-Current Liabilities,- -,- -,278194560,208628280,59991246,169779326,180031684,50007881,- -,100024886,50023406,767866610,820791484,254529000,860008000,567729000,565035000,556036000,1587615000,1645660000,633652000,584820000,630579000,951160000,1071751000,1406453000,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,56000,220000,114000,- -,- -,48000,60007000,39778000,- -
61,Total Liabilities,- -,1139370320,987756280,869284500,718918136,848326181,1037450376,1336297342,1497682898,2177277622,3262565938,5160736388,5809335650,5307807000,7896121000,9460336000,11800858000,10151806000,10859003000,9621522000,9385533000,8610694000,10035783000,10510410000,12280806000,14458248000,- -
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36000,21000,21000,21000,21000,21000,21000,21000,21000,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,30631930,30347441,30308288,30355719,30355719,30355976,30355976,31954913,36312958,34143944,31945000,1724196000,1724196000,- -,1724196000,1724196000,1840227000,1955720000,2059076000,2081138000,2081138000,2081138000,2081138000,- -
64,Retained Earnings,- -,316169040,-963745440,-133290290,-99005837,-74464472,169104618,473911802,244528273,699718907,645242194,740037333,1224185306,1369821000,2410026000,3473906000,3626714000,3980632000,4471075000,4924767000,5012934000,5306199000,6009395000,6092549000,6456802000,6756976000,- -
65,Other Comprehensive Income/Loss,- -,-151860720,-331184000,-451200050,-564242211,-689699578,-798213864,170826459,229958729,266283251,297992885,401555655,454171434,49335000,-1932033000,-2116380000,-2311227000,287858000,303650000,305712000,329175000,330098000,331730000,333108000,335011000,337869000,- -
66,Other Total Stockholders Equity,- -,2247206720,3123065120,2395085770,2513903891,2652190187,2824712682,1487198462,1487194482,1487227595,1692940289,1923768010,1808745113,1979724000,1847106000,2016204000,- -,-90794000,-107369000,-82295000,-58233000,-11560000,-74722000,-110946000,-105422000,-161359000,- -
67,Total Stockholders Equity,- -,2411515040,1828135680,1841227360,1881003284,1918334426,2225959156,2162292443,1992037460,2483585729,2668130280,3101673955,3521245797,3430825000,4049331000,5097947000,5542203000,5901913000,6391573000,6988432000,7239617000,7683834000,8347562000,8395849000,8767529000,9014624000,8859152000
68,Total Liabilities And Stockholders Equity,- -,3550885360,2815891960,2710511860,2599921420,2766660608,3263409532,3498589785,3489720358,4660863351,5930696218,8262410343,9330581447,8738632000,11945452000,14558283000,17343061000,16053719000,17250576000,16609954000,16625150000,16294528000,18383345000,18906259000,21048335000,23472872000,- -
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,487578912,544619489,724454019,685795384,788147908,908014139,974046000,1360459000,1687980000,1807958000,1869954000,2042592000,2163382000,2190452000,2301978000,2631714000,2751705000,2805856000,2818086000,- -
70,Total Liabilities & Equity,- -,3550885360,2815891960,2710511860,2599921420,2766660608,3263409532,3986168697,4034339846,5385317370,6616491602,9050558250,10238595586,9712678000,13305911000,16246263000,19151019000,17923673000,19293168000,18773336000,18815602000,18596506000,21015059000,21657964000,23854191000,26290958000,- -
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/932695/000114554909000137/0001145549-09-000137-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-71366240,-450410240,5795230,43691706,37029685,250428476,412505004,438261817,491490322,68511721,126514438,561643771,252450000,628331000,1117297000,818532000,567333000,700423000,730280000,341108000,515737000,953922000,695266000,604914000,548903000,- -
74,Depreciation and Amortization,- -,161818800,182151200,149848090,144725673,142662254,130561878,118881507,125538145,132822917,139776506,162406330,238678879,266621000,285314000,275136000,301557000,335337000,377110000,418675000,456002000,465341000,431815000,421161000,465209000,494607000,- -
75,Deferred Income Tax,- -,-8298400,3311840,- -,-620856,-1868432,-94419780,-31224918,6250003,1117550,-11851898,-22729713,37022145,2627000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5360000,10275000,5301000,1592000,- -,- -,- -,- -
77,Change in Working Capital,- -,-99580800,16559200,14902020,23137234,-24744328,-309931315,-753305,343824682,-206026597,-219833332,345959480,-947980232,-105866000,2834503000,-567066000,-3558610000,325858000,-917488000,-929279000,409970000,1002446000,-15738000,-679788000,465076000,315042000,- -
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,536617000,- -,- -,-2447246000,179389000,-1322998000,-85712000,732413000,116487000,- -,- -,- -,- -,- -
79,Inventory,- -,-29874240,827960,24836700,9172113,-76605728,-175801585,-298615180,-34105978,-469304880,-289854797,117375768,-87478333,-603005000,-49006000,-409118000,229216000,431933000,-293770000,434458000,168176000,55299000,-897060000,51738000,-314975000,-1687714000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,102966000,- -,- -,- -,-329148000,790171000,-1140069000,-495825000,774134000,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12971000,26975000,-134939000,-10256000,43684000,-90891000,-137956000,5206000,56526000,- -,- -,- -,- -,- -
82,Other Non-Cash Items,- -,4149200,303861320,14902020,22408763,17427679,82648351,160197404,161589488,170331214,266167148,108743935,201006581,216853000,221210000,639597000,676135000,283664000,429597000,310650000,469363000,287262000,-1424000,233962000,47817000,56816000,- -
83,Cash Provided by Operating Activities,- -,-13277440,55473320,185447360,233342519,170506858,59287609,659605692,1075464135,589735406,242770145,720894470,90371145,632685000,3969358000,1464964000,-1762386000,1512192000,589642000,535686000,1686718000,2276087000,1370167000,670601000,1583016000,1415368000,- -
84,CAPEX,- -,-23235520,-4139800,-7451010,-32657026,-14939192,-43054294,-174874440,-372839598,-553013533,-515573710,-368080988,-283517460,-432423000,-780836000,-643015000,-818639000,-760100000,-505015000,-690745000,-397817000,-351472000,-289472000,-588373000,-1264026000,-1084823000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-870000,-67494000,-186004000,-33295000,38056000,-10216000,-17239000,147376000,-10331000,442834000,- -,-41274000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1349338,-161421559,-1049387550,- -,- -,-82000,- -,- -,- -,-319619000,-97069000,-66901000,-290169000,- -,- -,- -,-5341000,- -
87,Sales/Maturities of Investments,- -,- -,- -,827890,- -,- -,- -,- -,- -,- -,- -,13536460,94754193,134542000,- -,169000,- -,6786000,45436000,197513000,193589000,7360000,- -,- -,154508000,1354000,- -
88,Other Investing Activites,- -,-91282400,-56301280,3311560,7864176,884612,364236,687081,405629,-199155733,-492484,-62489165,8663825,36975000,47967000,429420000,317330000,101041000,231183000,63006000,98257000,72581000,-26792000,327755000,-174624000,-197090000,- -
89,Cash Used for Investing Activites,- -,-114517920,-60441080,-3311560,-24792850,-14054580,-42690059,-174187359,-372433969,-753518604,-677487753,-1466421243,-180099442,-261776000,-800445000,-386041000,-523239000,-506135000,-553591000,-523019000,-25496000,-572031000,126570000,-79992000,-810477000,-785753000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1284686000,-1256460000,-926285000,-477328000,-4835507000,-3078311000,-1939125000,-2772947000,-2793267000,-1100171000,-1611789000,-2049138000,-2091643000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6617000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,-14937120,- -,- -,- -,-25207303,-25239866,-121348375,-697285131,-8509938,-120343591,-32936640,-30294167,-59357000,-16220000,-63078000,-365683000,-211729000,-207708000,-158493000,-142007000,-118193000,-235947000,-597459000,-238758000,-245871000,- -
94,Other Financing Activites,- -,182564800,-108462760,-156471210,-95769108,429905,157284,-130023803,-17003320,263054773,573307309,795337203,-114068824,1150882000,939955000,322735000,3200962000,3036299000,2732840000,1782869000,2429419000,1357474000,1610363000,1759723000,1698467000,1875682000,- -
95,Cash Used/Provided by Financing Activities,- -,167627680,-108462760,-156471210,-95769108,-24777398,-25082582,-251372177,-714288451,254544834,452963718,762400563,-144362991,-193161000,-332725000,-666628000,2357951000,-2010937000,-553179000,-314749000,-485535000,-1553986000,280862000,-449525000,-589429000,-461832000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4714924,-5801340,-6384640,-5257000,-1902000,-9286000,-8540000,7706000,-13938000,-3109000,7332000,29480000,-41189000,28482000,10268000,-43404000,- -
97,Net Change In Cash,- -,- -,- -,25664590,112780562,131674880,-8485032,234054434,-11258284,90761637,13531186,11072450,-240475929,172491000,2834286000,403009000,63786000,-997174000,-531066000,-305191000,1183019000,179550000,1736410000,169566000,193378000,124379000,- -
98,Cash at the End of Period,- -,- -,- -,173029010,285792434,417139934,409259997,643314431,632053309,722814945,736496964,847985923,556807808,693436000,3657981000,4060990000,4124776000,3127602000,2596536000,2291345000,3474364000,3653914000,5390324000,5559890000,5753268000,5877647000,- -
99,Cash at the Beginning of Period,- -,220737440,260807400,147364420,173011872,285465055,417745029,409259997,643311593,632053309,722965778,836913473,797283736,520945000,823695000,3657981000,4060990000,4124776000,3127602000,2596536000,2291345000,3474364000,3653914000,5390324000,5559890000,5753268000,- -
100,Free Cash Flow,- -,-36512960,51333520,177996350,200685493,155567666,16233315,484731252,702624538,36721873,-272803565,352813483,-193146315,200262000,3188522000,821949000,-2581025000,752092000,84627000,-155059000,1288901000,1924615000,1080695000,82228000,318990000,330545000,- -
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/932695/000114554909000137/0001145549-09-000137-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,undefined
102,Forex Rate,0.1148,0.1148,0.1148,0.1148,0.1148,0.1148,0.1148,0.1208,0.1208,0.1208,0.1239,0.1281,0.1369,0.1466,0.1465,0.1517,0.1589,0.1605,0.1652,0.1611,0.154,0.1439,0.1537,0.1453,0.1436,0.1532,0.1572
