,https://roic.ai/company/MMNFF,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1776932/000182912621010556/0001829126-21-010556-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,239,1958,2184,442,307,6688,2380,2060,84,7279,6072,347269,190488,86187,4597,79159970,33753751,10093925,11873256
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13018791,3786791,3036791
33,Cash and Short-Term Investments,- -,- -,- -,239,1958,2184,442,307,6688,2380,2060,84,7279,6072,347269,190488,86187,4597,79159970,46772542,13880716,14910047
34,Net Receivables,- -,- -,2870,645,1044,1417,1793,2461,10060,9685,5236,3886,21783,30962,15542,2114,1187,5200,3827194,15589849,9328309,9129805
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6248754,29176192,22638120,20093018
36,Other Current Assets,- -,- -,- -,0,0,0,0,- -,- -,- -,-0,754421,0,0,9376,8031,7827,0,22192861,24244623,38196587,52545800
37,Total Current Assets,- -,- -,2870,883,3002,3602,2235,2769,16748,12066,7296,758391,29063,37034,372187,200633,95200,9797,111428779,115783206,84043732,96678670
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,88748447,220989461,290902695,215252624
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18165161,85560531,33861150,32900457
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48792757,175552837,148081030,115379528
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,66957918,261113368,181942180,148279985
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21878,- -,- -,- -,- -,- -,- -,15055198,36744200,17374997,12252411
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21878,- -,- -,- -,- -,- -,- -,170761563,518847029,490219872,375785020
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,2870,883,3002,3602,2235,2769,16748,12066,7296,780269,29063,37034,372187,200633,95200,9797,282190342,634630235,574263604,472463690
48,Accounts Payable,- -,- -,579003,342283,376284,33397,50758,58043,58875,35880,30541,72278,51889,38934,10973,9178,10217,43598,3613355,49794041,79530930,35064380
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,52353625,- -,- -,112937811
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5079976,- -,- -,61462662
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1024210,- -,- -,- -
52,Other Current Liabilities,- -,- -,279991,12289,34768,201342,223906,287307,643727,806131,903798,981437,390522,- -,- -,- -,- -,- -,24408533,65140173,109683963,140605389
53,Total Current Liabilities,- -,- -,858994,354572,411053,234739,274663,345350,702602,842011,934339,1053715,442411,38934,10973,9178,10217,43598,81399723,114934214,189214893,288607580
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3593334,167663586,319178400,387463168
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10680104,4164713,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24578609,48928492,46377657
57,Other Non-Current Liabilities,- -,- -,- -,331939,359760,370657,390478,460859,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,115924456,189665556,3648904
58,Total Non-Current Liabilities,- -,- -,- -,331939,359760,370657,390478,460859,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3593334,318846755,561937161,437489729
59,Other Liabilities,- -,- -,- -,- -,- -,741313,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,98229579,201016449,138464258
61,Total Liabilities,- -,- -,858994,686511,770813,605395,665141,806209,702602,842011,934339,1053715,442411,38934,10973,9178,10217,43598,84993057,433780969,751152054,726097309
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4658376,4923677,4217153,4110086,4297984,176237265,619678125,82500,- -
64,Retained Earnings,- -,- -,-3140971,-3383970,-3692315,-3614874,-3837113,-4549784,-3655966,-4126068,-4425188,-4663927,-4887446,-4784486,-4706468,-4155254,-4151369,-4463824,-66647221,-383622726,-631365865,-717232706
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13056482,-34741034,- -
66,Other Total Stockholders Equity,- -,- -,2284848,2698342,2924504,3013080,3174208,3746343,2970112,3296123,3498145,4390481,4474098,124211,144006,129556,126266,132039,- -,13056482,825913646,- -
67,Total Stockholders Equity,- -,- -,-856123,-685627,-767811,-601794,-662906,-803441,-685854,-829945,-927044,-273445,-413349,-1899,361215,191455,84983,-33801,109590044,236055399,159889247,191759980
68,Total Liabilities And Stockholders Equity,- -,- -,2870,883,3002,3602,2235,2769,16748,12066,7296,780269,29063,37034,372187,200633,95200,9797,194583101,669836368,911041301,917857289
69,Minority Interest,- -,- -,0,0,0,-0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,87607241,-35206133,-336777697,-445393599
70,Total Liabilities & Equity,- -,- -,2870,883,3002,3602,2235,2769,16748,12066,7296,780269,29063,37034,372187,200633,95200,9797,282190342,634630235,574263604,472463690
71,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1776932/000182912621010556/0001829126-21-010556-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-1271660,-75182,325431,-24718,189272,-28930,-21050,-48884,-68809,-46230,-78480,-249923,-122803,-228136,-124141,-101611,-122669,-66647221,-79119524,-247264351,-124145525
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6030947,22598860,42943366,33808332
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5068784,-58422755,-19570524
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,130226,- -,27743,6214,- -,- -,31360669,32721458,11065124,5464146
77,Change in Working Capital,- -,183389,- -,502435,-54362,176914,-41291,-70154,-343273,-144091,-97098,631720,-118025,411449,363114,-169760,-106472,541455,30062857,-29180064,-106020153,-86757749
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-318159,-1169271,-342052,-1921516
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7249667,-19132047,3265309,583235
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10559,108473,-220,1272,36580,15685561,31618214,49815754,-1379949
81,Other Working Capital,- -,-856123,-856123,-353689,-408051,-231137,-272428,-342581,-685854,-829945,-927044,-295324,-413349,-1899,361215,191455,84983,-33801,30029056,848992,-105171161,-191928910
82,Other Non-Cash Items,- -,1002113,75182,-831114,66584,-390797,87804,104815,377253,148548,129021,-575866,131645,-432193,-250578,180737,108618,-504316,-69683767,-178051809,247572020,131501310
83,Cash Provided by Operating Activities,- -,-86158,- -,-3249,-12495,-24611,17583,13612,-14905,-64352,-14307,-22626,-106077,-143547,-87857,-106950,-99465,-85530,-68876515,-236099863,-110126749,-59700010
84,CAPEX,- -,- -,- -,-10079,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-59589669,-128053026,-60828547,-7774017
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-32424999,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8759791,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12500000,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-754421,750150,- -,- -,- -,- -,- -,-3973532,52955168,24796545,18116170
89,Cash Used for Investing Activites,- -,- -,- -,-10079,- -,- -,- -,- -,- -,- -,- -,-754421,750150,- -,- -,- -,- -,- -,-95988200,-80773552,-19391216,11228467
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-16979,-16646,-23879,-9963,- -,-372483,- -,- -,- -,- -,-23363562,-55587157,-17064372,-10169505
91,Common Stock Issued,- -,78019,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,446476,- -,- -,- -,147663440,128595775,62593190,28885912
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,28143,- -,13566,14195,24777,-19442,-13826,38328,75957,37719,784985,-636877,515159,-17034,- -,- -,- -,114004781,198458578,61599973,32029656
95,Cash Used/Provided by Financing Activities,- -,106162,- -,13566,14195,24777,-19442,-13826,21349,59311,13840,775022,-636877,142676,429442,- -,- -,- -,238304659,271467196,107128791,50746063
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,106162,- -,- -,1700,167,-1859,-215,6444,-5041,-467,-2025,7195,-871,341586,-106950,-99465,-85530,73439944,-45406219,-23132445,2274520
98,Cash at the End of Period,- -,- -,- -,239,1958,2184,442,307,6688,2380,2060,84,7279,6072,347269,190488,86187,4597,79159970,33753751,10093925,11873256
99,Cash at the Beginning of Period,- -,-20004,- -,- -,259,2018,2301,522,244,7422,2526,2109,84,6943,5684,297438,185652,90127,5720026,79159970,33226370,9598736
100,Free Cash Flow,- -,-86158,- -,-13328,-12495,-24611,17583,13612,-14905,-64352,-14307,-22626,-106077,-143547,-87857,-106950,-99465,-85530,-128466184,-364152889,-170955296,-67474027
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1776932/000182912621010556/0001829126-21-010556-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
