,https://roic.ai/company/CTLP,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,2530795,3217871,4239921,4332706,7615548,8804436,16080530,14941264,18770423,13589523,13792145,16454809,20566706,16767273,16455728,12854975,16961443,13382688,14636504,17062937,23020000,26511000,37851000,66937000,85865000,62731000
11,COGS and Expenses,2500000,3700000,5500000,7300000,8900000,9600000,17000000,17900000,22700000,17100000,18500000,24300000,33300000,25900000,27400000,28600000,36000000,35200000,41900000,58723000,80693000,105570000,141731000,173955000,202745000,175644000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,282930,85144,82234,72059,57121,30337,82695,320000,482000,943000,1382000,1595000,1159000
13,Interest Expense (Gain),- -,- -,100000,-200000,-1600000,-1100000,-2000000,-6900000,-4400000,-3100000,2878966000,2984950000,147200000,96992000,60942000,35953000,35953,83993,157205,256844,302000,892000,-2162000,2992000,2597000,4013000
14,Depreciation and Amortization,72016,97250,116255,91773,110551,209646,4949335,2743083,2676747,1600120,1699593,1747278,1923491,1672787,1817815,2588378,3440954,4579574,5485938,5731356,5222000,5591000,7829000,8009000,7017000,5512000
15,EBITDA,-2427984,-3002750,-3383745,-3808227,-9889449,-11890354,-14350665,-26156917,-23123253,-16999880,2865865593,2968897278,132723491,84964787,51159815,32041378,-1723093,5563567,5843143,3588200,-5097000,-887000,-5718000,-20765000,-30980000,1190000
16,EBITDA ratio,-24.2798,-5.0046,-1.8799,-0.9765,-4.7093,-7.9269,-8.4416,-9.0196,-4.1292,-3.6170,447.7915,322.7062,8.2437,7.0804,3.2380,1.3992,-0.0594,0.1550,0.1381,0.0617,-0.0657,-0.0087,-0.0432,-0.1444,-0.1899,0.0071
17,Operating Income,-2445948,-3135189,-3676421,-3405112,-6820001,-8169673,-15316777,-15059639,-17467300,-12390207,-11781799,-15108576,-17147852,-13917756,-11595697,-5688217,-7000392,713925,436332,-240303,-1467000,135000,-9223000,-30156000,-39592000,-8705000
18,Operating Income ratio,-24.4595,-5.2253,-2.0425,-0.8731,-3.2476,-5.4464,-9.0099,-5.1930,-3.1192,-2.6362,-1.8409,-1.6422,-1.0651,-1.1598,-0.7339,-0.2484,-0.2414,0.0199,0.0103,-0.0041,-0.0189,0.0013,-0.0696,-0.2097,-0.2427,-0.0521
19,Total Other Income Expenses (Gains),-54052,35189,76421,-294888,-1579999,-1130327,-1983223,-6940361,-3932700,-3109793,-3018201,-2691424,747852,217756,-4303,-811783,1800392,186075,-136332,-2159697,-9154000,-7505000,-2162000,-1610000,-1002000,370000
20,Income Before Tax,-2500000,-3100000,-3600000,-3700000,-8400000,-9300000,-17300000,-22000000,-21400000,-15500000,-14800000,-17800000,-16400000,-13700000,-11600000,-6500000,-5200000,900000,300000,-2400000,-10621000,-7370000,-11385000,-31766000,-40594000,-8335000
21,Income Before Tax Ratio,-25.0000,-5.1667,-2.0000,-0.9487,-4.0000,-6.2000,-10.1765,-7.5862,-3.8214,-3.2979,-2.3125,-1.9348,-1.0186,-1.1417,-0.7342,-0.2838,-0.1793,0.0251,0.0071,-0.0413,-0.1369,-0.0727,-0.0859,-0.2209,-0.2488,-0.0499
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-27300000,-286000,27716000,95000,-101000,262000,1000,370000
23,Net Income,-2500000,-3100000,-3600000,-3700000,-8400000,-11000000,-17300000,-22000000,-21400000,-15500000,-14800000,-17800000,-16400000,-13700000,-11600000,-6500000,-5200000,900000,27500000,-2114000,-38337000,-7465000,-11284000,-32028000,-40595000,-8705000
24,Net Income ratio,-25.0000,-5.1667,-2.0000,-0.9487,-4.0000,-7.3333,-10.1765,-7.5862,-3.8214,-3.2979,-2.3125,-1.9348,-1.0186,-1.1417,-0.7342,-0.2838,-0.1793,0.0251,0.6501,-0.0364,-0.4942,-0.0736,-0.0852,-0.2227,-0.2488,-0.0521
25,EPS,-230.00,-210.00,-150.00,-107.00,-92.00,-70.00,-50.00,-20.00,-8.00,-4.00,-3.15,-2.13,-1.21,-0.95,-0.55,-0.26,-0.18,0.01,0.78,-0.04,-0.21,-0.06,-0.23,-0.54,-0.66,-0.14
26,EPS Diluted,-230.00,-210.00,-150.00,-107.00,-92.00,-70.00,-50.00,-20.00,-8.00,-4.00,-3.15,-2.13,-1.21,-0.95,-0.55,-0.26,-0.18,0.01,0.78,-0.04,-0.21,-0.06,-0.23,-0.54,-0.66,-0.14
27,Weighted Average Shares Outstanding,14908,20984,35320,43488,101359,167319,359941,1117903,2884761,3894204,4965501,8702523,14158298,15263788,22370068,27665345,32423987,32787673,34613497,35663386,36309047,39860335,51840518,60061243,62980193,66950000
28,Weighted Average Shares Outstanding Diluted,14908,20984,35320,43488,101359,167319,359941,1117903,2884761,3894204,4965501,8702523,14158298,15263788,22370068,27665345,32423987,33613346,34613497,35663386,36309047,39860335,51840518,60061243,62980193,66950000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/896429/000114420405030151/0001144204-05-030151-index.htm,https://www.sec.gov/Archives/edgar/data/896429/000114420406040222/v053773_10k.htm,https://www.sec.gov/Archives/edgar/data/896429/000114036107018696/0001140361-07-018696-index.html,https://www.sec.gov/Archives/edgar/data/896429/000114036108021781/0001140361-08-021781-index.html,https://www.sec.gov/Archives/edgar/data/896429/000118811209002061/0001188112-09-002061-index.html,https://www.sec.gov/Archives/edgar/data/896429/000114036110038024/0001140361-10-038024-index.html,https://www.sec.gov/Archives/edgar/data/896429/000118811211002732/0001188112-11-002732-index.html,https://www.sec.gov/Archives/edgar/data/896429/000118811212002965/0001188112-12-002965-index.html,https://www.sec.gov/Archives/edgar/data/896429/000118811213002827/0001188112-13-002827-index.html,https://www.sec.gov/Archives/edgar/data/896429/000157104914004859/0001571049-14-004859-index.html,https://www.sec.gov/Archives/edgar/data/896429/000157104915008057/0001571049-15-008057-index.html,https://www.sec.gov/Archives/edgar/data/896429/000157104916018243/0001571049-16-018243-index.html,https://www.sec.gov/Archives/edgar/data/896429/000155837017006780/0001558370-17-006780-index.html,- -,https://www.sec.gov/Archives/edgar/data/896429/000162828019012238/usat-20190630x10k.htm,https://www.sec.gov/Archives/edgar/data/896429/000162828020013493/0001628280-20-013493-index.htm,https://www.sec.gov/Archives/edgar/data/896429/000162828021018059/0001628280-21-018059-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1800000,600000,300000,1700000,1900000,800000,600000,2400000,3000000,2100000,2900000,5200000,10000000,6700000,7600000,13000000,6400000,6000000,9100000,11374000,19272000,12745000,83964000,27464000,31713000,88136000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,900000,100000,- -,- -,6400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1800000,600000,300000,1700000,1900000,800000,600000,3300000,3100000,2100000,2900000,11600000,10000000,6700000,7600000,13000000,6400000,6000000,9100000,11374000,19272000,12745000,83964000,27464000,31713000,88136000
34,Net Receivables,- -,100000,200000,400000,600000,100000,300000,400000,1100000,1000000,1400000,2600000,3900000,1700000,2300000,1900000,2600000,2700000,2800000,7168000,8491000,18203000,20351000,28633000,24741000,35437000
35,Inventory,400000,400000,400000,1300000,1000000,600000,900000,500000,1700000,1700000,1400000,3000000,2300000,1700000,2600000,2700000,2500000,1800000,1500000,4565000,1450000,4586000,8038000,11273000,9128000,5292000
36,Other Current Assets,100000,100000,100000,100000,500000,400000,100000,1200000,600000,300000,200000,200000,800000,1100000,900000,800000,600000,200000,1200000,412000,952000,968000,929000,1558000,1782000,2414000
37,Total Current Assets,2300000,1200000,1000000,3500000,4000000,1900000,1900000,5400000,6500000,5100000,5900000,17400000,17000000,11200000,13400000,18400000,12100000,10700000,14600000,23519000,30165000,36502000,113282000,68928000,67364000,131279000
38,PP&E,200000,200000,200000,100000,400000,800000,1900000,900000,600000,700000,1100000,1900000,2000000,2100000,4500000,7400000,11800000,17200000,21100000,17027000,13120000,12111000,11273000,9590000,13475000,8619000
39,Goodwill,- -,- -,- -,- -,- -,- -,6800000,7900000,8000000,7700000,7700000,7700000,7700000,7700000,7700000,7700000,7700000,7700000,7700000,7663000,11703000,11492000,64149000,63945000,63945000,63945000
40,Intangible Assets,- -,- -,- -,- -,100000,3100000,5200000,3600000,10800000,9600000,8400000,7100000,5900000,4800000,3800000,2200000,1200000,500000,400000,432000,798000,622000,29325000,26171000,23033000,19992000
41,Intangible Assets,- -,- -,- -,- -,100000,3100000,12000000,11500000,18800000,17300000,16100000,14800000,13600000,12500000,11500000,9900000,8900000,8200000,8100000,8095000,12501000,12114000,93474000,90116000,86978000,83937000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32000,- -,67000,71000,- -,- -
44,Other Non-Current Assets,100000,- -,- -,100000,- -,- -,100000,100000,- -,300000,300000,400000,600000,200000,400000,300000,400000,500000,27000000,31669000,4034000,36964000,13899000,14670000,13206000,13837000
45,Total Non-Current Assets,300000,200000,200000,200000,500000,3900000,14000000,12500000,19400000,18300000,17500000,17100000,23100000,14800000,16400000,17600000,21100000,25900000,56200000,56791000,29687000,61189000,118713000,114447000,113659000,106393000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2600000,1400000,1200000,3700000,4500000,5800000,15900000,17900000,25900000,23400000,23400000,34500000,40100000,26000000,29800000,36000000,33200000,36600000,70800000,80310000,59852000,97691000,231995000,183375000,181023000,237672000
48,Accounts Payable,300000,500000,600000,1000000,1200000,2600000,3100000,2300000,2900000,3300000,2400000,3900000,4000000,3800000,4600000,5600000,6100000,7300000,7800000,9250000,12370000,16054000,30468000,27584000,27058000,36775000
49,Short-Term Debt,- -,- -,- -,808878,192689,327935,850644,1180616,642651,1352807,941403,514302,526348,494850,344652,155428,466056,3247152,5172911,4477522,7748000,10266000,34639000,12497000,4403000,1841000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21021,54086,18000,10000,- -,254000,20379000,1450000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,907691000,1257796000000,2271000,75000,- -,1539000,1698000,1763000
52,Other Current Liabilities,100000,- -,400000,391122,507311,1372065,2549356,2719384,1557349,1447193,2058597,1485698,2473652,1405150,1855348,1144572,3333944,1452848,-905463911,-1257786083522,13374000,4304000,19802000,23747000,29190000,25294000
53,Total Current Liabilities,400000,500000,1000000,2200000,1900000,4300000,6500000,6200000,5100000,6100000,5400000,5900000,7000000,5700000,6800000,6900000,9900000,12000000,15200000,23644000,35763000,30699000,84909000,65367000,62349000,65673000
54,Long-Term Debt,- -,- -,- -,2100000,2700000,4300000,7100000,8000000,6600000,8000000,6800000,500000,400000,300000,300000,100000,300000,100000,200000,3356000,1576000,1061000,1127000,276000,12417000,17289000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12599,40245,26353330,25788187,25453000,27670000,- -,71000,137000,179000
57,Other Non-Current Liabilities,- -,100000,- -,- -,100000,- -,100000,- -,100000,- -,- -,- -,100000,- -,-100000,2900000,1387401,1059755,-24753330,-24761187,-25406000,-27517000,133000,100000,4767000,- -
58,Total Non-Current Liabilities,- -,100000,- -,2100000,2800000,4300000,7200000,8000000,6700000,8000000,6800000,500000,500000,300000,200000,3000000,1700000,1200000,1800000,4383000,1623000,1214000,1260000,447000,17321000,17468000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5884000,4811000
61,Total Liabilities,400000,600000,1000000,4300000,4700000,8600000,13700000,14200000,11800000,14100000,12200000,6400000,7500000,6000000,7000000,9900000,11600000,13200000,17000000,28027000,37386000,31913000,86169000,65814000,79670000,83141000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,3715246,3702856,3702856,3694360,3686218,3686218,3614554,3148676,3138056,3138056,3138056,3138056,3138056,3138000,3138000,3138000,3138000,3138000,3138000
63,Common Stock,2700000,4400000,11200000,14300000,24200000,33000000,55400000,78800000,110600000,121600000,138100000,172800000,193700000,194900000,210000000,219800000,220500000,221400000,224200000,224874000,233394000,245999000,375436000,376853000,401240000,462775000
64,Retained Earnings,-7300000,-10500000,-15600000,-19400000,-28200000,-39200000,-56800000,-78800000,-100300000,-115800000,-130600000,-148400000,-164800000,-178600000,-190300000,-196800000,-202000000,-201100000,-173600000,-175729000,-214066000,-183359000,-232748000,-262430000,-303025000,-311382000
65,Other Comprehensive Income/Loss,-100000,-200000,-300000,-400000,-500000,-700000,-2600000,-3200000,32249,-230770,-2900000,-3300000,-2900000,-3300000,-3500000,-4800000,-6700000,-10300000,-15000000,- -,- -,-27727000,-34288000,- -,-36712000,- -
66,Other Total Stockholders Equity,6900190,7146141,4855175,4856471,4344518,4100103,6251139,3176837,73557,37099,2882704,3297988,2890331,3357718,3463496,4787475,6716966,10241135,14998611,1027653,32559000,27727000,34288000,-1970000,36712000,- -
67,Total Stockholders Equity,2200190,846141,155175,-643529,-155482,-2799897,2251139,3692083,14108662,9309185,11177064,28084206,32576549,19972272,22812172,26125531,21655022,23379191,53736667,53310709,55025000,65778000,145826000,115591000,101353000,154531000
68,Total Liabilities And Stockholders Equity,2600190,1446141,1155175,3656471,4544518,5800103,15951139,17892083,25908662,23409185,23377064,34484206,40076549,25972272,29812172,36025531,33255022,36579191,70736667,81337709,92411000,97691000,231995000,181405000,181023000,237672000
69,Minority Interest,-190,-46141,44825,43529,-44518,-103,-51139,7917,-8662,-9185,22936,15794,23451,27728,-12172,-25531,-55022,20809,63333,-1027709,-32559000,- -,- -,1970000,- -,- -
70,Total Liabilities & Equity,2600000,1400000,1200000,3700000,4500000,5800000,15900000,17900000,25900000,23400000,23400000,34500000,40100000,26000000,29800000,36000000,33200000,36600000,70800000,80310000,59852000,97691000,231995000,183375000,181023000,237672000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/896429/000114420405030151/0001144204-05-030151-index.htm,https://www.sec.gov/Archives/edgar/data/896429/000114420406040222/v053773_10k.htm,https://www.sec.gov/Archives/edgar/data/896429/000114036107018696/0001140361-07-018696-index.html,https://www.sec.gov/Archives/edgar/data/896429/000114036108021781/0001140361-08-021781-index.html,https://www.sec.gov/Archives/edgar/data/896429/000118811209002061/0001188112-09-002061-index.html,https://www.sec.gov/Archives/edgar/data/896429/000114036110038024/0001140361-10-038024-index.html,https://www.sec.gov/Archives/edgar/data/896429/000118811211002732/0001188112-11-002732-index.html,https://www.sec.gov/Archives/edgar/data/896429/000118811212002965/0001188112-12-002965-index.html,https://www.sec.gov/Archives/edgar/data/896429/000118811213002827/0001188112-13-002827-index.html,https://www.sec.gov/Archives/edgar/data/896429/000157104914004859/0001571049-14-004859-index.html,https://www.sec.gov/Archives/edgar/data/896429/000157104915008057/0001571049-15-008057-index.html,https://www.sec.gov/Archives/edgar/data/896429/000157104916018243/0001571049-16-018243-index.html,https://www.sec.gov/Archives/edgar/data/896429/000155837017006780/0001558370-17-006780-index.html,- -,https://www.sec.gov/Archives/edgar/data/896429/000162828019012238/usat-20190630x10k.htm,https://www.sec.gov/Archives/edgar/data/896429/000162828020013493/0001628280-20-013493-index.htm,https://www.sec.gov/Archives/edgar/data/896429/000162828021018059/0001628280-21-018059-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-2500000,-3100000,-3600000,-3700000,-8400000,-11000000,-17300000,-22000000,-21400000,-15500000,-14800000,-17800000,-16400000,-13700000,-11600000,-6500000,-5200000,900000,27500000,-2114000,-38337000,-7465000,-11284000,-32028000,-40595000,-8705000
74,Depreciation and Amortization,72016,97250,116255,91773,110551,209646,4949335,2743083,2676747,1600120,1699593,1747278,1923491,1672787,1817815,2588378,3440954,4579574,5485938,5731356,5222000,5591000,7829000,8009000,7017000,5512000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27646,-27301266,215038,-660000,54000,-183000,-7000,70000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,502907,529041,715762,849000,1214000,1794000,1750000,3029000,9075000
77,Change in Working Capital,-304162,-700000,1300000,800000,-4500000,-2200000,3800000,2200000,-2400000,1500000,11000000,-1500000,-4500000,1100000,4900000,-9300000,-3500000,700000,475000,-5473000,11401000,22570000,-24812000,1454000,60591000,-4774000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2032772,-579863,321677,-758952,-247358,-157071,-2517493,-375000,-2988000,-6234000,-8488000,1818000,-10126000
79,Inventory,-426391,48073,-147634,-832685,131642,345009,-36642,419914,-1249784,10448,286424,-1622980,734790,627776,-3468027,-4299663,158584,716470,370104,-1930857,1036000,-2399000,-3661000,-5242000,1463000,3142000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-210858,776039,1067631,498082,1164804,412664,918761,1814000,4410000,16933000,873000,2988000,- -
81,Other Working Capital,700000,- -,1300000,2100000,-2400000,-4600000,-800000,1400000,-1000000,500000,11500000,10000000,5500000,6600000,11500000,2200000,-1300000,-600000,-125000,-5598000,5803000,28373000,3561000,5015000,65606000,60832000
82,Other Non-Cash Items,339608,1051408,-394852,-1132187,7050667,9421430,2416899,7828018,8565797,499359,-8982000,3874679,5382455,2449533,-7464997,8040093,5337282,-671175,396687,-772898,27993000,-28735000,39087000,-7879000,-44251000,7069000
83,Cash Provided by Operating Activities,-2392538,-2651342,-2578597,-3940414,-5738782,-3568924,-6133766,-9228899,-12557456,-11900521,-11082407,-13678043,-13594054,-8477680,-12347182,-5171529,78236,6038952,7085400,-1697742,6468000,-6771000,12431000,-28701000,-14139000,8177000
84,CAPEX,-112443,-17855,-723,-40141,-173532,-380355,-102917,-186895,-358033,-248043,-842470,-526615,-572278,-264863,-520835,-291390,-6232814,-9199745,-10994594,-1702302,-536000,-4041000,-3978000,-4346000,-2538000,-1838000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-727970,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5625000,- -,-65181000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7000000,-525000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,1471140,- -,19243,650000,- -,6875000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,3539,- -,- -,- -,-149304,-2938111,39458,- -,716049,23700,- -,- -,- -,- -,- -,-291390,- -,18908,3077142,5055793,389000,348000,298000,116000,44000,10000
89,Cash Used for Investing Activites,-108904,-17855,-723,-40141,-322836,-3318466,-63459,-186895,1101186,-224343,-823227,-6876615,-1097278,6610137,-520835,-291390,-6232814,-9180837,-7917452,3353491,-5772000,-3693000,-68861000,-4230000,-2494000,-1828000
90,Debt Repayment,-8908,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-891254,-607462,-437405,-368917,-614937,-374411,-1358582,-4666000,-2135000,-14966000,-23254000,-12522000,-15744000
91,Common Stock Issued,- -,- -,- -,436900,6686095,4834636,3912765,9930879,11889735,8004436,14114612,30989108,20026884,- -,14922505,- -,- -,311177,2272936,-61987,- -,- -,104796000,- -,17879000,55008000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-463632,-598464,- -,- -,- -,- -,-61987,-213000,-31000,-552000,-81000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,3907515,1526107,2273878,4883847,-430133,1010964,2024860,1311400,201294,3199095,-1440058,-8137407,-528705,- -,7500,11287511,-41371,3000000,2024847,2128460,12081000,6103000,38371000,-234000,15525000,10810000
95,Cash Used/Provided by Financing Activities,3898607,1526107,2273878,5320747,6255962,5845600,5937625,11242279,12091029,11203531,12674554,22851701,19498179,-1354886,13724079,10850106,-410288,2696240,3923372,645904,7202000,3937000,127649000,-23569000,20882000,50074000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,1397165,-1143090,-305442,1340192,194344,-1041790,-259600,1826485,634759,-921333,768920,2297043,4806847,-3222429,856062,5387187,-6564866,-445645,3091320,2301653,7898000,-6527000,71219000,-56500000,4249000,56423000
98,Cash at the End of Period,1773356,630266,324824,1665016,1859360,817570,557970,2384455,3019214,2097881,2866801,5163844,9970691,6748262,7604324,12991511,6426645,5981000,9072320,11373973,19272000,12745000,83964000,27464000,31713000,88136000
99,Cash at the Beginning of Period,376191,1773356,630266,324824,1665016,1859360,817570,557970,2384455,3019214,2097881,2866801,5163844,9970691,6748262,7604324,12991511,6426645,5981000,9072320,11374000,19272000,12745000,83964000,27464000,31713000
100,Free Cash Flow,-2504981,-2669197,-2579320,-3980555,-5912314,-3949279,-6236683,-9415794,-12915489,-12148564,-11924877,-14204658,-14166332,-8742543,-12868017,-5462919,-6154578,-3160793,-3909194,-3400044,5932000,-10812000,8453000,-33047000,-16677000,6339000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/896429/000114420405030151/0001144204-05-030151-index.htm,https://www.sec.gov/Archives/edgar/data/896429/000114420406040222/v053773_10k.htm,https://www.sec.gov/Archives/edgar/data/896429/000114036107018696/0001140361-07-018696-index.html,https://www.sec.gov/Archives/edgar/data/896429/000114036108021781/0001140361-08-021781-index.html,https://www.sec.gov/Archives/edgar/data/896429/000118811209002061/0001188112-09-002061-index.html,https://www.sec.gov/Archives/edgar/data/896429/000114036110038024/0001140361-10-038024-index.html,https://www.sec.gov/Archives/edgar/data/896429/000118811211002732/0001188112-11-002732-index.html,https://www.sec.gov/Archives/edgar/data/896429/000118811212002965/0001188112-12-002965-index.html,https://www.sec.gov/Archives/edgar/data/896429/000118811213002827/0001188112-13-002827-index.html,https://www.sec.gov/Archives/edgar/data/896429/000157104914004859/0001571049-14-004859-index.html,https://www.sec.gov/Archives/edgar/data/896429/000157104915008057/0001571049-15-008057-index.html,https://www.sec.gov/Archives/edgar/data/896429/000157104916018243/0001571049-16-018243-index.html,https://www.sec.gov/Archives/edgar/data/896429/000155837017006780/0001558370-17-006780-index.html,- -,https://www.sec.gov/Archives/edgar/data/896429/000162828019012238/usat-20190630x10k.htm,https://www.sec.gov/Archives/edgar/data/896429/000162828020013493/0001628280-20-013493-index.htm,https://www.sec.gov/Archives/edgar/data/896429/000162828021018059/0001628280-21-018059-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
