,https://roic.ai/company/ACCA,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
37,Total Current Assets,11070000,6450000,- -,- -,- -,- -,- -,- -,- -,450000,400000,530000,470000,980000,200000,90000,993570,389940,203100,119530,239130,136320
38,PP&E,690000,710000,- -,- -,- -,- -,- -,- -,28205,203142,172346,305487,163475,48396,25738,685274,686728,51528,480847,483931,453562,513268
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,430000,430000,430000,430000,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,560000,390000,280000,240000,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,990000,820000,710000,670000,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,1370000,310000,- -,- -,- -,- -,- -,- -,1795,-13142,-2346,-5487,6525,1604,4262,4726,-679648,464802,833,3339,4208,4652
45,Total Non-Current Assets,2060000,1020000,- -,- -,- -,- -,- -,- -,30000,1180000,990000,1010000,840000,50000,30000,690000,7080,516330,481680,487270,457770,517920
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,13130000,7470000,- -,- -,- -,- -,- -,- -,30000,1630000,1390000,1540000,1310000,1030000,230000,780000,1000650,906270,684780,606800,696900,654240
48,Accounts Payable,7980000,8440000,- -,- -,- -,- -,- -,- -,50000,230000,280000,370000,420000,200000,50000,250000,148490,- -,- -,- -,- -,396265
49,Short-Term Debt,150000,220000,- -,- -,- -,- -,- -,- -,- -,151606,332512,388548,293611,62621,48234,106066,171462,- -,- -,558400,1015859,1089635
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11092,24727,46832,63621
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,2210000,4940000,- -,- -,- -,- -,- -,- -,250000,128394,407488,381452,346389,877379,51766,323934,1038188,12320,394530,533770,422081,125630
53,Total Current Liabilities,10340000,13600000,- -,- -,- -,- -,- -,- -,300000,510000,1020000,1140000,1060000,1140000,150000,680000,1358140,12320,394530,1092170,1437940,1611530
54,Long-Term Debt,410000,340000,- -,- -,- -,- -,- -,- -,- -,30000,20000,140000,40000,70000,20000,150000,- -,- -,- -,- -,15220,10860
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8471,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10000,- -,- -,-8471,- -,360000,- -,- -,- -,- -,196520,545590
58,Total Non-Current Liabilities,410000,340000,- -,- -,- -,- -,- -,- -,- -,30000,10000,140000,40000,70000,20000,510000,- -,- -,- -,- -,211740,556450
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,43784,31519,78682,59062,31604,9234,- -,- -,- -,- -,- -,- -,173263
61,Total Liabilities,10750000,13940000,- -,- -,- -,- -,- -,- -,300000,540000,1030000,1280000,1100000,1210000,170000,1190000,1358140,12320,394530,1092170,1649680,2167980
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,525,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,40000,40000,- -,- -,- -,- -,- -,1107,10000,10000,10000,10000,10000,10000,10000,10000,12740,670,16930,17540,21810,39580
64,Retained Earnings,-2570000,-11520000,- -,- -,- -,- -,- -,-5043834,-5990000,-9840000,-10750000,-11030000,-11240000,-11700000,-11510000,-12190000,-12345950,-1335100,-3120220,-4953950,-6666650,-8259980
65,Other Comprehensive Income/Loss,-660000,-780000,- -,- -,- -,- -,- -,- -,- -,-10000,-50000,-90000,-150000,-50000,-30000,-80000,-48150,-25330,- -,-172780,-277340,-432020
66,Other Total Stockholders Equity,5570000,5790000,- -,- -,- -,- -,- -,- -,5705058,10931031,11147058,11374731,11592140,11558858,11584065,11854566,12023873,1589444,3393543,4623822,5969400,7138682
67,Total Stockholders Equity,2380000,-6470000,- -,- -,- -,- -,- -,- -,-274417,1091031,357058,264731,212140,-181142,54065,-405434,-357487,229684,290253,-485368,-952780,-1513738
68,Total Liabilities And Stockholders Equity,13130000,7470000,- -,- -,- -,- -,- -,- -,25583,1631031,1387058,1544731,1312140,1028858,224065,784566,1000653,242004,684783,606802,696900,654242
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,4417,-1031,2942,-4731,-2140,1142,5935,-4566,-3,664266,-3,-2,- -,-2
70,Total Liabilities & Equity,13130000,7470000,- -,- -,- -,- -,- -,- -,30000,1630000,1390000,1540000,1310000,1030000,230000,780000,1000650,906270,684780,606800,696900,654240
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1001463/000101182399000017/0001011823-99-000017-index.html,- -,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1001463/000118518513000039/0001185185-13-000039-index.html,https://www.sec.gov/Archives/edgar/data/1001463/000118518515001386/0001185185-15-001386-index.htm,https://www.sec.gov/Archives/edgar/data/1001463/000118518515001394/0001185185-15-001394-index.htm,https://www.sec.gov/Archives/edgar/data/1001463/000118518516003668/0001185185-16-003668-index.html,https://www.sec.gov/Archives/edgar/data/1001463/000118518517000668/0001185185-17-000668-index.html,https://www.sec.gov/Archives/edgar/data/1001463/000118518518000573/0001185185-18-000573-index.html,https://www.sec.gov/Archives/edgar/data/1001463/000118518519000474/0001185185-19-000474-index.html,https://www.sec.gov/Archives/edgar/data/1001463/000118518520000904/0001185185-20-000904-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,470000,-8950000,- -,- -,- -,- -,- -,- -,-944973,-3850881,-910497,-274834,-216921,-455678,186630,-683308,-151650,528405,-1785114,-1833728,-1712703,-1588928
74,Depreciation and Amortization,160000,200000,- -,- -,- -,- -,- -,- -,2869,101270,219829,154298,96352,17145,16353,52765,99819,6110,76860,78457,104560,165396
75,Deferred Income Tax,250000,1520000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,1573633,- -,- -,185130,62396,48577,- -,- -,58766,- -,- -,48109,66926
77,Change in Working Capital,710000,-7880000,- -,- -,- -,- -,- -,- -,414342,-231285,412749,-41597,4145,367098,-586926,391157,-53796,-680960,390806,212180,173508,206110
78,Accounts Receivable,350000,2030000,- -,- -,- -,- -,- -,- -,- -,-210130,-26100,-79298,-81702,- -,-7500,-83357,-121929,- -,112070,-4640,-138150,83509
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-67646,- -,-63085,5828,13707,-2647
80,Accounts Payable,-500000,-460000,- -,- -,- -,- -,- -,- -,54362,164392,52633,94050,103463,63698,-149874,206114,-82800,-141517,- -,85530,- -,115510
81,Other Working Capital,730000,-7150000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35,- -,- -,- -,- -,-35365,- -,- -,- -,29655
82,Other Non-Cash Items,-580000,15130000,- -,- -,- -,- -,- -,- -,529194,1522367,60758,70145,-88130,41958,-644221,26002,49677,-1210724,329562,1055314,920888,810328
83,Cash Provided by Operating Activities,1010000,20000,- -,- -,- -,- -,- -,- -,1432,-884896,-217161,-91988,-19424,32919,-979587,-213384,-55950,-1298403,-987886,-487777,-465638,-340168
84,CAPEX,-290000,-180000,- -,- -,- -,- -,- -,- -,- -,-136759,-59099,-24366,-21888,- -,-18874,- -,-107935,-51402,-35414,-40348,-85470,-55928
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,22061,26400,24182,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-70000,90000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,103368,-1278,1253729,- -,47984,2347450,- -,29064,38361,- -
89,Cash Used for Investing Activites,-360000,-90000,- -,- -,- -,- -,- -,- -,- -,-114698,-32699,-184,81480,-1278,1234855,- -,-59951,2296048,-35414,-11284,-47109,-55928
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-528000,-59370,-23696,-46732,-18090,-22370,-45727,- -,- -,- -,-100000,-2217,-13136
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,1025000,130000,- -,- -,- -,- -,- -,- -,- -,65000,- -,70000,91200
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-10000,-370000,- -,- -,- -,- -,- -,- -,- -,704239,135100,131317,-25246,-22763,-43638,71303,114449,-826879,781004,583600,468344,296000
95,Cash Used/Provided by Financing Activities,-10000,-370000,- -,- -,- -,- -,- -,- -,- -,1201239,205730,107621,-71978,-40853,-66008,25576,114449,-826879,846004,483600,536127,374064
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,630000,-440000,- -,- -,- -,- -,- -,- -,- -,201645,-44130,15449,-9922,-40853,-66008,-187808,114449,170766,-177296,-15461,23380,-22032
98,Cash at the End of Period,1070000,630000,- -,- -,- -,- -,- -,- -,1432,203077,5586,21035,11113,- -,189260,1452,- -,180854,43878,28417,51797,29765
99,Cash at the Beginning of Period,440000,1070000,- -,- -,- -,- -,- -,- -,- -,1432,49716,5586,21035,9212,- -,189260,1452,10088,221174,43878,28417,51797
100,Free Cash Flow,720000,-160000,- -,- -,- -,- -,- -,- -,1432,-1021655,-276260,-116354,-41312,32919,-998461,-213384,-163885,-1349805,-1023300,-528125,-551108,-396096
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1001463/000101182399000017/0001011823-99-000017-index.html,- -,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1001463/000118518513000039/0001185185-13-000039-index.html,https://www.sec.gov/Archives/edgar/data/1001463/000118518515001386/0001185185-15-001386-index.htm,https://www.sec.gov/Archives/edgar/data/1001463/000118518515001394/0001185185-15-001394-index.htm,https://www.sec.gov/Archives/edgar/data/1001463/000118518516003668/0001185185-16-003668-index.html,https://www.sec.gov/Archives/edgar/data/1001463/000118518517000668/0001185185-17-000668-index.html,https://www.sec.gov/Archives/edgar/data/1001463/000118518518000573/0001185185-18-000573-index.html,https://www.sec.gov/Archives/edgar/data/1001463/000118518519000474/0001185185-19-000474-index.html,https://www.sec.gov/Archives/edgar/data/1001463/000118518520000904/0001185185-20-000904-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
