,https://roic.ai/company/AKOM,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1590496/000147793214001052/0001477932-14-001052-index.htm,https://www.sec.gov/Archives/edgar/data/1590496/000147793215001539/0001477932-15-001539-index.htm,https://www.sec.gov/Archives/edgar/data/1590496/000147793216008603/0001477932-16-008603-index.html,https://www.sec.gov/Archives/edgar/data/1590496/000147793217000688/0001477932-17-000688-index.html,https://www.sec.gov/Archives/edgar/data/1590496/000121390018003153/0001213900-18-003153-index.html,- -,https://www.sec.gov/Archives/edgar/data/1590496/000121390020008056/0001213900-20-008056-index.html,https://www.sec.gov/Archives/edgar/data/1590496/000121390021017392/0001213900-21-017392-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,10000,- -,- -,30000,1980,312170,21500,88309,751330,584591
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,100067,- -,87154
33,Cash and Short-Term Investments,10000,- -,- -,30000,1980,312170,21500,188376,751330,671745
34,Net Receivables,- -,- -,- -,- -,- -,890,459130,1747616,453500,2042
35,Inventory,- -,- -,- -,- -,- -,209730,208670,- -,3038560,4669297
36,Other Current Assets,- -,- -,- -,- -,- -,11790,550240,1490459,2974620,2177283
37,Total Current Assets,10000,- -,- -,30000,1980,534580,1239540,3426451,7218010,7520367
38,PP&E,- -,- -,- -,- -,- -,3745090,3554730,38996491,2210000,37693877
39,Goodwill,- -,- -,- -,- -,- -,1105940,1450540,1475334,1475330,1475334
40,Intangible Assets,- -,- -,- -,- -,- -,4372500,3877500,3382500,2887500,2392500
41,Intangible Assets,- -,- -,- -,- -,- -,5478440,5328040,4857834,4362830,3867834
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,806370,143670,107909,36200750,7634992
45,Total Non-Current Assets,- -,- -,- -,- -,- -,10029900,9026440,43962234,42773580,49196703
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,10000,- -,- -,30000,1980,10564480,10265980,47388685,49991590,56717070
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,1650000,912730,1874339
49,Short-Term Debt,- -,- -,- -,13378,26378,- -,10000,- -,341045,895117
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,6622,592,4698820,3801860,4317951,2077215,4695000
53,Total Current Liabilities,- -,- -,- -,20000,26970,4698820,3811860,5967951,3330990,7464456
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,82000,9247128
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,762000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,3390,50,1000,763010,211443
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,3390,50,1000,845010,10220571
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,377578,568323
61,Total Liabilities,- -,- -,- -,20000,26970,4702210,3811910,5968951,4176000,17685027
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,10000,10000,8110,36810,41420,45490,9390,9488
64,Retained Earnings,70000,70000,60000,50000,13290,-551200,-7143790,-15292128,-23271690,-32383833
65,Other Comprehensive Income/Loss,- -,- -,63343,- -,- -,- -,-3464,119964,-482639,-1754228
66,Other Total Stockholders Equity,- -,- -,-130442,-48404,-46383,514752,13559897,56546408,69560534,73160616
67,Total Stockholders Equity,- -,- -,2901,11596,-24983,362,6454063,41419734,45815595,39032043
68,Total Liabilities And Stockholders Equity,10000,- -,- -,31596,1987,4702572,10265973,47388685,49991595,56717070
69,Minority Interest,- -,- -,- -,-1596,-7,5861908,7,- -,-5,- -
70,Total Liabilities & Equity,10000,- -,- -,30000,1980,10564480,10265980,47388685,49991590,56717070
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1590496/000147793214001052/0001477932-14-001052-index.htm,https://www.sec.gov/Archives/edgar/data/1590496/000147793215001539/0001477932-15-001539-index.htm,https://www.sec.gov/Archives/edgar/data/1590496/000147793216008603/0001477932-16-008603-index.html,https://www.sec.gov/Archives/edgar/data/1590496/000147793217000688/0001477932-17-000688-index.html,https://www.sec.gov/Archives/edgar/data/1590496/000121390018003153/0001213900-18-003153-index.html,- -,https://www.sec.gov/Archives/edgar/data/1590496/000121390020008056/0001213900-20-008056-index.html,https://www.sec.gov/Archives/edgar/data/1590496/000121390021017392/0001213900-21-017392-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,- -,- -,-10000,-10000,-36580,-3176460,-7132460,-8148340,-7979560,-9112146
74,Depreciation and Amortization,- -,- -,- -,- -,94440,526460,551767,716481,1042698,1039444
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,1749446,1422961,2342802,1697703
77,Change in Working Capital,-30000,-10000,- -,10000,-34990,-4139250,1591920,30820,6428520,-3831109
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,-1745000,1293870,451130
79,Inventory,- -,- -,- -,- -,- -,- -,1055,- -,-2143550,-2172863
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,1650000,-1120245,961610
81,Other Working Capital,10000,- -,- -,10000,-24990,-4164240,-2572320,-2541500,3887020,55911
82,Other Non-Cash Items,- -,10000,2209,-9961,-60580,6764446,-2762158,-993291,-10563779,8294017
83,Cash Provided by Operating Activities,-30000,- -,-7791,-9961,-37710,-24804,-6001485,-6971369,-8729319,-1912091
84,CAPEX,- -,- -,- -,- -,- -,- -,-273015,-34643820,-635293,-115893
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5260774
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,-24798,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,-273015,-34643820,-635293,-5376667
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-10000,-1622,-34131
91,Common Stock Issued,- -,- -,5000,22170,- -,- -,4387428,41318899,10810688,1667080
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-700,- -,- -
93,Dividends Paid,- -,- -,-738,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,20000,- -,5000,10000,13000,23580,1597513,250367,46669,9745160
95,Cash Used/Provided by Financing Activities,20000,- -,9262,32170,13000,23580,5984941,41558566,10855735,11378109
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,-3464,123428,-602603,-1271589
97,Net Change In Cash,- -,- -,1471,22209,-24710,-1224,-290669,66805,888520,2817762
98,Cash at the End of Period,- -,10000,4484,26693,1983,759,21504,88309,976829,3794591
99,Cash at the Beginning of Period,- -,10000,3013,4484,26693,1983,312173,21504,88309,976829
100,Free Cash Flow,-30000,- -,-7791,-9961,-37710,-24804,-6274500,-41615189,-9364612,-2027984
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1590496/000147793214001052/0001477932-14-001052-index.htm,https://www.sec.gov/Archives/edgar/data/1590496/000147793215001539/0001477932-15-001539-index.htm,https://www.sec.gov/Archives/edgar/data/1590496/000147793216008603/0001477932-16-008603-index.html,https://www.sec.gov/Archives/edgar/data/1590496/000147793217000688/0001477932-17-000688-index.html,https://www.sec.gov/Archives/edgar/data/1590496/000121390018003153/0001213900-18-003153-index.html,- -,https://www.sec.gov/Archives/edgar/data/1590496/000121390020008056/0001213900-20-008056-index.html,https://www.sec.gov/Archives/edgar/data/1590496/000121390021017392/0001213900-21-017392-index.htm
102,false,,,,,,,,,,
