,https://roic.ai/company/SANW,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
88,Other Investing Activites,-2400000,16638,- -,4500,-158500,-57500,-329693,7406137,-385888,721432,-249204,169541,-841521,3554125
89,Cash Used for Investing Activites,-2400000,-212216,-39116,-392958,-543484,-15796376,-764109,-31189676,-3875644,-2239188,-1436511,-26565775,-10286370,2465746
90,Debt Repayment,- -,-277439,-1795224,- -,- -,-605293,-746789,-8300759,-16229312,-5026321,-10273560,-24579401,-2618121,-4387465
91,Common Stock Issued,- -,- -,- -,- -,5006311,12876224,- -,4161937,13253288,- -,22459339,4927682,- -,10223311
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-134196,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,2400000,311010,12142442,- -,- -,12198123,8825376,26544094,3543398,11229202,15156417,24282644,19667820,5056839
95,Cash Used/Provided by Financing Activities,2400000,33571,10347218,- -,5006311,24469054,7944391,22405272,567374,6202881,27342196,4630925,17049699,10892685
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,-148508,73185,40009,-37670,176968,-129551,-250073,-308410,267454
97,Net Change In Cash,- -,360,7830150,-4091973,4496951,3545579,-10613571,2367955,3369042,-6159499,3575893,-889092,691292,-595157
98,Cash at the End of Period,- -,367,7830517,3738544,8235495,11781074,1167503,3535458,6904500,745001,4320894,3431802,4123094,3527937
99,Cash at the Beginning of Period,- -,7,367,7830517,3738544,8235495,11781074,1167503,3535458,6904500,745001,4320894,3431802,4123094
100,Free Cash Flow,- -,-49849,-2517068,-4096473,-350860,-12774967,-18301454,9516537,4102188,-13416965,-23682582,20517515,-7735858,-15300922
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1477246/000110465910050290/0001104659-10-050290-index.htm,https://www.sec.gov/Archives/edgar/data/1477246/000113626111000505/0001136261-11-000505-index.htm,https://www.sec.gov/Archives/edgar/data/1477246/000113626112000505/0001136261-12-000505-index.htm,https://www.sec.gov/Archives/edgar/data/1477246/000113626113000421/0001136261-13-000421-index.htm,https://www.sec.gov/Archives/edgar/data/1477246/000113626114000406/0001136261-14-000406-index.htm,https://www.sec.gov/Archives/edgar/data/1477246/000113626115000283/0001136261-15-000283-index.htm,https://www.sec.gov/Archives/edgar/data/1477246/000113626116000620/0001136261-16-000620-index.htm,https://www.sec.gov/Archives/edgar/data/1477246/000113626117000206/0001136261-17-000206-index.htm,https://www.sec.gov/Archives/edgar/data/1477246/000113626118000246/0001136261-18-000246-index.htm,https://www.sec.gov/Archives/edgar/data/1477246/000156459019034978/0001564590-19-034978-index.htm,https://www.sec.gov/Archives/edgar/data/1477246/000156459020044314/0001564590-20-044314-index.htm,https://www.sec.gov/Archives/edgar/data/1477246/000156459021049124/0001564590-21-049124-index.htm
102,false,,,,,,,,,,,,,,
