,https://roic.ai/company/STAF,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-663163,-1758983,-1666000,- -,10448000,13970000,- -
89,Cash Used for Investing Activites,- -,- -,-907287,-11612461,-2014255,-5290000,-21588000,1666000,13460000,- -
90,Debt Repayment,- -,-3800,-66100,-688075,-4320848,-4881000,-22267000,-596000,-650000,- -
91,Common Stock Issued,- -,27000,1400000,- -,- -,2851000,441000,2315000,5515000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-1500000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,-566000,-200000,-1512000,- -
94,Other Financing Activites,- -,266201,1240826,17650400,9605911,7176000,55165000,-5075000,-7742000,- -
95,Cash Used/Provided by Financing Activities,- -,289401,2574726,16962325,5285063,5146000,31273000,-3556000,-4389000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,9395,- -,-2000,- -,-216000,- -
97,Net Change In Cash,- -,289401,243955,1061889,-1276539,1950000,2450000,81000,-1985000,- -
98,Cash at the End of Period,- -,18867,262822,1324711,19194,1969000,3100000,3181000,1196000,- -
99,Cash at the Beginning of Period,- -,- -,18867,262822,1295733,19000,650000,3100000,3181000,- -
100,Free Cash Flow,- -,-270534,-1423484,-4432939,-4812014,1889000,-7931000,1546000,-11350000,- -
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1499717/000114420412051238/0001144204-12-051238-index.htm,https://www.sec.gov/Archives/edgar/data/1499717/000114420413050749/0001144204-13-050749-index.htm,https://www.sec.gov/Archives/edgar/data/1499717/000114420414055968/0001144204-14-055968-index.htm,https://www.sec.gov/Archives/edgar/data/1499717/000114420415045558/0001144204-15-045558-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1499717/000156459019009074/0001564590-19-009074-index.htm,https://www.sec.gov/Archives/edgar/data/1499717/000156459020024150/0001564590-20-024150-index.htm,undefined
102,false,,,,,,,,,,
