,https://roic.ai/company/VMW,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
57,Other Non-Current Liabilities,18652000,68434000,207744000,65929000,103346000,129960000,114711000,181538000,234000000,283000000,363000000,399000000,- -,1106000000,274000000,1164000000,1260000000,6303000000
58,Total Non-Current Liabilities,49802000,899013000,685071000,889388000,1029991000,1199724000,1509020000,1896177000,2218000000,3634000000,3694000000,3992000000,- -,7813000000,8415000000,8961000000,11579000000,19901000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,746000000,891000000,- -
61,Total Liabilities,345974000,1376762000,1355083000,1769138000,2324033000,2988876000,3910526000,4856411000,5511000000,7630000000,7823000000,8546000000,- -,12846000000,14111000000,19285000000,19965000000,29552000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,3325000,3325000,3829000,3904000,4028000,4167000,4236000,4287000,4000000,4000000,4000000,4000000,- -,4000000,4000000,4000000,4000000,4000000
64,Retained Earnings,- -,-234137000,-16000000,229650000,395281000,828670000,1552606000,2298308000,3312000000,4198000000,5195000000,6381000000,- -,6943000000,14000000,5009000000,7067000000,-875000000
65,Other Comprehensive Income/Loss,-110145000,-31382000,-72185000,-160931000,4563000,19635000,1176000,5676000,4000000,-1000000,-8000000,-9000000,- -,-15000000,2000000,-4000000,-5000000,-5000000
66,Other Total Stockholders Equity,560649000,31382000,1424973000,1997444000,2339079000,2955971000,3212264000,3431710000,3496000000,3380000000,2728000000,1721000000,- -,- -,531000000,2000000000,1985000000,- -
67,Total Stockholders Equity,453829000,-230812000,1340617000,2070067000,2742951000,3808443000,4770282000,5739981000,6816000000,7581000000,7919000000,8097000000,- -,7776000000,551000000,7009000000,9051000000,-876000000
68,Total Liabilities And Stockholders Equity,799803000,1145950000,2695700000,3839205000,5066984000,6797319000,8680808000,10596392000,12327000000,15211000000,15742000000,16643000000,- -,20622000000,14662000000,26294000000,29016000000,28676000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000000,4000000,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,799803000,1145950000,2695700000,3839205000,5066984000,6797319000,8680808000,10596392000,12327000000,15216000000,15746000000,16643000000,- -,20622000000,14662000000,26294000000,29016000000,28676000000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1124610/000119312508043667/d10k.htm,https://www.sec.gov/Archives/edgar/data/1124610/000119312509038030/0001193125-09-038030-index.html,https://www.sec.gov/Archives/edgar/data/1124610/000119312510044677/0001193125-10-044677-index.html,https://www.sec.gov/Archives/edgar/data/1124610/000119312511050075/d10k.htm,https://www.sec.gov/Archives/edgar/data/1124610/000144530512000443/0001445305-12-000443-index.html,https://www.sec.gov/Archives/edgar/data/1124610/000112461013000009/0001124610-13-000009-index.html,https://www.sec.gov/Archives/edgar/data/1124610/000112461014000008/vmw-12312013x10k.htm,https://www.sec.gov/Archives/edgar/data/1124610/000112461015000005/vmw-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/1124610/000112461016000040/0001124610-16-000040-index.html,https://www.sec.gov/Archives/edgar/data/1124610/000112461017000009/0001124610-17-000009-index.html,undefined,- -,https://www.sec.gov/Archives/edgar/data/1124610/000112461019000012/0001124610-19-000012-index.html,https://www.sec.gov/Archives/edgar/data/1124610/000112461020000019/0001124610-20-000019-index.html,https://www.sec.gov/Archives/edgar/data/1124610/000112461021000015/0001124610-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1124610/000112461022000009/0001124610-22-000009-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , 
73,Net Income,66775000,85890000,218137000,290133000,197098000,357439000,723936000,745702000,1014000000,886000000,997000000,1186000000,- -,570000000,2422000000,6412000000,2058000000,1820000000
74,Depreciation and Amortization,39461000,66573000,104027000,158628000,198486000,260551000,315871000,354868000,337000000,345000000,335000000,345000000,- -,336000000,630000000,873000000,1025000000,1110000000
75,Deferred Income Tax,-22683000,-21888000,-78486000,- -,- -,- -,- -,- -,56000000,-128000000,-31000000,-8000000,- -,386000000,113000000,-5284000000,-152000000,-80000000
76,Stock Based Compensation,- -,- -,- -,166516000,231456000,291691000,335153000,425995000,454000000,529000000,504000000,636000000,- -,683000000,731000000,1017000000,1122000000,1075000000
77,Change in Working Capital,127421000,78880000,988640000,577016000,378100000,620065000,767763000,-116461000,1228195000,746000000,97000000,550000000,- -,2920000000,-8746000000,-3588000000,3859000000,-1911000000
78,Accounts Receivable,- -,- -,- -,-52527000,-193610000,-77121000,-263366000,-267639000,-71000000,-267000000,-114000000,-224000000,- -,-113000000,-178000000,-119000000,-37000000,-379000000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,7713000,-17886000,8881000,-16513000,23692000,30000000,69000000,-35000000,-9000000,- -,-35000000,104000000,35000000,-69000000,98000000
81,Other Working Capital,-134198000,-55318000,933322000,1510338000,1888438000,2508503000,3276266000,3159805000,4388000000,5134000000,5231000000,5781000000,- -,8701000000,-45000000,-3633000000,226000000,-1685000000
82,Other Non-Cash Items,27273000,70408000,-679882000,-392162000,-19524000,-355357000,-117090000,487420000,-554195000,-198000000,-3000000,-328000000,- -,-1684000000,8513000000,4442000000,-3503000000,2343000000
83,Cash Provided by Operating Activities,238247000,279863000,552436000,800131000,985616000,1174389000,2025633000,1897524000,2535000000,2180000000,1899000000,2381000000,- -,3211000000,3663000000,3872000000,4409000000,4357000000
84,CAPEX,-42210000,-85097000,-316694000,-282496000,-171986000,-195844000,-455172000,-234458000,-345000000,-352000000,-333000000,-153000000,- -,-263000000,-245000000,-279000000,-329000000,-386000000
85,Acquisitions Net,-2163000,-46541000,-82535000,-138569000,-356278000,-292970000,-303610000,-1344214000,-252000000,-1159000000,-38000000,-74000000,- -,-724000000,-950000000,-2441000000,-409000000,- -
86,Purchases of Investments,- -,- -,- -,-1750000,-34665000,-2106707000,-2667888000,-3188684000,-3181000000,-3989000000,-3337000000,-3774000000,- -,-4306000000,-788000000,-30000000,-29000000,-11000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,518953000,894864000,2782288000,2316000000,2804000000,3297000000,3535000000,- -,3768000000,6392000000,- -,26000000,77000000
88,Other Investing Activites,-1280000,-10744000,-4466000,-89972000,-68062000,-249523000,846835000,-49552000,-10000000,-89000000,75000000,1000000,- -,7000000,38000000,22000000,28000000,-9000000
89,Cash Used for Investing Activites,-45653000,-142382000,-403695000,-421887000,-562380000,-2261942000,-1610973000,-2034620000,-1472000000,-2785000000,-336000000,-465000000,- -,-1518000000,4447000000,-2728000000,-713000000,-329000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1225000000,- -,-1901000000,-2761000000,-5000000
91,Common Stock Issued,- -,- -,1256293000,190107000,227666000,431306000,337618000,253159000,197000000,164000000,126000000,109000000,- -,122000000,188000000,308000000,273000000,270000000
92,Common Stock Repurchased,- -,- -,- -,-44483000,-31467000,-338527000,-526203000,-600636000,-634000000,-862000000,-1299000000,-1739000000,- -,-1800000000,-399000000,-1868000000,-1357000000,-1169000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11000000000,- -,- -,-11499000000
94,Other Financing Activites,-190000000,- -,-350000000,85776000,26214000,137278000,100716000,138139000,70000000,1069000000,32000000,11000000,- -,3961000000,-8000000,1754000000,1888000000,7268000000
95,Cash Used/Provided by Financing Activities,-190000000,- -,906293000,231400000,222413000,230057000,-87869000,-209338000,-367000000,371000000,-1141000000,-1619000000,- -,1058000000,-11219000000,-1707000000,-1957000000,-5135000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2000000,- -,- -
97,Net Change In Cash,2594000,137481000,1055034000,609644000,645649000,-857496000,326791000,-346434000,696000000,-234000000,422000000,297000000,- -,2751000000,-3109000000,-565000000,1739000000,-1107000000
98,Cash at the End of Period,38653000,176134000,1231168000,1840812000,2486461000,1628965000,1955756000,1609322000,2305000000,2071000000,2493000000,2790000000,- -,5971000000,2894000000,3031000000,4770000000,3663000000
99,Cash at the Beginning of Period,36059000,38653000,176134000,1231168000,1840812000,2486461000,1628965000,1955756000,1609000000,2305000000,2071000000,2493000000,- -,3220000000,6003000000,3596000000,3031000000,4770000000
100,Free Cash Flow,196037000,194766000,235742000,517635000,813630000,978545000,1570461000,1663066000,2190000000,1828000000,1566000000,2228000000,- -,2948000000,3418000000,3593000000,4080000000,3971000000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1124610/000119312508043667/d10k.htm,https://www.sec.gov/Archives/edgar/data/1124610/000119312509038030/0001193125-09-038030-index.html,https://www.sec.gov/Archives/edgar/data/1124610/000119312510044677/0001193125-10-044677-index.html,https://www.sec.gov/Archives/edgar/data/1124610/000119312511050075/d10k.htm,https://www.sec.gov/Archives/edgar/data/1124610/000144530512000443/0001445305-12-000443-index.html,https://www.sec.gov/Archives/edgar/data/1124610/000112461013000009/0001124610-13-000009-index.html,https://www.sec.gov/Archives/edgar/data/1124610/000112461014000008/vmw-12312013x10k.htm,https://www.sec.gov/Archives/edgar/data/1124610/000112461015000005/vmw-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/1124610/000112461016000040/0001124610-16-000040-index.html,https://www.sec.gov/Archives/edgar/data/1124610/000112461017000009/0001124610-17-000009-index.html,undefined,- -,https://www.sec.gov/Archives/edgar/data/1124610/000112461019000012/0001124610-19-000012-index.html,https://www.sec.gov/Archives/edgar/data/1124610/000112461020000019/0001124610-20-000019-index.html,https://www.sec.gov/Archives/edgar/data/1124610/000112461021000015/0001124610-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1124610/000112461022000009/0001124610-22-000009-index.htm
102,false,,,,,,,,,,,,,,,,,,
