,https://roic.ai/company/APEI,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12,Interest Income ,- -,- -,225000,289000,888000,706000,- -,- -,- -,135000,309000,361000,115000,116000,185000,2915000,3908000,1092000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3908000,1092000,-4277000
14,Depreciation and Amortization,216000,- -,1300000,1953000,2825000,4235000,5231000,6502000,9239000,11146000,13508000,16121000,20520000,19384000,18776000,17501000,15596000,12984000,17832000
15,EBITDA,1067000,2287000,3446000,4522000,18404000,30629000,45191000,56635000,72207000,79997000,81187000,82148000,73006000,58479000,51390000,52427000,34704000,39918000,38818000
16,EBITDA ratio,0.0601,0.0989,0.1223,0.1129,0.2664,0.2859,0.3033,0.2858,0.2773,0.2552,0.2464,0.2347,0.2226,0.1868,0.1717,0.1761,0.1212,0.1241,0.0927
17,Operating Income,1848000,- -,2224000,2940000,14691000,25688000,39866000,50022000,- -,68802000,67437000,65832000,52281000,38276000,34859000,- -,20648000,25608000,31653000
18,Operating Income ratio,0.1041,- -,0.0789,0.0734,0.2126,0.2397,0.2676,0.2524,- -,0.2195,0.2047,0.1881,0.1594,0.1222,0.1165,- -,0.0721,0.0796,0.0756
19,Total Other Income Expenses (Gains),5000,- -,225000,289000,888000,706000,94000,111000,109000,135000,309000,361000,115000,116000,185000,2033000,-3984000,241000,-5559000
20,Income Before Tax,1853000,- -,2449000,3229000,15579000,26394000,39960000,50133000,62968000,68937000,67746000,66193000,52396000,38392000,35044000,35441000,16664000,25849000,26094000
21,Income Before Tax Ratio,0.1043,- -,0.0869,0.0806,0.2255,0.2463,0.2682,0.2530,0.2418,0.2199,0.2056,0.1891,0.1598,0.1226,0.1171,0.1191,0.0582,0.0803,0.0623
22,Income Tax expense (Gain),634000,- -,1061000,771000,6829000,10207000,16017000,20265000,22211000,26528000,25645000,25150000,20072000,14940000,11493000,9287000,5187000,7020000,7511000
23,Net Income,217000,2287000,1085000,1798000,8750000,16187000,23943000,29868000,40757000,42323000,42034000,40877000,32414000,24155000,21121000,25639000,10013000,18822000,17752000
24,Net Income ratio,0.0122,0.0989,0.0385,0.0449,0.1266,0.1511,0.1607,0.1507,0.1565,0.1350,0.1276,0.1168,0.0989,0.0771,0.0706,0.0861,0.0350,0.0585,0.0424
25,EPS,0.04,0.22,-1.44,0.15,0.69,0.91,1.32,1.63,2.28,2.38,2.38,2.36,1.94,1.50,1.30,1.56,0.62,1.27,0.98
26,EPS Diluted,0.04,0.22,-1.44,0.15,0.64,0.86,1.27,1.59,2.23,2.35,2.35,2.33,1.93,1.49,1.29,1.54,0.62,1.25,0.97
27,Weighted Average Shares Outstanding,5400461,5386392,8055300,11741191,12758833,17840000,18167000,18281000,17877000,17772000,17656000,17357000,16676000,16068000,16236000,16404000,16094000,14876000,18085000
28,Weighted Average Shares Outstanding Diluted,5400461,5407050,8055300,12177693,13600607,18822000,18906000,18837000,18295000,18041000,17921000,17543000,16797000,16214000,16380000,16634000,16255000,15047000,18255000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1201792/000095013308001327/0000950133-08-001327-index.htm,https://www.sec.gov/Archives/edgar/data/1201792/000095013309000682/0000950133-09-000682-index.htm,https://www.sec.gov/Archives/edgar/data/1201792/000115752310001098/0001157523-10-001098-index.htm,https://www.sec.gov/Archives/edgar/data/1201792/000115752311001005/0001157523-11-001005-index.htm,https://www.sec.gov/Archives/edgar/data/1201792/000115752312001093/0001157523-12-001093-index.htm,https://www.sec.gov/Archives/edgar/data/1201792/000115752313001136/0001157523-13-001136-index.htm,https://www.sec.gov/Archives/edgar/data/1201792/000115752314000857/0001157523-14-000857-index.htm,https://www.sec.gov/Archives/edgar/data/1201792/000115752315000731/0001157523-15-000731-index.htm,https://www.sec.gov/Archives/edgar/data/1201792/000120179216000005/0001201792-16-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1201792/000120179217000003/0001201792-17-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1201792/000120179218000003/0001201792-18-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1201792/000120179219000003/0001201792-19-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1201792/000120179220000006/0001201792-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1201792/000120179221000003/0001201792-21-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1201792/000120179222000003/0001201792-22-000003-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,5148000,- -,5511000,11678000,26951000,47714000,74866000,81352000,119006000,114901000,94820000,115634000,105734000,146351000,179205000,212131000,202740000,227686000,122627000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,5148000,- -,5511000,11678000,26951000,47714000,74866000,81352000,119006000,114901000,94820000,115634000,105734000,146351000,179205000,212131000,202740000,227686000,122627000
34,Net Receivables,- -,- -,5420000,6127000,5985000,7494000,9527000,11049000,11102000,15381000,12735000,8159000,7917000,6949000,7136000,14957000,13082000,17652000,41329000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,803000,1188000,1905000,2796000,3989000,5602000,8614000,10792000,9030000,12425000,17460000,10419000,4792000,5482000,7087000,6472000,38681000
37,Total Current Assets,- -,- -,11734000,18993000,34841000,58004000,88382000,98003000,138722000,141074000,116585000,136218000,131111000,163719000,191133000,232570000,222909000,251810000,202637000
38,PP&E,- -,- -,9532000,9363000,13364000,19622000,25294000,42415000,58759000,82840000,90733000,102424000,109281000,97687000,92374000,86881000,90153000,77177000,180360000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38148000,38634000,38634000,38634000,33899000,33899000,26563000,26563000,243486000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4735000,- -,- -,4043000,- -,85082000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38148000,38634000,38634000,33899000,33899000,33899000,30606000,26563000,328568000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,6664000,10597000,12051000,15915000,14611000,12481000,11966000,10502000,10495000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,1178000,394000,775000,1187000,2077000,1421000,1410000,7025000,15592000,8577000,8955000,10796000,9151000,5642000,727000,4973000,14043000
45,Total Non-Current Assets,- -,- -,10710000,9757000,14139000,20809000,27371000,43836000,60169000,96529000,155070000,161686000,172785000,156993000,147905000,138388000,131988000,119208000,522971000
46,Other Assets,12345000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,12345000,- -,22444000,28750000,48980000,78813000,115753000,141839000,198891000,237603000,271655000,297904000,303896000,320712000,339038000,370958000,354897000,371018000,725608000
48,Accounts Payable,- -,- -,1112000,1502000,2471000,4946000,6756000,9422000,16318000,17251000,11563000,11029000,6264000,6853000,8844000,9110000,3546000,3757000,13497000
49,Short-Term Debt,- -,- -,- -,29000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2283000,2392000,22455000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,559000,1710000,- -,- -,178000,- -
51,Deferred Revenue,- -,- -,2783000,3852000,3842000,9626000,14204000,18815000,25884000,25777000,24829000,23805000,29727000,20639000,19374000,18310000,17426000,22104000,21776000
52,Other Current Liabilities,- -,- -,2098000,3165000,7095000,7075000,8003000,9349000,14486000,12042000,17866000,13416000,14808000,14683000,15133000,16908000,22023000,26805000,25950000
53,Total Current Liabilities,- -,- -,5993000,8548000,13408000,21647000,28963000,37586000,56688000,55070000,54258000,48250000,50799000,42175000,43351000,44328000,45278000,55058000,83678000
54,Long-Term Debt,- -,- -,- -,1944000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9495000,6455000,221259000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,1912000,1437000,2065000,3691000,4772000,6953000,8370000,11380000,10328000,15436000,15944000,13867000,6281000,5364000,3391000,2580000,5059000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,1912000,3381000,2065000,3691000,4772000,6953000,8370000,11380000,10328000,15436000,15944000,13867000,6281000,5364000,12886000,9035000,226318000
59,Other Liabilities,13066000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11778000,8847000,83193000
61,Total Liabilities,13066000,- -,7905000,11929000,15473000,25338000,33735000,44539000,65058000,66450000,64586000,63686000,66743000,56042000,49632000,49692000,58164000,64093000,309996000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,117000,118000,177000,180000,183000,186000,178000,178000,176000,172000,160000,161000,163000,164000,152000,148000,187000
64,Retained Earnings,- -,- -,-11473000,-9675000,-94675000,-78488000,-54545000,-24677000,-13398000,13526000,41980000,64392000,63293000,87448000,108569000,133930000,105961000,111180000,128932000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-6546000,-10688000,-14575000,-20366000,-28474000,-38444000,-50839000,-64059000,-76762000,-86749000,-99177000,-114364000,-119918000,- -,108000
66,Other Total Stockholders Equity,- -,- -,25895000,26378000,134551000,142471000,150955000,142157000,175527000,195893000,215752000,233713000,250462000,263810000,279851000,301536000,310538000,195597000,286385000
67,Total Stockholders Equity,-721000,- -,14539000,16821000,33507000,53475000,82018000,97300000,133833000,171153000,207069000,234218000,237153000,264670000,289406000,321266000,296733000,306925000,415612000
68,Total Liabilities And Stockholders Equity,12345000,- -,22444000,28750000,48980000,78813000,115753000,141839000,198891000,237603000,271655000,297904000,303896000,320712000,339038000,370958000,354897000,371018000,725608000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,12345000,- -,22444000,28750000,48980000,78813000,115753000,141839000,198891000,237603000,271655000,297904000,303896000,320712000,339038000,370958000,354897000,371018000,725608000
71,SEC Link,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1201792/000095013308001327/0000950133-08-001327-index.htm,https://www.sec.gov/Archives/edgar/data/1201792/000095013309000682/0000950133-09-000682-index.htm,https://www.sec.gov/Archives/edgar/data/1201792/000115752310001098/0001157523-10-001098-index.htm,https://www.sec.gov/Archives/edgar/data/1201792/000115752311001005/0001157523-11-001005-index.htm,https://www.sec.gov/Archives/edgar/data/1201792/000115752312001093/0001157523-12-001093-index.htm,https://www.sec.gov/Archives/edgar/data/1201792/000115752313001136/0001157523-13-001136-index.htm,https://www.sec.gov/Archives/edgar/data/1201792/000115752314000857/0001157523-14-000857-index.htm,https://www.sec.gov/Archives/edgar/data/1201792/000115752315000731/0001157523-15-000731-index.htm,https://www.sec.gov/Archives/edgar/data/1201792/000120179216000005/0001201792-16-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1201792/000120179217000003/0001201792-17-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1201792/000120179218000003/0001201792-18-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1201792/000120179219000003/0001201792-19-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1201792/000120179220000006/0001201792-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1201792/000120179221000003/0001201792-21-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1201792/000120179222000003/0001201792-22-000003-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , 
73,Net Income,217000,- -,1085000,1798000,8750000,16187000,23943000,29868000,40757000,42323000,42034000,40877000,32414000,24155000,21121000,25639000,10013000,18822000,17752000
74,Depreciation and Amortization,216000,- -,1300000,1953000,2825000,4235000,5231000,6502000,9239000,11146000,13508000,16121000,20520000,19384000,18776000,17501000,15596000,12984000,17832000
75,Deferred Income Tax,- -,- -,864000,-599000,618000,1295000,722000,1811000,-867000,161000,2018000,2494000,-160000,-455000,-2494000,-917000,-1973000,-811000,5530000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,2409000,2979000,3328000,3934000,4128000,5459000,5978000,5211000,6246000,7180000,5960000,7075000,7654000
77,Change in Working Capital,- -,- -,5741000,4704000,10988000,14924000,23062000,998000,21617000,3970000,-23677000,25641000,-7656000,41232000,26238000,40460000,-727000,5858000,-35516000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,-2835000,-1759000,-3176000,-7039000,2112000,3390000,-1787000,968000,-187000,-6923000,2734000,-6327000,-7637000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,1810000,2666000,6896000,933000,-5903000,-534000,-4765000,589000,1991000,266000,-5564000,-86000,8026000
81,Other Working Capital,- -,- -,5741000,10445000,21433000,36357000,59419000,60417000,82034000,86004000,62327000,87968000,80312000,121544000,147782000,188242000,-111000,6569000,-29342000
82,Other Non-Cash Items,1847000,- -,-5330000,1073000,-5664000,-6884000,-18611000,4920000,-3636000,-8610000,21403000,-29562000,6115000,-33513000,-21949000,-45684000,9501000,882000,3013000
83,Cash Provided by Operating Activities,2280000,- -,3660000,8929000,17517000,29757000,36756000,47078000,70438000,52924000,59414000,61030000,57211000,56014000,47938000,44179000,38370000,44810000,16265000
84,CAPEX,-4124000,- -,-4990000,-4934000,-7174000,-10905000,-11795000,-23027000,-25232000,-35342000,-20893000,-25671000,-27267000,-16399000,-14788000,-9430000,-7255000,-4926000,-11828000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6750000,-48356000,-1620000,-3871000,-950000,-300000,- -,- -,- -,-325509000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6750000,-4000000,-1620000,-3871000,-950000,-300000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-360000,- -,- -,- -,-11795000,-23027000,-25232000,-34592000,-16893000,-18051000,-23595000,-11648000,-12995000,-9430000,-7255000,-4159000,-11156000
89,Cash Used for Investing Activites,- -,- -,-5350000,-4934000,-7174000,-10905000,-11795000,-23027000,-25232000,-48092000,-69249000,-21291000,-31337000,-13548000,-13595000,-9430000,-7255000,-4159000,-336665000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2188000
91,Common Stock Issued,- -,- -,18596000,199000,99936000,770000,640000,1121000,910000,4058000,3312000,536000,55000,118000,98000,- -,- -,- -,86205000
92,Common Stock Repurchased,- -,- -,-18615000,- -,-55000,-295000,-220000,-20240000,-9745000,-15861000,-14423000,-19711000,-35310000,-847000,-1587000,-1823000,-40506000,-15705000,-3032000
93,Dividends Paid,- -,- -,- -,- -,-93750000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,-30000,1973000,-1201000,1436000,1771000,1554000,1283000,2866000,865000,250000,-519000,-1120000,- -,- -,- -,- -,161356000
95,Cash Used/Provided by Financing Activities,- -,- -,-49000,2172000,4930000,1911000,2191000,-17565000,-7552000,-8937000,-10246000,-18925000,-35774000,-1849000,-1489000,-1823000,-40506000,-15705000,242341000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,-1739000,6167000,15273000,20763000,27152000,6486000,37654000,-4105000,-20081000,20814000,-9900000,40617000,32854000,32926000,-9391000,24946000,-78059000
98,Cash at the End of Period,- -,- -,5511000,11678000,26951000,47714000,74866000,81352000,119006000,114901000,94820000,115634000,105734000,146351000,179205000,212131000,202740000,227686000,149627000
99,Cash at the Beginning of Period,- -,- -,7250000,5511000,11678000,26951000,47714000,74866000,81352000,119006000,114901000,94820000,115634000,105734000,146351000,179205000,212131000,202740000,227686000
100,Free Cash Flow,-1844000,- -,-1330000,3995000,10343000,18852000,24961000,24051000,45206000,17582000,38521000,35359000,29944000,39615000,33150000,34749000,31115000,39884000,4437000
101,SEC Link,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1201792/000095013308001327/0000950133-08-001327-index.htm,https://www.sec.gov/Archives/edgar/data/1201792/000095013309000682/0000950133-09-000682-index.htm,https://www.sec.gov/Archives/edgar/data/1201792/000115752310001098/0001157523-10-001098-index.htm,https://www.sec.gov/Archives/edgar/data/1201792/000115752311001005/0001157523-11-001005-index.htm,https://www.sec.gov/Archives/edgar/data/1201792/000115752312001093/0001157523-12-001093-index.htm,https://www.sec.gov/Archives/edgar/data/1201792/000115752313001136/0001157523-13-001136-index.htm,https://www.sec.gov/Archives/edgar/data/1201792/000115752314000857/0001157523-14-000857-index.htm,https://www.sec.gov/Archives/edgar/data/1201792/000115752315000731/0001157523-15-000731-index.htm,https://www.sec.gov/Archives/edgar/data/1201792/000120179216000005/0001201792-16-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1201792/000120179217000003/0001201792-17-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1201792/000120179218000003/0001201792-18-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1201792/000120179219000003/0001201792-19-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1201792/000120179220000006/0001201792-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1201792/000120179221000003/0001201792-21-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1201792/000120179222000003/0001201792-22-000003-index.htm
102,false,,,,,,,,,,,,,,,,,,,
