,https://roic.ai/company/STXS,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,-10883435,-13831016,-21051892,-23533495,-26369426,-42391148,-44118010,-46500863,-39865198,-20697377,-14960043,-26753702,-7638406,-67538620,-4488835,-6732641,-4719789,-5133728,695773,-4468548,-6520248,-10725694
16,EBITDA ratio,-Infinity,-Infinity,-1113.8567,-4.6927,-1.4014,-2.8211,-1.6225,-1.1833,-0.9876,-0.4046,-0.2768,-0.6372,-0.1640,-1.7759,-0.1282,-0.1787,-0.1467,-0.1648,0.0237,-0.1546,-0.2448,-0.3063
17,Operating Income,-10883435,-17955974,-21522077,-23950350,-27573422,-44002656,-46671461,-49242063,-41017272,-23837962,-18959120,-31941208,-10626262,-8840474,-5384664,-5410528,-6426357,-5919597,-2457039,-4826859,-6713815,-12888443
18,Operating Income ratio,-Infinity,-Infinity,-1138.7342,-4.7759,-1.4654,-2.9284,-1.7164,-1.2530,-1.0162,-0.4660,-0.3508,-0.7607,-0.2282,-0.2325,-0.1538,-0.1436,-0.1998,-0.1901,-0.0837,-0.1670,-0.2521,-0.3680
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,-2923111,- -,- -,- -,911977,2060346,3416383,1387835,-59917115,182223,-1942247,1139637,32187,2573795,235575,67356,2172820
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9238427,-68757589,-5202441,-7352775,-5286720,-5887410,116756,-4591284,-6646459,-10715623
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-0.1984,-1.8079,-0.1486,-0.1952,-0.1644,-0.1890,0.0040,-0.1589,-0.2496,-0.3060
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-9549116,-17005198,-21458658,-24036837,-27257469,-43557835,-45719770,-48121514,-43885974,-27494457,-19923487,-32031175,-9238427,-68757589,-5202441,-7352775,-5286720,-5887410,116756,-4591284,-6646459,-10715623
24,Net Income ratio,-Infinity,-Infinity,-1135.3787,-4.7931,-1.4486,-2.8988,-1.6814,-1.2245,-1.0872,-0.5375,-0.3686,-0.7629,-0.1984,-1.8079,-0.1486,-0.1952,-0.1644,-0.1890,0.0040,-0.1589,-0.2496,-0.3060
25,EPS,-193.69,-215.94,-180.27,-172.39,-22.33,-15.02,-13.04,-12.58,-11.26,-5.91,-3.66,-5.44,-1.25,-5.95,-0.26,-0.35,-0.24,-0.32,0.00,-0.07,-0.11,-0.16
26,EPS Diluted,-193.69,-215.94,-180.27,-172.39,-22.33,-15.02,-13.04,-12.58,-11.26,-5.91,-3.66,-5.44,-1.25,-5.95,-0.26,-0.35,-0.24,-0.32,0.00,-0.07,-0.11,-0.16
27,Weighted Average Shares Outstanding,49296,78756,119059,139465,1222271,2909271,3514271,3814191,3898492,4618753,5383604,5842264,7400487,11554566,19945038,21113203,21807634,22614248,52082618,63051581,72746268,75558233
28,Weighted Average Shares Outstanding Diluted,49296,78756,119059,139465,1222271,2909271,3514271,3814191,3898492,4618753,5383604,5842264,7400487,11554566,19945038,21113203,21807634,22614248,52082618,63051581,72746268,75558233
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1289340/000119312508058487/0001193125-08-058487-index.htm,https://www.sec.gov/Archives/edgar/data/1289340/000119312509053825/0001193125-09-053825-index.htm,https://www.sec.gov/Archives/edgar/data/1289340/000119312510057164/0001193125-10-057164-index.htm,https://www.sec.gov/Archives/edgar/data/1289340/000119312511064073/0001193125-11-064073-index.htm,https://www.sec.gov/Archives/edgar/data/1289340/000119312512117497/0001193125-12-117497-index.htm,https://www.sec.gov/Archives/edgar/data/1289340/000119312513136493/0001193125-13-136493-index.htm,https://www.sec.gov/Archives/edgar/data/1289340/000119312514118072/0001193125-14-118072-index.htm,https://www.sec.gov/Archives/edgar/data/1289340/000119312515093391/0001193125-15-093391-index.htm,https://www.sec.gov/Archives/edgar/data/1289340/000119312516501650/0001193125-16-501650-index.htm,https://www.sec.gov/Archives/edgar/data/1289340/000119312517085191/0001193125-17-085191-index.htm,https://www.sec.gov/Archives/edgar/data/1289340/000119312518089265/0001193125-18-089265-index.htm,https://www.sec.gov/Archives/edgar/data/1289340/000149315219003425/0001493152-19-003425-index.htm,https://www.sec.gov/Archives/edgar/data/1289340/000149315220004012/0001493152-20-004012-index.htm,https://www.sec.gov/Archives/edgar/data/1289340/000149315221005868/0001493152-21-005868-index.htm,https://www.sec.gov/Archives/edgar/data/1289340/000149315222006487/0001493152-22-006487-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,28834123,21356247,16907516,5210794,15210493,17022200,30355657,30546550,35248819,13954919,7777718,13775130,7270301,5593582,8501392,3686302,10796072,30182115,43939512,38738591
32,Short-Term Investments,- -,- -,- -,5124365,28741318,5524793,21773288,6634178,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,28834123,26480612,45648834,10735587,36983781,23656378,30355657,30546550,35248819,13954919,7777718,13775130,7270301,5593582,8501392,3686302,10796072,30182115,43939512,38738591
34,Net Receivables,- -,- -,436146,715052,8790000,6358592,15443990,13893700,9936359,11219448,13946369,11163717,11570489,7558152,6480499,6376470,4665959,4287255,5021111,5329577,3515136,5405860
35,Inventory,- -,- -,2360607,4430228,4673994,9404792,8285825,9964460,8086956,4403675,5441475,6036051,5098241,4879039,6371903,4504282,5381103,1146971,1191666,1847530,3295457,4433394
36,Other Current Assets,- -,- -,470277,876264,2351058,5128852,2580773,3421202,2966510,3872535,4557718,3081484,3492067,1945206,1094837,785211,855295,750085,963700,1470922,1966634,2810458
37,Total Current Assets,- -,- -,32101153,32502156,61463886,31627823,63294369,50935740,51345482,50042208,59194381,34236171,27938515,28157527,21217540,17259545,19403749,9870613,17972549,38830144,52716739,51388303
38,PP&E,- -,- -,699582,2309467,1557847,3078313,4130295,7011763,6420600,4790310,3840622,3323856,2141923,1184589,894728,1067321,1086244,592688,343693,4536507,2430571,8366666
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,1944444,1811111,1677778,1544444,1411111,1277778,1144445,2578986,2279153,- -,1679486,1379653,635889,436569,159470,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,1944444,1811111,1677778,1544444,1411111,1277778,1144445,2578986,2279153,1979320,1679486,1379653,635889,436569,159470,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,120137,567352,6354912,274275,321552,1117180,396505,143553,147803,92652,106186,54794,388850,264159,39241,44432,198365,218103,308515,1229717
45,Total Non-Current Assets,- -,- -,819719,4821263,9723870,5030366,5996291,9540054,8094883,6078308,6567411,5695661,4227429,2918869,2663231,1967369,1562054,796590,542058,4754610,2739086,9596383
46,Other Assets,25170000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,25170000,- -,32920872,37323419,71187756,36658189,69290660,60475794,59440365,56120516,65761792,39931832,32165944,31076396,23880771,19226914,20965803,10667203,18514607,43584754,55455825,60984686
48,Accounts Payable,- -,- -,1505361,1697497,2129473,4866156,5555121,7349426,4561928,3881205,8796182,5610181,3556688,3512339,2353133,1840135,2623010,1654101,1726360,2099097,1608636,4188471
49,Short-Term Debt,- -,- -,904311,2289314,910434,1000000,1666666,972222,3901491,3333333,20894091,21173321,12264490,49733,- -,- -,- -,- -,- -,2248189,3472545,804363
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,360475,- -,- -,- -,- -,- -,206232,- -,- -
51,Deferred Revenue,- -,- -,1652000,814393,3041758,4216255,5663553,8774958,9676339,7191492,6600313,8220306,9502939,7519754,6658170,7445935,8751336,5702769,5825536,5092455,5282770,6276781
52,Other Current Liabilities,- -,- -,2556332,4936233,5710216,5648693,10025231,11913418,9873818,12757901,10508369,5828581,8330158,12724007,7639329,6852520,24278171,22770224,2642481,2721104,3209235,1991947
53,Total Current Liabilities,- -,- -,6618004,9737437,11791881,15731104,22910571,29010024,28013576,27163931,46798955,40832389,33654275,23805833,16650632,16138590,35652517,30127094,10194377,12160845,13573186,13261562
54,Long-Term Debt,- -,- -,2281321,2243768,1000000,1972222,305556,6000000,25271547,20346655,8000000,17290531,16824736,18481478,18388764,18429177,- -,- -,- -,- -,973252,5842456
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,948574,478850,634713,477159,491080,976165,2009198,522329,611863,407151,554258,548915,2238150
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,801005,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,14901,75786,1407,28016,1285541,1271363,1384561,20013,8741,3094,- -,- -,414928,275603,320409,535369,641461,2345054,131231,218582
58,Total Non-Current Liabilities,- -,- -,2296222,2319554,1001407,2801243,1591097,7271363,26656108,21315242,8487591,17928338,17301895,18972558,19779857,20713978,842738,1147232,1048612,2899312,1653398,8299188
59,Other Liabilities,1914244,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4337726,2287487,- -
61,Total Liabilities,1914244,- -,8914226,12056991,12793288,18532347,24501668,36281387,54669684,48479173,55286546,58760727,50956170,42778391,36430489,36852568,36495255,31274326,11242989,15060157,15226584,21560750
62,Preferred Stock,- -,- -,51635,61055,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5960475,5960475,5960475,5763800,5610933,- -
63,Common Stock,- -,- -,1390,1515,27187,27836,34755,37133,42050,50208,54746,55432,8019,19311,20481,21551,22064,22806,59058,68530,73694,74618
64,Retained Earnings,-24915072,- -,-63378928,-87415765,-114673234,-158231069,-203950839,-252072353,-295958327,-323452784,-343376271,-375407446,-384645873,-453403462,-458605903,-465958678,-471245398,-477132808,-476721490,-481312774,-487959233,-498674856
65,Other Comprehensive Income/Loss,- -,- -,-1113689,-1284214,-940526,-2794991,2157,1964,-6549973,-6616214,-8130717,-8675063,-9251911,-9590204,-10001869,-10053095,-10334556,-9295349,-9080311,-8573871,- -,- -
66,Other Total Stockholders Equity,48170828,- -,88446238,113903837,173981041,179124066,248702919,276227663,307236931,337660133,361927488,365198182,375099539,451272360,456037573,458364568,460067963,459837753,487053886,512578912,522503847,532440406
67,Total Stockholders Equity,23255756,- -,24006646,25266428,58394468,18125842,44788992,24194407,4770681,7641343,10475246,-18828895,-18790226,-11701995,-12549718,-17625654,-15529452,-20607123,7271618,28524597,40229241,33840168
68,Total Liabilities And Stockholders Equity,25170000,- -,32920872,37323419,71187756,36658189,69290660,60475794,59440365,56120516,65761792,39931832,32165944,31076396,23880771,19226914,20965803,10667203,18514607,43584754,55455825,55400918
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5583768
70,Total Liabilities & Equity,25170000,- -,32920872,37323419,71187756,36658189,69290660,60475794,59440365,56120516,65761792,39931832,32165944,31076396,23880771,19226914,20965803,10667203,18514607,43584754,55455825,60984686
71,SEC Link,- -,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1289340/000119312508058487/0001193125-08-058487-index.htm,https://www.sec.gov/Archives/edgar/data/1289340/000119312509053825/0001193125-09-053825-index.htm,https://www.sec.gov/Archives/edgar/data/1289340/000119312510057164/0001193125-10-057164-index.htm,https://www.sec.gov/Archives/edgar/data/1289340/000119312511064073/0001193125-11-064073-index.htm,https://www.sec.gov/Archives/edgar/data/1289340/000119312512117497/0001193125-12-117497-index.htm,https://www.sec.gov/Archives/edgar/data/1289340/000119312513136493/0001193125-13-136493-index.htm,https://www.sec.gov/Archives/edgar/data/1289340/000119312514118072/0001193125-14-118072-index.htm,https://www.sec.gov/Archives/edgar/data/1289340/000119312515093391/0001193125-15-093391-index.htm,https://www.sec.gov/Archives/edgar/data/1289340/000119312516501650/0001193125-16-501650-index.htm,https://www.sec.gov/Archives/edgar/data/1289340/000119312517085191/0001193125-17-085191-index.htm,https://www.sec.gov/Archives/edgar/data/1289340/000119312518089265/0001193125-18-089265-index.htm,https://www.sec.gov/Archives/edgar/data/1289340/000149315219003425/0001493152-19-003425-index.htm,https://www.sec.gov/Archives/edgar/data/1289340/000149315220004012/0001493152-20-004012-index.htm,https://www.sec.gov/Archives/edgar/data/1289340/000149315221005868/0001493152-21-005868-index.htm,https://www.sec.gov/Archives/edgar/data/1289340/000149315222006487/0001493152-22-006487-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,-21458658,-24036837,-27257469,-43557835,-45719770,-48121514,-43885974,-27494457,-19923487,-32031175,-9238427,-68757589,-5202441,-7352775,-5286720,-5887410,116756,-4591284,-6646459,-10715623
74,Depreciation and Amortization,- -,- -,406766,503342,888043,1166687,1601760,1620651,4020776,2183840,1928153,1762071,1600021,1218969,713606,620134,566931,753682,579017,122736,126211,105653
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,4229183,2049606,2487441,2293731,1050260,1501045,1312319,1365121,768682,560973,1330195,3169348,9362907
77,Change in Working Capital,- -,- -,-1431923,-33775286,24487079,-18458082,1406190,-453629,-10482851,-18991644,880458,10067454,215214,-3445953,-17369723,-4007713,28034653,18891127,12474254,424591,-1441403,-2247359
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1413640,-2762921,2811531,-447613,4013279,1098084,104029,1710511,378704,-733856,-308466,1814441,-1890724
79,Inventory,- -,- -,-2360607,-2069621,-243766,-4730798,1118967,-3549288,1877504,3851283,-1075075,-594576,937810,219202,-1492864,1521995,-853171,285406,-365142,-655864,-1447927,-1137937
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-680723,4937129,-3186001,-2053493,-44349,-1159206,-512998,782875,-968909,72259,372737,-490461,1433840
81,Other Working Capital,- -,- -,49672005,15896719,40383798,21925716,23331906,22878277,12395426,-6596218,-5715760,4351694,4566908,1120955,-16248768,-20256481,7778172,26669299,39143553,39568144,38126741,2933866
82,Other Non-Cash Items,- -,- -,454880,32839387,-29931523,19863047,3728939,11240998,21693546,17764415,-3844475,-13855069,-6988197,63602669,11265370,6899534,-31242739,-19200648,-16277582,-1902918,1280531,548511
83,Cash Provided by Operating Activities,- -,- -,-22028935,-24469394,-31813870,-40986183,-38982881,-35713494,-28654503,-22308663,-18909745,-31569278,-12117658,-6331644,-9092143,-2528501,-6562754,-4674567,-2546582,-4616680,-3511772,-2945911
84,CAPEX,- -,- -,-308512,-2057671,-1535420,-2338866,-2305992,-4744376,-1665808,-1484192,-715770,-1031749,-130699,- -,-123912,-153151,-410184,-81577,-265482,-29486,-70896,-1396590
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-5124365,-36545431,-8151421,-32701841,-13810385,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,1788105,- -,6936710,37154608,18604217,29050000,6650000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,1489904,- -,10072,100640,2200,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,1479593,-7182036,-29654237,26664321,-16393544,10595879,4986392,-1484192,-715770,-1031749,-130699,- -,-123912,-153151,-410184,-81577,-265482,-29486,-70896,-1396590
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6901489,-2071139,-80359239,-68095581,-48753340,-142447,- -,-20670780,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,17521148,24829113,57642113,1563352,67897178,21929322,19738966,27885237,16200745,239593,9122232,21298937,2853673,964520,23001528,41054,57137,24032209,15181755,547411
92,Common Stock Repurchased,- -,- -,- -,-15594,-90,- -,-43453,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,3198217,-639965,-622647,1061788,-865300,5000000,17262602,3000000,10198178,91426773,65044505,39783459,- -,40413,7550000,-100000,9864697,- -,2158310,- -
95,Cash Used/Provided by Financing Activities,- -,- -,20719365,24173554,57019376,2625140,66988425,26929322,37001568,23983748,24327784,11307127,6071156,12329056,2711226,1004933,9880748,-58946,9921834,24032209,17340065,547411
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,170023,-7477876,-4448731,-11696722,11612000,1811707,13333457,190893,4702269,-21293900,-6177201,5997412,-6504829,-1676719,2907810,-4815090,7109770,19386043,13757397,-3795090
98,Cash at the End of Period,- -,- -,28834123,21356247,16907516,5210794,15210493,17022200,30355657,30546550,35248819,13954919,7777718,13775130,7270301,5593582,8501392,3686302,10796072,30182115,43939512,40144422
99,Cash at the Beginning of Period,- -,- -,28664100,28834123,21356247,16907516,3598493,15210493,17022200,30355657,30546550,35248819,13954919,7777718,13775130,7270301,5593582,8501392,3686302,10796072,30182115,43939512
100,Free Cash Flow,- -,- -,-22337447,-26527065,-33349290,-43325049,-41288873,-40457870,-30320311,-23792855,-19625515,-32601027,-12248357,-6331644,-9216055,-2681652,-6972938,-4756144,-2812064,-4646166,-3582668,-4342501
101,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1289340/000119312508058487/0001193125-08-058487-index.htm,https://www.sec.gov/Archives/edgar/data/1289340/000119312509053825/0001193125-09-053825-index.htm,https://www.sec.gov/Archives/edgar/data/1289340/000119312510057164/0001193125-10-057164-index.htm,https://www.sec.gov/Archives/edgar/data/1289340/000119312511064073/0001193125-11-064073-index.htm,https://www.sec.gov/Archives/edgar/data/1289340/000119312512117497/0001193125-12-117497-index.htm,https://www.sec.gov/Archives/edgar/data/1289340/000119312513136493/0001193125-13-136493-index.htm,https://www.sec.gov/Archives/edgar/data/1289340/000119312514118072/0001193125-14-118072-index.htm,https://www.sec.gov/Archives/edgar/data/1289340/000119312515093391/0001193125-15-093391-index.htm,https://www.sec.gov/Archives/edgar/data/1289340/000119312516501650/0001193125-16-501650-index.htm,https://www.sec.gov/Archives/edgar/data/1289340/000119312517085191/0001193125-17-085191-index.htm,https://www.sec.gov/Archives/edgar/data/1289340/000119312518089265/0001193125-18-089265-index.htm,https://www.sec.gov/Archives/edgar/data/1289340/000149315219003425/0001493152-19-003425-index.htm,https://www.sec.gov/Archives/edgar/data/1289340/000149315220004012/0001493152-20-004012-index.htm,https://www.sec.gov/Archives/edgar/data/1289340/000149315221005868/0001493152-21-005868-index.htm,- -
102,false,,,,,,,,,,,,,,,,,,,,,,
