,https://roic.ai/company/GNE,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1528356/000121390012001132/0001213900-12-001132-index.htm,https://www.sec.gov/Archives/edgar/data/1528356/000121390013001232/0001213900-13-001232-index.htm,https://www.sec.gov/Archives/edgar/data/1528356/000121390014001484/0001213900-14-001484-index.htm,https://www.sec.gov/Archives/edgar/data/1528356/000121390015001804/0001213900-15-001804-index.htm,https://www.sec.gov/Archives/edgar/data/1528356/000121390016011620/0001213900-16-011620-index.htm,https://www.sec.gov/Archives/edgar/data/1528356/000121390017002459/0001213900-17-002459-index.htm,https://www.sec.gov/Archives/edgar/data/1528356/000121390018003067/0001213900-18-003067-index.htm,https://www.sec.gov/Archives/edgar/data/1528356/000121390019004396/0001213900-19-004396-index.htm,https://www.sec.gov/Archives/edgar/data/1528356/000121390020006416/0001213900-20-006416-index.htm,https://www.sec.gov/Archives/edgar/data/1528356/000121390021015538/0001213900-21-015538-index.htm,https://www.sec.gov/Archives/edgar/data/1528356/000121390022012716/0001213900-22-012716-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,4976000,13142000,102200000,71614000,78228000,76564000,47636000,35192000,29913000,41601000,31242000,36913000,95492000
32,Short-Term Investments,- -,- -,- -,- -,10485000,- -,- -,- -,- -,- -,- -,- -,5089000,- -
33,Cash and Short-Term Investments,- -,4976000,13142000,102200000,82099000,78228000,76564000,47636000,35192000,29913000,41601000,31242000,42002000,95492000
34,Net Receivables,- -,22239000,33022000,24000000,40932000,42926000,31427000,27222000,36858000,44629000,35920000,49822000,60778000,52357000
35,Inventory,- -,4121000,2694000,4100000,2644000,3344000,11166000,11440000,5989000,3986000,9893000,16632000,16930000,17720000
36,Other Current Assets,- -,10967000,2127000,9200000,15526000,21594000,23215000,28326000,19771000,11634000,10490000,15243000,14110000,- -
37,Total Current Assets,- -,42303000,50985000,139500000,141201000,146092000,142372000,114624000,97810000,90162000,97904000,112939000,133820000,165569000
38,PP&E,- -,140000,256000,400000,409000,561000,1902000,28225000,1617000,4020000,4301000,3607000,259000,297000
39,Goodwill,- -,3663000,3663000,3700000,3663000,7349000,3663000,3663000,8728000,9998000,11082000,12135000,25929000,11755000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,4277000,4859000,6321000,6837000,11645000,3648000
41,Intangible Assets,- -,3663000,3663000,3700000,3663000,7349000,3663000,3663000,13005000,14857000,17403000,18972000,37574000,15403000
42,Investments,- -,278000,666000,- -,- -,- -,- -,- -,- -,3450000,2208000,675000,747000,1336000
43,Tax Assets,- -,2820000,2130000,- -,- -,- -,- -,1642000,1781000,2141000,15625000,12154000,4882000,3804000
44,Other Non-Current Assets,- -,1769000,766000,4300000,5033000,4841000,4991000,7661000,7600000,11148000,9423000,7897000,10057000,- -
45,Total Non-Current Assets,- -,8670000,7481000,8400000,9105000,12751000,10556000,41191000,24003000,35616000,48960000,43305000,53519000,20840000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,84281000
47,Total Assets,- -,50973000,58466000,147900000,150306000,158843000,152928000,155815000,121813000,125778000,146864000,156244000,187339000,229010000
48,Accounts Payable,- -,11545000,16883000,12900000,20641000,25302000,14881000,12642000,17274000,21068000,18508000,24387000,43005000,33554000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,711000,- -,923000,3551000,1453000,- -
50,Tax Payable,- -,5265000,4085000,- -,1244000,2075000,543000,923000,2426000,2204000,1463000,1591000,1893000,9337000
51,Deferred Revenue,- -,- -,- -,- -,1472000,1103000,403000,1055000,781000,- -,- -,13426000,5609000,- -
52,Other Current Liabilities,- -,9903000,7147000,14700000,10096000,13929000,16798000,23855000,22379000,33673000,31355000,30792000,47406000,80717000
53,Total Current Liabilities,- -,21448000,24030000,27600000,32209000,40334000,32082000,37552000,41145000,54741000,50786000,72156000,97473000,114271000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,2000000,- -,2513000,2516000,777000,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,200000,-7000000,- -,2169000,1503000,1566000,803000,1396000,900000,2381000,3787000,2384000
58,Total Non-Current Liabilities,- -,- -,200000,-7000000,- -,2169000,1503000,3566000,803000,3909000,3416000,3158000,3787000,2384000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,21448000,24230000,20600000,32209000,42503000,33585000,41118000,41948000,58650000,54202000,75314000,101260000,116655000
62,Preferred Stock,- -,- -,- -,- -,13639000,16303000,19743000,19743000,19743000,19743000,19743000,19743000,19743000,- -
63,Common Stock,- -,- -,- -,200000,214000,214000,248000,248000,249000,252000,271000,274000,276000,282000
64,Retained Earnings,- -,27827000,33822000,34900000,28375000,21552000,-7759000,-19647000,-51567000,-67469000,-53939000,-59671000,-56658000,-27549000
65,Other Comprehensive Income/Loss,- -,-1000,-24000,-200000,270000,745000,10000,154000,1465000,3045000,2591000,2519000,3827000,3160000
66,Other Total Stockholders Equity,- -,2137000,961000,92400000,79992000,82318000,112779000,122879000,126644000,128442000,135005000,131940000,130907000,136462000
67,Total Stockholders Equity,- -,29525000,33798000,127300000,122490000,121132000,125021000,123377000,96534000,84013000,103671000,94805000,98095000,112355000
68,Total Liabilities And Stockholders Equity,- -,50973000,58028000,147900000,154699000,163635000,158606000,164495000,138482000,142663000,157873000,170119000,199355000,229010000
69,Minority Interest,- -,- -,438000,- -,-4393000,-4792000,-5678000,-8680000,-16669000,-16885000,-11009000,-13875000,-12016000,- -
70,Total Liabilities & Equity,- -,50973000,58466000,147900000,150306000,158843000,152928000,155815000,121813000,125778000,146864000,156244000,187339000,229010000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1528356/000121390012001132/0001213900-12-001132-index.htm,https://www.sec.gov/Archives/edgar/data/1528356/000121390013001232/0001213900-13-001232-index.htm,https://www.sec.gov/Archives/edgar/data/1528356/000121390014001484/0001213900-14-001484-index.htm,https://www.sec.gov/Archives/edgar/data/1528356/000121390015001804/0001213900-15-001804-index.htm,https://www.sec.gov/Archives/edgar/data/1528356/000121390016011620/0001213900-16-011620-index.htm,https://www.sec.gov/Archives/edgar/data/1528356/000121390017002459/0001213900-17-002459-index.htm,https://www.sec.gov/Archives/edgar/data/1528356/000121390018003067/0001213900-18-003067-index.htm,https://www.sec.gov/Archives/edgar/data/1528356/000121390019004396/0001213900-19-004396-index.htm,https://www.sec.gov/Archives/edgar/data/1528356/000121390020006416/0001213900-20-006416-index.htm,https://www.sec.gov/Archives/edgar/data/1528356/000121390021015538/0001213900-21-015538-index.htm,https://www.sec.gov/Archives/edgar/data/1528356/000121390022012716/0001213900-22-012716-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,- -,22748000,14573000,800000,-3281000,-5903000,-26486000,-7457000,-24525000,-6994000,22785000,4175000,13155000,29408000
74,Depreciation and Amortization,- -,118000,86000,20000,124000,110000,132000,428000,581000,2140000,2062000,3627000,3548000,1282000
75,Deferred Income Tax,- -,1403000,690000,-1250000,4508000,-241000,-622000,-180000,-139000,-360000,-13483000,3471000,7272000,1296000
76,Stock Based Compensation,- -,34000,315000,- -,3429000,4180000,10758000,5229000,4813000,5213000,4523000,1102000,1134000,2930000
77,Change in Working Capital,- -,16816000,6100000,77058000,-2908000,-3234000,4532000,-33218000,-20407000,-21244000,11697000,-6335000,-4436000,14951000
78,Accounts Receivable,- -,28693000,-6965000,6400000,-14711000,-2679000,11189000,4234000,-6030000,-8024000,7817000,-12041000,-6681000,1750000
79,Inventory,- -,3273000,1427000,-1300000,1423000,-700000,-7822000,-274000,5737000,2003000,-4764000,-6739000,-298000,-790000
80,Accounts Payable,- -,- -,- -,3600000,6275000,6883000,-5718000,3689000,-9292000,15110000,-7299000,5506000,15950000,11713000
81,Other Working Capital,- -,20855000,26955000,111900000,108992000,105758000,110290000,77072000,56665000,35421000,47118000,40783000,36347000,51298000
82,Other Non-Cash Items,- -,-925000,-4733000,-78988000,-2880000,6308000,-7416000,32117000,55227000,30532000,-8210000,9712000,2446000,-28552000
83,Cash Provided by Operating Activities,- -,40194000,17031000,-2360000,-1008000,1220000,-19102000,-3081000,15550000,9287000,19374000,15752000,23119000,21315000
84,CAPEX,- -,-36000,-147000,-130000,-266000,-313000,-1437000,-27293000,-13470000,-8823000,-1329000,-404000,-167000,-126000
85,Acquisitions Net,- -,- -,- -,- -,-4102000,-3472000,-1138000,-250000,-5061000,-8150000,-1556000,-5279000,-544000,- -
86,Purchases of Investments,- -,-1074000,-1991000,- -,-13689000,-4332000,-4655000,-8820000,-2974000,- -,- -,- -,-5000000,-1000000
87,Sales/Maturities of Investments,- -,4179000,- -,- -,966000,12638000,4334000,4688000,11900000,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-9505000,8849000,-2470000,-916000,-1063000,-1519000,-274000,-509000,-2847000,-1382000,-494000,2517000,3687000
89,Cash Used for Investing Activites,- -,-6400000,6858000,-2600000,-17741000,3771000,-2978000,-31625000,-9528000,-16528000,-2938000,-5773000,-3027000,2687000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-6690000,-12655000,-10000,-2305000,-5311000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,422000,24552000,- -,- -,- -,6000000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-204000,-269000,-1070000,-27000,-29000,-829000,-889000,-6051000,-2164000,-348000
93,Dividends Paid,- -,- -,- -,- -,-4205000,-1131000,-2825000,-4431000,-7395000,-8908000,-9256000,-9595000,-10142000,-1480000
94,Other Financing Activites,- -,-30751000,-15723000,83300000,-10012000,51000,28000,6053000,4423000,24246000,- -,2328000,2423000,-3847000
95,Cash Used/Provided by Financing Activities,- -,-30751000,-15723000,83300000,-14421000,-927000,20685000,1595000,-9691000,1854000,-4155000,-15623000,-15194000,-5675000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,359000,412000,-595000,2000,75000,108000,-11000,1000,-268000,-30000
97,Net Change In Cash,- -,3043000,8166000,78340000,-32811000,4476000,-1990000,-33109000,-3594000,-5279000,12270000,-5643000,4630000,58965000
98,Cash at the End of Period,- -,4976000,13142000,102240000,69409000,73885000,71895000,38786000,35192000,29913000,44197000,38554000,43184000,102149000
99,Cash at the Beginning of Period,- -,1933000,4976000,23900000,102220000,69409000,73885000,71895000,38786000,35192000,31927000,44197000,38554000,43184000
100,Free Cash Flow,- -,40158000,16884000,-2490000,-1274000,907000,-20539000,-30374000,2080000,464000,18045000,15348000,22952000,21189000
101,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1528356/000121390012001132/0001213900-12-001132-index.htm,https://www.sec.gov/Archives/edgar/data/1528356/000121390013001232/0001213900-13-001232-index.htm,https://www.sec.gov/Archives/edgar/data/1528356/000121390014001484/0001213900-14-001484-index.htm,https://www.sec.gov/Archives/edgar/data/1528356/000121390015001804/0001213900-15-001804-index.htm,https://www.sec.gov/Archives/edgar/data/1528356/000121390016011620/0001213900-16-011620-index.htm,https://www.sec.gov/Archives/edgar/data/1528356/000121390017002459/0001213900-17-002459-index.htm,https://www.sec.gov/Archives/edgar/data/1528356/000121390018003067/0001213900-18-003067-index.htm,https://www.sec.gov/Archives/edgar/data/1528356/000121390019004396/0001213900-19-004396-index.htm,https://www.sec.gov/Archives/edgar/data/1528356/000121390020006416/0001213900-20-006416-index.htm,https://www.sec.gov/Archives/edgar/data/1528356/000121390021015538/0001213900-21-015538-index.htm,https://www.sec.gov/Archives/edgar/data/1528356/000121390022012716/0001213900-22-012716-index.htm
102,false,,,,,,,,,,,,,,
