,https://roic.ai/company/ANSU,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,1264,- -,- -,13573,9525,9934,12357,13890,11351,12635,13793,15283,18272,21184
14,Depreciation and Amortization,9487,9982,9754,9617,9576,144,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
15,EBITDA,-180652,-269340,-11950,-77442,-30465,-15856,-12699,-128436,-128436,-90190,-15641,-27523,-87196,-49570,-66903,-68115,-71663,-66293,-61906,- -
16,EBITDA ratio,-63.1430,-Infinity,-0.1300,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,- -
17,Operating Income,- -,279322,21741,87059,143537,16000,12699,128436,128436,- -,15641,27523,87196,49570,66903,- -,-71663,-66293,-61906,- -
18,Operating Income ratio,- -,Infinity,0.2365,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,- -,Infinity,Infinity,Infinity,Infinity,Infinity,- -,-Infinity,-Infinity,-Infinity,- -
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,-103496,- -,- -,- -,- -,- -,-40807,-64980,-186749,-113030,-145157,-12635,-13793,-15283,-18272,- -
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-25166,-37457,-99553,-63460,-78254,-80750,-85456,-81576,-80178,-79970
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-190139,-278798,-21704,-87059,-143505,-16000,-13963,-128436,-126629,-102282,-34400,-37457,-99553,-63460,-78254,-80750,-85456,-81576,-80178,-79970
24,Net Income ratio,-66.4589,-Infinity,-0.2361,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-0.00,-0.01,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00
26,EPS Diluted,-0.00,-0.01,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00
27,Weighted Average Shares Outstanding,46676400,46646400,46676400,46656400,46506300,46506300,46506300,46706300,46706300,46706300,46706300,46733834,46926163,46956300,46956300,46956300,46956300,46956300,46956300,46956300
28,Weighted Average Shares Outstanding Diluted,46676400,46646400,46676400,46656400,46506300,46506300,46506300,46706300,46706300,46706300,46706300,46733834,46926163,46956300,46956300,46956300,46956300,46956300,46956300,46956300
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1168663/000109690613000949/0001096906-13-000949-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1168663/000135448815001703/0001354488-15-001703-index.htm,https://www.sec.gov/Archives/edgar/data/1168663/000135448816006842/0001354488-16-006842-index.html,https://www.sec.gov/Archives/edgar/data/1168663/000165495417003355/0001654954-17-003355-index.htm,https://www.sec.gov/Archives/edgar/data/1168663/000165495418003757/0001654954-18-003757-index.htm,https://www.sec.gov/Archives/edgar/data/1168663/000165495419003786/0001654954-19-003786-index.html,https://www.sec.gov/Archives/edgar/data/1168663/000165495420003529/0001654954-20-003529-index.htm,https://www.sec.gov/Archives/edgar/data/1168663/000165495421003436/0001654954-21-003436-index.htm,https://www.sec.gov/Archives/edgar/data/1168663/000165495422004620/0001654954-22-004620-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,208901,54985,44560,7693,1357,5575,1877,2118,2118,1948,3981,18441,16410,13302,5018,5014,1544,8215,859,269
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,208901,54985,44560,7693,1357,5575,1877,2118,2118,1948,3981,18441,16410,13302,5018,5014,1544,8215,859,269
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11338,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,1837,- -,17346,17346,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39166
37,Total Current Assets,208901,54985,44560,7693,1357,7412,1877,19464,19464,1948,3981,18441,16410,13302,5018,5014,1544,8215,12197,39435
38,PP&E,1425,855,513,308,144,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25084,11019,25084
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,160000,131764,122352,112940,- -,- -,- -,158554,158554,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,160000,131764,122352,112940,- -,- -,- -,158554,158554,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,-18824,- -,- -,- -,- -,- -,- -,- -,- -,244,- -,6800,13870,25297,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,142601,132619,122865,113248,144,- -,- -,158554,158554,244,- -,6800,13870,25297,- -,- -,- -,25084,11019,25084
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,351502,187604,167425,120941,1501,7412,1877,178018,178018,2192,3981,25241,30280,38599,5018,5014,1544,33299,23216,64519
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,3750,3750,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
49,Short-Term Debt,130000,- -,- -,- -,- -,- -,- -,364590,364590,258398,- -,- -,233450,237900,261575,292475,313630,384900,443369,14065
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,1951,1951,6977,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,99900,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,1525,202000,226065,247976,256404,161946,161946,488539,357727,366444,37587,104915,143956,193802,254633,285675,308320,847878
53,Total Current Liabilities,130000,- -,1525,202000,226065,247976,256404,530286,530286,846837,357727,366444,271037,342815,405531,486277,568263,670575,751689,861943
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11019
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11019,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11019,- -,11019
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25084,11019,- -
61,Total Liabilities,130000,- -,1525,202000,226065,247976,256404,530286,530286,846837,357727,366444,271037,342815,405531,486277,568263,681594,751689,872962
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,46436,46676,46676,46656,46506,- -,46506,46706,46706,46706,46706,46756,46956,46956,46956,46956,46956,46956,46956,46956
64,Retained Earnings,-230898,-509696,-531400,-618459,-761964,-777964,-791927,-1228696,-1228696,-1669193,-1703593,-1741050,-1840603,-1904063,-2000360,-2081110,-2166566,-2248142,-2328320,-2408290
65,Other Comprehensive Income/Loss,-75,-645,-987,-1192,-1356,-1500,- -,-13488,-13488,-69484,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,406039,651269,651611,491936,492250,538900,490894,844687,844687,854687,1303141,1353091,1552890,1552891,1552891,1552891,1552891,1552891,1552891,1552891
67,Total Stockholders Equity,221502,187604,165900,-81059,-224564,-240564,-254527,-350791,-350791,-837284,-353746,-341203,-240757,-304216,-400513,-481263,-566719,-648295,-728473,-808443
68,Total Liabilities And Stockholders Equity,351502,- -,167425,120941,1501,7412,1877,179495,179495,9553,3981,25241,30280,38599,5018,5014,1544,33299,23216,64519
69,Minority Interest,- -,187604,- -,- -,- -,- -,- -,-1477,-1477,-7361,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,351502,187604,167425,120941,1501,7412,1877,178018,178018,2192,3981,25241,30280,38599,5018,5014,1544,33299,23216,64519
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1168663/000109690613000949/0001096906-13-000949-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1168663/000135448815001703/0001354488-15-001703-index.htm,https://www.sec.gov/Archives/edgar/data/1168663/000135448816006842/0001354488-16-006842-index.html,https://www.sec.gov/Archives/edgar/data/1168663/000165495417003355/0001654954-17-003355-index.htm,https://www.sec.gov/Archives/edgar/data/1168663/000165495418003757/0001654954-18-003757-index.htm,https://www.sec.gov/Archives/edgar/data/1168663/000165495419003786/0001654954-19-003786-index.html,https://www.sec.gov/Archives/edgar/data/1168663/000165495420003529/0001654954-20-003529-index.htm,https://www.sec.gov/Archives/edgar/data/1168663/000165495421003436/0001654954-21-003436-index.htm,https://www.sec.gov/Archives/edgar/data/1168663/000165495422004620/0001654954-22-004620-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,-190139,-278798,-21704,-87059,-143505,-16000,-13963,-128436,-126629,-102282,-34400,-37457,-99553,-63460,-78254,-80750,-85456,-81576,-80178,-79970
74,Depreciation and Amortization,9487,9982,9754,9617,9576,144,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,-23916,-11950,-237342,-30401,-15856,-13963,-256295,- -,-334067,491143,5743,93376,-74886,-71000,-80750,-85456,-95641,-77132,-83016
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,819,819,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,39977,39977,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,78901,54985,43035,-194307,-224708,-240564,-254527,-510822,-510822,-844889,-353746,-348003,-254627,-329513,-400513,-481263,-566719,-662360,-739492,-822508
82,Other Non-Cash Items,5000,38916,13475,237917,137994,17530,23928,364556,106454,380461,-491450,7974,-101498,69758,107730,103385,123624,114646,124286,123224
83,Cash Provided by Operating Activities,-175652,-253816,-10425,-76867,-26336,-14182,-3998,-20175,-20175,-55888,-34707,-23740,-107675,-68588,-41524,-58115,-47288,-62571,-33024,-39762
84,CAPEX,-101500,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-100000,-60000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6800,-7071,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-101500,-60000,- -,- -,- -,- -,- -,- -,- -,- -,10000,-6800,-7071,- -,- -,- -,- -,- -,- -,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-87285,-15550,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,70000,159900,- -,- -,- -,- -,- -,- -,- -,- -,- -,50000,200000,- -,- -,- -,- -,- -,- -,67000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,40000,20000,18400,300,15764,15764,57616,26740,-5000,- -,81030,33240,58111,43818,69242,25668,-27828
95,Cash Used/Provided by Financing Activities,70000,159900,- -,40000,20000,18400,300,15764,15764,57616,26740,45000,112715,65480,33240,58111,43818,69242,25668,39172
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,113,113,7,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-207152,-153916,-10425,-36867,-6336,4218,-3698,-55,-55,1735,2033,14460,-2031,-3108,-8284,-4,-3470,6671,-7356,-590
98,Cash at the End of Period,208901,54985,44560,7693,1357,5575,1877,2118,2118,1948,3981,18441,16410,13302,5018,5014,1544,8215,859,269
99,Cash at the Beginning of Period,416053,208901,54985,44560,7693,1357,5575,2173,2173,213,1948,3981,18441,16410,13302,5018,5014,1544,8215,859
100,Free Cash Flow,-277152,-253816,-10425,-76867,-26336,-14182,-3998,-20175,-20175,-55888,-34707,-23740,-107675,-68588,-41524,-58115,-47288,-62571,-33024,-39762
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1168663/000109690613000949/0001096906-13-000949-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1168663/000135448815001703/0001354488-15-001703-index.htm,https://www.sec.gov/Archives/edgar/data/1168663/000135448816006842/0001354488-16-006842-index.html,https://www.sec.gov/Archives/edgar/data/1168663/000165495417003355/0001654954-17-003355-index.htm,https://www.sec.gov/Archives/edgar/data/1168663/000165495418003757/0001654954-18-003757-index.htm,https://www.sec.gov/Archives/edgar/data/1168663/000165495419003786/0001654954-19-003786-index.html,https://www.sec.gov/Archives/edgar/data/1168663/000165495420003529/0001654954-20-003529-index.htm,https://www.sec.gov/Archives/edgar/data/1168663/000165495421003436/0001654954-21-003436-index.htm,https://www.sec.gov/Archives/edgar/data/1168663/000165495422004620/0001654954-22-004620-index.htm
102,false,,,,,,,,,,,,,,,,,,,,
